Comunidades autónomas,Género,Periodo,salario mediano,Variación Interanual (%)
05 Canarias,Ambos sexos,2009,"16.229,38","3,21"
05 Canarias,Ambos sexos,2008,"15.725,28",
05 Canarias,Mujeres,2022,"18.575,12","8,29"
05 Canarias,Mujeres,2021,"17.152,56","0,34"
05 Canarias,Mujeres,2020,"17.094,27","4,66"
05 Canarias,Mujeres,2019,"16.333,36","1,46"
05 Canarias,Mujeres,2018,"16.098,78","-1,5"
05 Canarias,Mujeres,2017,"16.343,72","3,57"
05 Canarias,Mujeres,2016,"15.780,72","2,54"
05 Canarias,Mujeres,2015,"15.389,18","0,22"
05 Canarias,Mujeres,2014,"15.355,31","3,34"
05 Canarias,Mujeres,2013,"14.859,15","1,22"
05 Canarias,Mujeres,2012,"14.680,25","-1,41"
05 Canarias,Mujeres,2011,"14.889,88","3,61"
05 Canarias,Mujeres,2010,"14.370,70","-5,08"
05 Canarias,Mujeres,2009,"15.139,91","3,54"
05 Canarias,Mujeres,2008,"14.621,63",
05 Canarias,Hombres,2022,"19.702,75","5,48"
05 Canarias,Hombres,2021,"18.679,87","2,74"
05 Canarias,Hombres,2020,"18.181,65","-0,32"
05 Canarias,Hombres,2019,"18.239,21","-0,37"
05 Canarias,Hombres,2018,"18.307,59","2,99"
05 Canarias,Hombres,2017,"17.776,74","0,23"
05 Canarias,Hombres,2016,"17.736,72","-1,69"
05 Canarias,Hombres,2015,"18.042,41","4,57"
05 Canarias,Hombres,2014,"17.254,37","-1,98"
05 Canarias,Hombres,2013,"17.603,76","-1,88"
05 Canarias,Hombres,2012,"17.941,68","0,93"
05 Canarias,Hombres,2011,"17.775,63","4,65"
05 Canarias,Hombres,2010,"16.986,20","0,22"
05 Canarias,Hombres,2009,"16.949,10","3,92"
05 Canarias,Hombres,2008,"16.310,40",
06 Cantabria,Ambos sexos,2022,"21.645,24","3,71"
06 Cantabria,Ambos sexos,2021,"20.871,86","3,91"
06 Cantabria,Ambos sexos,2020,"20.086,04","-0,14"
06 Cantabria,Ambos sexos,2019,"20.114,15","6,36"
06 Cantabria,Ambos sexos,2018,"18.910,81","-0,95"
06 Cantabria,Ambos sexos,2017,"19.092,46","2,7"
06 Cantabria,Ambos sexos,2016,"18.590,39","-1,44"
06 Cantabria,Ambos sexos,2015,"18.861,30","1,87"
06 Cantabria,Ambos sexos,2014,"18.514,74","5,01"
06 Cantabria,Ambos sexos,2013,"17.632,21","2,01"
06 Cantabria,Ambos sexos,2012,"17.284,05","-4,1"
06 Cantabria,Ambos sexos,2011,"18.023,05","-0,27"
