Comunidades autónomas,Género,Periodo,salario mediano,Variación Interanual (%)
11 Extremadura,Mujeres,2015,"14.602,48","-0,85"
11 Extremadura,Mujeres,2014,"14.727,85","2,44"
11 Extremadura,Mujeres,2013,"14.377,08","-2,58"
11 Extremadura,Mujeres,2012,"14.758,54","-2,99"
11 Extremadura,Mujeres,2011,"15.212,82","6,13"
11 Extremadura,Mujeres,2010,"14.334,72","-5,09"
11 Extremadura,Mujeres,2009,"15.103,10","6,23"
11 Extremadura,Mujeres,2008,"14.217,78",
11 Extremadura,Hombres,2022,"19.447,99","3,12"
11 Extremadura,Hombres,2021,"18.859,72","2,32"
11 Extremadura,Hombres,2020,"18.431,63","0,35"
11 Extremadura,Hombres,2019,"18.367,82","-1,14"
11 Extremadura,Hombres,2018,"18.579,73","1,16"
11 Extremadura,Hombres,2017,"18.366,85","2,2"
11 Extremadura,Hombres,2016,"17.972,00","-0,98"
11 Extremadura,Hombres,2015,"18.150,31","4,69"
11 Extremadura,Hombres,2014,"17.337,46","-1,81"
11 Extremadura,Hombres,2013,"17.656,86","1,03"
11 Extremadura,Hombres,2012,"17.477,31","-0,74"
11 Extremadura,Hombres,2011,"17.606,86","4,45"
11 Extremadura,Hombres,2010,"16.856,46","0,87"
11 Extremadura,Hombres,2009,"16.710,36","4,16"
11 Extremadura,Hombres,2008,"16.043,70",
12 Galicia,Ambos sexos,2022,"20.497,55","3,1"
12 Galicia,Ambos sexos,2021,"19.880,64","2,53"
12 Galicia,Ambos sexos,2020,"19.389,46","3,06"
12 Galicia,Ambos sexos,2019,"18.813,49","1,15"
12 Galicia,Ambos sexos,2018,"18.600,00","0,38"
12 Galicia,Ambos sexos,2017,"18.529,26","2,11"
12 Galicia,Ambos sexos,2016,"18.146,24","3,1"
12 Galicia,Ambos sexos,2015,"17.599,99","1,27"
12 Galicia,Ambos sexos,2014,"17.379,48","1,12"
12 Galicia,Ambos sexos,2013,"17.187,12","3,33"
12 Galicia,Ambos sexos,2012,"16.632,45","-1,43"
12 Galicia,Ambos sexos,2011,"16.873,88","-1,99"
12 Galicia,Ambos sexos,2010,"17.216,32","3,91"
12 Galicia,Ambos sexos,2009,"16.569,15","2,59"
12 Galicia,Ambos sexos,2008,"16.150,71",
12 Galicia,Mujeres,2022,"18.165,51","6,78"
12 Galicia,Mujeres,2021,"17.012,05","1,47"
12 Galicia,Mujeres,2020,"16.765,20","2,15"
12 Galicia,Mujeres,2019,"16.412,28","1,65"
12 Galicia,Mujeres,2018,"16.146,14","1,1"
12 Galicia,Mujeres,2017,"15.970,06","2,75"
12 Galicia,Mujeres,2016,"15.542,62","0,73"
12 Galicia,Mujeres,2015,"15.430,38","1,98"
12 Galicia,Mujeres,2014,"15.130,99","0,84"
12 Galicia,Mujeres,2013,"15.005,56","2,57"
12 Galicia,Mujeres,2012,"14.629,68","-1,33"
12 Galicia,Mujeres,2011,"14.826,52","-1,11"
12 Galicia,Mujeres,2010,"14.992,42","2,65"
12 Galicia,Mujeres,2009,"14.605,25","5,38"
12 Galicia,Mujeres,2008,"13.859,44",
12 Galicia,Hombres,2022,"22.994,16","7,62"
12 Galicia,Hombres,2021,"21.367,00","1,53"
12 Galicia,Hombres,2020,"21.045,87","0,95"
12 Galicia,Hombres,2019,"20.847,81","2,41"
12 Galicia,Hombres,2018,"20.357,74","-1,73"
12 Galicia,Hombres,2017,"20.715,71","2,53"
12 Galicia,Hombres,2016,"20.204,71","2,84"
12 Galicia,Hombres,2015,"19.646,20","3,08"
12 Galicia,Hombres,2014,"19.060,07","-0,11"
12 Galicia,Hombres,2013,"19.081,44","4,51"
12 Galicia,Hombres,2012,"18.257,96","0,03"
12 Galicia,Hombres,2011,"18.251,71","-1,74"
12 Galicia,Hombres,2010,"18.574,49","4,8"
12 Galicia,Hombres,2009,"17.724,17","2,73"
12 Galicia,Hombres,2008,"17.253,93",
13 Comunidad de Madrid,Ambos sexos,2022,"25.203,47","4,62"
13 Comunidad de Madrid,Ambos sexos,2021,"24.090,61","3,7"
13 Comunidad de Madrid,Ambos sexos,2020,"23.231,04","4,35"
13 Comunidad de Madrid,Ambos sexos,2019,"22.262,74","3,65"
13 Comunidad de Madrid,Ambos sexos,2018,"21.477,88","-0,6"
13 Comunidad de Madrid,Ambos sexos,2017,"21.608,08","2,09"
13 Comunidad de Madrid,Ambos sexos,2016,"21.165,00","-0,67"
13 Comunidad de Madrid,Ambos sexos,2015,"21.307,78","-1,26"
13 Comunidad de Madrid,Ambos sexos,2014,"21.579,38","1,44"
13 Comunidad de Madrid,Ambos sexos,2013,"21.273,89","-0,68"
13 Comunidad de Madrid,Ambos sexos,2012,"21.418,48","1,77"
13 Comunidad de Madrid,Ambos sexos,2011,"21.045,69","-1,28"
13 Comunidad de Madrid,Ambos sexos,2010,"21.319,25","2,93"
13 Comunidad de Madrid,Ambos sexos,2009,"20.712,42","2,18"
13 Comunidad de Madrid,Ambos sexos,2008,"20.269,59",
13 Comunidad de Madrid,Mujeres,2022,"22.898,14","4,95"
13 Comunidad de Madrid,Mujeres,2021,"21.818,13","3,54"
13 Comunidad de Madrid,Mujeres,2020,"21.072,14","4,41"
13 Comunidad de Madrid,Mujeres,2019,"20.182,37","5,97"
13 Comunidad de Madrid,Mujeres,2018,"19.044,86","-1,67"
13 Comunidad de Madrid,Mujeres,2017,"19.368,41","2,9"
13 Comunidad de Madrid,Mujeres,2016,"18.823,19","-1,68"
13 Comunidad de Madrid,Mujeres,2015,"19.145,00","0,06"
13 Comunidad de Madrid,Mujeres,2014,"19.133,47","2,94"
13 Comunidad de Madrid,Mujeres,2013,"18.587,64","-0,04"
13 Comunidad de Madrid,Mujeres,2012,"18.595,78","0,8"
13 Comunidad de Madrid,Mujeres,2011,"18.448,38","-1,81"
13 Comunidad de Madrid,Mujeres,2010,"18.788,20","5,28"
13 Comunidad de Madrid,Mujeres,2009,"17.845,57","1,79"
13 Comunidad de Madrid,Mujeres,2008,"17.532,26",
13 Comunidad de Madrid,Hombres,2022,"27.110,00","2,31"
13 Comunidad de Madrid,Hombres,2021,"26.497,78","4,4"
13 Comunidad de Madrid,Hombres,2020,"25.381,84","3,99"
13 Comunidad de Madrid,Hombres,2019,"24.408,73","3,07"
13 Comunidad de Madrid,Hombres,2018,"23.682,67","-0,09"
13 Comunidad de Madrid,Hombres,2017,"23.704,00","1,44"
13 Comunidad de Madrid,Hombres,2016,"23.368,24","-0,47"
13 Comunidad de Madrid,Hombres,2015,"23.478,83","-3,13"
13 Comunidad de Madrid,Hombres,2014,"24.238,32","0,99"
13 Comunidad de Madrid,Hombres,2013,"24.000,06","-0,74"
13 Comunidad de Madrid,Hombres,2012,"24.178,37","1,78"
13 Comunidad de Madrid,Hombres,2011,"23.755,20","0,39"
13 Comunidad de Madrid,Hombres,2010,"23.662,92","0,58"
13 Comunidad de Madrid,Hombres,2009,"23.526,93","3,95"
13 Comunidad de Madrid,Hombres,2008,"22.633,84",
14 Región de Murcia,Ambos sexos,2022,"19.903,52","1,81"
14 Región de Murcia,Ambos sexos,2021,"19.550,44","0,89"
14 Región de Murcia,Ambos sexos,2020,"19.377,52","4,63"
14 Región de Murcia,Ambos sexos,2019,"18.519,90","-0,65"
14 Región de Murcia,Ambos sexos,2018,"18.641,49","3,54"
14 Región de Murcia,Ambos sexos,2017,"18.004,27","2,58"
14 Región de Murcia,Ambos sexos,2016,"17.551,80","-0,67"
14 Región de Murcia,Ambos sexos,2015,"17.669,43","1,2"
14 Región de Murcia,Ambos sexos,2014,"17.459,44","0,33"
14 Región de Murcia,Ambos sexos,2013,"17.401,72","-1,41"
14 Región de Murcia,Ambos sexos,2012,"17.650,50","-0,75"
14 Región de Murcia,Ambos sexos,2011,"17.783,88","1,99"
14 Región de Murcia,Ambos sexos,2010,"17.436,29","1,12"
14 Región de Murcia,Ambos sexos,2009,"17.243,78","5,65"
14 Región de Murcia,Ambos sexos,2008,"16.321,96",
14 Región de Murcia,Mujeres,2022,"16.981,34","4,45"
14 Región de Murcia,Mujeres,2021,"16.257,09","1,01"
14 Región de Murcia,Mujeres,2020,"16.093,74","3,18"
14 Región de Murcia,Mujeres,2019,"15.598,40","0,65"
14 Región de Murcia,Mujeres,2018,"15.498,24","4,69"
14 Región de Murcia,Mujeres,2017,"14.803,44","2,54"
14 Región de Murcia,Mujeres,2016,"14.437,37",1
14 Región de Murcia,Mujeres,2015,"14.294,84","0,18"
14 Región de Murcia,Mujeres,2014,"14.269,14","1,52"
14 Región de Murcia,Mujeres,2013,"14.055,89","-4,91"
14 Región de Murcia,Mujeres,2012,"14.781,92","-3,36"
14 Región de Murcia,Mujeres,2011,"15.296,02","5,04"
14 Región de Murcia,Mujeres,2010,"14.562,50","2,99"
14 Región de Murcia,Mujeres,2009,"14.140,00","3,77"
14 Región de Murcia,Mujeres,2008,"13.626,31",
14 Región de Murcia,Hombres,2022,"21.555,29","1,46"
14 Región de Murcia,Hombres,2021,"21.244,88","0,48"
14 Región de Murcia,Hombres,2020,"21.142,41","4,75"
14 Región de Murcia,Hombres,2019,"20.183,28","0,68"
14 Región de Murcia,Hombres,2018,"20.046,05","0,15"
14 Región de Murcia,Hombres,2017,"20.015,75","2,29"
14 Región de Murcia,Hombres,2016,"19.568,38","0,43"
14 Región de Murcia,Hombres,2015,"19.485,36","0,4"
14 Región de Murcia,Hombres,2014,"19.407,09","-0,12"
14 Región de Murcia,Hombres,2013,"19.430,90","0,9"
14 Región de Murcia,Hombres,2012,"19.258,53","0,54"
14 Región de Murcia,Hombres,2011,"19.155,10","-0,97"
14 Región de Murcia,Hombres,2010,"19.343,50","4,12"
14 Región de Murcia,Hombres,2009,"18.578,36","5,54"
14 Región de Murcia,Hombres,2008,"17.602,94",
15 Comunidad Foral de Navarra,Ambos sexos,2022,"26.334,35","2,84"
15 Comunidad Foral de Navarra,Ambos sexos,2021,"25.606,09","1,56"
15 Comunidad Foral de Navarra,Ambos sexos,2020,"25.211,89","0,94"
15 Comunidad Foral de Navarra,Ambos sexos,2019,"24.978,02","5,83"
15 Comunidad Foral de Navarra,Ambos sexos,2018,"23.602,88","0,65"
15 Comunidad Foral de Navarra,Ambos sexos,2017,"23.450,74","3,86"
15 Comunidad Foral de Navarra,Ambos sexos,2016,"22.578,20","0,69"
15 Comunidad Foral de Navarra,Ambos sexos,2015,"22.423,62","0,74"
15 Comunidad Foral de Navarra,Ambos sexos,2014,"22.258,27","4,2"
15 Comunidad Foral de Navarra,Ambos sexos,2013,"21.360,90","-0,54"
15 Comunidad Foral de Navarra,Ambos sexos,2012,"21.476,76","-4,6"
15 Comunidad Foral de Navarra,Ambos sexos,2011,"22.511,40","4,06"
15 Comunidad Foral de Navarra,Ambos sexos,2010,"21.633,28","0,7"
15 Comunidad Foral de Navarra,Ambos sexos,2009,"21.482,41","0,53"
15 Comunidad Foral de Navarra,Ambos sexos,2008,"21.369,54",
15 Comunidad Foral de Navarra,Mujeres,2022,"23.484,97","4,7"
15 Comunidad Foral de Navarra,Mujeres,2021,"22.431,68","2,61"
15 Comunidad Foral de Navarra,Mujeres,2020,"21.861,92","-0,48"
15 Comunidad Foral de Navarra,Mujeres,2019,"21.967,08","6,99"
15 Comunidad Foral de Navarra,Mujeres,2018,"20.530,96",4
15 Comunidad Foral de Navarra,Mujeres,2017,"19.740,36","3,85"
15 Comunidad Foral de Navarra,Mujeres,2016,"19.009,17","2,21"
15 Comunidad Foral de Navarra,Mujeres,2015,"18.597,38","3,05"
15 Comunidad Foral de Navarra,Mujeres,2014,"18.047,26","2,15"
15 Comunidad Foral de Navarra,Mujeres,2013,"17.667,60","-0,78"
15 Comunidad Foral de Navarra,Mujeres,2012,"17.807,06","-3,64"
15 Comunidad Foral de Navarra,Mujeres,2011,"18.480,46","1,61"
15 Comunidad Foral de Navarra,Mujeres,2010,"18.188,13","1,42"
15 Comunidad Foral de Navarra,Mujeres,2009,"17.933,01","5,03"
15 Comunidad Foral de Navarra,Mujeres,2008,"17.073,42",
15 Comunidad Foral de Navarra,Hombres,2022,"28.806,88","2,33"
15 Comunidad Foral de Navarra,Hombres,2021,"28.151,09","1,4"
15 Comunidad Foral de Navarra,Hombres,2020,"27.762,48","1,74"
15 Comunidad Foral de Navarra,Hombres,2019,"27.288,27","1,65"
15 Comunidad Foral de Navarra,Hombres,2018,"26.845,99","0,19"
15 Comunidad Foral de Navarra,Hombres,2017,"26.794,06","1,79"
15 Comunidad Foral de Navarra,Hombres,2016,"26.322,04","0,7"
15 Comunidad Foral de Navarra,Hombres,2015,"26.137,94","0,92"
15 Comunidad Foral de Navarra,Hombres,2014,"25.900,32","0,65"
15 Comunidad Foral de Navarra,Hombres,2013,"25.734,01","1,31"
15 Comunidad Foral de Navarra,Hombres,2012,"25.401,59","-1,81"
15 Comunidad Foral de Navarra,Hombres,2011,"25.869,34","4,74"
15 Comunidad Foral de Navarra,Hombres,2010,"24.699,19","0,81"
15 Comunidad Foral de Navarra,Hombres,2009,"24.499,72","-1,94"
15 Comunidad Foral de Navarra,Hombres,2008,"24.983,72",
16 País Vasco,Ambos sexos,2022,"28.857,03","3,49"
16 País Vasco,Ambos sexos,2021,"27.884,00","4,09"
16 País Vasco,Ambos sexos,2020,"26.788,95","2,62"
16 País Vasco,Ambos sexos,2019,"26.104,00","2,66"
16 País Vasco,Ambos sexos,2018,"25.427,64","-0,61"
16 País Vasco,Ambos sexos,2017,"25.584,00","2,59"
16 País Vasco,Ambos sexos,2016,"24.939,00","-0,92"
16 País Vasco,Ambos sexos,2015,"25.171,70","-1,68"
16 País Vasco,Ambos sexos,2014,"25.600,93","7,89"
16 País Vasco,Ambos sexos,2013,"23.728,74","-1,02"
16 País Vasco,Ambos sexos,2012,"23.974,14","-0,92"
16 País Vasco,Ambos sexos,2011,"24.197,46","1,67"
16 País Vasco,Ambos sexos,2010,"23.799,14","-0,24"
16 País Vasco,Ambos sexos,2009,"23.855,99","3,08"
16 País Vasco,Ambos sexos,2008,"23.143,68",
16 País Vasco,Mujeres,2022,"24.911,92","2,45"
16 País Vasco,Mujeres,2021,"24.316,65","3,19"
16 País Vasco,Mujeres,2020,"23.566,00","4,75"
16 País Vasco,Mujeres,2019,"22.498,00","7,47"
16 País Vasco,Mujeres,2018,"20.933,65","-1,45"
16 País Vasco,Mujeres,2017,"21.242,12","3,8"
16 País Vasco,Mujeres,2016,"20.464,68","-0,19"
16 País Vasco,Mujeres,2015,"20.504,00",-4
16 País Vasco,Mujeres,2014,"21.358,92","9,1"
16 País Vasco,Mujeres,2013,"19.576,90","-0,32"
16 País Vasco,Mujeres,2012,"19.640,00","-0,34"
16 País Vasco,Mujeres,2011,"19.707,94","1,34"
16 País Vasco,Mujeres,2010,"19.447,42","0,13"
16 País Vasco,Mujeres,2009,"19.422,02","3,45"
16 País Vasco,Mujeres,2008,"18.774,61",
16 País Vasco,Hombres,2022,"31.877,52","3,84"
16 País Vasco,Hombres,2021,"30.698,57","2,82"
16 País Vasco,Hombres,2020,"29.858,00","1,77"
16 País Vasco,Hombres,2019,"29.339,67","1,44"
16 País Vasco,Hombres,2018,"28.922,30","-0,36"
16 País Vasco,Hombres,2017,"29.027,07","2,14"
16 País Vasco,Hombres,2016,"28.419,15","-0,39"
16 País Vasco,Hombres,2015,"28.529,00","-0,94"
16 País Vasco,Hombres,2014,"28.799,94","5,06"
16 País Vasco,Hombres,2013,"27.412,35","-1,74"
16 País Vasco,Hombres,2012,"27.896,60","1,48"
16 País Vasco,Hombres,2011,"27.488,70","1,34"
16 País Vasco,Hombres,2010,"27.126,19","3,26"
16 País Vasco,Hombres,2009,"26.269,99","1,57"
16 País Vasco,Hombres,2008,"25.863,81",
17 La Rioja,Ambos sexos,2022,"22.041,59","5,31"
17 La Rioja,Ambos sexos,2021,"20.930,21","2,44"
17 La Rioja,Ambos sexos,2020,"20.432,36","2,45"
17 La Rioja,Ambos sexos,2019,"19.944,00","-0,26"
17 La Rioja,Ambos sexos,2018,"19.995,84","2,34"
17 La Rioja,Ambos sexos,2017,"19.539,48","0,16"
17 La Rioja,Ambos sexos,2016,"19.507,74","1,94"
17 La Rioja,Ambos sexos,2015,"19.136,19","0,46"
17 La Rioja,Ambos sexos,2014,"19.049,29","7,23"
17 La Rioja,Ambos sexos,2013,"17.764,74","-0,74"
17 La Rioja,Ambos sexos,2012,"17.897,06","-3,86"
17 La Rioja,Ambos sexos,2011,"18.615,48","-0,09"
17 La Rioja,Ambos sexos,2010,"18.632,33","0,37"
17 La Rioja,Ambos sexos,2009,"18.562,90","4,13"
17 La Rioja,Ambos sexos,2008,"17.826,90",
17 La Rioja,Mujeres,2022,"18.613,25","3,66"
17 La Rioja,Mujeres,2021,"17.955,65","5,24"
17 La Rioja,Mujeres,2020,"17.061,71","1,02"
17 La Rioja,Mujeres,2019,"16.888,67","0,57"
17 La Rioja,Mujeres,2018,"16.793,40","2,43"
17 La Rioja,Mujeres,2017,"16.395,19","-1,52"
17 La Rioja,Mujeres,2016,"16.648,52","1,87"
17 La Rioja,Mujeres,2015,"16.342,70","1,29"
17 La Rioja,Mujeres,2014,"16.134,60","5,32"
17 La Rioja,Mujeres,2013,"15.319,33","1,66"
17 La Rioja,Mujeres,2012,"15.069,41","-1,43"
17 La Rioja,Mujeres,2011,"15.288,72","-2,33"
17 La Rioja,Mujeres,2010,"15.653,58","-2,23"
17 La Rioja,Mujeres,2009,"16.011,14","3,63"
17 La Rioja,Mujeres,2008,"15.450,58",
17 La Rioja,Hombres,2022,"24.562,11","6,31"
17 La Rioja,Hombres,2021,"23.104,98","4,04"
17 La Rioja,Hombres,2020,"22.207,08","0,94"
17 La Rioja,Hombres,2019,"22.000,00","-1,49"
17 La Rioja,Hombres,2018,"22.332,89","3,71"
17 La Rioja,Hombres,2017,"21.534,49","0,93"
17 La Rioja,Hombres,2016,"21.335,07","-0,04"
17 La Rioja,Hombres,2015,"21.344,00","0,54"
17 La Rioja,Hombres,2014,"21.230,26","6,75"
17 La Rioja,Hombres,2013,"19.887,99","-1,69"
17 La Rioja,Hombres,2012,"20.229,41","-1,78"
17 La Rioja,Hombres,2011,"20.595,07","0,89"
17 La Rioja,Hombres,2010,"20.413,18","1,97"
17 La Rioja,Hombres,2009,"20.019,66","3,24"
17 La Rioja,Hombres,2008,"19.392,13",
00 Media Estatal,Ambos sexos,2023,"21631,77","-3,36"
00 Media Estatal,Ambos sexos,2024,"21862,38","1,07"
00 Media Estatal,Ambos sexos,2025,"22092,99","1,05"
00 Media Estatal,Mujeres,2023,"19145,46","-4,49"
00 Media Estatal,Mujeres,2024,"19376,43","1,21"
00 Media Estatal,Mujeres,2025,"19607,41","1,19"
00 Media Estatal,Hombres,2023,"23624,62","-2,53"
00 Media Estatal,Hombres,2024,"23842,22","0,92"
00 Media Estatal,Hombres,2025,"24059,81","0,91"
01 Andalucía,Ambos sexos,2023,"19360,18","-2,63"
01 Andalucía,Ambos sexos,2024,"19494,94","0,7"
01 Andalucía,Ambos sexos,2025,"19629,7","0,69"
01 Andalucía,Mujeres,2023,"16413,95","-7,23"
01 Andalucía,Mujeres,2024,"16513,47","0,61"
01 Andalucía,Mujeres,2025,"16612,98","0,6"
01 Andalucía,Hombres,2023,"21281,92","-0,45"
01 Andalucía,Hombres,2024,"21438,15","0,73"
01 Andalucía,Hombres,2025,"21594,39","0,73"
02 Aragón,Ambos sexos,2023,"21918,45","-3,59"
02 Aragón,Ambos sexos,2024,"22139,43","1,01"
02 Aragón,Ambos sexos,2025,"22360,41",1
02 Aragón,Mujeres,2023,"19024,91","-3,2"
02 Aragón,Mujeres,2024,"19279,75","1,34"
02 Aragón,Mujeres,2025,"19534,6","1,32"
02 Aragón,Hombres,2023,"24300,26","-4,34"
02 Aragón,Hombres,2024,"24487,84","0,77"
02 Aragón,Hombres,2025,"24675,42","0,77"
03 Principado de Asturias,Ambos sexos,2023,"22341,99","-2,87"
03 Principado de Asturias,Ambos sexos,2024,"22615,9","1,23"
03 Principado de Asturias,Ambos sexos,2025,"22889,81","1,21"
03 Principado de Asturias,Mujeres,2023,"18008,03","-5,58"
03 Principado de Asturias,Mujeres,2024,"18220,45","1,18"
03 Principado de Asturias,Mujeres,2025,"18432,86","1,17"
03 Principado de Asturias,Hombres,2023,"25784,86","-0,53"
03 Principado de Asturias,Hombres,2024,"26107,66","1,25"
03 Principado de Asturias,Hombres,2025,"26430,46","1,24"
04 Islas Baleares,Ambos sexos,2023,"21742,46","-6,02"
04 Islas Baleares,Ambos sexos,2024,"22068,5","1,5"
04 Islas Baleares,Ambos sexos,2025,"22394,53","1,48"
04 Islas Baleares,Mujeres,2023,"20623,86","-7,93"
04 Islas Baleares,Mujeres,2024,"20962,51","1,64"
04 Islas Baleares,Mujeres,2025,"21301,16","1,62"
04 Islas Baleares,Hombres,2023,"22601,59","-3,46"
04 Islas Baleares,Hombres,2024,"22879,2","1,23"
04 Islas Baleares,Hombres,2025,"23156,82","1,21"
05 Canarias,Ambos sexos,2023,"18506,17","-3,68"
05 Canarias,Ambos sexos,2024,"18696,03","1,03"
05 Canarias,Ambos sexos,2025,"18885,89","1,02"
05 Canarias,Mujeres,2023,"17687,32","-4,78"
05 Canarias,Mujeres,2024,"17925,86","1,35"
05 Canarias,Mujeres,2025,"18164,41","1,33"
05 Canarias,Hombres,2023,"19086,5","-3,13"
05 Canarias,Hombres,2024,"19243,25","0,82"
05 Canarias,Hombres,2025,"19399,99","0,81"
06 Cantabria,Ambos sexos,2023,"20936,14","-3,28"
06 Cantabria,Ambos sexos,2024,"21192,12","1,22"
06 Cantabria,Ambos sexos,2025,"21448,09","1,21"
06 Cantabria,Mujeres,2023,"18018,24","-2,91"
06 Cantabria,Mujeres,2024,"18291,79","1,52"
06 Cantabria,Mujeres,2025,"18565,35","1,5"
06 Cantabria,Hombres,2023,"22967,99","-3,29"
06 Cantabria,Hombres,2024,"23205,32","1,03"
06 Cantabria,Hombres,2025,"23442,64","1,02"
07 Castilla y León,Ambos sexos,2023,"20331,41","-1,67"
07 Castilla y León,Ambos sexos,2024,"20558,08","1,11"
07 Castilla y León,Ambos sexos,2025,"20784,76","1,1"
07 Castilla y León,Mujeres,2023,"17570,67","-3,28"
07 Castilla y León,Mujeres,2024,"17766,47","1,11"
07 Castilla y León,Mujeres,2025,"17962,27","1,1"
07 Castilla y León,Hombres,2023,"22483,5","-1,01"
07 Castilla y León,Hombres,2024,"22733,68","1,11"
07 Castilla y León,Hombres,2025,"22983,86","1,1"
08 Castilla-La Mancha,Ambos sexos,2023,"19744,26","-3,58"
08 Castilla-La Mancha,Ambos sexos,2024,"19952,4","1,05"
08 Castilla-La Mancha,Ambos sexos,2025,"20160,55","1,04"
08 Castilla-La Mancha,Mujeres,2023,"17312,61","-3,21"
08 Castilla-La Mancha,Mujeres,2024,"17490,86","1,03"
08 Castilla-La Mancha,Mujeres,2025,"17669,1","1,02"
08 Castilla-La Mancha,Hombres,2023,"21219,88","-3,55"
08 Castilla-La Mancha,Hombres,2024,"21445,93","1,07"
08 Castilla-La Mancha,Hombres,2025,"21671,98","1,05"
09 Cataluña,Ambos sexos,2023,"23854,86","-3,7"
09 Cataluña,Ambos sexos,2024,"24126,17","1,14"
09 Cataluña,Ambos sexos,2025,"24397,48","1,12"
09 Cataluña,Mujeres,2023,"20967,53","-2,94"
09 Cataluña,Mujeres,2024,"21239,61","1,3"
09 Cataluña,Mujeres,2025,"21511,69","1,28"
09 Cataluña,Hombres,2023,"26439,77","-3,54"
09 Cataluña,Hombres,2024,"26693,35","0,96"
09 Cataluña,Hombres,2025,"26946,92","0,95"
10 Comunidad Valenciana,Ambos sexos,2023,"19937,31",-4
10 Comunidad Valenciana,Ambos sexos,2024,"20135,42","0,99"
10 Comunidad Valenciana,Ambos sexos,2025,"20333,52","0,98"
10 Comunidad Valenciana,Mujeres,2023,"17181,53","-5,93"
10 Comunidad Valenciana,Mujeres,2024,"17349,22","0,98"
10 Comunidad Valenciana,Mujeres,2025,"17516,9","0,97"
10 Comunidad Valenciana,Hombres,2023,"21782,75","-3,19"
10 Comunidad Valenciana,Hombres,2024,"21979,39","0,9"
10 Comunidad Valenciana,Hombres,2025,"22176,02","0,89"
11 Extremadura,Ambos sexos,2023,"18236,61","-3,3"
11 Extremadura,Ambos sexos,2024,"18399,9","0,9"
11 Extremadura,Ambos sexos,2025,"18563,19","0,89"
11 Extremadura,Mujeres,2023,"16006,92","-7,84"
11 Extremadura,Mujeres,2024,"16126,63","0,75"
11 Extremadura,Mujeres,2025,"16246,35","0,74"
11 Extremadura,Hombres,2023,"19372,18","-0,39"
11 Extremadura,Hombres,2024,"19561,49","0,98"
11 Extremadura,Hombres,2025,"19750,8","0,97"
12 Galicia,Ambos sexos,2023,"20200,8","-1,45"
12 Galicia,Ambos sexos,2024,"20480,35","1,38"
12 Galicia,Ambos sexos,2025,"20759,91","1,36"
12 Galicia,Mujeres,2023,"17538,09","-3,45"
12 Galicia,Mujeres,2024,"17776,23","1,36"
12 Galicia,Mujeres,2025,"18014,38","1,34"
12 Galicia,Hombres,2023,"22420,55","-2,49"
12 Galicia,Hombres,2024,"22761,6","1,52"
12 Galicia,Hombres,2025,"23102,64","1,5"
13 Comunidad de Madrid,Ambos sexos,2023,"23854,8","-5,35"
13 Comunidad de Madrid,Ambos sexos,2024,"24103,61","1,04"
13 Comunidad de Madrid,Ambos sexos,2025,"24352,41","1,03"
13 Comunidad de Madrid,Mujeres,2023,"21771,78","-4,92"
13 Comunidad de Madrid,Mujeres,2024,"22065,89","1,35"
13 Comunidad de Madrid,Mujeres,2025,22360,"1,33"
13 Comunidad de Madrid,Hombres,2023,"25882,35","-4,53"
13 Comunidad de Madrid,Hombres,2024,"26087,42","0,79"
13 Comunidad de Madrid,Hombres,2025,"26292,48","0,79"
14 Región de Murcia,Ambos sexos,2023,"19629,58","-1,38"
14 Región de Murcia,Ambos sexos,2024,"19828,98","1,02"
14 Región de Murcia,Ambos sexos,2025,"20028,38","1,01"
14 Región de Murcia,Mujeres,2023,"16375,91","-3,57"
14 Región de Murcia,Mujeres,2024,"16550,43","1,07"
14 Región de Murcia,Mujeres,2025,"16724,96","1,05"
14 Región de Murcia,Hombres,2023,"21462,13","-0,43"
14 Región de Murcia,Hombres,2024,"21678,08","1,01"
14 Región de Murcia,Hombres,2025,"21894,04",1
15 Comunidad Foral de Navarra,Ambos sexos,2023,"25889,03","-1,69"
15 Comunidad Foral de Navarra,Ambos sexos,2024,"26239,51","1,35"
15 Comunidad Foral de Navarra,Ambos sexos,2025,"26589,98","1,34"
15 Comunidad Foral de Navarra,Mujeres,2023,"22877,58","-2,59"
15 Comunidad Foral de Navarra,Mujeres,2024,"23297,1","1,83"
15 Comunidad Foral de Navarra,Mujeres,2025,"23716,63","1,8"
15 Comunidad Foral de Navarra,Hombres,2023,"28533,23","-0,95"
15 Comunidad Foral de Navarra,Hombres,2024,"28806,58","0,96"
15 Comunidad Foral de Navarra,Hombres,2025,"29079,93","0,95"
16 País Vasco,Ambos sexos,2023,"27960,31","-3,11"
16 País Vasco,Ambos sexos,2024,"28296,54","1,2"
16 País Vasco,Ambos sexos,2025,"28632,78","1,19"
16 País Vasco,Mujeres,2023,"24245,25","-2,68"
16 País Vasco,Mujeres,2024,"24639,54","1,63"
16 País Vasco,Mujeres,2025,"25033,82","1,6"
16 País Vasco,Hombres,2023,"31234,96","-2,02"
16 País Vasco,Hombres,2024,"31576,59","1,09"
16 País Vasco,Hombres,2025,"31918,21","1,08"
17 La Rioja,Ambos sexos,2023,"21277,22","-3,47"
17 La Rioja,Ambos sexos,2024,"21521,24","1,15"
17 La Rioja,Ambos sexos,2025,"21765,26","1,13"
17 La Rioja,Mujeres,2023,"17948,92","-3,57"
