ccaa;ccaa_cod;periodo;genero;origen;avs_65;mort_cancer;mort_cardio;mort_diabetes;mort_ictus;mort_epoc;mort_evitable_idx;mort_evitable_idx_0_100;reingresos_psiq;poblacion_total
Aragón;02;2001;mujeres;real;NA;95,36;14,89;6,46;17,66;2,91;0,65;11,87;9,39;607870
Aragón;02;2002;hombres;real;NA;197,94;57,47;7,67;26,13;17,13;1,44;37,85;11,51;598069
Aragón;02;2002;mujeres;real;NA;98,48;14,81;4,60;12,64;2,50;0,55;8,64;8,72;611819
Aragón;02;2003;hombres;real;NA;200,78;54,20;5,17;26,57;17,96;1,38;35,94;9,26;604712
Aragón;02;2003;mujeres;real;NA;96,55;12,76;5,45;13,73;2,67;0,57;9,30;11,26;617784
Aragón;02;2004;hombres;real;NA;210,26;56,07;7,06;23,41;12,15;1,33;34,18;12,79;612243
Aragón;02;2004;mujeres;real;NA;92,92;13,39;4,77;13,13;3,58;0,56;8,94;12,47;623939
Aragón;02;2005;hombres;real;NA;191,37;51,82;6,57;20,76;16,96;1,31;33,66;12,68;620849
Aragón;02;2005;mujeres;real;NA;93,63;11,30;4,16;12,38;3,26;0,52;7,66;11,36;630327
Aragón;02;2006;hombres;real;17,32;195,18;54,57;5,25;25,96;15,73;1,33;34,27;11,29;629068
Aragón;02;2006;mujeres;real;19,47;89,46;11,06;3,81;13,57;2,09;0,50;6,79;11,14;636841
Aragón;02;2007;hombres;real;17,32;195,24;53,49;7,49;23,32;14,75;1,34;34,56;11,69;640328
Aragón;02;2007;mujeres;real;19,71;90,13;12,00;2,55;13,47;2,87;0,48;6,35;10,72;645957
Aragón;02;2008;hombres;real;17,49;180,25;43,70;8,18;22,79;10,92;1,20;30,07;11,64;651353
Aragón;02;2008;mujeres;real;20,03;82,53;11,67;4,60;12,71;3,30;0,52;7,53;10,68;655278
Aragón;02;2009;hombres;real;17,13;198,98;48,22;7,43;22,00;15,99;1,32;34,04;9,75;658250
Aragón;02;2009;mujeres;real;20,84;84,93;8,51;3,28;10,47;2,37;0,44;4,75;9,95;660686
Aragón;02;2010;hombres;real;17,47;199,89;41,94;5,15;18,25;12,66;1,14;27,95;9,70;652189
Aragón;02;2010;mujeres;real;21,18;97,97;8,27;3,75;10,96;3,31;0,49;6,61;8,69;660970
Aragón;02;2011;hombres;real;17,52;197,95;42,37;7,30;15,79;14,83;1,21;30,15;8,85;652007
Aragón;02;2011;mujeres;real;20,47;91,20;8,95;3,87;9,18;1,68;0,44;4,91;8,98;663520
Aragón;02;2012;hombres;real;17,55;195,17;36,16;5,74;16,10;12,07;1,08;26,07;10,29;649086
Aragón;02;2012;mujeres;real;20,67;90,17;9,75;3,54;7,11;2,22;0,42;4,36;9,04;662838
Aragón;02;2013;hombres;real;17,89;185,34;36,83;7,50;15,59;11,68;1,10;26,67;11,84;663295
Aragón;02;2013;mujeres;real;20,66;90,32;7,62;1,66;7,38;1,26;0,35;1,95;9,44;671212
Aragón;02;2014;hombres;real;17,84;181,68;40,43;6,77;13,71;11,88;1,08;26,00;9,43;659324
Aragón;02;2014;mujeres;real;20,12;90,76;7,94;3,66;7,71;2,75;0,43;4,65;8,21;669012
Aragón;02;2015;hombres;real;17,74;189,66;33,23;8,78;12,51;13,49;1,12;27,38;9,09;655188
Aragón;02;2015;mujeres;real;20,72;90,74;4,72;2,54;7,37;3,22;0,39;3,28;9,69;666542
Aragón;02;2016;hombres;real;18,67;189,06;35,99;4,38;16,25;12,51;1,04;24,81;7,56;651553
Aragón;02;2016;mujeres;real;22,13;94,13;7,79;1,51;7,40;3,64;0,40;3,43;8,49;665189
Aragón;02;2017;hombres;real;18,66;182,46;33,01;6,35;14,33;13,52;1,06;25,45;7,31;650322
Aragón;02;2017;mujeres;real;21,65;92,01;9,13;2,14;7,02;2,96;0,40;3,57;9,71;665391
Aragón;02;2018;hombres;real;18,73;174,61;34,41;5,43;11,47;11,40;0,97;22,34;8,68;649718
Aragón;02;2018;mujeres;real;21,69;83,82;7,98;2,43;8,50;3,05;0,40;3,62;9,36;666015
Aragón;02;2019;hombres;real;18,08;158,42;30,52;5,57;14,24;10,25;0,93;20,96;9,52;653769
Aragón;02;2019;mujeres;real;20,31;92,53;6,44;2,72;7,88;3,11;0,41;3,95;7,49;670509
Aragón;02;2020;hombres;real;16,79;169,08;35,32;6,18;11,33;11,81;0,99;22,97;9,41;657187
Aragón;02;2020;mujeres;real;18,56;87,04;6,21;2,36;8,30;3,45;0,40;3,60;8,84;673929
