"ccaa","codigo_ccaa","periodo","periodo_label","precio_alquiler_m2","fuente_url","fetched_at"
"Cataluña","09","2025","2025",18.76,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Cataluña","09","2026","2026",18.22,"idealista_historico_ccaa","2026-04-22T13:56:08.618983+00:00"
"Ceuta","18","2011","2011",10.97,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2012","2012",10.81,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2013","2013",10.21,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2014","2014",9.61,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2015","2015",9.69,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2016","2016",9.42,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2017","2017",9.67,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2018","2018",9.74,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2019","2019",8.72,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2023","2023",12.01,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2024","2024",12.02,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Ceuta","18","2025","2025",13.39,"idealista_historico_ccaa","2026-04-22T13:43:04.275032+00:00"
"Comunidad Valenciana","10","2006","2006",9.08,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2007","2007",8.06,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2008","2008",7.24,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2009","2009",6.54,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2010","2010",6.1,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2011","2011",5.74,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2012","2012",5.62,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2013","2013",5.3,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2014","2014",5.18,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2015","2015",5.27,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2016","2016",5.66,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2017","2017",6.08,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2018","2018",6.71,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2019","2019",7.18,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2020","2020",7.6,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2021","2021",7.58,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2022","2022",8.33,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2023","2023",9.61,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2024","2024",10.97,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2025","2025",12.15,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Comunidad Valenciana","10","2026","2026",12.85,"idealista_historico_ccaa","2026-04-22T13:39:35.057895+00:00"
"Extremadura","11","2009","2009",5.34,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2010","2010",4.94,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2011","2011",4.84,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2012","2012",4.83,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2013","2013",4.54,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2014","2014",4.36,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2015","2015",4.29,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2016","2016",4.39,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2017","2017",4.64,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2018","2018",4.76,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2019","2019",5.02,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2020","2020",5.14,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2021","2021",5.39,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2022","2022",5.65,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2023","2023",6.06,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2024","2024",6.81,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2025","2025",7.15,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Extremadura","11","2026","2026",7.42,"idealista_historico_ccaa","2026-04-22T13:49:27.177024+00:00"
"Galicia","12","2007","2007",8.83,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2008","2008",8.39,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2009","2009",7.58,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2010","2010",6.8,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2011","2011",6.36,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2012","2012",6.17,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2013","2013",5.66,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2014","2014",5.58,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2015","2015",5.49,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2016","2016",5.48,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2017","2017",5.63,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2018","2018",5.96,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2019","2019",6.41,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2020","2020",6.85,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2021","2021",7.12,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2022","2022",7.39,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2023","2023",7.92,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2024","2024",8.73,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2025","2025",9.32,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"Galicia","12","2026","2026",9.62,"idealista_historico_ccaa","2026-04-22T13:42:01.32436+00:00"
"La Rioja","26","2010","2010",6.41,"idealista_historico_ccaa","2026-04-22T13:38:14.492471+00:00"
"La Rioja","26","2011","2011",5.98,"idealista_historico_ccaa","2026-04-22T13:38:14.492471+00:00"
"La Rioja","26","2012","2012",5.97,"idealista_historico_ccaa","2026-04-22T13:38:14.492471+00:00"
"La Rioja","26","2013","2013",5.44,"idealista_historico_ccaa","2026-04-22T13:38:14.492471+00:00"
"La Rioja","26","2014","2014",5.1,"idealista_historico_ccaa","2026-04-22T13:38:14.492471+00:00"
"La Rioja","26","2015","2015",5.1,"idealista_historico_ccaa","2026-04-22T13:38:14.492471+00:00"
