ccaa;genero;periodo;t_mental;antidep_ajustado;hipno_ajustado;suicidios;censo;origen;brecha_rel;n_personas_tm;antidep_anual_total;hipno_anual_total;n_suicidios
Canarias;hombres;2017;15,01000000000000;42,1761669830519;26,1201344033650;NA;1051497,000000000;real;42,4838103996628;157830;16187061;10024814;NA
Canarias;mujeres;2017;26,09700000000000;104,4822513722720;64,7069338877230;NA;1066312,000000000;real;42,4838103996628;278275;40664898;25184190;NA
Canarias;total;2017;20,59227920648179;73,3292091776620;45,4135341455440;NA;2117810,000000000;real;42,4838103996628;436105;56683526;35104691;NA
Canarias;hombres;2018;15,78200000000000;44,4543408015453;25,8748167636483;14,18100000000000;1059262,000000000;real;41,8967675428908;167173;17187410;10003997;150
Canarias;mujeres;2018;27,16200000000000;108,5641365589379;63,1901652328306;3,53800000000000;1076150,000000000;real;41,8967675428908;292304;42643423;24820765;38
Canarias;total;2018;21,51699961599916;76,5092386802416;44,5324909982394;8,82000000000000;2135412,000000000;real;41,8967675428908;459477;59633242;34709754;188
Canarias;hombres;2019;17,13100000000000;47,3508092884510;25,9129119941641;14,98700000000000;1069752,000000000;real;40,8337362713269;183259;18488572;10117942;160
Canarias;mujeres;2019;28,95400000000000;112,7093544075165;61,6806264891734;2,85900000000000;1088429,000000000;real;40,8337362713269;315144;44776787;24504269;31
Canarias;total;2019;23,09365839936502;80,0300818479838;43,7967692416688;8,87300000000000;2158180,000000000;real;40,8337362713269;498403;63042553;34500279;191
Canarias;hombres;2020;18,72500000000000;51,7354413369154;26,9366126641002;14,30100000000000;1078587,000000000;real;39,6629503125604;201965;20367429;10604520;154
Canarias;mujeres;2020;31,03400000000000;119,7526960676062;62,3505261789102;4,32600000000000;1099737,000000000;real;39,6629503125604;341292;48069212;25027751;48
Canarias;total;2020;24,93925588342230;85,7440687022608;44,6435694215052;9,26700000000000;2178324,000000000;real;39,6629503125604;543258;68174102;35495578;202
Canarias;hombres;2021;20,14500000000000;56,5212558196986;28,5235582290601;15,68800000000000;1077329,000000000;real;39,0376758965048;217028;22225576;11216179;169
Canarias;mujeres;2021;33,04500000000000;128,9088656557982;65,0541019029121;5,53800000000000;1101108,000000000;real;39,0376758965048;363861;51809043;26145531;61
Canarias;total;2021;26,66540577716959;92,7150607377484;46,7888300659861;10,55600000000000;2178437,000000000;real;39,0376758965048;580889;73720480;37203179;230
Canarias;hombres;2022;21,03778896867773;60,2597747695927;28,9896771465105;16,56700000000000;1084387,000000000;real;39,3450747573037;228131;23850894;11474151;180
Canarias;mujeres;2022;34,68438693890067;138,4372791909140;66,5991873373385;4,76300000000000;1110164,000000000;real;39,3450747573037;385054;56096151;26986647;53
Canarias;total;2022;27,94123381412201;99,3485269802533;47,7944322419245;10,59400000000000;2194550,000000000;real;39,3450747573037;613184;79579238;38283854;232
Canarias;hombres;2023;22,32143276009122;63,8706860137928;28,7384870563099;16,92600000000000;1097104,000000000;real;38,6384023614102;244889;25576567;11508125;186
Canarias;mujeres;2023;36,37687677488609;144,3073552099093;64,9308050164783;4,88000000000000;1124898,000000000;real;38,6384023614102;409203;59250835;26659794;55
Canarias;total;2023;29,43706130648980;104,0890206118511;46,8346460363941;10,82700000000000;2222002,000000000;real;38,6384023614102;654092;84419394;37984337;241
Canarias;hombres;2024;23,42907603609991;67,4815972579930;29,4126208924608;14,68600000000000;1108717,000000000;proyeccion;38,4689911579742;259762;27308568;11902750;163
Canarias;mujeres;2024;38,07685990693169;150,1774312289046;64,9308050164783;5,53200000000000;1137032,000000000;proyeccion;38,4689911579742;432946;62326139;26947367;63
Canarias;total;2024;30,79217830841504;110,8048981967354;45,5576434621700;10,05000000000000;2245750,000000000;proyeccion;38,4689911579742;691515;90826637;37343543;226
Canarias;hombres;2025;24,53671931210860;71,0925085021932;30,0867547286118;15,33371428571428;1120330,000000000;proyeccion;38,1470248643385;274892;29071181;12303089;172
Canarias;mujeres;2025;39,66942456412562;156,0475072478999;64,9308050164783;5,53200000000000;1149166,000000000;proyeccion;38,1470248643385;455868;65453439;27234940;64
Canarias;total;2025;32,14729531034027;117,5207757816198;45,2452286197595;10,05000000000000;2259793,428571492;proyeccion;38,1470248643385;726462;96934027;37319378;227
Canarias;hombres;2026;25,64436258811729;74,7034197463934;30,7608885647627;15,33371428571428;1131943,000000000;proyeccion;37,8499120569127;290280;30864405;12709144;174
Canarias;mujeres;2026;41,26198922131955;161,9175832668952;64,9308050164783;5,53200000000000;1161300,000000001;proyeccion;37,8499120569127;479175;68632735;27522513;64
Canarias;total;2026;33,50241231226551;124,2366533665041;45,2452286197595;10,05000000000000;2273836,857142985;proyeccion;37,8499120569127;761790;103110267;37551298;229
Cantabria;total;2010;NA;64,2943565344605;41,8825313726964;NA;589060,000000000;real;NA;NA;13823730;9005033;NA
Cantabria;total;2011;NA;67,9683968294672;43,6025899032868;NA;591219,000000000;real;NA;NA;14667236;9409218;NA
Cantabria;total;2012;NA;68,9189624305102;44,9336533780920;NA;591604,000000000;real;NA;NA;14882048;9702769;NA
