ccaa_id3,ccaa,anio,pib_regional_eur,origen_pib,pib_lo,pib_hi,imp_social_total,pct_pib_social_total,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,pct_pib_sanidad,pct_pib_educacion,pct_pib_soberania,pct_pib_direccion,pct_pib_vivienda,pct_pib_empleo,pct_pib_idi,pct_pib_dependencia,pct_pib_discapacidad,pct_pib_salud_mental,pct_pib_diversidad,pct_pib_turismo,pct_pib_igualdad
ast,Asturias,2025,31206996480.0363,proyeccion,27108007600.9481,33916662624.1552,4779804625.0,15.3165,2446640883.0,1093294252.0,96062583.0,686320896.0,156632049.0,170516236.0,66721856.0,0.0,0.0,0.0,3429620.0,46161143.0,14025107.0,7.84,3.5034,0.3078,2.1993,0.5019,0.5464,0.2138,0.0,0.0,0.0,0.011,0.1479,0.0449
ast,Asturias,2026,32540503695.6435,proyeccion,27670306009.2581,36026462861.6494,5026153358.0,15.4458,2549313952.0,1178921574.0,98668088.0,705534258.0,187209040.0,171633689.0,65937175.0,0.0,0.0,0.0,3406440.0,49644246.0,15884896.0,7.8343,3.6229,0.3032,2.1682,0.5753,0.5274,0.2026,0.0,0.0,0.0,0.0105,0.1526,0.0488
bal,Baleares,2015,28653742000.0,real,,,2813485676.0,9.8189,1293305893.0,775802264.0,57579872.0,432841908.0,14903480.0,49930749.0,9642026.0,112865122.0,12561851.0,7737937.0,1773683.0,39767443.0,4773448.0,4.5136,2.7075,0.201,1.5106,0.052,0.1743,0.0337,0.3939,0.0438,0.027,0.0062,0.1388,0.0167
bal,Baleares,2016,30233284000.0,real,,,2974721401.0,9.8392,1370092639.0,817453988.0,51118398.0,454494817.0,12891087.0,59775360.0,11915305.0,129501729.0,14053433.0,7566414.0,2178344.0,38294520.0,5385367.0,4.5317,2.7038,0.1691,1.5033,0.0426,0.1977,0.0394,0.4283,0.0465,0.025,0.0072,0.1267,0.0178
bal,Baleares,2017,31746251000.0,real,,,3367657144.0,10.608,1473247771.0,883516262.0,53334795.0,618450464.0,19036281.0,85942112.0,13590027.0,136815763.0,16240099.0,2521219.0,17370552.0,41390816.0,6200983.0,4.6407,2.7831,0.168,1.9481,0.06,0.2707,0.0428,0.431,0.0512,0.0079,0.0547,0.1304,0.0195
bal,Baleares,2018,33185968000.0,real,,,2492067685.0,7.5094,1554338007.0,1006436.0,55322573.0,500471524.0,24334680.0,99221099.0,13485466.0,146065584.0,16882456.0,2323372.0,17588973.0,54392944.0,6634571.0,4.6837,0.003,0.1667,1.5081,0.0733,0.299,0.0406,0.4401,0.0509,0.007,0.053,0.1639,0.02
bal,Baleares,2019,34350576000.0,real,,,2686520997.0,7.8209,1706834266.0,1035250.0,67528611.0,545445407.0,35970375.0,111709104.0,13519148.0,135660688.0,18248384.0,2324612.0,22082418.0,16033288.0,10129446.0,4.9689,0.003,0.1966,1.5879,0.1047,0.3252,0.0394,0.3949,0.0531,0.0068,0.0643,0.0467,0.0295
bal,Baleares,2020,26669106000.0,real,,,2555185938.0,9.5811,1705436416.0,1012437.0,52546841.0,531659586.0,36153468.0,9802606.0,15325972.0,105929635.0,18110547.0,32562726.0,26254833.0,11889843.0,8501028.0,6.3948,0.0038,0.197,1.9935,0.1356,0.0368,0.0575,0.3972,0.0679,0.1221,0.0984,0.0446,0.0319
bal,Baleares,2021,30512146000.0,real,,,2821868221.0,9.2483,1760322500.0,1060454.0,48073143.0,645421941.0,30836903.0,92608872.0,11876077.0,127903857.0,19763199.0,29895936.0,26566035.0,19008508.0,8530796.0,5.7693,0.0035,0.1576,2.1153,0.1011,0.3035,0.0389,0.4192,0.0648,0.098,0.0871,0.0623,0.028
bal,Baleares,2022,37189162000.0,real,,,4430897811.0,11.9145,1938048858.0,1136369323.0,56493886.0,796748738.0,31024958.0,137930119.0,24393308.0,174166170.0,21738027.0,49146561.0,32660190.0,22573011.0,9604662.0,5.2113,3.0556,0.1519,2.1424,0.0834,0.3709,0.0656,0.4683,0.0585,0.1322,0.0878,0.0607,0.0258
