ccaa,anio,ok,filas,motor,error
can,2024,True,140,can-tomo3-resumen-programas+can-transform,
can,2025,True,141,can-tomo3-resumen-programas+can-transform,
can,2026,True,143,can-tomo3-resumen-programas+can-transform,
cat,2015,True,96,cat-programa-generalitat-suma+cat-transform,
cat,2016,True,94,cat-programa-generalitat-suma+cat-transform,
cat,2017,True,94,cat-programa-generalitat-suma+cat-transform,
cat,2018,True,94,cat-programa-generalitat-suma+cat-transform,
cat,2019,True,97,cat-programa-generalitat-suma+cat-transform,
cat,2020,True,97,cat-programa-generalitat-suma+cat-transform,
cat,2021,True,97,cat-programa-generalitat-suma+cat-transform,
cat,2022,True,99,cat-programa-generalitat-suma+cat-transform,
cat,2023,True,99,cat-programa-generalitat-suma+cat-transform,
cat,2024,True,99,cat-programa-generalitat-suma+cat-transform,
cat,2025,True,99,cat-programa-generalitat-suma+cat-transform,
cat,2026,True,101,cat-programa-generalitat-suma+cat-transform,
clm,2015,True,99,clm-gastosf-csv+clm-transform,
clm,2016,True,99,clm-gastosf-csv+clm-transform,
clm,2017,True,98,clm-gastosf-csv+clm-transform,
clm,2018,True,98,clm-gastosf-csv+clm-transform,
clm,2019,True,99,clm-gastosf-csv+clm-transform,
clm,2020,True,100,clm-gastosf-csv+clm-transform,
clm,2021,True,101,clm-gastosf-csv+clm-transform,
clm,2022,True,111,clm-tomo-I-resumen-secciones+clm-transform,
clm,2023,True,114,clm-tomo-I-resumen-secciones+clm-transform,
clm,2024,True,114,clm-tomo-I-resumen-secciones+clm-transform,
clm,2025,True,113,clm-tomo-I-resumen-secciones+clm-transform,
clm,2026,True,113,clm-tomo-I-resumen-secciones+clm-transform,
cnt,2015,True,86,cnt-centros-suma-capitulos+cnt-transform,
cnt,2016,True,87,cnt-centros-suma-capitulos+cnt-transform,
cnt,2017,True,87,cnt-centros-suma-capitulos+cnt-transform,
cnt,2018,True,85,cnt-total-programa-suma-servicios+cnt-transform,
cnt,2019,True,86,cnt-total-programa-suma-servicios+cnt-transform,
cnt,2020,True,90,cnt-total-programa-suma-servicios+cnt-transform,
cnt,2021,True,90,cnt-total-programa-suma-servicios+cnt-transform,
cnt,2022,True,95,cnt-total-programa-suma-servicios+cnt-transform,
cnt,2023,True,91,cnt-total-programa-suma-servicios+cnt-transform,
cnt,2024,True,89,cnt-total-programa-suma-servicios+cnt-transform,
cnt,2025,True,88,cnt-total-programa-suma-servicios+cnt-transform,
cnt,2026,True,91,cnt-total-programa-suma-servicios+cnt-transform,
cym,2015,True,104,cym-bocyl-territorial+cym-transform,
cym,2016,True,103,cym-jcyl-datosabiertos+cym-transform,
cym,2017,True,102,cym-jcyl-datosabiertos+cym-transform,
cym,2018,True,102,cym-jcyl-datosabiertos+cym-transform,
cym,2019,True,102,cym-jcyl-datosabiertos+cym-transform,
cym,2020,True,102,cym-jcyl-datosabiertos+cym-transform,
cym,2021,True,104,cym-jcyl-datosabiertos+cym-transform,
cym,2022,True,104,cym-jcyl-datosabiertos+cym-transform,
cym,2023,True,107,cym-jcyl-datosabiertos+cym-transform,
cym,2024,True,104,cym-jcyl-datosabiertos+cym-transform,
cym,2025,True,103,cym-jcyl-datosabiertos+cym-transform,
cym,2026,True,103,cym-jcyl-datosabiertos+cym-transform,
ext,2015,True,78,ext-doe-resumen-programa+ext-transform,
ext,2016,True,77,ext-doe-resumen-programa+ext-transform,
ext,2017,True,77,ext-doe-resumen-programa+ext-transform,
ext,2018,True,77,ext-doe-resumen-programa+ext-transform,
ext,2019,True,77,ext-doe-resumen-programa+ext-transform,
ext,2020,True,80,ext-doe-resumen-programa+ext-transform,
ext,2021,True,80,ext-doe-resumen-programa+ext-transform,
ext,2022,True,79,ext-doe-resumen-programa+ext-transform,
ext,2023,True,81,ext-doe-resumen-programa+ext-transform,
ext,2024,True,79,ext-doe-resumen-programa+ext-transform,
ext,2025,True,79,ext-doe-resumen-programa+ext-transform,
ext,2026,True,79,ext-doe-resumen-programa+ext-transform,
gal,2015,True,107,gal-progr-consellerias-ruleC+gal-transform,
gal,2016,True,108,gal-progr-consellerias-ruleC+gal-transform,
gal,2017,True,108,gal-progr-consellerias-ruleC+gal-transform,
gal,2018,True,108,gal-progr-consellerias-ruleC+gal-transform,
gal,2019,True,107,gal-progr-consellerias-ruleC+gal-transform,
gal,2020,True,107,gal-progr-consellerias-ruleC+gal-transform,
gal,2021,True,107,gal-progr-consellerias-ruleC+gal-transform,
gal,2022,True,41,gal-csv-abertos-xunta+gal-transform,
gal,2023,True,42,gal-csv-abertos-xunta+gal-transform,
gal,2024,True,43,gal-csv-abertos-xunta+gal-transform,
gal,2025,True,47,gal-csv-abertos-xunta+gal-transform,
gal,2026,True,47,gal-csv-abertos-xunta+gal-transform,
lar,2015,True,69,lar-resumen-programas-invertido+lar-transform,
lar,2016,True,70,lar-resumen-programas-pdfplumber+lar-transform,
lar,2017,True,74,lar-resumen-programas-pdfplumber+lar-transform,
lar,2018,True,53,lar-detalle-organico-programas+lar-transform,
lar,2019,True,73,lar-pdfplumber-funcional-economico+lar-transform,
lar,2020,True,76,lar-informe-resumen-funcional+lar-transform,
lar,2021,True,81,lar-pdfplumber-funcional-economico+lar-transform,
lar,2022,True,64,lar-pdfplumber-funcional-economico+lar-transform,
lar,2023,True,62,lar-pdfplumber-funcional-economico+lar-transform,
lar,2024,True,76,lar-pdfplumber-funcional-economico+lar-transform,
lar,2025,True,58,lar-pdfplumber-funcional-economico+lar-transform,
lar,2026,True,60,lar-pdfplumber-funcional-economico+lar-transform,
mad,2015,True,82,mad-libro-03-centros+mad-transform,
mad,2016,True,73,mad-libro-03-centros+mad-transform,
mad,2017,True,73,mad-libro-03-centros+mad-transform,
mad,2018,True,76,mad-libro-03-centros+mad-transform,
mad,2019,True,80,mad-libro-03-centros+mad-transform,
mad,2020,True,80,mad-libro-03-centros+mad-transform,
mad,2021,True,80,mad-libro-03-centros+mad-transform,
mad,2022,True,89,mad-libro-03-centros+mad-transform,
mad,2023,True,89,mad-libro-03-centros+mad-transform,
mad,2024,True,87,mad-libro-03-centros+mad-transform,
mad,2025,True,88,mad-libro-03-centros+mad-transform,
mad,2026,True,88,mad-libro-03-centros+mad-transform,
mur,2015,True,150,mur-pdf-programas,
mur,2016,True,145,mur-html,
mur,2017,True,149,mur-html,
mur,2018,True,147,mur-html,
mur,2019,True,149,mur-html,
mur,2020,True,154,mur-html,
mur,2021,True,154,mur-html,
mur,2022,True,154,mur-html,
mur,2023,True,155,mur-html,
mur,2024,True,160,mur-html,
mur,2025,True,149,mur-html,
mur,2026,True,149,mur-html,
nav,2015,True,167,nav-breakdowns-functional+nav-transform,
nav,2016,True,168,nav-breakdowns-functional+nav-transform,
nav,2017,True,173,nav-breakdowns-functional+nav-transform,
nav,2018,True,172,nav-breakdowns-functional+nav-transform,
nav,2019,True,167,nav-breakdowns-functional+nav-transform,
nav,2020,True,170,nav-breakdowns-functional+nav-transform,
nav,2021,True,170,nav-breakdowns-functional+nav-transform,
nav,2022,True,170,nav-breakdowns-functional+nav-transform,
nav,2023,True,169,nav-breakdowns-functional+nav-transform,
nav,2024,True,167,nav-breakdowns-functional+nav-transform,
nav,2025,True,168,nav-breakdowns-functional+nav-transform,
nav,2026,True,167,nav-breakdowns-functional+nav-transform,
pvc,2015,True,105,pvc-gastosc-funcional+pvc-transform,
pvc,2016,True,106,pvc-gastosc-funcional+pvc-transform,
pvc,2017,True,108,pvc-gastosc-funcional+pvc-transform,
pvc,2018,True,109,pvc-gastosc-funcional+pvc-transform,
pvc,2019,True,110,pvc-gastosc-funcional+pvc-transform,
pvc,2020,True,110,pvc-gastosc-funcional+pvc-transform,
pvc,2021,True,112,pvc-gastosc-funcional+pvc-transform,
pvc,2022,True,113,pvc-csv-tidy+pvc-transform,
pvc,2023,True,113,pvc-csv-tidy+pvc-transform,
pvc,2024,True,114,pvc-csv-tidy+pvc-transform,
pvc,2025,True,119,pvc-csv-tidy+pvc-transform,
pvc,2026,True,119,pvc-csv-tidy+pvc-transform,
val,2015,True,122,val-rpc-secciones+val-transform,
val,2016,True,129,val-rpc-secciones+val-transform,
val,2017,True,128,val-rpc-secciones+val-transform,
val,2018,True,128,val-rpc-secciones+val-transform,
val,2019,True,131,val-rpc-secciones+val-transform,
val,2020,True,153,val-rpc-secciones+val-transform,
val,2021,True,154,val-rpc-secciones+val-transform,
val,2022,True,169,val-rpc-secciones+val-transform,
val,2023,True,174,val-rpc-secciones+val-transform,
val,2024,True,173,val-rpc-secciones+val-transform,
val,2025,True,174,val-rpc-secciones+val-transform,
val,2026,True,176,val-rpc-secciones+val-transform,
