anio,codigo,denominacion,seccion,n_lineas,importe_eur,en_staging,concepto_origen,concepto_modelo,concepto_memoria,score,margen,evidencia,objetivos
2017,42J,UNIVERSIDADES,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,9,1196495841.0,sí,educacion,educacion,,0,0,,"GARANTIZAR LA SUFICIENCIA DE LAS UNIVERSIDADES PÚBLICAS ANDALUZAS CON NIVELES ÓPTIMOS DE · FOMENTO DE LA MOVILIDAD ESTUDIANTI L · AUMENTAR LA VINCULACIÓN ENTRE LA UNIVERSIDAD Y EL MERCADO LABORAL · DIVULGACIÓN DEL CONOCIMIENTO · TRANSFERENCIAS DE FINANCIACIÓN A LAS UNIVERSIDADES PÚBLICAS ANDALUZAS PARA GASTOS · COMPLEMENTAR LAS BECAS ERASMUS GESTIONADAS POR EL MINISTERIO DE EDUCACIÓN, CULTURA Y · FOMENTAR LOS VINCULOS ENTRE UNIVERSIDAD Y EMPRESA · CONCESIÓN SUBVENCIONES A ACADEMIAS Y AGENTES DEL CONOCIMIENTO PARA GASTOS DE · TRANSFERENCIAS DE FINANCIACIÓN A LA AGENCIA ANDALUZA DEL CONOCIMIENTO"
2017,42J,UNIVERSIDADES,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,0,1196495841.0,sí,educacion,educacion,,0,0,,
2017,54A,INVESTIGACION CIENTIFICA E INNOVACION,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,15,339071879.0,sí,idi,idi,idi,41,41,DEN:INVESTIGACION CIENTIFICA×1; TRANSFERENCIA DE CONOCIMIENTO×1; DEN:INNOVACION×1; INVESTIGADOR×3,FOMENTAR LA INVESTIGACIÓN EN ANDALUCÍA · FACILITAR LA FORMACIÓN DE POSTGRADO INTERNACIONAL Y LA FORMACIÓN DE INVESTIGADORES · CONTRIBUIR A LA DETERMINACIÓN DE LOS RETOS SOCIALES ANDALUCES Y RESPONDER A RETOS DE OTRO · AUMENTAR LA TRANSFERENCIA DE CONOCIMIENTO · RENOVAR Y AUMENTAR EL NÚMERO Y USABILIDAD DE LAS INFRAESTRUCTURAS Y EQUIPAMIENTOS · RESERVA FINANCIACION PARA PROYECTOS DE INVESTIGACION LIDERADOS POR MUJERES · FINANCIAR LOS PROYECTOS DE INVESTIGACIÓN DE EXCELENCIA · FINANCIAR LA ACTIVIDAD DE CENTROS DE INVESTIGACIÓN · SELECCIONAR PERSONAL INVESTIGADOR Y FINANCIAR SU FORMACIÓN · ORIENT
2017,54A,INVESTIGACION CIENTIFICA E INNOVACION,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,0,339071879.0,sí,idi,idi,idi,24,24,DEN:INVESTIGACION CIENTIFICA×1; DEN:INNOVACION×1,
2017,61J,D.S.G. DE ECONOMIA Y CONOCIMIENTO,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,12,52380226.0,sí,,direccion,igualdad,6,6,CONCILIACION×2,"IMPULSAR GESTIÓN PRESUPUESTARIA Y GESTIÓN DEL GASTO CON CRITERIOS DE EFICACIA Y EFICIENCIA · ASESORAR JURÍDICAMENTE, COORDINAR E INFORMAR ACTIVIDADES NORMATIVAS, TRAMITAR RECURSOS, · COORDINAR ACTUACIONES DE FORMACIÓN Y CONCILIACIÓN FAMILIAR DEL PERSONAL DE LA CONSEJERÍA · PROVEER UN SERVICIO INTEGRAL TIC A LA CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO · SEGUIMIENTO Y CONTROL DEL PRESUPUESTO Y GESTIÓN DEL GASTO · TRAMITACIÓN RECURSOS, RESO.ADTIVAS. EXPTES. RESPONSOBALIDAD PATRIMONIAL, Y EXPTES. · ELABORACIÓN DE INFORMES JURÍDICOS Y TRAMITACIÓN DE NORMAS DE CARÁCTER GENERAL DE LA J.A. Y · CURSOS DE "
2017,61J,D.S.G. DE ECONOMIA Y CONOCIMIENTO,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,0,52380226.0,sí,,direccion,,0,0,,
2017,61J,D.S.G. DE ECONOMIA Y CONOCIMIENTO,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,0,52380226.0,sí,,direccion,,0,0,,
2017,61K,COORDINACION DE FONDOS EUROPEOS,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,10,19745541.0,sí,,direccion,,0,0,,"PROGRAMACIÓN, PRESUPUESTACIÓN, SEGUIMIENTO Y EVALUACIÓN DE LAS INTERVENCIONES · OPTIMIZACIÓN DE LA GESTIÓN DE LOS FONDOS EUROPEOS · ELABORACIÓN Y TRAMITACIÓN DE LOS DOCUMENTOS DE PROGRAMACIÓN/REPROGRAMACIÓN DE LAS · PRESUPUESTACIÓN DE LOS FONDOS EUROPEOS · ESTUDIO Y APROBACIÓN DE OPERACIONES A COFINANCIAR · ELABORACIÓN DE INFORMES DE SEGUIMIENTO Y EVALUACION Y PREPARACIÓN DE COMITÉS DE · COORDINACIÓN, INFORMACIÓN Y FORMACIÓN A GESTORES DE FONDOS EUROPEOS · GESTIÓN DE INGRESOS EN FASE PREVIA · VERIFICACIÓN DE OPERACIONES COFINANCIADAS Y TRAMITACIÓN DE SU DECLARACION DE GASTOS · COORDINACIÓN DE "
2017,61K,COORDINACION DE FONDOS EUROPEOS,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,0,19745541.0,sí,,direccion,,0,0,,
2017,72C,EMPRENDEDORES E INTERNAC. DE LA ECONOMIA ANDAL.,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,13,148386500.0,sí,,empleo,empleo,8,6,TRABAJO AUTONOMO×2,"PLANIFICAR, IMPULSAR Y COORDINAR LA POLÍTICA ECONÓMICA DEL GOBIERNO. · PROMOVER CULTURA, ACTITUD Y ACTIVIDAD EMPRENDEDORA ENTRE POBLAC ANDALUZA EN GENERAL Y · FOMENTAR LA CREACIÓN DE EMPRESAS, LA MEJORA SOCIO-LABORAL Y LA PROMOCIÓN DEL SECTOR · FOMENTO DE MEDIDAS DE IGUALDAD EN EL TRABAJO AUTÓNOMO Y LA POBLACIÓN EMPRENDEDORA · INCREMENTAR EL GRADO INTERNAC ECONOM ANDALUZA Y LAS EMPRESAS ANDALUZAS PARA CONTRIBUIR · ANÁLISIS Y ESTUDIOS SOCIOECONÓMICOS. · FOMENTO Y COORDINACIÓN DE LA PLANIFICACIÓN ECONÓMICA. · PROMOVER LA CULTURA, LA ACTITUD Y LAS PRÁCTICAS EMPRENDEDORAS EN EL SISTEMA EDUCATIVO ·"
2017,72C,EMPRENDEDORES E INTERNAC. DE LA ECONOMIA ANDAL.,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,0,148386500.0,sí,,empleo,,0,0,,
2017,72C,EMPRENDEDORES E INTERNAC. DE LA ECONOMIA ANDAL.,CONSEJERÍA DE ECONOMÍA Y CONOCIMIENTO,0,148386500.0,sí,,empleo,,0,0,,
2017,12A,MODERNIZACION Y GESTION DE LA FUNCION PUBLICA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,13,13580724.0,sí,direccion,direccion,,0,0,,"MEJORAR LA ATENCIÓN CIUDADANA, ACCESIBILIDAD Y CALIDAD DE LOS SERVICIOS PÚBLICOS · IMPULSAR LA CALIDAD NORMATIVA Y SIMPLIFICACIÓN ADMINISTRATIVA · PLANIFICAR LA ORGANIZACIÓN ADMINISTRATIVA Y SECTOR INSTRUMENTAL · ORDENACIÓN DEL EMPLEO PUBLICO DE ANDALUCÍA MEDIANTE INSTRUMENTOS JURÍDICOS DE MEJORA Y · ELAB. NEGOCIACIÓN DE NORMATIVAS,PLANES Y PROTOCOLOS DE ACTUACIÓN RELACIONADOS CON LOS · INFORMACIÓN ADMINISTRATIVA · CONSULTAS DE INFORMACIÓN DE CARÁCTER GENERAL · SIMPLIFICACIÓN DE PROCEDIMIENTOS Y CARGAS ADMINISTRATIVAS · NORMALIZACIÓN DE FORMULARIOS ADMINISTRATIVOS · POLÍTICA DE RECURSOS HUMANO"
2017,12A,MODERNIZACION Y GESTION DE LA FUNCION PUBLICA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,0,13580724.0,sí,direccion,direccion,,0,0,,
2017,12C,ACCION SOCIAL DEL PERSONAL,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,0,5796494.0,sí,,direccion,,0,0,,
2017,61A,D.S.G. DE HACIENDA Y ADMINISTRACION PUBLICA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,12,41447063.0,sí,,direccion,empleo,2,2,CONTRATACION×1,"IMPULSO Y EJECUCIÓN DE LA ACTIVIDAD PRESUPUESTARIA Y DE LA GESTIÓN DEL GASTO EN EL MARCO DEL · APOYAR LA ELABORACIÓN Y TRAMITACIÓN DE DISPOSICIONES NORMATIVAS Y APORTAR ASISTENCIA Y · GESTION DE PERSONAL Y FORMACIÓN · COORDINACIÓN Y SEGUIMIENTO DE LAS ACTUACIONES DE LA UNIDAD DE IGUALDAD DE GÉNERO · GESTIONAR LA CONTRATACIÓN ADMVA. Y LOS GTOS. CORRIENTES EN BIENES Y SERVICIOS EN EL MARCO · COORDINAR, DISTRIBUIR Y DIFUNDIR PUBLICACIONES, ENTRE ELLAS LA PUBLICACIÓN DEL INFORME DE · REORGANIZAR LOS FONDOS DOCUMENTALES DEL ARCHIVO CENTRAL Y DE LOS ARCHIVOS DE OFICINA · ELABORAR Y TRAMITAR LAS NORM"
2017,61A,D.S.G. DE HACIENDA Y ADMINISTRACION PUBLICA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,0,41447063.0,sí,,direccion,,0,0,,
2017,61D,POLITICA PRESUPUESTARIA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,13,2333688.0,sí,,direccion,,0,0,,"MEJORAR LA EFICIENCIA EN EL PROCESO DE ELABORACIÓN DEL PRESUPUESTO DE LA COMUNIDAD · OPTIMIZAR LOS PROCEDIMIENTOS DE GESTIÓN Y SEGUIMIENTO DE EJECUCIÓN DEL PRESUPUESTO · INCLUIR LA DIMENSIÓN DE GÉNERO EN LAS POLÍTICAS PRESUPUESTARIAS · EVALUAR LAS POLÍTICAS PRESUPUESTARIAS · DESARROLLAR UN PROGRAMA DE FORMACIÓN DIRIGIDO A LAS CONSEJERÍAS Y ENTIDADES · ACTUALIZAR LOS CONTENIDOS EN LA PÁGINA WEB · ELABORAR INFORMES DE IMPACTO PRESUPUESTARIO DE NORMAS, CONVENIOS Y PLANES DE LA · IMPLEMENTAR ACTUACIONES DE SENSIBILIZACIÓN EN MATERIA DE PRESUPUESTO Y GÉNERO · DIVULGAR LOS CONTENIDOS DE LA SECCIÓN P"
2017,61D,POLITICA PRESUPUESTARIA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,0,2333688.0,sí,,direccion,,0,0,,
2017,61E,CONTROL INTERNO Y CONTABILIDAD PUBLICA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,11,17228065.0,sí,,direccion,,0,0,,"VELAR POR EL CUMPLIMIENTO DE LA LEGALIDAD ECONÓMICO PRESUPUESTARIA Y CONTABLE · CONTROLAR LA CORRECTA CONCESIÓN Y APLICACIÓN DE SUBVENCIONES AUTOFINANCIADAS CON FONDOS · VERIFICAR CUMPLIMIENTO DE LA LEGALIDAD EN LA GESTIÓN DE LOS RECURSOS, INGRESOS Y GASTO · FOMENTAR LA TRANSPARENCIA FACILITANDO INFORMACIÓN Y EJERCIENDO EL CONTROL A TRAVÉS DE LA · INTERVENCION MATERIAL DE LA INVERSIONES · ELABORACION DE INFORMES, RESOLUCIONES E INSTRUCCIONES · CONTROLES FINANCIEROS FINANCIADOS POR FEAGA RTO 1306/2013 · CONTROLES BENEFICIARIOS SUBVENCIONES FINANCIADAS CON RECURSOS PROPIOS · CONTROL SOBRE SITUAC"
2017,61E,CONTROL INTERNO Y CONTABILIDAD PUBLICA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,0,17228065.0,sí,,direccion,,0,0,,
2017,61F,GESTION DE LA TESORERIA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,12,5305886.0,sí,,direccion,,0,0,,"GESTIÓN DEL PAGO DE LAS OBLIGACIONES DE LA COMUNIDAD AUTONOMA · AUTORIZACIÓN, CONTROL E INSPECCION DE LAS CUENTAS DE LA JA, SUS AAAA Y ENT INSTRUMENTALES · CONTROL Y COORDINACIÓN DE LAS CAJAS DE DEPÓSITOS · COORDINACIÓN Y GESTIÓN DEL CONVENIO FIRMADO CON LA TESORERÍA GENERAL DE LA SEGURIDAD · GESTIÓN DEL COBRO DE LOS DERECHOS DE LA COMUNIDAD AUTONOMA · ELABORACIÓN Y SEGUIMIENTO DE LOS CALENDARIOS DE PAGO DE LA CA · GESTIÓN Y CONTROL CENTRALIZADOS DE LAS RETENCIONES JUDICIALES Y ADMINISTRATIVAS · COORDINACIÓN Y REALIZACIÓN DE LOS PAGOS DE LA JA · AUTORIZACIÓN,CONTROL E INSPECCIÓN DE LAS CUENTAS"
2017,61F,GESTION DE LA TESORERIA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,0,5305886.0,sí,,direccion,,0,0,,
2017,61G,GESTION Y ADMINISTRACION DEL PATRIMONIO DE LA CA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,2,92453947.0,sí,,direccion,,0,0,,GESTIÓN Y CONTROL DEL JUEGO · VERIFICACIÓN TÉCNICA INSTALACIONES DE JUEGO Y AUTORIZACIONES DE EMPRESA
2017,61H,FINANCIACION Y TRIBUTOS,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,12,1865718.0,sí,,direccion,,0,0,,MAXIMIZAR LOS RECURSOS ECONÓMICOS DERIVADOS DEL SISTEMA DE FINANCIACIÓN AUTONÓMICA (SFA) · MEJORAR LA GESTIÓN DE LOS INGRESOS PROCEDENTES DE OTRAS ADMINISTRACIONES PÚBLICAS · DESARROLLO NORMATIVO EN MATERIA TRIBUTARIA · COORDINACIÓN E IMPULSO DE LOS ÓRGANOS ECONÓMICOS-ADMINISTRATIVOS DE LA JUNTA DE ANDALUCÍA · VELAR POR LA EFECTIVIDAD DE LOS DERECHOS DE LOS CIUDADANOS EN SUS RELACIONES CON LA ADMON. · ANÁLISIS Y SEGUIMIENTO DE LOS INGRESOS DERIVADOS DEL SFA Y OTROS RECURSOS · ELABORACIÓN DE LAS PROPUESTAS DE DOCUMENTOS CONTABLES PARA LA APLICACIÓN DE LOS INGRESOS · ELABORACIÓN DE PROYECTOS DE 
2017,61H,FINANCIACION Y TRIBUTOS,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,0,1865718.0,sí,,direccion,,0,0,,
2017,61I,GESTION DE TECNOLOGIAS CORPORATIVAS,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,0,43950303.0,sí,,direccion,,0,0,,
2017,61L,COORDINACION Y CONTROL DE LA HACIENDA DE LA CA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,6,71803183.0,sí,,direccion,,0,0,,"COORDINACIÓN DE LAS POLITICAS PRESUPUESTARIAS, DE RELACIONES FINANCIERAS CON HACIENDA · MEJORA DE LA PREVISIÓN, SEGUIMIENTO Y COORDINACIÓN DE LOS INGRESOS DE LA C.A. · DEFINICIÓN ESTRATEGICA DE LA INCLUSIÓN DE LA PERSPECTIVA DE GÉNERO EN EL PRESUPUESTO DE LA · ESTUDIOS E INFORMES EN ÁREAS PRESUPUESTARIAS Y RELACIONES FINANCIERAS, PARTICIPACIÓN EN · ESTUDIO DE LAS DIFERENTES FUENTES DE INGRESO DE LA CA Y SEGUIMIENTO DE LA EJECUCIÓN DE · DISEÑO Y EVALUACIÓN DE LA ESTRATEGIA DE INTEGRACIÓN DE LA PERSPECTIVA DE GÉNERO A TRAVES DE"
2017,61L,COORDINACION Y CONTROL DE LA HACIENDA DE LA CA,CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,0,71803183.0,sí,,direccion,,0,0,,
2017,61M,"COOR. POLIT. FINAN,TRIBUT, TESORER Y ENDEUD. C.A.A",CONSEJERIA DE HACIENDA Y ADMINISTRACION PU,8,924361.0,sí,,direccion,,0,0,,"COORDINACIÓN E IMPULSO DE LA POLÍTICA FINANCIERA, TRIBUTARIA, DE TESORERÍA Y ENDEUDAMIENTO DE · FORMULACIÓN DE ESTRATEGIAS PARA MANTENER EL EQUILIBRIO ENTRE CRECIMIENTO Y SOSTENIBILIDAD · CONTROL DEL PERIODO MEDIO DE PAGO · GARANTIZAR EL COBRO EN LOS PLAZOS REDUCIDOS ESTABLECIDOS REGLAMENTARIAMENTE POR LA C.A. · REALIZACIÓN DE ACTUACIONES, ESTUDIOS E INFORMES EN LAS ÁREAS DE POLÍTICA FRA., TRIBUTOS, · ANÁLISIS Y SEGUIMIENTO DE LOS FACTORES QUE INCIDEN LA EVOLUCIÓN DE LOS INGRESOS, GASTO Y · PROPUESTA DE CANCELACIÓN DE OBLIGACIONES ART. 76 BIS TRLGHPA · SEGUIMIENTO DE LOS PROCEDIMIENTOS DE RECO"
