ccaa_id3,ccaa,anio,pib_regional_eur,origen_pib,concepto,pct_pib_regional,importe_eur
lar,La Rioja,2026,12112848663.0821,proyeccion,sanidad,5.2593,637055097.0
mad,Madrid,2015,206231525000.0,real,sanidad,3.4873,7191837009.0
mad,Madrid,2016,214469101000.0,real,sanidad,3.4576,7415379241.0
mad,Madrid,2017,224373156000.0,real,sanidad,3.3871,7599708222.0
mad,Madrid,2018,233735808000.0,real,sanidad,3.3492,7828244717.0
mad,Madrid,2019,243889359000.0,real,sanidad,3.3075,8066704298.0
mad,Madrid,2020,221061932000.0,real,sanidad,3.6491,8066704298.0
mad,Madrid,2021,239837609000.0,real,sanidad,3.3634,8066704298.0
mad,Madrid,2022,267171570000.0,real,sanidad,3.2787,8759661476.0
mad,Madrid,2023,295939562000.0,real,sanidad,2.9599,8759661476.0
mad,Madrid,2024,316193370000.0,real,sanidad,3.2297,10211960772.0
mad,Madrid,2025,330794990991.154,proyeccion,sanidad,3.1871,10542858597.0
mad,Madrid,2026,356751462437.7044,proyeccion,sanidad,3.1096,11093460615.0
mur,Murcia,2015,29168718000.0,real,sanidad,6.375,1859495700.0
mur,Murcia,2016,30009138000.0,real,sanidad,6.5279,1958971130.0
mur,Murcia,2017,31192490000.0,real,sanidad,6.4146,2000860733.0
mur,Murcia,2018,31715345000.0,real,sanidad,6.6983,2124384788.0
mur,Murcia,2019,33000651000.0,real,sanidad,6.6317,2188488008.0
mur,Murcia,2020,30440306000.0,real,sanidad,7.2385,2203429680.0
mur,Murcia,2021,33603543000.0,real,sanidad,7.4013,2487112377.0
mur,Murcia,2022,37380806000.0,real,sanidad,6.7683,2530062207.0
mur,Murcia,2023,39838741000.0,real,sanidad,6.6798,2661157290.0
mur,Murcia,2024,42488024000.0,real,sanidad,6.7016,2847362340.0
mur,Murcia,2025,44209906961.5551,proyeccion,sanidad,6.7231,2972286524.0
mur,Murcia,2026,46619073818.1298,proyeccion,sanidad,6.3757,2972286524.0
nav,Navarra,2015,18334417000.0,real,sanidad,4.9354,904884244.0
nav,Navarra,2016,18911331000.0,real,sanidad,5.025,950290485.0
nav,Navarra,2017,19698794000.0,real,sanidad,5.1075,1006123754.0
nav,Navarra,2018,20235995000.0,real,sanidad,5.0633,1024602853.0
nav,Navarra,2019,21070268000.0,real,sanidad,4.9726,1047750152.0
nav,Navarra,2020,19160726000.0,real,sanidad,5.8569,1122231413.0
nav,Navarra,2021,20821017000.0,real,sanidad,5.8179,1211356190.0
nav,Navarra,2022,23204474000.0,real,sanidad,5.248,1217768301.0
nav,Navarra,2023,24975376000.0,real,sanidad,5.1484,1285836840.0
nav,Navarra,2024,26619297000.0,real,sanidad,5.3171,1415375379.0
nav,Navarra,2025,27727717738.525,proyeccion,sanidad,5.2658,1460097315.0
nav,Navarra,2026,29541097405.4703,proyeccion,sanidad,5.106,1508379759.0
pvc,País Vasco,2015,65073341000.0,real,sanidad,5.2017,3384908174.0
pvc,País Vasco,2016,67114993000.0,real,sanidad,5.0908,3416697951.0
pvc,País Vasco,2017,69585295000.0,real,sanidad,5.0846,3538134644.0
pvc,País Vasco,2018,71915111000.0,real,sanidad,5.1069,3672658495.0
pvc,País Vasco,2019,73999981000.0,real,sanidad,5.1291,3795519108.0
pvc,País Vasco,2020,66672598000.0,real,sanidad,5.9077,3938835835.0
pvc,País Vasco,2021,72513029000.0,real,sanidad,5.5018,3989532488.0
pvc,País Vasco,2022,80218167000.0,real,sanidad,5.2189,4186527007.0
pvc,País Vasco,2023,86748107000.0,real,sanidad,5.3361,4628962720.0
pvc,País Vasco,2024,91612735000.0,real,sanidad,5.3364,4888865872.0
pvc,País Vasco,2025,94984725555.0161,proyeccion,sanidad,5.3762,5106543104.0
pvc,País Vasco,2026,100311243579.2912,proyeccion,sanidad,5.3005,5317027591.0
val,C. Valenciana,2015,101214206000.0,real,sanidad,5.4147,5480479460.0
val,C. Valenciana,2016,104205396000.0,real,sanidad,5.6587,5896703080.0
val,C. Valenciana,2017,108666712000.0,real,sanidad,5.5883,6072586120.0
val,C. Valenciana,2018,112749574000.0,real,sanidad,5.6573,6378603750.0
val,C. Valenciana,2019,116588528000.0,real,sanidad,5.6816,6624076700.0
val,C. Valenciana,2020,106067171000.0,real,sanidad,6.3668,6753056640.0
val,C. Valenciana,2021,116386906000.0,real,sanidad,6.4584,7516686070.0
val,C. Valenciana,2022,127583394000.0,real,sanidad,6.1328,7824377320.0
val,C. Valenciana,2023,139655905000.0,real,sanidad,5.9031,8244060650.0
val,C. Valenciana,2024,148283453000.0,real,sanidad,5.7215,8484087430.0
val,C. Valenciana,2025,154631870325.7606,proyeccion,sanidad,5.8169,8994839160.0
val,C. Valenciana,2026,164184591233.3746,proyeccion,sanidad,5.6244,9234412650.0
and,Andalucía,2015,146406094000.0,real,educacion,4.4994,6587403880.0
and,Andalucía,2016,149901897000.0,real,educacion,4.5418,6808224868.0
and,Andalucía,2017,156789484000.0,real,educacion,4.4768,7019185001.0
and,Andalucía,2018,161894301000.0,real,educacion,4.5275,7329745592.0
and,Andalucía,2019,166478730000.0,real,educacion,4.3827,7296321233.0
and,Andalucía,2020,150452909000.0,real,educacion,5.2428,7887891327.0
and,Andalucía,2021,166296356000.0,real,educacion,5.1118,8500803036.0
and,Andalucía,2022,184364390000.0,real,educacion,4.7431,8744579745.0
and,Andalucía,2023,199406067000.0,real,educacion,4.4174,8808586626.0
and,Andalucía,2024,212359142000.0,real,educacion,4.3884,9319094156.0
and,Andalucía,2025,222116470593.1817,proyeccion,educacion,4.3641,9693334966.0
and,Andalucía,2026,235169103530.3166,proyeccion,educacion,4.2516,9998482040.0
ara,Aragón,2015,33265930000.0,real,educacion,2.644,879551896.15
ara,Aragón,2016,34542128000.0,real,educacion,2.7748,958476678.66
ara,Aragón,2017,35983544000.0,real,educacion,2.8921,1040672901.92
ara,Aragón,2018,37213896000.0,real,educacion,2.9299,1090322967.47
ara,Aragón,2019,38465053000.0,real,educacion,2.8346,1090322967.47
ara,Aragón,2020,35955571000.0,real,educacion,3.2879,1182200938.26
ara,Aragón,2021,38782157000.0,real,educacion,3.3386,1294794240.56
ara,Aragón,2022,43668835000.0,real,educacion,3.0036,1311647998.15
ara,Aragón,2023,46778120000.0,real,educacion,2.9354,1373141920.04
ara,Aragón,2024,49634925000.0,real,educacion,3.062,1519817440.43
ara,Aragón,2025,51706151620.8324,proyeccion,educacion,2.9393,1519817440.43
ara,Aragón,2026,54863918381.8983,proyeccion,educacion,2.7702,1519817440.43
