source_url,extraction_date,view,field,year,measure,amount_eur,amount_raw,code,label,parent_code,parent_label,level,path_codes,path_labels,area_code,area_label,budget_status,inflation,inflation_index,population
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2013,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,1.3,79.2116615986564,639089
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2013,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,1.3,79.2116615986564,639089
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2014,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,-0.5,78.81560329066312,637099
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2014,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,-0.5,78.81560329066312,637099
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2015,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,-0.7,78.26389406762847,637317
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2015,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,-0.7,78.26389406762847,637317
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2016,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,0.1,78.34215796169609,638922
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2016,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,0.1,78.34215796169609,638922
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2017,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,1.6,79.59563248908323,642075
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2017,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,1.6,79.59563248908323,642075
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2018,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,1.7,80.94875824139764,646340
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2018,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,1.7,80.94875824139764,646340
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2019,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,1.2,81.92014334029442,652797
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2019,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,1.2,81.92014334029442,652797
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2020,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,-0.6,81.42862248025266,659907
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2020,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,-0.6,81.42862248025266,659907
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2021,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,3.4,84.19719564458124,662032
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2021,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,3.4,84.19719564458124,662032
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2022,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,8.8,91.6065488613044,664514
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2022,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,8.8,91.6065488613044,664514
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2023,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,3.7,94.99599116917265,672155
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2023,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,3.7,94.99599116917265,672155
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2024,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,2.6,97.46588693957115,678333
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2024,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,2.6,97.46588693957115,678333
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2025,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,2.6,100.0,683854
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2025,actual,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),,2.6,100.0,683854
https://presupuesto.navarra.es/es/politicas,2026-06-29,expense,expense,2026,budget,,,741,,74,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7),1,74>741,Transferencias de capital a empresas públicas y otros entes públicos (cap. 7) > ,7,Transferencias de capital (cap. 7),1T,0.0,100,683854
