ccaa,ccaa_nombre,anio,estado,filas,pct_concepto,n_conceptos,magnitud_disp,imp_sanidad,imp_educacion,imp_soberania,imp_direccion,imp_vivienda,imp_empleo,imp_idi,imp_dependencia,imp_discapacidad,imp_salud_mental,imp_diversidad,imp_turismo,imp_igualdad,total_extraido,gasto_social
ast,Asturias,2025,VERDE_PRAGM,105,68.6,10,si,2446640883.0,1093294252.0,96062583.0,686320896.0,156632049.0,170516236.0,66721856.0,0.0,0.0,0.0,3429620.0,46161143.0,14025107.0,5752807971.0,4779804625.0
ast,Asturias,2026,VERDE_PRAGM,104,67.3,10,si,2549313952.0,1178921574.0,98668088.0,705534258.0,187209040.0,171633689.0,65937175.0,0.0,0.0,0.0,3406440.0,49644246.0,15884896.0,6029640577.0,5026153358.0
bal,Baleares,2015,VERDE_PRAGM,131,62.6,13,si,1293305893.0,775802264.0,57579872.0,432841908.0,14903480.0,49930749.0,9642026.0,112865122.0,12561851.0,7737937.0,1773683.0,39767443.0,4773448.0,4011310834.0,2813485676.0
bal,Baleares,2016,VERDE_PRAGM,132,63.6,13,si,1370092639.0,817453988.0,51118398.0,454494817.0,12891087.0,59775360.0,11915305.0,129501729.0,14053433.0,7566414.0,2178344.0,38294520.0,5385367.0,4218304698.0,2974721401.0
bal,Baleares,2017,VERDE_PRAGM,129,74.4,13,si,1473247771.0,883516262.0,53334795.0,618450464.0,19036281.0,85942112.0,13590027.0,136815763.0,16240099.0,2521219.0,17370552.0,41390816.0,6200983.0,4646728893.0,3367657144.0
bal,Baleares,2018,VERDE_PRAGM,82,64.6,13,si,1554338007.0,1006436.0,55322573.0,500471524.0,24334680.0,99221099.0,13485466.0,146065584.0,16882456.0,2323372.0,17588973.0,54392944.0,6634571.0,3864103791.0,2492067685.0
bal,Baleares,2019,VERDE_PRAGM,86,60.5,13,si,1706834266.0,1035250.0,67528611.0,545445407.0,35970375.0,111709104.0,13519148.0,135660688.0,18248384.0,2324612.0,22082418.0,16033288.0,10129446.0,4258096276.0,2686520997.0
bal,Baleares,2020,VERDE_PRAGM,95,58.9,13,si,1705436416.0,1012437.0,52546841.0,531659586.0,36153468.0,9802606.0,15325972.0,105929635.0,18110547.0,32562726.0,26254833.0,11889843.0,8501028.0,4582353651.0,2555185938.0
bal,Baleares,2021,VERDE_PRAGM,89,61.8,13,si,1760322500.0,1060454.0,48073143.0,645421941.0,30836903.0,92608872.0,11876077.0,127903857.0,19763199.0,29895936.0,26566035.0,19008508.0,8530796.0,4614025576.0,2821868221.0
bal,Baleares,2022,VERDE_PRAGM,143,73.4,13,si,1938048858.0,1136369323.0,56493886.0,796748738.0,31024958.0,137930119.0,24393308.0,174166170.0,21738027.0,49146561.0,32660190.0,22573011.0,9604662.0,6368439689.0,4430897811.0
