codigo,denominacion,importe_eur,ccaa_id3,anio,capa,capitulo,fuente_path,fecha_captura
01,Gastos de personal,2758253340.0,clm,2015,hacienda,1,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_clm.xlsx,2026-05-30T11:18:49.544901+00:00
02,Gastos corrientes en bienes y servicios,1016209450.0,clm,2015,hacienda,2,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_clm.xlsx,2026-05-30T11:18:49.544901+00:00
03,Gastos financieros,429252520.0,clm,2015,hacienda,3,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_clm.xlsx,2026-05-30T11:18:49.544901+00:00
04,Transferencias corrientes,2128172890.0000002,clm,2015,hacienda,4,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_clm.xlsx,2026-05-30T11:18:49.544901+00:00
05,Fondo de contingencia,2000000.0,clm,2015,hacienda,5,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_clm.xlsx,2026-05-30T11:18:49.544901+00:00
06,Inversiones reales,167748810.0,clm,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_clm.xlsx,2026-05-30T11:18:49.544901+00:00
07,Transferencias de capital,443182940.0,clm,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_clm.xlsx,2026-05-30T11:18:49.544901+00:00
08,Activos financieros,3369520.0,clm,2015,hacienda,8,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_clm.xlsx,2026-05-30T11:18:49.544901+00:00
09,Pasivos financieros,1258186270.0,clm,2015,hacienda,9,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_clm.xlsx,2026-05-30T11:18:49.544901+00:00
01,Gastos de personal,819126260.0,cnt,2015,hacienda,1,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cnt.xlsx,2026-05-30T11:18:50.104515+00:00
02,Gastos corrientes en bienes y servicios,406547510.0,cnt,2015,hacienda,2,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cnt.xlsx,2026-05-30T11:18:50.104515+00:00
03,Gastos financieros,93740520.0,cnt,2015,hacienda,3,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cnt.xlsx,2026-05-30T11:18:50.104515+00:00
04,Transferencias corrientes,589802220.0,cnt,2015,hacienda,4,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cnt.xlsx,2026-05-30T11:18:50.104515+00:00
05,Fondo de contingencia,1816560.0,cnt,2015,hacienda,5,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cnt.xlsx,2026-05-30T11:18:50.104515+00:00
06,Inversiones reales,161401120.0,cnt,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cnt.xlsx,2026-05-30T11:18:50.104515+00:00
07,Transferencias de capital,85035790.0,cnt,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cnt.xlsx,2026-05-30T11:18:50.104515+00:00
08,Activos financieros,31714970.0,cnt,2015,hacienda,8,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cnt.xlsx,2026-05-30T11:18:50.104515+00:00
09,Pasivos financieros,311364930.0,cnt,2015,hacienda,9,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cnt.xlsx,2026-05-30T11:18:50.104515+00:00
01,Gastos de personal,3505850780.0,cym,2015,hacienda,1,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cym.xlsx,2026-05-30T11:18:50.668167+00:00
02,Gastos corrientes en bienes y servicios,1318150200.0,cym,2015,hacienda,2,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cym.xlsx,2026-05-30T11:18:50.668167+00:00
03,Gastos financieros,405633300.0,cym,2015,hacienda,3,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cym.xlsx,2026-05-30T11:18:50.668167+00:00
04,Transferencias corrientes,2492391320.0,cym,2015,hacienda,4,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cym.xlsx,2026-05-30T11:18:50.668167+00:00
06,Inversiones reales,443796850.0,cym,2015,hacienda,6,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cym.xlsx,2026-05-30T11:18:50.668167+00:00
07,Transferencias de capital,657074880.0,cym,2015,hacienda,7,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cym.xlsx,2026-05-30T11:18:50.668167+00:00
08,Activos financieros,296542360.0,cym,2015,hacienda,8,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cym.xlsx,2026-05-30T11:18:50.668167+00:00
09,Pasivos financieros,801372060.0,cym,2015,hacienda,9,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_cym.xlsx,2026-05-30T11:18:50.668167+00:00
01,Gastos de personal,1859560430.0,ext,2015,hacienda,1,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ext.xlsx,2026-05-30T11:18:51.231247+00:00
02,Gastos corrientes en bienes y servicios,529458410.00000006,ext,2015,hacienda,2,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ext.xlsx,2026-05-30T11:18:51.231247+00:00
03,Gastos financieros,138487080.0,ext,2015,hacienda,3,/sessions/wizardly-gallant-cori/mnt/Presupuestos/fuentes/raw/hacienda/2015/per_ccaa/SGCIEF_2015_ext.xlsx,2026-05-30T11:18:51.231247+00:00
