ccaa;fecha;genero;origen_genero;origen;cobertura_pct_ppd;solicitudes_pct_ppd;limbo_grado_pct_ppd;limbo_pia_pct_ppd;limbo_prestaciones_pct_ppd;pct_mujeres_benef
Aragón;2025-01-01;hombre;estimado;real;7,4197;9,4388;0,7202;0,0147;0,1180;69,6668
Aragón;2025-01-01;mujer;estimado;real;17,0409;21,6781;1,6540;0,0337;0,2709;69,6668
Aragón;2025-02-01;hombre;estimado;real;7,4398;9,4563;0,7193;0,0170;0,1191;69,6298
Aragón;2025-02-01;mujer;estimado;real;17,0574;21,6805;1,6490;0,0390;0,2730;69,6298
Aragón;2025-03-01;hombre;estimado;real;7,4904;9,5629;0,7714;0,0167;0,1109;69,5490
Aragón;2025-03-01;mujer;estimado;real;17,1079;21,8412;1,7620;0,0382;0,2533;69,5490
Aragón;2025-04-01;hombre;estimado;real;7,5681;9,6293;0,7504;0,0202;0,1101;69,4982
Aragón;2025-04-01;mujer;estimado;real;17,2438;21,9404;1,7098;0,0460;0,2508;69,4982
Aragón;2025-05-01;hombre;estimado;real;7,6309;9,7076;0,7700;0,0177;0,1127;69,5092
Aragón;2025-05-01;mujer;estimado;real;17,3961;22,1301;1,7553;0,0404;0,2569;69,5092
Aragón;2025-06-01;hombre;estimado;real;7,7153;9,7695;0,7529;0,0169;0,1017;69,5038
Aragón;2025-06-01;mujer;estimado;real;17,5839;22,2656;1,7160;0,0385;0,2318;69,5038
Aragón;2025-07-01;hombre;estimado;real;7,7676;9,8488;0,7754;0,0195;0,0992;69,5141
Aragón;2025-07-01;mujer;estimado;real;17,7118;22,4573;1,7682;0,0445;0,2262;69,5141
Aragón;2025-08-01;hombre;estimado;real;7,7712;9,8165;0,7444;0,0181;0,0975;69,6520
Aragón;2025-08-01;mujer;estimado;real;17,8357;22,5300;1,7084;0,0416;0,2237;69,6520
Aragón;2025-09-01;hombre;estimado;real;7,8068;9,8310;0,7286;0,0195;0,0969;69,7254
Aragón;2025-09-01;mujer;estimado;real;17,9797;22,6418;1,6779;0,0450;0,2231;69,7254
Aragón;2025-10-01;hombre;estimado;real;7,8637;9,8739;0,7113;0,0153;0,1008;69,8286
Aragón;2025-10-01;mujer;estimado;real;18,1998;22,8523;1,6462;0,0353;0,2332;69,8286
Aragón;2025-11-01;hombre;estimado;real;7,9197;9,8865;0,6626;0,0123;0,0999;69,9025
Aragón;2025-11-01;mujer;estimado;real;18,3939;22,9618;1,5389;0,0286;0,2320;69,9025
Aragón;2025-12-01;hombre;estimado;real;7,9604;9,9157;0,6614;0,0086;0,0949;69,9880
Aragón;2025-12-01;mujer;estimado;real;18,5636;23,1235;1,5423;0,0200;0,2214;69,9880
Aragón;2026-01-01;hombre;estimado;real;7,7987;9,7626;0,6845;0,0113;0,0877;69,9663
Aragón;2026-01-01;mujer;estimado;real;18,1678;22,7428;1,5946;0,0262;0,2043;69,9663
Aragón;2026-02-01;hombre;estimado;real;7,7715;9,7277;0,7051;0,0126;0,1023;70,0997
Aragón;2026-02-01;mujer;estimado;real;18,2198;22,8061;1,6531;0,0296;0,2398;70,0997
Aragón;2026-03-01;hombre;estimado;real;7,9029;9,8379;0,6786;0,0138;0,1055;69,9536
Aragón;2026-03-01;mujer;estimado;real;18,3994;22,9045;1,5799;0,0321;0,2456;69,9536
Aragón;2026-04-01;hombre;estimado;proyeccion;7,9602;9,8883;0,6786;0,0138;0,1055;69,9536
Aragón;2026-04-01;mujer;estimado;proyeccion;18,5329;23,0219;1,5799;0,0321;0,2456;69,9536
Aragón;2026-05-01;hombre;estimado;proyeccion;8,0176;9,9389;0,6786;0,0138;0,1055;69,9536
Aragón;2026-05-01;mujer;estimado;proyeccion;18,6665;23,1397;1,5799;0,0321;0,2456;69,9536
Aragón;2026-06-01;hombre;estimado;proyeccion;8,0750;9,9895;0,6786;0,0138;0,1055;69,9536
Aragón;2026-06-01;mujer;estimado;proyeccion;18,8000;23,2575;1,5799;0,0321;0,2456;69,9536
Aragón;2026-07-01;hombre;estimado;proyeccion;8,1323;10,0401;0,6786;0,0138;0,1055;69,9536
Aragón;2026-07-01;mujer;estimado;proyeccion;18,9336;23,3753;1,5799;0,0321;0,2456;69,9536
Aragón;2026-08-01;hombre;estimado;proyeccion;8,1897;10,0907;0,6786;0,0138;0,1055;69,9536
Aragón;2026-08-01;mujer;estimado;proyeccion;19,0671;23,4931;1,5799;0,0321;0,2456;69,9536
Aragón;2026-09-01;hombre;estimado;proyeccion;8,2470;10,1413;0,6786;0,0138;0,1055;69,9536
Aragón;2026-09-01;mujer;estimado;proyeccion;19,2007;23,6109;1,5799;0,0321;0,2456;69,9536
Aragón;2026-10-01;hombre;estimado;proyeccion;8,3044;10,1919;0,6786;0,0138;0,1055;69,9536
Aragón;2026-10-01;mujer;estimado;proyeccion;19,3342;23,7287;1,5799;0,0321;0,2456;69,9536
Aragón;2026-11-01;hombre;estimado;proyeccion;8,3618;10,2425;0,6786;0,0138;0,1055;69,9536
Aragón;2026-11-01;mujer;estimado;proyeccion;19,4678;23,8465;1,5799;0,0321;0,2456;69,9536
Canarias;2023-01-01;hombre;estimado;real;3,0113;4,9691;0,8902;0,5731;0,6069;78,8559
Canarias;2023-01-01;mujer;estimado;real;11,2306;18,5319;3,3198;2,1373;2,2635;78,8559
Canarias;2023-02-01;hombre;estimado;real;3,1079;5,0263;0,8482;0,5634;0,6100;78,5613
Canarias;2023-02-01;mujer;estimado;real;11,3886;18,4187;3,1081;2,0646;2,2353;78,5613
Canarias;2023-03-01;hombre;estimado;real;3,1977;5,0203;0,7733;0,5380;0,5767;78,4605
Canarias;2023-03-01;mujer;estimado;real;11,6481;18,2873;2,8169;1,9596;2,1008;78,4605
Canarias;2023-04-01;hombre;estimado;real;3,2620;5,0427;0,7491;0,5184;0,5290;78,4587
Canarias;2023-04-01;mujer;estimado;real;11,8810;18,3667;2,7285;1,8883;1,9268;78,4587
Canarias;2023-05-01;hombre;estimado;real;3,3351;5,0748;0,7128;0,5032;0,5204;78,3395
Canarias;2023-05-01;mujer;estimado;real;12,0620;18,3540;2,5780;1,8200;1,8823;78,3395
Canarias;2023-06-01;hombre;estimado;real;3,4057;5,2138;0,7715;0,5032;0,5294;78,2134
Canarias;2023-06-01;mujer;estimado;real;12,2265;18,7172;2,7697;1,8063;1,9005;78,2134
Canarias;2023-07-01;hombre;estimado;real;3,4460;5,2817;0,8070;0,4908;0,5450;78,1758
Canarias;2023-07-01;mujer;estimado;real;12,3438;18,9196;2,8907;1,7582;1,9522;78,1758
Canarias;2023-08-01;hombre;estimado;real;3,4830;5,3809;0,8271;0,5255;0,5562;78,1292
Canarias;2023-08-01;mujer;estimado;real;12,4423;19,2221;2,9548;1,8772;1,9868;78,1292
Canarias;2023-09-01;hombre;estimado;real;3,5175;5,4179;0,8285;0,5203;0,5620;78,1062
Canarias;2023-09-01;mujer;estimado;real;12,5488;19,3285;2,9556;1,8561;2,0049;78,1062
Canarias;2023-10-01;hombre;estimado;real;3,5810;5,5202;0,8577;0,5183;0,5670;77,9190
Canarias;2023-10-01;mujer;estimado;real;12,6365;19,4796;3,0265;1,8289;2,0007;77,9190
Canarias;2023-11-01;hombre;estimado;real;3,5994;5,5919;0,9123;0,5128;0,5704;77,9873
Canarias;2023-11-01;mujer;estimado;real;12,7522;19,8112;3,2321;1,8166;2,0208;77,9873
Canarias;2023-12-01;hombre;estimado;real;3,6506;5,6619;0,9143;0,5226;0,5686;77,8688
Canarias;2023-12-01;mujer;estimado;real;12,8445;19,9215;3,2170;1,8388;2,0007;77,8688
Canarias;2024-01-01;hombre;estimado;real;3,5940;5,5858;0,9119;0,5160;0,5550;77,7450
