territorio_cod,territorio,genero,anyo,tasa_paro,tasa_actividad,tasa_empleo,horas_servicios,tasa_paro_juvenil,paro_larga_duracion,temporalidad,parcialidad,brecha_salarial,pct_alquiler_salario
13,Comunidad de Madrid,Hombres,2020,11.5725,66.5975,58.8925,,30.32,33.775,17.2,6.775,,43.98
13,Comunidad de Madrid,Hombres,2021,10.754999999999999,67.795,60.5025,,30.5025,44.425,18.175,7.0,,40.35
13,Comunidad de Madrid,Hombres,2022,9.530000000000001,68.27250000000001,61.765,,29.32,46.2,14.2,7.425,,39.76
13,Comunidad de Madrid,Hombres,2023,8.7025,67.7175,61.825,,28.4025,43.85,10.875,6.55,,42.42
13,Comunidad de Madrid,Hombres,2024,8.485,67.67750000000001,61.932500000000005,,22.5825,34.05,9.975,6.3,,45.66
13,Comunidad de Madrid,Hombres,2025,7.8100000000000005,67.50999999999999,62.237500000000004,,18.41,34.2,9.1,7.35,,
13,Comunidad de Madrid,Hombres,2026,6.89,67.83,63.16,,21.77,36.6,9.4,8.6,,
13,Comunidad de Madrid,Mujeres,2010,16.1425,59.815,50.1575,,35.167500000000004,37.675,19.45,18.725,,46.52
13,Comunidad de Madrid,Mujeres,2011,16.275,59.075,49.47,,39.3575,43.474999999999994,20.1,18.325,,46.76
13,Comunidad de Madrid,Mujeres,2012,17.9075,59.9525,49.2125,,43.5475,51.2,18.4,18.925,,44.3
13,Comunidad de Madrid,Mujeres,2013,20.345,59.29,47.2275,,48.655,57.7,17.4,20.35,,41.44
13,Comunidad de Madrid,Mujeres,2014,19.605,58.58,47.1,,51.089999999999996,63.2,16.5,20.85,,41.03
13,Comunidad de Madrid,Mujeres,2015,17.3275,59.2425,48.975,,41.875,63.150000000000006,16.4,20.275,,42.58
13,Comunidad de Madrid,Mujeres,2016,16.46,58.855000000000004,49.1625,,39.7125,59.0,18.85,19.45,,45.68
13,Comunidad de Madrid,Mujeres,2017,13.9275,58.05,49.965,,31.26,54.7,19.175,19.025,,49.06
13,Comunidad de Madrid,Mujeres,2018,12.852500000000001,57.93,50.480000000000004,,24.6,49.225,21.299999999999997,20.1,,54.45
13,Comunidad de Madrid,Mujeres,2019,11.4775,58.36,51.6625,,29.7425,48.25,20.725,19.875,,54.65
13,Comunidad de Madrid,Mujeres,2020,13.45,58.129999999999995,50.3125,,33.3675,38.425,20.275,19.275,,53.49
13,Comunidad de Madrid,Mujeres,2021,12.645,59.325,51.815,,28.5925,44.475,20.424999999999997,19.975,,48.91
13,Comunidad de Madrid,Mujeres,2022,12.969999999999999,58.8425,51.21,,26.017500000000002,50.5,17.6,18.625,,48.23
13,Comunidad de Madrid,Mujeres,2023,11.25,59.222500000000004,52.56,,26.2,42.5,14.125,18.025,,50.84
13,Comunidad de Madrid,Mujeres,2024,9.48,59.0725,53.475,,17.695,41.7,13.55,19.05,,55.35
13,Comunidad de Madrid,Mujeres,2025,8.1275,59.445,54.61,,20.3375,36.45,13.675,21.325,,
13,Comunidad de Madrid,Mujeres,2026,8.96,59.21,53.91,,22.07,37.900000000000006,13.4,20.5,,
10,Comunitat Valenciana,Ambos géneros,2010,22.8575,60.1225,46.379999999999995,128.575,42.29,46.425,27.75,16.375,23.809,28.28
10,Comunitat Valenciana,Ambos géneros,2011,23.985,59.7425,45.4125,126.475,51.3975,51.775000000000006,26.775,16.375,25.316,25.85
10,Comunitat Valenciana,Ambos géneros,2012,27.19,59.6175,43.41,126.5,52.8875,54.925,26.5,17.65,26.425,25.42
10,Comunitat Valenciana,Ambos géneros,2013,28.05,59.65,42.92,125.775,56.285,59.7,26.775,19.0,24.24,24.37
10,Comunitat Valenciana,Ambos géneros,2014,25.8125,58.980000000000004,43.75,123.7,56.567499999999995,63.525000000000006,26.825,19.125,25.418,24.09
10,Comunitat Valenciana,Ambos géneros,2015,22.78,59.1,45.635,122.9,48.4,62.275,27.45,18.95,25.535,24.17
