ccaa;periodo;genero;origen;abandono_temprano;nivel_superior_25_34;nivel_bajo_25_64;formacion_adultos_25_64;neet_15_29;idoneidad_15;graduacion_eso;escolarizacion_0_2
Castilla-La Mancha;2018;total;real;20,5;37,6;50,0;9,1;16,0;64,5;73,1;35,3
Castilla-La Mancha;2019;hombres;real;25,7;33,2;51,4;8,4;14,1;61,1;77,9;36,9
Castilla-La Mancha;2019;mujeres;real;14,4;48,7;45,6;9,9;16,1;69,7;88,1;35,6
Castilla-La Mancha;2019;total;real;20,2;40,7;48,5;9,1;15,1;65,2;82,8;36,3
Castilla-La Mancha;2020;hombres;real;23,1;30,1;51,3;8,0;16,8;66,3;71,9;26,4
Castilla-La Mancha;2020;mujeres;real;13,9;48,1;43,0;10,3;19,3;74,3;82,4;25,2
Castilla-La Mancha;2020;total;real;18,7;38,8;47,3;9,1;18,0;70,2;77,1;25,8
Castilla-La Mancha;2021;hombres;real;20,2;35,8;49,9;10,7;11,7;66,4;69,9;35,0
Castilla-La Mancha;2021;mujeres;real;10,7;50,5;41,7;13,6;17,7;73,6;79,3;34,1
Castilla-La Mancha;2021;total;real;15,5;42,9;45,9;12,1;14,6;69,9;74,4;34,5
Castilla-La Mancha;2022;hombres;real;17,9;38,5;49,8;11,5;11,0;65,9;72,5;37,0
Castilla-La Mancha;2022;mujeres;real;14,5;47,5;42,5;15,0;15,6;72,8;81,4;36,0
Castilla-La Mancha;2022;total;real;16,2;42,8;46,3;13,2;13,2;69,3;76,9;36,5
Castilla-La Mancha;2023;hombres;real;20,8;42,2;49,4;12,0;11,3;67,1;76,3;38,5
Castilla-La Mancha;2023;mujeres;real;11,9;52,9;40,8;16,3;11,5;72,9;84,8;37,4
Castilla-La Mancha;2023;total;real;16,6;47,3;45,2;14,1;11,4;69,9;80,4;38,0
Castilla-La Mancha;2024;hombres;proyeccion;18,1;42,1;50,4;12,0;12,2;66,7;70,5;39,0
Castilla-La Mancha;2024;mujeres;proyeccion;10,8;54,4;39,5;16,7;14,9;73,4;81,2889;38,1
Castilla-La Mancha;2024;total;proyeccion;14,6;47,9;45,1;14,3;13,5;69,9;75,7444;38,5
Castilla-La Mancha;2025;hombres;proyeccion;19,0;43,8;48,7;12,2;10,8;66,7;70,5;35,14
Castilla-La Mancha;2025;mujeres;proyeccion;12,0;51,6;39,2;15,9;13,0;73,4;81,2889;33,99
Castilla-La Mancha;2025;total;proyeccion;15,7;47,4;44,1;14,0;11,8;69,9;75,7444;34,56
Castilla-La Mancha;2026;hombres;proyeccion;19,0;43,8;48,1818;12,2;10,8;66,7;70,5;35,14
Castilla-La Mancha;2026;mujeres;proyeccion;9,7818;55,8982;38,35;15,9;11,12;73,4;81,2889;33,99
Castilla-La Mancha;2026;total;proyeccion;15,7;50,3018;43,24;14,0;10,0873;69,9;75,7444;34,56
Cataluña;2015;hombres;real;21,8;37,3;43,2;6,4;18,2;73,9;78,7;37,2
Cataluña;2015;mujeres;real;15,8;49,8;39,3;8,8;18,7;81,9;87,3;36,5
Cataluña;2015;total;real;18,9;43,7;41,2;7,6;18,4;77,9;82,9;36,9
Cataluña;2016;hombres;real;21,6;38,3;42,2;6,4;16,1;75,2;79,3;38,5
Cataluña;2016;mujeres;real;14,2;51,5;37,0;8,3;17,7;83,2;87,7;37,6
Cataluña;2016;total;real;18,0;45,1;39,6;7,4;16,9;79,2;83,4;38,1
Cataluña;2017;hombres;real;19,6;39,6;41,8;7,0;14,1;76,6;79,8;38,9
Cataluña;2017;mujeres;real;14,4;53,2;36,8;8,4;16,0;85,0;88,1;38,5
Cataluña;2017;total;real;17,0;46,6;39,2;7,7;15,0;80,7;83,9;38,7
Cataluña;2018;hombres;real;21,5;44,0;40,4;8,0;14,3;78,1;80,2;39,9
Cataluña;2018;mujeres;real;12,5;54,5;34,7;9,7;16,4;85,8;88,1;39,3
Cataluña;2018;total;real;17,0;49,3;37,6;8,8;15,4;81,9;84,0;39,6
Cataluña;2019;hombres;real;24,7;46,2;39,6;7,8;15,0;79,9;84,1;40,6
Cataluña;2019;mujeres;real;13,0;56,9;33,1;10,8;15,2;87,0;89,7;39,6
Cataluña;2019;total;real;19,0;51,6;36,3;9,3;15,1;83,4;86,8;40,2
Cataluña;2020;hombres;real;23,2;47,8;38,4;9,2;18,3;83,2;83,7;34,8
Cataluña;2020;mujeres;real;11,1;55,8;34,0;10,8;18,0;89,3;89,6;33,8
Cataluña;2020;total;real;17,4;51,8;36,2;10,0;18,2;86,2;86,6;34,3
