ccaa;periodo;origen;abandono_temprano;nivel_superior_25_34;nivel_bajo_25_64;formacion_adultos_25_64;neet_15_29;idoneidad_15;graduacion_eso;escolarizacion_0_2;gasto_edu_pib;gasto_por_alumno
Aragón;2025;proyeccion;12,3;49,6;35,1;15,1;10,7;71,5;78,5222;40,5;2,9393;8372,25
Aragón;2026;proyeccion;12,3;49,6;35,1;15,1;10,7;71,5;78,5222;40,5;2,7702;8646,375
Canarias;2015;real;21,9;32,3;49,3;8,9;24,2;62,1;79,7;13,6;3,7972;5102,0
Canarias;2016;real;18,9;35,4;46,1;8,4;20,8;62,9;73,3;16,7;3,69;5514,0
Canarias;2017;real;17,5;37,5;45,2;9,2;19,1;64,1;78,7;20,7;3,6125;5903,0
Canarias;2018;real;20,9;39,0;44,6;10,0;19,1;66,5;80,1;23,0;3,7106;5853,0
Canarias;2019;real;20,8;42,4;42,7;10,0;19,9;67,1;85,9;23,0;3,7682;6063,0
Canarias;2020;real;18,2;42,5;39,5;10,2;23,2;71,3;85,1;21,0;4,9057;6612,0
Canarias;2021;real;12,0;40,6;39,1;13,4;19,8;72,8;81,6;25,4;4,6903;7322,0
Canarias;2022;real;12,3;46,3;37,2;15,2;14,2;71,8;82,1;29,1;4,2772;7700,0
Canarias;2023;real;14,7;42,0;38,6;15,6;13,9;73,3;82,8;29,9;4,2015;8431,0
Canarias;2024;proyeccion;13,1;45,3;37,7;14,0;14,0;75,4;82,8;32,3;4,0653;8847,125
Canarias;2025;proyeccion;15,9;43,7;36,3;13,1;14,3;76,8778;82,8;33,7333;3,985;9263,25
Canarias;2026;proyeccion;15,9;43,7;35,0;13,1;14,3;78,3556;82,8;35,5994;3,9552;9679,375
Cantabria;2015;real;10,3;42,5;37,6;10,7;14,7;72,4;86,2;27,1;4,1821;6595,0
Cantabria;2016;real;8,6;42,7;36,5;9,0;15,6;71,6;79,0;28,0;4,2562;6917,0
Cantabria;2017;real;8,9;47,6;34,3;10,7;13,2;71,4;81,7;28,6;4,2219;6864,0
Cantabria;2018;real;9,8;49,9;31,3;11,6;11,3;72,9;83,7;30,1;4,2458;7183,0
Cantabria;2019;real;12,8;51,8;31,3;11,3;13,1;72,2;87,3;31,6;4,2916;7526,0
Cantabria;2020;real;9,1;55,4;32,3;11,9;13,7;78,8;87,4;29,6;4,7662;7738,0
Cantabria;2021;real;6,3;52,0;31,7;16,1;7,8;77,9;86,1;32,9;4,6084;8163,0
Cantabria;2022;real;9,0;52,4;29,8;16,5;11,0;77,2;84,6;35,5;4,1093;8639,0
Cantabria;2023;real;7,3;63,2;26,4;18,4;8,4;80,0;88,6;38,1;4,1299;9314,0
Cantabria;2024;proyeccion;5,5;61,9;26,4;16,1;7,6;81,3;88,6;39,3;4,0895;9653,875
Cantabria;2025;proyeccion;8,9;59,8;26,7;15,8;7,9;81,3;88,6;40,6556;4,0579;9993,75
Cantabria;2026;proyeccion;8,7727;59,8;26,7;15,8;6,5927;81,3;88,6;42,0111;4,0389;10333,625
Castilla y León;2015;real;16,7;43,5;42,5;10,8;15,4;67,2;83,2;21,2;3,3428;6399,0
Castilla y León;2016;real;17,3;43,0;41,9;9,6;14,8;68,3;78,5;21,3;3,349;6538,0
Castilla y León;2017;real;16,7;42,2;40,2;9,8;13,1;69,4;79,7;22,5;3,4012;6761,0
Castilla y León;2018;real;13,9;44,0;39,7;10,4;12,5;71,1;81,6;23,4;3,3502;6942,0
Castilla y León;2019;real;14,3;48,5;38,6;10,9;12,0;70,9;86,9;24,2;3,2759;7191,0
Castilla y León;2020;real;15,4;46,5;37,4;10,4;14,5;74,0;83,4;18,5;3,5661;7840,0
Castilla y León;2021;real;12,7;46,4;36,5;15,0;11,8;74,3;82,1;24,2;3,7815;8033,0
Castilla y León;2022;real;10,7;48,0;35,5;15,3;11,9;73,0;80,5;43,8;3,4349;8283,0
Castilla y León;2023;real;10,3;50,2;35,0;16,1;10,9;74,1;81,5;50,2;3,5507;8896,0
Castilla y León;2024;proyeccion;10,8;52,8;34,4;15,9;11,3;75,0;81,9333;54,3;3,5554;9208,125
Castilla y León;2025;proyeccion;10,2;52,3;33,2;15,3;11,2;75,8667;81,9333;54,3;3,4062;9520,25
Castilla y León;2026;proyeccion;10,2;53,2055;32,27;15,3;11,0992;76,7333;81,9333;54,3;3,2564;9832,375
Castilla-La Mancha;2015;real;20,8;33,4;50,5;9,6;22,4;62,3;75,4;32,5;3,9891;4885,0
Castilla-La Mancha;2016;real;23,2;33,9;50,9;8,9;20,3;62,7;68,8;33,9;4,2157;4988,0
Castilla-La Mancha;2017;real;22,1;34,6;50,5;9,2;17,6;64,2;72,8;34,3;4,214;5255,0
Castilla-La Mancha;2018;real;20,5;37,6;50,0;9,1;16,0;64,5;73,1;35,3;4,2595;5594,0
Castilla-La Mancha;2019;real;20,2;40,7;48,5;9,1;15,1;65,2;82,8;36,3;4,1513;5988,0
Castilla-La Mancha;2020;real;18,7;38,8;47,3;9,1;18,0;70,2;77,1;25,8;4,8368;6165,0
Castilla-La Mancha;2021;real;15,5;42,9;45,9;12,1;14,6;69,9;74,4;34,5;5,0579;6652,0
Castilla-La Mancha;2022;real;16,2;42,8;46,3;13,2;13,2;69,3;76,9;36,5;4,7056;6827,0
Castilla-La Mancha;2023;real;16,6;47,3;45,2;14,1;11,4;69,9;80,4;38,0;4,615;7306,0
Castilla-La Mancha;2024;proyeccion;14,6;47,9;45,1;14,3;13,5;69,9;75,7444;38,5;4,4524;7509,3889
Castilla-La Mancha;2025;proyeccion;15,7;47,4;44,1;14,0;11,8;69,9;75,7444;34,56;4,3726;7818,8222
Castilla-La Mancha;2026;proyeccion;15,7;50,3018;43,24;14,0;10,0873;69,9;75,7444;34,56;4,35;8128,2556
Cataluña;2015;real;18,9;43,7;41,2;7,6;18,4;77,9;82,9;36,9;2,4854;5197,0
Cataluña;2016;real;18,0;45,1;39,6;7,4;16,9;79,2;83,4;38,1;2,5282;5386,0
Cataluña;2017;real;17,0;46,6;39,2;7,7;15,0;80,7;83,9;38,7;2,5223;5557,0
Cataluña;2018;real;17,0;49,3;37,6;8,8;15,4;81,9;84,0;39,6;2,4354;5798,0
Cataluña;2019;real;19,0;51,6;36,3;9,3;15,1;83,4;86,8;40,2;2,5795;6024,0
Cataluña;2020;real;17,4;51,8;36,2;10,0;18,2;86,2;86,6;34,3;3,0853;6292,0
Cataluña;2021;real;14,9;53,1;35,1;12,9;15,3;87,3;85,4;39,9;2,823;6920,0
Cataluña;2022;real;17,5;54,4;34,1;12,9;13,4;88,7;85,9;43,9;2,9707;7192,0
Cataluña;2023;real;14,8;56,5;33,2;14,1;12,7;88,9;82,8;43,5;2,8323;8116,0
Cataluña;2024;proyeccion;13,7;57,5;31,8;16,0;11,9;89,3;82,8;44,1;2,7751;8480,875
Cataluña;2025;proyeccion;13,5;57,5;31,3;16,2;10,6;90,5667;82,8;44,1;2,6676;8845,75
Cataluña;2026;proyeccion;13,5782;58,88;30,31;17,0855;9,82;91,8333;82,8;44,1;2,7622;9210,625
Comunidad Foral de Navarra;2015;real;10,8;50,5;34,8;12,2;12,3;73,7;83,7;25,3;3,1261;6951,0
Comunidad Foral de Navarra;2016;real;13,4;52,3;32,1;11,8;14,1;73,5;82,1;26,5;3,1777;7128,0
Comunidad Foral de Navarra;2017;real;11,3;52,1;32,1;11,2;14,3;74,1;82,9;28,3;3,2659;7456,0
Comunidad Foral de Navarra;2018;real;11,4;53,4;31,3;12,2;10,6;75,2;83,4;29,5;3,2345;7622,0
Comunidad Foral de Navarra;2019;real;13,9;55,8;29,2;13,0;9,0;75,6;87,3;30,7;3,2745;7977,0
Comunidad Foral de Navarra;2020;real;10,8;56,1;28,8;13,6;12,9;78,0;86,5;26,2;3,9572;8478,0
Comunidad Foral de Navarra;2021;real;8,4;61,2;28,4;16,0;12,0;76,9;82,2;31,6;3,9455;8993,0
Comunidad Foral de Navarra;2022;real;5,2;57,7;28,3;18,0;11,8;76,8;84,7;34,8;3,8416;9446,0
Comunidad Foral de Navarra;2023;real;6,5;55,6;28,6;18,0;10,2;76,9;83,8;40,2;3,7641;9991,0
Comunidad Foral de Navarra;2024;proyeccion;9,9;60,4;26,9;18,2;9,8;75,9;84,0667;42,0;3,7668;10502,1423
Comunidad Foral de Navarra;2025;proyeccion;7,8;60,2;24,3;18,1;9,8;75,9;84,0667;42,0;3,7264;11018,9311
Comunidad Foral de Navarra;2026;proyeccion;7,8;60,2;24,3;18,1;9,8;75,9;84,0667;42,0;3,6016;11533,136
Comunidad Valenciana;2015;real;21,4;40,5;43,7;11,4;18,6;63,4;72,7;30,1;3,9434;5246,0
Comunidad Valenciana;2016;real;20,2;38,6;43,3;10,8;17,7;66,9;66,8;32,4;4,0145;5510,0
Comunidad Valenciana;2017;real;20,3;40,4;42,7;11,6;16,0;67,0;73,9;34,0;4,0439;5609,0
Comunidad Valenciana;2018;real;20,2;43,6;40,8;12,5;16,1;67,2;75,7;37,1;4,0515;5803,0
Comunidad Valenciana;2019;real;16,4;46,5;39,9;12,4;14,8;67,9;82,5;38,5;4,2423;6074,0
Comunidad Valenciana;2020;real;15,5;46,3;37,7;12,0;15,8;72,6;80,7;35,1;4,8316;6310,0
Comunidad Valenciana;2021;real;13,2;45,8;38,2;17,2;14,6;74,4;78,4;40,1;4,7692;6793,0
Comunidad Valenciana;2022;real;16,0;49,8;41,1;17,0;13,0;73,2;77,8;43,3;4,8067;7302,0
Comunidad Valenciana;2023;real;15,0;52,0;39,9;18,0;11,4;72,0;76,8;44,5;4,6062;6982,0
Comunidad Valenciana;2024;proyeccion;12,9;51,3;39,3;19,3;10,6;71,6;76,8;46,8;4,4511;7199,0
Comunidad Valenciana;2025;proyeccion;14,4;53,1;39,9;18,3;12,1;71,6;76,8;47,76;4,6757;7416,0
Comunidad Valenciana;2026;proyeccion;14,4;54,9164;39,9;18,3;11,45;71,6;76,8;49,5;4,6121;7633,0
Comunidad de Madrid;2015;real;15,6;49,0;28,5;11,1;16,0;68,0;81,6;45,1;NA;4593,0
Comunidad de Madrid;2016;real;14,6;48,1;28,9;10,8;14,8;68,3;76,9;47,5;NA;4591,0
Comunidad de Madrid;2017;real;13,9;51,0;27,1;11,5;13,6;69,3;79,4;49,2;NA;4727,0
Comunidad de Madrid;2018;real;14,4;51,9;27,7;12,1;11,1;69,4;80,1;50,7;NA;4892,0
Comunidad de Madrid;2019;real;11,9;54,4;25,9;11,8;10,6;69,6;86,4;53,0;NA;5144,0
Comunidad de Madrid;2020;real;10,0;56,5;24,1;12,4;13,0;74,7;83,5;46,1;NA;5607,0
Comunidad de Madrid;2021;real;9,8;56,4;25,6;15,6;10,2;73,3;81,6;52,1;NA;5886,0
Comunidad de Madrid;2022;real;11,2;57,1;24,4;17,0;9,7;73,1;81,9;55,1;NA;6039,0
Comunidad de Madrid;2023;real;11,4;60,2;26,0;16,7;10,2;73,1;83,7;56,5;NA;6502,0
Comunidad de Madrid;2024;proyeccion;10,5;58,6;25,8;16,1;10,6;73,4;81,6778;56,7;NA;6740,625
Comunidad de Madrid;2025;proyeccion;9,6;57,3;26,0;16,8;10,4;73,4;81,6778;56,7;NA;6979,25
Comunidad de Madrid;2026;proyeccion;9,6;57,3;26,0;16,8;10,4;73,4;81,6778;56,7;NA;7217,875
Extremadura;2015;real;24,5;38,1;56,5;9,5;23,3;66,1;79,7;29,3;5,5141;6255,0
Extremadura;2016;real;20,4;34,3;57,8;9,1;22,6;67,2;75,5;28,5;5,3289;6341,0
Extremadura;2017;real;19,2;37,2;56,9;9,3;21,5;68,2;78,3;29,2;5,0404;6539,0
Extremadura;2018;real;20,9;35,7;55,0;10,2;20,9;70,2;81,3;30,9;5,0273;6846,0
Extremadura;2019;real;20,5;37,9;53,7;10,2;20,0;70,2;87,8;32,1;5,0646;7253,0
Extremadura;2020;real;18,4;35,2;52,3;10,3;20,4;74,2;82,8;26,9;5,6255;7402,0
Extremadura;2021;real;14,3;38,8;50,3;12,6;17,0;74,9;81,6;35,1;5,5116;8020,0
Extremadura;2022;real;10,6;44,9;48,9;15,7;13,8;74,3;82,0;40,5;5,2535;8253,0
Extremadura;2023;real;9,9;47,1;46,4;15,7;12,6;76,2;84,2;42,7;5,1958;8875,0
Extremadura;2024;proyeccion;13,0;47,5;45,9;14,8;12,1;75,7;81,4667;43,5;5,1561;9202,5
Extremadura;2025;proyeccion;15,0;49,6;47,0;14,8;12,7;75,7;81,4667;43,5;4,8864;9530,0
Extremadura;2026;proyeccion;14,4803;49,6;46,05;14,8;12,7;75,7;81,4667;43,5;4,6808;9857,5
Galicia;2015;real;17,0;45,3;44,7;10,1;16,4;68,2;82,5;42,7;3,679;6460,0
Galicia;2016;real;15,2;45,0;43,5;9,2;15,7;69,2;77,2;43,7;3,7535;6598,0
Galicia;2017;real;14,9;47,0;42,7;9,4;14,3;70,0;80,2;46,0;3,7295;6932,0
Galicia;2018;real;14,3;47,7;41,1;10,4;12,0;72,4;81,0;47,3;3,7314;7134,0
Galicia;2019;real;12,6;48,7;39,4;10,8;12,3;72,8;88,0;49,5;3,7408;7404,0
Galicia;2020;real;12,0;49,4;37,5;11,6;13,4;78,2;86,2;42,6;4,2714;7747,0
Galicia;2021;real;8,7;49,9;36,7;15,0;10,3;78,8;83,8;50,3;4,177;8075,0
Galicia;2022;real;9,9;52,1;36,0;15,6;11,3;78,1;82,4;56,4;3,8409;8043,0
Galicia;2023;real;9,1;53,2;35,4;16,0;9,8;77,5;83,3;60,6;3,7365;8748,0
Galicia;2024;proyeccion;10,8;53,0;34,4;15,6;11,1;77,8;83,3;64,4;3,6364;8825,6111
Galicia;2025;proyeccion;10,4;53,3;32,6;14,7;11,1;77,8;83,3;64,4;3,5912;9098,7111
Galicia;2026;proyeccion;10,4;54,1;30,9431;14,7;10,2653;77,8;83,3;64,4;3,4484;9371,8111
Islas Baleares;2015;real;26,7;31,1;45,4;9,3;19,6;62,7;70,5;16,6;2,7075;5917,0
Islas Baleares;2016;real;26,8;32,5;42,3;8,7;19,9;64,1;70,6;20,3;2,7038;6379,0
Islas Baleares;2017;real;26,5;38,2;41,7;8,6;17,9;64,6;70,5;25,6;2,7831;6493,0
Islas Baleares;2018;real;24,4;36,2;42,4;10,1;14,8;65,9;75,1;26,4;NA;6767,0
Islas Baleares;2019;real;24,2;36,4;41,4;10,6;15,6;67,2;80,7;27,8;NA;7042,0
Islas Baleares;2020;real;21,3;40,1;37,1;11,3;21,4;72,6;81,0;24,3;NA;6945,0
Islas Baleares;2021;real;15,4;43,8;35,8;13,9;16,5;71,6;76,9;28,5;NA;7471,0
Islas Baleares;2022;real;17,3;39,8;38,7;13,9;15,2;72,5;78,5;33,0;3,0556;8064,0
Islas Baleares;2023;real;18,0;40,9;38,3;14,0;15,3;73,0;77,7;38,7;3,0015;8361,0
Islas Baleares;2024;proyeccion;20,1;44,2;38,9;15,4;13,5;73,6;77,7;42,8;3,0058;8666,5
Islas Baleares;2025;proyeccion;15,2;43,2;36,1;16,7;11,6;73,6;77,7;45,7111;3,0135;8972,0
Islas Baleares;2026;proyeccion;14,2018;45,8545;36,1;17,0036;11,6;73,6;77,7;48,6222;2,7586;9277,5
La Rioja;2015;real;21,5;42,6;37,0;9,8;17,6;68,0;78,1;35,8;2,905;5863,0
La Rioja;2016;real;17,8;43,7;39,7;9,8;14,8;67,5;69,3;36,0;3,1769;6052,0
La Rioja;2017;real;12,9;45,4;38,6;9,8;13,8;67,7;73,9;37,8;3,1159;6215,0
La Rioja;2018;real;17,1;46,2;38,2;10,7;13,2;70,2;76,4;39,3;3,2041;6420,0
La Rioja;2019;real;13,9;42,3;38,4;10,6;11,5;67,6;79,6;44,4;3,2644;6669,0
La Rioja;2020;real;14,6;40,4;38,0;10,5;11,3;73,1;79,8;40,7;3,6589;7121,0
La Rioja;2021;real;13,1;44,0;36,2;14,0;11,3;73,3;77,0;50,4;3,9498;7912,0
La Rioja;2022;real;11,8;46,7;33,9;13,6;12,3;71,4;74,2;52,9;3,5609;8558,0
La Rioja;2023;real;9,7;49,8;38,0;13,5;10,9;74,4;79,7;56,2;3,5131;8966,0
La Rioja;2024;proyeccion;17,0;57,7;36,6;14,5;13,1;73,7;76,4444;56,9;3,6282;9358,4966
La Rioja;2025;proyeccion;15,5;48,9;35,8;14,8;10,5;73,7;76,4444;56,9;3,7774;9736,0789
La Rioja;2026;proyeccion;14,9;48,9;37,3091;14,8;10,5;73,7;76,4444;56,9;3,5371;10099,3135
País Vasco;2015;real;9,7;56,2;30,1;12,9;12,8;76,0;86,6;52,6;3,9106;8973,0
País Vasco;2016;real;7,9;57,3;29,5;11,7;11,4;76,2;86,0;53,1;3,8488;9054,0
País Vasco;2017;real;7,0;57,5;28,8;13,2;9,0;76,3;85,9;54,1;3,7829;9298,0
País Vasco;2018;real;6,9;59,4;28,3;12,7;8,2;77,1;86,1;55,9;3,7311;9415,0
País Vasco;2019;real;6,7;60,8;27,9;13,0;8,8;77,8;89,5;56,2;3,7836;9944,0
País Vasco;2020;real;6,5;61,7;24,7;13,1;12,1;80,5;89,7;50,6;4,3282;10214,0
País Vasco;2021;real;5,3;64,4;23,9;16,7;10,9;80,0;86,8;54,6;4,0701;10984,0
País Vasco;2022;real;6,1;64,2;23,4;17,4;9,4;80,0;86,7;56,3;3,7507;11880,0
País Vasco;2023;real;6,7;67,6;22,1;18,2;8,0;80,3;86,3;60,6;3,7488;12484,0
País Vasco;2024;proyeccion;5,0;67,8;20,8;18,4;9,1;80,1;86,3;59,1;3,7651;12922,875
País Vasco;2025;proyeccion;3,6;68,6;20,3;19,8;7,2;80,1;86,3;59,1;3,7836;13361,75
País Vasco;2026;proyeccion;3,9818;70,3636;19,32;20,49;9,7182;80,1;86,3;59,1;3,7774;13800,625
Principado de Asturias;2015;real;16,8;51,6;36,7;8,9;17,8;70,5;88,0;20,6;3,3773;6679,0
Principado de Asturias;2016;real;16,6;52,7;35,7;8,4;18,6;71,5;80,3;20,7;3,418;6785,0
Principado de Asturias;2017;real;14,8;53,3;34,9;9,0;16,0;72,0;83,3;21,7;3,3257;6927,0
Principado de Asturias;2018;real;12,6;52,8;33,2;8,6;15,5;73,7;84,7;23,1;3,3381;7053,0
Principado de Asturias;2019;real;12,4;51,9;33,1;8,7;17,1;73,9;90,1;24,9;3,394;7377,0
Principado de Asturias;2020;real;8,9;54,0;31,1;11,1;16,8;78,6;87,5;23,7;3,9544;7702,0
Principado de Asturias;2021;real;12,2;55,3;30,9;14,6;13,2;79,2;87,3;27,3;3,7868;8140,0
Principado de Asturias;2022;real;11,9;54,4;32,1;15,7;13,7;78,9;85,5;28,5;3,532;8588,0
Principado de Asturias;2023;real;10,5;55,2;30,6;16,1;14,0;80,5;89,9;30,7;3,5242;9062,0
Principado de Asturias;2024;proyeccion;10,5;58,0;28,5;16,3;11,6;80,0;89,1222;31,9;3,4727;9531,609
Principado de Asturias;2025;proyeccion;10,6;55,0;26,1;15,4;12,1;80,0;89,6889;33,1556;3,5034;9999,8293
Principado de Asturias;2026;proyeccion;10,6;56,7727;26,6764;15,4;11,3091;80,0;90,2556;34,4111;3,6229;10465,7085
Región de Murcia;2015;real;23,6;33,6;50,6;9,9;22,5;61,8;78,1;17,9;4,4615;5074,0
Región de Murcia;2016;real;26,4;34,9;49,9;10,1;18,7;61,8;73,6;19,1;4,4515;5159,0
Región de Murcia;2017;real;23,1;36,3;48,3;11,5;17,2;63,4;75,1;18,8;4,3346;5262,0
Región de Murcia;2018;real;24,1;38,7;46,9;12,2;15,3;64,2;74,1;18,4;4,4486;5391,0
Región de Murcia;2019;real;22,6;37,3;47,5;12,2;15,4;66,9;78,8;21,0;4,4502;5725,0
Región de Murcia;2020;real;18,7;41,0;45,9;12,8;15,2;70,8;75,5;17,8;5,1667;5973,0
Región de Murcia;2021;real;16,6;38,9;45,0;13,7;14,6;69,5;73,3;21,8;4,8309;6192,0
Región de Murcia;2022;real;18,4;39,1;47,6;13,9;13,9;68,8;76,5;24,5;4,5242;6337,0
Región de Murcia;2023;real;19,2;42,3;45,5;15,8;14,8;69,0;79,0;31,5;4,5855;6827,0
Región de Murcia;2024;proyeccion;18,2;41,6;45,8;16,1;13,9;70,8;76,0;36,4;5,1121;7046,125
Región de Murcia;2025;proyeccion;20,6;44,3;44,1;15,8;12,5;70,8;76,0;38,4556;5,2327;7265,25
Región de Murcia;2026;proyeccion;20,6;44,4018;43,8236;16,98;12,5;70,8;76,0;40,5111;4,9623;7484,375
