indicador_id,indicador,modelo,n_series,mae_medio,mape_medio,nmae_medio
8,Tasa de temporalidad,RWD,60,1.357970265200798,8.158772386903179,0.07701963959934936
8,Tasa de temporalidad,WindowAverage,60,1.5006249999999999,9.08054128318304,0.0868031833764289
8,Tasa de temporalidad,Prophet,60,1.6444651021967402,9.90698351609915,0.09585299748733059
8,Tasa de temporalidad,SeasonalNaive,60,1.75375,10.472525737186933,0.10066568670914221
8,Tasa de temporalidad,HistoricAverage,60,7.60080284941515,49.69786206579632,0.4882418315832829
9,Tasa de parcialidad,AutoTheta,60,0.921385605627924,8.169720156679698,0.08001331337278385
9,Tasa de parcialidad,AutoETS,60,0.9246721575554547,8.268575183769972,0.08103956350320528
9,Tasa de parcialidad,AutoARIMA,60,0.9212155309449448,8.400594580441211,0.08167451420687279
9,Tasa de parcialidad,Naive,60,1.0754166666666665,9.253293369502021,0.09081236775926645
9,Tasa de parcialidad,RWD,60,1.0861973522589599,9.35789016479412,0.09181244773270672
9,Tasa de parcialidad,WindowAverage,60,1.1180208333333332,10.078791364400294,0.09712695473548429
9,Tasa de parcialidad,Prophet,60,1.0697769474096714,10.099941466088643,0.09723998001872068
9,Tasa de parcialidad,SeasonalNaive,60,1.3604166666666666,12.29552876559835,0.11773801031884909
9,Tasa de parcialidad,HistoricAverage,60,1.8770704391201258,16.08659058397402,0.15386166514030344
10,Brecha salarial de género,Naive,18,1.557092592592593,12.921951530616866,0.12371858664207967
10,Brecha salarial de género,SeasonalNaive,18,1.557092592592593,12.921951530616866,0.12371858664207967
10,Brecha salarial de género,RWD,18,1.5534882586549257,13.094484649745873,0.1268517888775554
10,Brecha salarial de género,AutoETS,18,1.710954296320838,14.539393697038385,0.1379954785808054
10,Brecha salarial de género,AutoTheta,18,1.754569128237956,14.88047802301971,0.14164010514532727
10,Brecha salarial de género,AutoARIMA,18,1.9178501225969182,15.46178842133185,0.1487252591209058
10,Brecha salarial de género,Prophet,18,2.046270413918965,16.69932689907473,0.1590795258495367
10,Brecha salarial de género,WindowAverage,18,2.048364197530864,17.208854426261453,0.16334624166690084
10,Brecha salarial de género,HistoricAverage,18,5.5109483618233615,42.249896235081664,0.4124934493296321
11,% del salario dedicado al alquiler,AutoTheta,51,1.3703243796592925,3.4960177994381034,0.03552517876886307
11,% del salario dedicado al alquiler,RWD,51,1.4748943431296375,3.7600256204242,0.03818274445858668
11,% del salario dedicado al alquiler,AutoARIMA,51,1.5257666720788194,3.9207462521858116,0.039681543876421733
11,% del salario dedicado al alquiler,Naive,51,1.5867320261437912,3.9831866314682496,0.040524172988671815
11,% del salario dedicado al alquiler,SeasonalNaive,51,1.5867320261437912,3.9831866314682496,0.040524172988671815
11,% del salario dedicado al alquiler,AutoETS,51,1.5901621951513385,3.9961268592695243,0.0406509280977184
11,% del salario dedicado al alquiler,WindowAverage,51,2.158823529411764,5.3662188578097645,0.05481449296728208
11,% del salario dedicado al alquiler,Prophet,51,2.4324548615059136,6.765148196843449,0.06792315202274209
11,% del salario dedicado al alquiler,HistoricAverage,51,4.143077461753932,10.858297853859382,0.1102398978272834
