modelo,mape,mae,rmse,nmae,modelo_mas_preciso,aplicó_parsimonia,metrica_seleccion,unique_id,periodicidad
Prophet,0.7218462998616825,0.37034436648239044,0.4110646051615836,0.007255252551325113,Prophet,False,mape,2|Cantabria|Mujeres,trimestral
AutoETS,0.5026251169318703,0.271727234742853,0.33649678423864543,0.004997971853457544,AutoETS,False,mape,2|Castilla y León|Ambos géneros,trimestral
AutoTheta,0.5805221103179525,0.3453573465561277,0.3518514936867751,0.005806032808912331,AutoETS,True,mape,2|Castilla y León|Hombres,trimestral
SeasonalNaive,0.8182540752978966,0.40250000000000163,0.5236649692312851,0.008139123401243651,SeasonalNaive,False,mape,2|Castilla y León|Mujeres,trimestral
Prophet,0.4331489594358526,0.25615612060176396,0.2880103978772236,0.004340341773232752,Prophet,False,mape,2|Castilla-La Mancha|Ambos géneros,trimestral
Naive,1.023678524420939,0.6699999999999982,0.7274613391789252,0.01025562528700441,AutoTheta,True,mape,2|Castilla-La Mancha|Hombres,trimestral
Naive,0.989297639172862,0.5225000000000026,0.6918272905863168,0.009920258211505651,AutoARIMA,True,mape,2|Castilla-La Mancha|Mujeres,trimestral
SeasonalNaive,0.5298904568691256,0.32750000000000057,0.35259750424528064,0.005295710878441211,SeasonalNaive,False,mape,2|Cataluña|Ambos géneros,trimestral
SeasonalNaive,0.3113301055654483,0.20749999999999957,0.29660579899927497,0.003121122099800693,SeasonalNaive,False,mape,2|Cataluña|Hombres,trimestral
HistoricAverage,0.9931390846033916,0.5717791259952083,0.6353221892403053,0.009963912625167,HistoricAverage,False,mape,2|Cataluña|Mujeres,trimestral
Prophet,4.465430800855667,2.8336311955383042,3.043002173860123,0.04506410934380255,Prophet,False,mape,2|Ceuta|Ambos géneros,trimestral
Naive,4.34480998682457,3.099999999999998,3.834638183714336,0.044705627861700944,RWD,True,mape,2|Ceuta|Hombres,trimestral
WindowAverage,4.956626089201661,2.7837500000000013,2.815993247284163,0.04942957340080795,Prophet,True,mape,2|Ceuta|Mujeres,trimestral
SeasonalNaive,0.657412913321942,0.38500000000000156,0.5500000000000022,0.006525423728813586,SeasonalNaive,False,mape,2|Comunidad Foral de Navarra|Ambos géneros,trimestral
SeasonalNaive,0.7725518697395747,0.49499999999999744,0.5871541535235841,0.007747994521619995,SeasonalNaive,False,mape,2|Comunidad Foral de Navarra|Hombres,trimestral
SeasonalNaive,1.4181752089438007,0.7624999999999993,1.0783900036628669,0.014058538833832668,SeasonalNaive,False,mape,2|Comunidad Foral de Navarra|Mujeres,trimestral
WindowAverage,0.44800759597065654,0.2828124999999986,0.3097409451864577,0.0044770064904226465,WindowAverage,False,mape,2|Comunidad de Madrid|Ambos géneros,trimestral
WindowAverage,0.4362537124599061,0.2934374999999996,0.3885203300665219,0.004347222222222217,WindowAverage,False,mape,2|Comunidad de Madrid|Hombres,trimestral
AutoARIMA,0.4715048399815786,0.27977077784969673,0.30211042380777303,0.0047208737034329755,AutoARIMA,False,mape,2|Comunidad de Madrid|Mujeres,trimestral
HistoricAverage,0.42815375869251115,0.2522545610132152,0.2899162482307012,0.004284214691121182,HistoricAverage,False,mape,2|Comunitat Valenciana|Ambos géneros,trimestral
AutoTheta,0.31018170310667303,0.199227726188699,0.25477125368135894,0.003108925622263473,AutoETS,True,mape,2|Comunitat Valenciana|Hombres,trimestral
WindowAverage,0.9002555224223315,0.48499999999999943,0.4999632799016333,0.00899939694762721,WindowAverage,False,mape,2|Comunitat Valenciana|Mujeres,trimestral
Prophet,0.7937443417804142,0.440730490831891,0.6244595015277119,0.007964409140851881,Prophet,False,mape,2|Extremadura|Ambos géneros,trimestral
WindowAverage,0.33511256904603265,0.20218749999999908,0.2184220756356833,0.0033521926552267114,WindowAverage,False,mape,2|Extremadura|Hombres,trimestral
Prophet,2.0728909608868284,1.0522832315871646,1.2569771225189812,0.02082389020110156,Prophet,False,mape,2|Extremadura|Mujeres,trimestral
Naive,0.5488826357048201,0.29499999999999993,0.33249060137092634,0.00547945205479452,Naive,False,mape,2|Galicia|Ambos géneros,trimestral
AutoARIMA,0.3914942874785662,0.22225176423473236,0.25474531973952375,0.003916675728870074,AutoARIMA,False,mape,2|Galicia|Hombres,trimestral
RWD,0.7935985252263973,0.40620787166444394,0.496198184436054,0.00793646015072425,RWD,False,mape,2|Galicia|Mujeres,trimestral
Prophet,0.3645910100278489,0.23230222998209626,0.2605660807994653,0.0036212350737661143,Prophet,False,mape,2|Illes Balears|Ambos géneros,trimestral
Prophet,0.6638083523058179,0.44390094602145425,0.5510455240539488,0.0064933398576917795,Prophet,False,mape,2|Illes Balears|Hombres,trimestral
AutoETS,0.9549184279999978,0.5742498328302403,0.6636408384262363,0.00956684436201983,AutoETS,False,mape,2|Illes Balears|Mujeres,trimestral
HistoricAverage,1.0940799428044716,0.6403011635367584,0.8422034746647873,0.010826413552635725,HistoricAverage,False,mape,2|La Rioja|Ambos géneros,trimestral
AutoTheta,0.37901277890274143,0.23878522021367132,0.29280425482891714,0.0037725763522185214,AutoTheta,False,mape,2|La Rioja|Hombres,trimestral
Naive,2.5852164648139455,1.4024999999999999,1.7683113413649751,0.025437562346966532,RWD,True,mape,2|La Rioja|Mujeres,trimestral
AutoTheta,4.637609580444797,2.442771570132315,3.193441967708183,0.04619898950604851,AutoETS,True,mape,2|Melilla|Ambos géneros,trimestral
Naive,5.275807580868687,3.025000000000002,3.9540675259787883,0.05161455445122215,Naive,False,mape,2|Melilla|Hombres,trimestral
