modelo,mape,mae,rmse,nmae,modelo_mas_preciso,aplicó_parsimonia,metrica_seleccion,unique_id,periodicidad
WindowAverage,4.895172845076191,0.6581250000000001,0.7489351816078614,0.04772480058013053,WindowAverage,False,mape,1|Región de Murcia|Mujeres,trimestral
AutoETS,2.84901931645073,0.29294486947935017,0.30405307055871705,0.028235650070298813,AutoARIMA,True,mape,1|Total Nacional|Ambos géneros,trimestral
AutoARIMA,1.5198482604698982,0.14118744414526807,0.17693188826476636,0.015515103752227262,AutoARIMA,False,mape,1|Total Nacional|Hombres,trimestral
Prophet,1.631813036372815,0.19676783699895717,0.2352478148213183,0.016675240423640436,Prophet,False,mape,1|Total Nacional|Mujeres,trimestral
Prophet,0.6184085748533865,0.3546361285842181,0.41913835385000425,0.0061904626416621105,Prophet,False,mape,2|Andalucía|Ambos géneros,trimestral
Prophet,0.43640768930963036,0.27712393706786287,0.4173929228810461,0.004394955785708712,Prophet,False,mape,2|Andalucía|Hombres,trimestral
AutoARIMA,0.7786982811461972,0.40532185315712255,0.5637875218254872,0.007828146456609968,AutoARIMA,False,mape,2|Andalucía|Mujeres,trimestral
SeasonalNaive,0.7042034602857107,0.41000000000000014,0.5145386282875172,0.007003758114110013,SeasonalNaive,False,mape,2|Aragón|Ambos géneros,trimestral
SeasonalNaive,0.904106938684524,0.567499999999999,0.7333314393914938,0.008958168902920269,SeasonalNaive,False,mape,2|Aragón|Hombres,trimestral
WindowAverage,1.0378343976870967,0.5596874999999972,0.7556529151171182,0.010399247491638744,AutoTheta,True,mape,2|Aragón|Mujeres,trimestral
AutoETS,0.3620510723279599,0.2178672093641385,0.29085960205969336,0.0036294566551020534,AutoETS,False,mape,2|Canarias|Ambos géneros,trimestral
Naive,0.3691597515775701,0.23749999999999716,0.27225906780123693,0.003693480035768394,AutoARIMA,True,mape,2|Canarias|Hombres,trimestral
AutoARIMA,0.4484270661088833,0.25239715824530506,0.36968902875804116,0.004514145463810509,AutoARIMA,False,mape,2|Canarias|Mujeres,trimestral
Prophet,0.5387368558009915,0.2965391935795143,0.3798162683947731,0.005357528339286618,Prophet,False,mape,2|Cantabria|Ambos géneros,trimestral
RWD,0.6907564285744414,0.41425066522289633,0.5225772866076175,0.006904753149810756,RWD,False,mape,2|Cantabria|Hombres,trimestral
