indicador_id,indicador,unidad,territorio_cod,territorio,genero,anyo,trimestre,periodo,periodicidad,t_index,valor,origen,fuente,flag_missing,flag_outlier,algoritmo,modelo_mape,modelo_mae,aplico_parsimonia
1,Tasa de paro,%,01,Andalucía,Ambos géneros,2026,4.0,2026T4,trimestral,2026.75,13.869,proyeccion,INE · EPA,False,False,AutoTheta,1.6440006361695454,0.24458277138767537,False
1,Tasa de paro,%,01,Andalucía,Hombres,2010,1.0,2010T1,trimestral,2010.0,26.6,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2010,2.0,2010T2,trimestral,2010.25,26.81,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2010,3.0,2010T3,trimestral,2010.5,26.82,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2010,4.0,2010T4,trimestral,2010.75,26.54,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2011,1.0,2011T1,trimestral,2011.0,27.77,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2011,2.0,2011T2,trimestral,2011.25,28.1,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2011,3.0,2011T3,trimestral,2011.5,29.18,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2011,4.0,2011T4,trimestral,2011.75,29.7,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2012,1.0,2012T1,trimestral,2012.0,31.58,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2012,2.0,2012T2,trimestral,2012.25,33.15,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2012,3.0,2012T3,trimestral,2012.5,34.7,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2012,4.0,2012T4,trimestral,2012.75,34.26,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2013,1.0,2013T1,trimestral,2013.0,35.73,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2013,2.0,2013T2,trimestral,2013.25,34.55,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2013,3.0,2013T3,trimestral,2013.5,34.75,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2013,4.0,2013T4,trimestral,2013.75,34.08,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2014,1.0,2014T1,trimestral,2014.0,33.39,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2014,2.0,2014T2,trimestral,2014.25,32.92,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2014,3.0,2014T3,trimestral,2014.5,32.84,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2014,4.0,2014T4,trimestral,2014.75,31.67,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2015,1.0,2015T1,trimestral,2015.0,30.89,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2015,2.0,2015T2,trimestral,2015.25,28.65,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2015,3.0,2015T3,trimestral,2015.5,29.5,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2015,4.0,2015T4,trimestral,2015.75,27.29,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2016,1.0,2016T1,trimestral,2016.0,26.85,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2016,2.0,2016T2,trimestral,2016.25,26.66,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2016,3.0,2016T3,trimestral,2016.5,25.59,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2016,4.0,2016T4,trimestral,2016.75,25.7,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2017,1.0,2017T1,trimestral,2017.0,24.22,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2017,2.0,2017T2,trimestral,2017.25,23.29,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2017,3.0,2017T3,trimestral,2017.5,22.61,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2017,4.0,2017T4,trimestral,2017.75,21.63,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2018,1.0,2018T1,trimestral,2018.0,21.55,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2018,2.0,2018T2,trimestral,2018.25,20.15,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2018,3.0,2018T3,trimestral,2018.5,19.41,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2018,4.0,2018T4,trimestral,2018.75,17.92,real,INE · EPA,False,False,RWD,,,False
1,Tasa de paro,%,01,Andalucía,Hombres,2019,1.0,2019T1,trimestral,2019.0,17.49,real,INE · EPA,False,False,RWD,,,False
