year,month,fecha,file_idx,sheet_name,ncol,nrow,col_signature,first_row,second_row,tipo_hoja,periodo
2024,10,2024-10-01,1,8CuantíaPEVteleasist_CCAA,17,31,Tipo Prestación...1 | PE Vinculada al Servicio...2 | Prestación económica vinculada al Servicio de Teleasistencia | ...4 | ...5 | ...6 | ...7 | ...8 | Tipo Prestación...9 | PE Vinculada al Servicio...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | Total de prestaciones,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,10,2024-10-01,1,9TiempoEspera,17,33,9. TIEMPO MEDIO DE RESOLUCIÓN POR CCAA | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17,NA | Situación a 31 de octubre de 2024 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,10,2024-10-01,1,10pendResol,16,35,Tipo Prestación...1 | Ayuda a Domicilio | ...3 | ...4 | ...5 | ...6 | ...7 | Tipo Prestación...8 | PE Vinculada al Servicio | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | Total de prestaciones,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,10,2024-10-01,1,10pendPrest,17,32,Tipo Prestación...1 | Ayuda a Domicilio | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | Tipo Prestación...9 | PE Vinculada al Servicio | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | Total de prestaciones,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,10,2024-10-01,1,10pend,14,33,Tipo Prestación | Ayuda a Domicilio | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | Total de prestaciones,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,10,2024-10-01,1,11ListaEspera,16,26,11. PERSONAS BENEFICIARIAS CON DERECHO Y RESOLUCIONES DE PIA POR CCAA. TODOS LOS GRADOS | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,Situación a 31 de octubre de 2024 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,10,2024-10-01,1,11ListaEsperaGIII,16,26,11.1. PERSONAS BENEFICIARIAS CON DERECHO Y RESOLUCIONES DE PIA POR CCAA. GRADO III | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,Situación a 31 de octubre de 2024 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,10,2024-10-01,1,11ListaEsperaGII,16,26,11.2. PERSONAS BENEFICIARIAS CON DERECHO Y RESOLUCIONES DE PIA POR CCAA. GRADO II | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,Situación a 31 de octubre de 2024 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,10,2024-10-01,1,11ListaEsperaGI,16,26,11.3. PERSONAS BENEFICIARIAS CON DERECHO Y RESOLUCIONES DE PIA POR CCAA. GRADO I | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,Situación a 31 de octubre de 2024 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,10,2024-10-01,1,12BenefEfect,16,29,12. PERSONAS CON RESOLUCIÓN DE PIA Y PRESTACIÓN EFECTIVA O NO EFECTIVA | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16,Situación a 31 de octubre de 2024 | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,benpresaad_v2,post
2024,11,2024-11-01,1,porsaad,1,9,INFORMACIÓN ESTADÍSTICA DEL,SISTEMA PARA LA AUTONOMÍA Y ATENCIÓN A LA DEPENDENCIA,NA,otros,post
2024,11,2024-11-01,1,indsaad,16,28,...1 | ÍNDICE (1/2) | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,INFORMACIÓN INCORPORADA AL SISAAD SOBRE EXPEDIENTES EN VIGOR A | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | 45626,otros,post
2024,11,2024-11-01,1,indsaad2,16,32,...1 | ÍNDICE (2/2) | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,INFORMACIÓN INCORPORADA AL SISAAD SOBRE EXPEDIENTES EN VIGOR A | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | 45626,otros,post
2024,11,2024-11-01,1,EVO,23,40,1.1. EVOLUCIÓN DE LAS PRINCIPALES VARIABLES | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | Total nacional | NA | NA | NA | NA | NA | NA | NA | NA | Tasas de variación anual | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,EVO_sol,23,24,1.2. EVOLUCIÓN DE LAS SOLICITUDES POR CCAA | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | Número | NA | NA | NA | NA | NA | NA | NA | NA | Tasas de variación anual | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,EVO_resol,23,24,1.3. EVOLUCIÓN DE LAS RESOLUCIONES DE GRADO POR CCAA | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | Número | NA | NA | NA | NA | NA | NA | NA | NA | Tasas de variación anual | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,EVO_derecho,23,24,1.4. EVOLUCIÓN DE LAS PERSONAS CON DERECHO A PRESTACIÓN POR CCAA | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | Número | NA | NA | NA | NA | NA | NA | NA | NA | Tasas de variación anual | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,EVO_resolPIA,23,24,1.5. EVOLUCIÓN DE LAS RESOLUCIONES DE PIA POR CCAA | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | Número | NA | NA | NA | NA | NA | NA | NA | NA | Tasas de variación anual | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,EVO_sinPIA,23,24,1.6. EVOLUCIÓN DE LAS PERSONAS CON DERECHO A PRESTACIÓN SIN RESOLUCIONES DE PIA POR CCAA | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | Número | NA | NA | NA | NA | NA | NA | NA | NA | Tasas de variación anual | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,EVO_prest,23,24,1.7. EVOLUCIÓN DE LAS PRESTACIONES POR CCAA | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | ...10 | ...11 | ...12 | ...13 | ...14 | ...15 | ...16 | ...17 | ...18 | ...19 | ...20 | ...21 | ...22 | ...23,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | Número | NA | NA | NA | NA | NA | NA | NA | NA | Tasas de variación anual | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,20pobl,35,33,...1 | ...2 | ...3 | ...4 | ...5 | ...6 | ...7 | ...8 | ...9 | 0 a 64...10 | ...11 | 0 a 64...12 | ...13 | 0 a 64...14 | ...15 | ...16 | 65 a 79...17 | ...18 | 65 a 79...19 | ...20 | 65 a 79...21 | ...22 | ...23 | 80 y +...24 | ...25 | 80 y +...26 | ...27 | 80 y +...28 | ...29 | ...30 | ...31 | ...32 | ...33 | ...34 | ...35,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA | NA,otros,post
2024,11,2024-11-01,1,21solsaad,9,28,...1 | ...2 | ...3 | ...4 | ...5 | Mujer | ...7 | ...8 | Hombre,NA | NA | NA | NA | NA | NA | NA | NA | NA,NA | NA | NA | NA | NA | NA | NA | NA | NA,solsaad,post
