comunidades_autónomas;periodo;género;trastornos;benzodiacepinas;máximo_histórico_alquiler;precio_alquiler;precio_venta;máximo_histórico_venta;dificultades_medias_altas_para_llegar_a_fin_de_mes;población_con_gasto_elevado_en_vivienda;retrasos_en_los_pagos;población_con_falta_de_espacio_en_la_vivienda;desigualdad_en_la_distribución_de_ingresos_s80s20_y_coeficiente_de_gini;total;social_pib;empleo_pib;vivienda_pib;sanidad_pib;educacion_pib;cultura_pib;psector_pib;energía_pib;turismo_pib;altocargo_pib
00 Media Estatal;2017;hombres;8,774;6,133;;;;;;;;;Gini (con alquiler imputado);31,1;;;;;;;;;;
00 Media Estatal;2017;mujeres;17,094;12,142;;;;;;;;;Distribución de la renta S80/S20;6,6;;;;;;;;;;
00 Media Estatal;2017;mujeres;17,094;12,142;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5,4;;;;;;;;;;
00 Media Estatal;2017;mujeres;17,094;12,142;;;;;;;;;Gini;34,1;;;;;;;;;;
00 Media Estatal;2017;mujeres;17,094;12,142;;;;;;;;;Gini (con alquiler imputado);31,1;;;;;;;;;;
00 Media Estatal;2017;total;13,02;9,561;;;;;;;;;Distribución de la renta S80/S20;6,6;;;;;;;;;;
00 Media Estatal;2017;total;13,02;9,561;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5,4;;;;;;;;;;
00 Media Estatal;2017;total;13,02;9,561;;;;;;;;;Gini;34,1;;;;;;;;;;
00 Media Estatal;2017;total;13,02;9,561;;;;;;;;;Gini (con alquiler imputado);31,1;;;;;;;;;;
00 Media Estatal;2018;hombres;8,931;7,417;;;;;;;;;Distribución de la renta S80/S20;6;;;;;;;;;;
00 Media Estatal;2018;hombres;8,931;7,417;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5,1;;;;;;;;;;
00 Media Estatal;2018;hombres;8,931;7,417;;;;;;;;;Gini;33,2;;;;;;;;;;
00 Media Estatal;2018;hombres;8,931;7,417;;;;;;;;;Gini (con alquiler imputado);30,4;;;;;;;;;;
00 Media Estatal;2018;mujeres;17,091;14,252;;;;;;;;;Distribución de la renta S80/S20;6;;;;;;;;;;
00 Media Estatal;2018;mujeres;17,091;14,252;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5,1;;;;;;;;;;
00 Media Estatal;2018;mujeres;17,091;14,252;;;;;;;;;Gini;33,2;;;;;;;;;;
00 Media Estatal;2018;mujeres;17,091;14,252;;;;;;;;;Gini (con alquiler imputado);30,4;;;;;;;;;;
00 Media Estatal;2018;total;13,095;11,301;;;;;;;;;Distribución de la renta S80/S20;6;;;;;;;;;;
00 Media Estatal;2018;total;13,095;11,301;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5,1;;;;;;;;;;
00 Media Estatal;2018;total;13,095;11,301;;;;;;;;;Gini;33,2;;;;;;;;;;
00 Media Estatal;2018;total;13,095;11,301;;;;;;;;;Gini (con alquiler imputado);30,4;;;;;;;;;;
00 Media Estatal;2019;hombres;11,049;7,586;;;;;;;;;Distribución de la renta S80/S20;5,9;;;;;;;;;;
00 Media Estatal;2019;hombres;11,049;7,586;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5;;;;;;;;;;
00 Media Estatal;2019;hombres;11,049;7,586;;;;;;;;;Gini;33;;;;;;;;;;
00 Media Estatal;2019;hombres;11,049;7,586;;;;;;;;;Gini (con alquiler imputado);30,4;;;;;;;;;;
00 Media Estatal;2019;mujeres;20,505;14,557;;;;;;;;;Distribución de la renta S80/S20;5,9;;;;;;;;;;
00 Media Estatal;2019;mujeres;20,505;14,557;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5;;;;;;;;;;
00 Media Estatal;2019;mujeres;20,505;14,557;;;;;;;;;Gini;33;;;;;;;;;;
00 Media Estatal;2019;mujeres;20,505;14,557;;;;;;;;;Gini (con alquiler imputado);30,4;;;;;;;;;;
00 Media Estatal;2019;total;15,876;11,542;;;;;;;;;Distribución de la renta S80/S20;5,9;;;;;;;;;;
00 Media Estatal;2019;total;15,876;11,542;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5;;;;;;;;;;
00 Media Estatal;2019;total;15,876;11,542;;;;;;;;;Gini;33;;;;;;;;;;
00 Media Estatal;2019;total;15,876;11,542;;;;;;;;;Gini (con alquiler imputado);30,4;;;;;;;;;;
00 Media Estatal;2020;hombres;11,447;7,202;;;;;;;;;Distribución de la renta S80/S20;5,8;;;;;;;;;;
00 Media Estatal;2020;hombres;11,447;7,202;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);4,9;;;;;;;;;;
00 Media Estatal;2020;hombres;11,447;7,202;;;;;;;;;Gini;32,1;;;;;;;;;;
00 Media Estatal;2020;hombres;11,447;7,202;;;;;;;;;Gini (con alquiler imputado);29,6;;;;;;;;;;
00 Media Estatal;2020;mujeres;21,134;14,078;;;;;;;;;Distribución de la renta S80/S20;5,8;;;;;;;;;;
00 Media Estatal;2020;mujeres;21,134;14,078;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);4,9;;;;;;;;;;
00 Media Estatal;2020;mujeres;21,134;14,078;;;;;;;;;Gini;32,1;;;;;;;;;;
00 Media Estatal;2020;mujeres;21,134;14,078;;;;;;;;;Gini (con alquiler imputado);29,6;;;;;;;;;;
00 Media Estatal;2020;total;16,391;11,101;;;;;;;;;Distribución de la renta S80/S20;5,8;;;;;;;;;;
00 Media Estatal;2020;total;16,391;11,101;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);4,9;;;;;;;;;;
00 Media Estatal;2020;total;16,391;11,101;;;;;;;;;Gini;32,1;;;;;;;;;;
00 Media Estatal;2020;total;16,391;11,101;;;;;;;;;Gini (con alquiler imputado);29,6;;;;;;;;;;
00 Media Estatal;2021;hombres;11,702;7,558;;;;;;;;;Distribución de la renta S80/S20;6,2;;;;;;;;;;
00 Media Estatal;2021;hombres;11,702;7,558;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5,2;;;;;;;;;;
00 Media Estatal;2021;hombres;11,702;7,558;;;;;;;;;Gini;33;;;;;;;;;;
00 Media Estatal;2021;hombres;11,702;7,558;;;;;;;;;Gini (con alquiler imputado);30,3;;;;;;;;;;
00 Media Estatal;2021;mujeres;21,438;14,588;;;;;;;;;Distribución de la renta S80/S20;6,2;;;;;;;;;;
00 Media Estatal;2021;mujeres;21,438;14,588;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5,2;;;;;;;;;;
00 Media Estatal;2021;mujeres;21,438;14,588;;;;;;;;;Gini;33;;;;;;;;;;
00 Media Estatal;2021;mujeres;21,438;14,588;;;;;;;;;Gini (con alquiler imputado);30,3;;;;;;;;;;
00 Media Estatal;2021;total;16,668;11,542;;;;;;;;;Distribución de la renta S80/S20;6,2;;;;;;;;;;
00 Media Estatal;2021;total;16,668;11,542;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);5,2;;;;;;;;;;
00 Media Estatal;2021;total;16,668;11,542;;;;;;;;;Gini;33;;;;;;;;;;
00 Media Estatal;2021;total;16,668;11,542;;;;;;;;;Gini (con alquiler imputado);30,3;;;;;;;;;;
00 Media Estatal;2022;hombres;12,09195733;7,500357252;;;;;;;;;Distribución de la renta S80/S20;5,6;;;;;;;;;;
00 Media Estatal;2022;hombres;12,09195733;7,500357252;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);4,8;;;;;;;;;;
00 Media Estatal;2022;hombres;12,09195733;7,500357252;;;;;;;;;Gini;32;;;;;;;;;;
00 Media Estatal;2022;hombres;12,09195733;7,500357252;;;;;;;;;Gini (con alquiler imputado);29,3;;;;;;;;;;
00 Media Estatal;2022;mujeres;22,04941958;14,26467003;;;;;;;;;Distribución de la renta S80/S20;5,6;;;;;;;;;;
00 Media Estatal;2022;mujeres;22,04941958;14,26467003;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);4,8;;;;;;;;;;
00 Media Estatal;2022;mujeres;22,04941958;14,26467003;;;;;;;;;Gini;32;;;;;;;;;;
00 Media Estatal;2022;mujeres;22,04941958;14,26467003;;;;;;;;;Gini (con alquiler imputado);29,3;;;;;;;;;;
00 Media Estatal;2022;total;17,17443462;11,32903471;;;;;;;;;Distribución de la renta S80/S20;5,6;;;;;;;;;;
00 Media Estatal;2022;total;17,17443462;11,32903471;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);4,8;;;;;;;;;;
00 Media Estatal;2022;total;17,17443462;11,32903471;;;;;;;;;Gini;32;;;;;;;;;;
00 Media Estatal;2022;total;17,17443462;11,32903471;;;;;;;;;Gini (con alquiler imputado);29,3;;;;;;;;;;
00 Media Estatal;2023;hombres;12,66632146;7,169468668;;;;;;;;;Distribución de la renta S80/S20;5,5;;;;;;;;;;
00 Media Estatal;2023;hombres;12,66632146;7,169468668;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);4,7;;;;;;;;;;
00 Media Estatal;2023;hombres;12,66632146;7,169468668;;;;;;;;;Gini;31,5;;;;;;;;;;
00 Media Estatal;2023;hombres;12,66632146;7,169468668;;;;;;;;;Gini (con alquiler imputado);29,2;;;;;;;;;;
00 Media Estatal;2023;mujeres;22,83712034;13,71139032;;;;;;;;;Distribución de la renta S80/S20;5,5;;;;;;;;;;
00 Media Estatal;2023;mujeres;22,83712034;13,71139032;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);4,7;;;;;;;;;;
00 Media Estatal;2023;mujeres;22,83712034;13,71139032;;;;;;;;;Gini;31,5;;;;;;;;;;
00 Media Estatal;2023;mujeres;22,83712034;13,71139032;;;;;;;;;Gini (con alquiler imputado);29,2;;;;;;;;;;
00 Media Estatal;2023;total;17,8597505;10,8667791;;;;;;;;;Distribución de la renta S80/S20;5,5;;;;;;;;;;
00 Media Estatal;2023;total;17,8597505;10,8667791;;;;;;;;;Distribución de la renta S80/S20 (alquiler imputado);4,7;;;;;;;;;;
00 Media Estatal;2023;total;17,8597505;10,8667791;;;;;;;;;Gini;31,5;;;;;;;;;;
00 Media Estatal;2023;total;17,8597505;10,8667791;;;;;;;;;Gini (con alquiler imputado);29,2;;;;;;;;;;
11 Extremadura;2013;hombres;1,33;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Distribución de la renta S80/S20;5,7;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;hombres;1,33;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Distribución de la renta S80/S20 (alquiler imputado);4,7;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;hombres;1,33;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Gini;32;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;hombres;1,33;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Gini (con alquiler imputado);29,1;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;mujeres;3,581;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Distribución de la renta S80/S20;5,7;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;mujeres;3,581;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Distribución de la renta S80/S20 (alquiler imputado);4,7;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;mujeres;3,581;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Gini;32;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;mujeres;3,581;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Gini (con alquiler imputado);29,1;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;total;2,467;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Distribución de la renta S80/S20;5,7;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;total;2,467;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Distribución de la renta S80/S20 (alquiler imputado);4,7;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;total;2,467;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Gini;32;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2013;total;2,467;;7,1;4,5;1.004;1.217;44,6;5,4;9,2;1,5;Gini (con alquiler imputado);29,1;2,07%;1,28%;0,30%;7,52%;5,60%;0,35%;4,35%;0,07%;0,58%;0,13%
11 Extremadura;2014;hombres;1,577;6,295;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Distribución de la renta S80/S20;5,7;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;hombres;1,577;6,295;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Distribución de la renta S80/S20 (alquiler imputado);4,5;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;hombres;1,577;6,295;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Gini;31,6;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;hombres;1,577;6,295;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Gini (con alquiler imputado);28,7;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;mujeres;4,014;12,35;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Distribución de la renta S80/S20;5,7;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;mujeres;4,014;12,35;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Distribución de la renta S80/S20 (alquiler imputado);4,5;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;mujeres;4,014;12,35;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Gini;31,6;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;mujeres;4,014;12,35;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Gini (con alquiler imputado);28,7;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;total;2,808;9,75;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Distribución de la renta S80/S20;5,7;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;total;2,808;9,75;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Distribución de la renta S80/S20 (alquiler imputado);4,5;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;total;2,808;9,75;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Gini;31,6;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2014;total;2,808;9,75;7,1;4,3;958.0;1.217;44,9;7,5;7,8;3,6;Gini (con alquiler imputado);28,7;2,11%;1,33%;0,27%;7,61%;5,82%;0,37%;4,53%;0,05%;0,60%;0,13%
11 Extremadura;2015;hombres;1,832;6,764;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Distribución de la renta S80/S20;5,8;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;hombres;1,832;6,764;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Distribución de la renta S80/S20 (alquiler imputado);4,3;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;hombres;1,832;6,764;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Gini;32,2;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;hombres;1,832;6,764;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Gini (con alquiler imputado);28,3;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;mujeres;4,589;13,016;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Distribución de la renta S80/S20;5,8;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;mujeres;4,589;13,016;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Distribución de la renta S80/S20 (alquiler imputado);4,3;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;mujeres;4,589;13,016;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Gini;32,2;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;mujeres;4,589;13,016;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Gini (con alquiler imputado);28,3;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;total;3,224;10,327;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Distribución de la renta S80/S20;5,8;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;total;3,224;10,327;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Distribución de la renta S80/S20 (alquiler imputado);4,3;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;total;3,224;10,327;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Gini;32,2;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2015;total;3,224;10,327;7,1;4,3;941.0;1.217;40,1;5,8;6,3;4,2;Gini (con alquiler imputado);28,3;2,25%;1,33%;0,27%;7,69%;5,69%;0,40%;4,55%;0,08%;0,59%;0,13%
11 Extremadura;2016;hombres;2,035;7,194;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Distribución de la renta S80/S20;5,4;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;hombres;2,035;7,194;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Distribución de la renta S80/S20 (alquiler imputado);4,5;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;hombres;2,035;7,194;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Gini;32,3;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;hombres;2,035;7,194;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Gini (con alquiler imputado);28,8;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;mujeres;5,017;13,25;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Distribución de la renta S80/S20;5,4;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;mujeres;5,017;13,25;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Distribución de la renta S80/S20 (alquiler imputado);4,5;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;mujeres;5,017;13,25;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Gini;32,3;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;mujeres;5,017;13,25;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Gini (con alquiler imputado);28,8;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;total;3,54;10,635;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Distribución de la renta S80/S20;5,4;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;total;3,54;10,635;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Distribución de la renta S80/S20 (alquiler imputado);4,5;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;total;3,54;10,635;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Gini;32,3;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2016;total;3,54;10,635;7,1;4,4;925.0;1.217;37,7;3,6;6,1;2,6;Gini (con alquiler imputado);28,8;2,32%;1,35%;0,26%;8,38%;5,49%;0,30%;3,99%;0,10%;0,43%;0,12%
11 Extremadura;2017;hombres;2,324;7,221;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Distribución de la renta S80/S20;5,9;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;hombres;2,324;7,221;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Distribución de la renta S80/S20 (alquiler imputado);4,7;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;hombres;2,324;7,221;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Gini;33,5;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;hombres;2,324;7,221;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Gini (con alquiler imputado);29,6;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;mujeres;5,682;13,229;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Distribución de la renta S80/S20;5,9;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;mujeres;5,682;13,229;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Distribución de la renta S80/S20 (alquiler imputado);4,7;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;mujeres;5,682;13,229;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Gini;33,5;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;mujeres;5,682;13,229;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Gini (con alquiler imputado);29,6;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;total;4,019;10,62;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Distribución de la renta S80/S20;5,9;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;total;4,019;10,62;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Distribución de la renta S80/S20 (alquiler imputado);4,7;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;total;4,019;10,62;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Gini;33,5;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2017;total;4,019;10,62;7,1;4,7;915.0;1.217;34,1;5,8;11,3;2,8;Gini (con alquiler imputado);29,6;2,25%;1,34%;0,23%;7,88%;5,20%;0,29%;3,84%;0,09%;0,40%;0,11%
11 Extremadura;2018;hombres;2,595;7,089;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Distribución de la renta S80/S20;4,8;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;hombres;2,595;7,089;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Distribución de la renta S80/S20 (alquiler imputado);4,2;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;hombres;2,595;7,089;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Gini;30,6;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;hombres;2,595;7,089;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Gini (con alquiler imputado);27,4;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;mujeres;5,931;12,746;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Distribución de la renta S80/S20;4,8;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;mujeres;5,931;12,746;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Distribución de la renta S80/S20 (alquiler imputado);4,2;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;mujeres;5,931;12,746;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Gini;30,6;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;mujeres;5,931;12,746;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Gini (con alquiler imputado);27,4;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;total;4,279;10,277;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Distribución de la renta S80/S20;4,8;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;total;4,279;10,277;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Distribución de la renta S80/S20 (alquiler imputado);4,2;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;total;4,279;10,277;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Gini;30,6;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2018;total;4,279;10,277;7,1;4,8;908.0;1.217;35,5;5,2;9,9;1,6;Gini (con alquiler imputado);27,4;2,30%;1,49%;0,25%;7,98%;5,18%;0,31%;3,75%;0,10%;0,35%;0,10%
11 Extremadura;2019;hombres;2,698;7,185;7,5;6,1;891.0;1.217;28;6,4;10,1;1,6;Distribución de la renta S80/S20;4,8;2,32%;1,49%;0,32%;8,26%;5,23%;0,31%;3,69%;0,09%;0,35%;0,10%
