comunidades_autónomas;periodo;género;trastornos;benzodiacepinas;máximo_histórico_alquiler;precio_alquiler;precio_venta;máximo_histórico_venta;dificultades_medias_altas_para_llegar_a_fin_de_mes;población_con_gasto_elevado_en_vivienda;retrasos_en_los_pagos;población_con_falta_de_espacio_en_la_vivienda;desigualdad_en_la_distribución_de_ingresos_s80s20_y_coeficiente_de_gini;total;social_pib;empleo_pib;vivienda_pib;sanidad_pib;educacion_pib;cultura_pib;psector_pib;energía_pib;turismo_pib;altocargo_pib
01 Andalucía;2019;hombres;6,127;12,823;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Distribución de la renta S80/S20;6,1;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2019;hombres;6,127;12,823;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Distribución de la renta S80/S20 (alquiler imputado);4,8;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2019;hombres;6,127;12,823;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Gini;33,4;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2019;hombres;6,127;12,823;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Gini (con alquiler imputado);29,9;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2019;mujeres;12,715;22,676;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Distribución de la renta S80/S20;6,1;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2019;mujeres;12,715;22,676;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Distribución de la renta S80/S20 (alquiler imputado);4,8;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2019;mujeres;12,715;22,676;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Gini;33,4;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2019;mujeres;12,715;22,676;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Gini (con alquiler imputado);29,9;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2019;total;9,478;18,386;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Distribución de la renta S80/S20;6,1;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
01 Andalucía;2019;total;9,478;18,386;11,5;8,4;1.652;2.204;28,3;8;11,3;8,5;Distribución de la renta S80/S20 (alquiler imputado);4,8;1,44%;0,55%;0,19%;6,30%;4,55%;0,14%;1,61%;0,27%;0,12%;0,12%
