comunidades_autónomas;periodo;género;trastornos
07 Castilla y León;2016;total;13,312
07 Castilla y León;2017;hombres;11,704
07 Castilla y León;2017;mujeres;22,627
07 Castilla y León;2017;total;17,255
07 Castilla y León;2018;hombres;12,391
07 Castilla y León;2018;mujeres;23,688
07 Castilla y León;2018;total;18,134
07 Castilla y León;2019;hombres;13,251
07 Castilla y León;2019;mujeres;24,962
07 Castilla y León;2019;total;19,217
07 Castilla y León;2020;hombres;13,794
07 Castilla y León;2020;mujeres;25,633
07 Castilla y León;2020;total;19,827
07 Castilla y León;2021;hombres;14,206
07 Castilla y León;2021;mujeres;26,622
07 Castilla y León;2021;total;20,531
07 Castilla y León;2022;hombres;15,144463
07 Castilla y León;2022;mujeres;27,89127874
07 Castilla y León;2022;total;21,64008132
07 Castilla y León;2023;hombres;15,6172165
07 Castilla y León;2023;mujeres;28,56924667
07 Castilla y León;2023;total;22,22222031
09 Cataluña;2013;hombres;4,014
09 Cataluña;2013;mujeres;8,318
09 Cataluña;2013;total;6,2
09 Cataluña;2014;hombres;4,378
09 Cataluña;2014;mujeres;9,178
09 Cataluña;2014;total;6,817
09 Cataluña;2015;hombres;4,499
09 Cataluña;2015;mujeres;9,232
09 Cataluña;2015;total;6,907
09 Cataluña;2016;hombres;4,504
09 Cataluña;2016;mujeres;9,463
09 Cataluña;2016;total;7,028
09 Cataluña;2017;hombres;5,941
09 Cataluña;2017;mujeres;12,674
09 Cataluña;2017;total;9,368
09 Cataluña;2018;hombres;5,167
09 Cataluña;2018;mujeres;10,521
09 Cataluña;2018;total;7,892
09 Cataluña;2019;hombres;15,789
09 Cataluña;2019;mujeres;27,854
09 Cataluña;2019;total;21,923
09 Cataluña;2020;hombres;16,69
09 Cataluña;2020;mujeres;29,213
09 Cataluña;2020;total;23,055
09 Cataluña;2021;hombres;17,294
09 Cataluña;2021;mujeres;30,437
09 Cataluña;2021;total;23,954
09 Cataluña;2022;hombres;17,50679823
09 Cataluña;2022;mujeres;30,58023429
09 Cataluña;2022;total;24,13895731
09 Cataluña;2023;hombres;18,62504831
09 Cataluña;2023;mujeres;32,12584146
09 Cataluña;2023;total;25,46846056
10 Comunidad Valenciana;2013;hombres;15,994
10 Comunidad Valenciana;2013;mujeres;30,102
10 Comunidad Valenciana;2013;total;23,16
10 Comunidad Valenciana;2014;hombres;17,37
10 Comunidad Valenciana;2014;mujeres;31,896
10 Comunidad Valenciana;2014;total;24,758
