comunidades_autónomas,periodo,género,hipno,antidep,trastornos,benzodiacepinas
08 Castilla-La Mancha,2018,mujeres,,,"7,073","11,832"
08 Castilla-La Mancha,2018,total,"26,32574226","86,30862456","5,458","9,343"
08 Castilla-La Mancha,2019,hombres,,,"4,079","5,784"
08 Castilla-La Mancha,2019,mujeres,,,"7,367","12,031"
08 Castilla-La Mancha,2019,total,"27,09044766","90,04660153","5,727","9,257"
08 Castilla-La Mancha,2020,hombres,,,"3,71","5,535"
08 Castilla-La Mancha,2020,mujeres,,,"7,231","11,777"
08 Castilla-La Mancha,2020,total,"29,25012598","95,38916921","5,475","9,004"
08 Castilla-La Mancha,2021,hombres,,,"3,681","6,298"
08 Castilla-La Mancha,2021,mujeres,,,"8,529","13,395"
08 Castilla-La Mancha,2021,total,"29,51278239","99,67877006","6,109","10,236"
08 Castilla-La Mancha,2022,hombres,,,"4,106103058","6,181312234"
08 Castilla-La Mancha,2022,mujeres,,,"9,503349095","12,8263815"
08 Castilla-La Mancha,2022,total,"28,77358305","103,476003","6,809684239","9,861695377"
08 Castilla-La Mancha,2023,hombres,,,"4,168668922","5,91418767"
08 Castilla-La Mancha,2023,mujeres,,,"9,280427774","12,31248315"
08 Castilla-La Mancha,2023,total,"28,48903279","106,2307163","6,731017027","9,446873271"
07 Castilla y León,2010,total,"27,14243858","66,30942523",,
07 Castilla y León,2011,total,"28,53012323","70,06847205",,
07 Castilla y León,2012,total,"28,75042757","67,74792178",,
07 Castilla y León,2013,hombres,,,"7,883",
07 Castilla y León,2013,mujeres,,,"16,065",
07 Castilla y León,2013,total,"30,30469862","70,33952783","12,042",
07 Castilla y León,2014,hombres,,,"8,515",
07 Castilla y León,2014,mujeres,,,"16,939",
07 Castilla y León,2014,total,"31,89189777","73,00343659","12,796",
07 Castilla y León,2015,hombres,,,"8,949",
07 Castilla y León,2015,mujeres,,,"17,571",
07 Castilla y León,2015,total,"32,65465622","74,62557603","13,331",
07 Castilla y León,2016,hombres,,,"9,004",
07 Castilla y León,2016,mujeres,,,"17,482",
07 Castilla y León,2016,total,"34,90822681","77,28170645","13,312",
07 Castilla y León,2017,hombres,,,"11,704","5,863"
07 Castilla y León,2017,mujeres,,,"22,627","11,402"
07 Castilla y León,2017,total,"36,02557521","79,7192603","17,255","8,965"
07 Castilla y León,2018,hombres,,,"12,391","5,991"
07 Castilla y León,2018,mujeres,,,"23,688","11,171"
07 Castilla y León,2018,total,"37,22506314","83,09201209","18,134","8,883"
07 Castilla y León,2019,hombres,,,"13,251","5,716"
07 Castilla y León,2019,mujeres,,,"24,962","10,909"
07 Castilla y León,2019,total,"38,36679473","87,36423923","19,217","8,608"
07 Castilla y León,2020,hombres,,,"13,794","5,516"
07 Castilla y León,2020,mujeres,,,"25,633","10,528"
07 Castilla y León,2020,total,"40,57472453","91,8988583","19,827","8,302"
07 Castilla y León,2021,hombres,,,"14,206","5,642"
07 Castilla y León,2021,mujeres,,,"26,622","11,221"
07 Castilla y León,2021,total,"41,62050029","97,22520315","20,531","8,736"
07 Castilla y León,2022,hombres,,,"15,144463","5,712166943"
07 Castilla y León,2022,mujeres,,,"27,89127874","11,21012677"
07 Castilla y León,2022,total,"42,13689698","103,2958605","21,64008132","8,755267525"
07 Castilla y León,2023,hombres,,,"15,6172165","5,786215848"
07 Castilla y León,2023,mujeres,,,"28,56924667","10,86251422"
07 Castilla y León,2023,total,"42,33054803","106,9281007","22,22222031","8,589616159"
09 Cataluña,2010,total,"28,7976362","74,30655155",,
09 Cataluña,2011,total,"29,81341148","77,90930961",,
09 Cataluña,2012,total,"29,07869129","74,71949295",,
09 Cataluña,2013,hombres,,,"4,014",
09 Cataluña,2013,mujeres,,,"8,318",
09 Cataluña,2013,total,"29,4760964","75,05719891","6,2",
09 Cataluña,2014,hombres,,,"4,378",
09 Cataluña,2014,mujeres,,,"9,178",
09 Cataluña,2014,total,"30,00416564","76,91761018","6,817",
09 Cataluña,2015,hombres,,,"4,499",
09 Cataluña,2015,mujeres,,,"9,232",
09 Cataluña,2015,total,"29,60680957","77,58811041","6,907",
09 Cataluña,2016,hombres,,,"4,504",
09 Cataluña,2016,mujeres,,,"9,463",
09 Cataluña,2016,total,"28,93839004","78,19943356","7,028",
09 Cataluña,2017,hombres,,,"5,941",
09 Cataluña,2017,mujeres,,,"12,674",
09 Cataluña,2017,total,"28,57277845","79,10603895","9,368",
09 Cataluña,2018,hombres,,,"5,167",
09 Cataluña,2018,mujeres,,,"10,521",
09 Cataluña,2018,total,"28,15947996","80,53079134","7,892",
09 Cataluña,2019,hombres,,,"15,789","5,454"
09 Cataluña,2019,mujeres,,,"27,854","10,368"
09 Cataluña,2019,total,"28,27105957","83,19487802","21,923","8,255"
09 Cataluña,2020,hombres,,,"16,69","4,887"
09 Cataluña,2020,mujeres,,,"29,213","9,656"
09 Cataluña,2020,total,"28,7552259","85,58799633","23,055","7,604"
09 Cataluña,2021,hombres,,,"17,294","5,389"
09 Cataluña,2021,mujeres,,,"30,437","9,98"
09 Cataluña,2021,total,"29,21332721","91,58176272","23,954","8,007"
09 Cataluña,2022,hombres,,,"17,50679823","4,874212841"
09 Cataluña,2022,mujeres,,,"30,58023429","8,918821872"
09 Cataluña,2022,total,"28,79807496","97,76024221","24,13895731","7,179175478"
09 Cataluña,2023,hombres,,,"18,62504831","4,684573215"
09 Cataluña,2023,mujeres,,,"32,12584146","8,620992689"
09 Cataluña,2023,total,"27,83986577","101,1832702","25,46846056","6,925305541"
18 Ceuta,2010,total,"26,24282237","39,86634194",,
18 Ceuta,2011,total,"26,7840121","40,87471926",,
18 Ceuta,2012,total,"27,26053941","42,02169291",,
18 Ceuta,2013,total,"28,11882779","44,33765717",,
18 Ceuta,2014,total,"30,67637255","46,19463064",,
18 Ceuta,2015,total,"32,04417233","48,7840409",,
18 Ceuta,2016,total,"34,68626848","51,70796609",,
18 Ceuta,2017,total,"35,3216185","53,8116431",,
18 Ceuta,2018,total,"35,93640315","54,36088872",,
18 Ceuta,2019,total,"37,27268384","56,58107997",,
18 Ceuta,2020,total,"38,72369498","58,21850765",,
18 Ceuta,2021,total,"40,60459688","61,68976448",,
18 Ceuta,2022,total,"41,30540164","66,56533403",,
18 Ceuta,2023,total,"40,10065478","68,81051789",,
10 Comunidad Valenciana,2010,total,"25,28979067","58,24178303",,
10 Comunidad Valenciana,2011,total,"25,38797184","60,54044189",,
10 Comunidad Valenciana,2012,total,"24,76403254","59,03666821",,
10 Comunidad Valenciana,2013,hombres,,,"15,994",
10 Comunidad Valenciana,2013,mujeres,,,"30,102",
10 Comunidad Valenciana,2013,total,"25,27291342","60,39773215","23,16",
10 Comunidad Valenciana,2014,hombres,,,"17,37",
10 Comunidad Valenciana,2014,mujeres,,,"31,896",
10 Comunidad Valenciana,2014,total,"26,74054553","64,59672203","24,758",
10 Comunidad Valenciana,2015,hombres,,,"18,587",
10 Comunidad Valenciana,2015,mujeres,,,"33,463",
10 Comunidad Valenciana,2015,total,"27,17865941","66,93443522","26,145",
10 Comunidad Valenciana,2016,hombres,,,"19,89",
10 Comunidad Valenciana,2016,mujeres,,,"35,126",
10 Comunidad Valenciana,2016,total,"28,69160037","71,59171188","27,632",
10 Comunidad Valenciana,2017,hombres,,,"20,986",
10 Comunidad Valenciana,2017,mujeres,,,"36,568",
10 Comunidad Valenciana,2017,total,"29,25570631","73,92269479","28,905",
10 Comunidad Valenciana,2018,hombres,,,"21,751",
10 Comunidad Valenciana,2018,mujeres,,,"37,534",
10 Comunidad Valenciana,2018,total,"29,99908946","77,25376951","29,778",
10 Comunidad Valenciana,2019,hombres,,,"22,247","7,227"
10 Comunidad Valenciana,2019,mujeres,,,"38,28","14,986"
10 Comunidad Valenciana,2019,total,"30,52242256","80,6663968","30,404","11,602"
10 Comunidad Valenciana,2020,hombres,,,"22,819","7,323"
10 Comunidad Valenciana,2020,mujeres,,,"39,092","15,251"
10 Comunidad Valenciana,2020,total,"31,29068186","82,41713223","31,102","11,791"
10 Comunidad Valenciana,2021,hombres,,,"23,586","7,458"
10 Comunidad Valenciana,2021,mujeres,,,"40,083","15,565"
10 Comunidad Valenciana,2021,total,"32,3691615","88,51639312","31,982","12,025"
10 Comunidad Valenciana,2022,hombres,,,"24,20391294","7,719573033"
10 Comunidad Valenciana,2022,mujeres,,,"40,6900326","16,08070043"
10 Comunidad Valenciana,2022,total,"32,58870361","94,86197667","32,60013987","12,42780892"
10 Comunidad Valenciana,2023,hombres,,,"24,66383025","7,179351982"
10 Comunidad Valenciana,2023,mujeres,,,"41,0914545","15,35911396"
10 Comunidad Valenciana,2023,total,"32,35155178","97,70203805","33,03172157","11,78013685"
00 Media Estatal,2010,total,"27,89449273","63,99363026",,
00 Media Estatal,2011,total,"28,68047777","66,86433815",,
00 Media Estatal,2012,total,"28,79081659","66,21727949",,
00 Media Estatal,2013,hombres,,,"7,287",
00 Media Estatal,2013,mujeres,,,"14,717",
00 Media Estatal,2013,total,"29,54028536","68,28366978","11,081",
00 Media Estatal,2014,hombres,,,"7,75","7,403"
00 Media Estatal,2014,mujeres,,,"15,47","14,571"
00 Media Estatal,2014,total,"30,59620891","71,29769008","11,694","11,527"
00 Media Estatal,2015,hombres,,,"7,929","7,375"
00 Media Estatal,2015,mujeres,,,"15,714","14,494"
00 Media Estatal,2015,total,"30,89711516","73,06563156","11,903","11,464"
00 Media Estatal,2016,hombres,,,"8,097","6,124"
00 Media Estatal,2016,mujeres,,,"15,933","12,66"
00 Media Estatal,2016,total,"32,07493358","75,96009142","12,096","9,874"
00 Media Estatal,2017,hombres,,,"8,774","6,133"
00 Media Estatal,2017,mujeres,,,"17,094","12,142"
00 Media Estatal,2017,total,"32,26457909","77,69440608","13,02","9,561"
00 Media Estatal,2018,hombres,,,"8,931","7,417"
00 Media Estatal,2018,mujeres,,,"17,091","14,252"
00 Media Estatal,2018,total,"32,54837327","80,42859191","13,095","11,301"
00 Media Estatal,2019,hombres,,,"11,049","7,586"
00 Media Estatal,2019,mujeres,,,"20,505","14,557"
00 Media Estatal,2019,total,"32,93453442","83,63466212","15,876","11,542"
00 Media Estatal,2020,hombres,,,"11,447","7,202"
00 Media Estatal,2020,mujeres,,,"21,134","14,078"
00 Media Estatal,2020,total,"34,23248567","86,87148098","16,391","11,101"
00 Media Estatal,2021,hombres,,,"11,702","7,558"
00 Media Estatal,2021,mujeres,,,"21,438","14,588"
00 Media Estatal,2021,total,"35,09730274","92,69202932","16,668","11,542"
00 Media Estatal,2022,hombres,,,"12,09195733","7,500357252"
00 Media Estatal,2022,mujeres,,,"22,04941958","14,26467003"
00 Media Estatal,2022,total,"35,20560227","98,81099888","17,17443462","11,32903471"
00 Media Estatal,2023,hombres,,,"12,66632146","7,169468668"
00 Media Estatal,2023,mujeres,,,"22,83712034","13,71139032"
00 Media Estatal,2023,total,"34,65611724","102,1552799","17,8597505","10,8667791"
11 Extremadura,2010,total,"25,40944342","85,47350982",,
11 Extremadura,2011,total,"25,83264288","88,3915254",,
11 Extremadura,2012,total,"26,2851696","90,37097461",,
11 Extremadura,2013,hombres,,,"1,33",
11 Extremadura,2013,mujeres,,,"3,581",
11 Extremadura,2013,total,"27,10676328","95,09750981","2,467",
11 Extremadura,2014,hombres,,,"1,577","6,295"
11 Extremadura,2014,mujeres,,,"4,014","12,35"
11 Extremadura,2014,total,"28,21306473","99,67962427","2,808","9,75"
11 Extremadura,2015,hombres,,,"1,832","6,764"
11 Extremadura,2015,mujeres,,,"4,589","13,016"
11 Extremadura,2015,total,"28,71476073","102,9785828","3,224","10,327"
11 Extremadura,2016,hombres,,,"2,035","7,194"
11 Extremadura,2016,mujeres,,,"5,017","13,25"
11 Extremadura,2016,total,"30,23984609","107,9210503","3,54","10,635"
11 Extremadura,2017,hombres,,,"2,324","7,221"
11 Extremadura,2017,mujeres,,,"5,682","13,229"
11 Extremadura,2017,total,"30,01971085","109,3603499","4,019","10,62"
11 Extremadura,2018,hombres,,,"2,595","7,089"
11 Extremadura,2018,mujeres,,,"5,931","12,746"
11 Extremadura,2018,total,"30,88347187","112,7639492","4,279","10,277"
11 Extremadura,2019,hombres,,,"2,698","7,185"
11 Extremadura,2019,mujeres,,,"6,245","12,796"
11 Extremadura,2019,total,"31,87166311","116,8237507","4,493","10,336"
11 Extremadura,2020,hombres,,,"2,883","6,764"
11 Extremadura,2020,mujeres,,,"6,689","13,558"
11 Extremadura,2020,total,"33,92457674","123,2587282","4,81","10,57"
11 Extremadura,2021,hombres,,,"3,015","7,298"
11 Extremadura,2021,mujeres,,,"6,868","13,74"
11 Extremadura,2021,total,"35,02998257","129,6710588","4,966","10,891"
11 Extremadura,2022,hombres,,,"3,295458205","7,542832931"
11 Extremadura,2022,mujeres,,,"7,982856219","13,9585356"
11 Extremadura,2022,total,"35,70151334","136,2911295","5,669588807","11,10604191"
11 Extremadura,2023,hombres,,,"3,746083357","7,236375362"
11 Extremadura,2023,mujeres,,,"8,825843947","13,61485905"
11 Extremadura,2023,total,"36,17894372","141,1370621","6,322467843","10,76584551"
12 Galicia,2010,total,"28,82576687","92,06591637",,
12 Galicia,2011,total,"29,41852539","95,93145352",,
12 Galicia,2012,total,"28,85063008","92,6146179",,
12 Galicia,2013,hombres,,,"4,53",
12 Galicia,2013,mujeres,,,"10,655",
12 Galicia,2013,total,"31,3194597","99,53440044","7,701",
12 Galicia,2014,hombres,,,"5,108","6,749"
12 Galicia,2014,mujeres,,,"11,843","12,108"
12 Galicia,2014,total,"32,25600496","102,6650554","8,593","9,843"
12 Galicia,2015,hombres,,,"5,69","7,1"
