comunidades_autónomas,periodo,hipno,antidep
15 Comunidad Foral de Navarra,2022,"42,06847158","91,75957211"
15 Comunidad Foral de Navarra,2023,"40,692612","93,68334745"
16 País Vasco,2010,"37,31751819","56,04409556"
16 País Vasco,2011,"38,66427835","58,78422003"
16 País Vasco,2012,"39,28262208","58,88925399"
16 País Vasco,2013,"40,10545382","59,90781612"
16 País Vasco,2014,"41,16936364","60,27955325"
16 País Vasco,2015,"41,47577398","61,32073365"
16 País Vasco,2016,"43,02137766","63,57524103"
16 País Vasco,2017,"43,02207112","64,39608581"
16 País Vasco,2018,"42,96009507","65,69579431"
16 País Vasco,2019,"42,42214187","67,25568155"
16 País Vasco,2020,"43,46516436","69,74251629"
16 País Vasco,2021,"43,65798195","73,27370085"
16 País Vasco,2022,"43,60919467","77,42314252"
16 País Vasco,2023,"43,4422445","80,93355762"
