comunidades_autónomas;periodo;cociente_des
05 Canarias;2021;8,2
05 Canarias;2020;6,9
05 Canarias;2019;5,3
05 Canarias;2018;7
05 Canarias;2017;7
05 Canarias;2016;8,8
05 Canarias;2015;10,1
05 Canarias;2014;7,7
05 Canarias;2013;7
05 Canarias;2012;7,1
05 Canarias;2011;6,8
05 Canarias;2010;6,7
05 Canarias;2009;6,3
05 Canarias;2008;5,6
06 Cantabria;2024;4,7
06 Cantabria;2023;4,6
06 Cantabria;2022;4,9
06 Cantabria;2021;4,8
06 Cantabria;2020;5,3
06 Cantabria;2019;5,2
06 Cantabria;2018;5,3
06 Cantabria;2017;4,9
06 Cantabria;2016;4,8
06 Cantabria;2015;4,3
06 Cantabria;2014;4,8
06 Cantabria;2013;5,2
06 Cantabria;2012;5,3
06 Cantabria;2011;7,2
06 Cantabria;2010;5,3
06 Cantabria;2009;5,7
06 Cantabria;2008;4,8
07 Castilla y León;2024;5,1
07 Castilla y León;2023;5,1
07 Castilla y León;2022;4,9
07 Castilla y León;2021;5,1
07 Castilla y León;2020;4,5
07 Castilla y León;2019;4,5
07 Castilla y León;2018;4,8
07 Castilla y León;2017;4,7
07 Castilla y León;2016;5,1
07 Castilla y León;2015;5,6
07 Castilla y León;2014;6,2
07 Castilla y León;2013;5,2
07 Castilla y León;2012;5
07 Castilla y León;2011;4,9
07 Castilla y León;2010;5,2
07 Castilla y León;2009;5,1
07 Castilla y León;2008;4,5
08 Castilla-La Mancha;2024;4,9
08 Castilla-La Mancha;2023;5
08 Castilla-La Mancha;2022;4,9
08 Castilla-La Mancha;2021;5,7
08 Castilla-La Mancha;2020;4,8
08 Castilla-La Mancha;2019;5,5
08 Castilla-La Mancha;2018;6,6
08 Castilla-La Mancha;2017;6,3
08 Castilla-La Mancha;2016;6,4
08 Castilla-La Mancha;2015;6,7
08 Castilla-La Mancha;2014;6,2
08 Castilla-La Mancha;2013;6,5
08 Castilla-La Mancha;2012;6,8
08 Castilla-La Mancha;2011;5,7
08 Castilla-La Mancha;2010;5,8
08 Castilla-La Mancha;2009;4,9
08 Castilla-La Mancha;2008;5,1
09 Cataluña;2024;4,7
09 Cataluña;2023;5
09 Cataluña;2022;5,2
09 Cataluña;2021;5,5
09 Cataluña;2020;6,2
09 Cataluña;2019;5,6
09 Cataluña;2018;5,2
09 Cataluña;2017;5,7
09 Cataluña;2016;5,6
09 Cataluña;2015;6,1
09 Cataluña;2014;6,5
09 Cataluña;2013;5,7
09 Cataluña;2012;6,2
09 Cataluña;2011;5,6
09 Cataluña;2010;6,1
09 Cataluña;2009;5,8
09 Cataluña;2008;5,2
10 Comunidad Valenciana;2024;5,7
10 Comunidad Valenciana;2023;5,6
10 Comunidad Valenciana;2022;5,2
10 Comunidad Valenciana;2021;6,2
10 Comunidad Valenciana;2020;6,6
10 Comunidad Valenciana;2019;5,6
10 Comunidad Valenciana;2018;5,6
10 Comunidad Valenciana;2017;6,6
10 Comunidad Valenciana;2016;6
10 Comunidad Valenciana;2015;6,4
10 Comunidad Valenciana;2014;5,8
10 Comunidad Valenciana;2013;6,5
10 Comunidad Valenciana;2012;6,7
10 Comunidad Valenciana;2011;6
10 Comunidad Valenciana;2010;6,2
10 Comunidad Valenciana;2009;5,3
10 Comunidad Valenciana;2008;5,7
11 Extremadura;2024;4,6
11 Extremadura;2023;4,6
11 Extremadura;2022;4,6
11 Extremadura;2021;5,1
11 Extremadura;2020;4,5
11 Extremadura;2019;4,8
11 Extremadura;2018;4,8
11 Extremadura;2017;5,9
11 Extremadura;2016;5,4
11 Extremadura;2015;5,8
11 Extremadura;2014;5,7
11 Extremadura;2013;5,7
11 Extremadura;2012;6,3
11 Extremadura;2011;5,5
11 Extremadura;2010;5,6
11 Extremadura;2009;5,6
11 Extremadura;2008;5
12 Galicia;2024;4,2
12 Galicia;2023;4,4
12 Galicia;2022;4,5
12 Galicia;2021;5,1
12 Galicia;2020;5,3
12 Galicia;2019;5,2
12 Galicia;2018;5,4
12 Galicia;2017;5,8
12 Galicia;2016;5,5
12 Galicia;2015;5,5
12 Galicia;2014;5
12 Galicia;2013;4,8
12 Galicia;2012;5,4
12 Galicia;2011;5
12 Galicia;2010;5
12 Galicia;2009;4,6
12 Galicia;2008;4,6
13 Comunidad de Madrid;2024;5,5
13 Comunidad de Madrid;2023;5,3
13 Comunidad de Madrid;2022;5,7
13 Comunidad de Madrid;2021;6,3
13 Comunidad de Madrid;2020;5,8
13 Comunidad de Madrid;2019;6,5
13 Comunidad de Madrid;2018;6,3
13 Comunidad de Madrid;2017;7,7
13 Comunidad de Madrid;2016;7,2
13 Comunidad de Madrid;2015;6,9
13 Comunidad de Madrid;2014;6,5
13 Comunidad de Madrid;2013;6,1
13 Comunidad de Madrid;2012;6,5
13 Comunidad de Madrid;2011;6,1
13 Comunidad de Madrid;2010;5,9
13 Comunidad de Madrid;2009;6,3
13 Comunidad de Madrid;2008;5,6
14 Región de Murcia;2024;5,1
14 Región de Murcia;2023;4,5
14 Región de Murcia;2022;5,2
14 Región de Murcia;2021;5,3
14 Región de Murcia;2020;4,7
14 Región de Murcia;2019;4,7
14 Región de Murcia;2018;5,9
14 Región de Murcia;2017;5,6
14 Región de Murcia;2016;5,9
14 Región de Murcia;2015;6,6
14 Región de Murcia;2014;6,1
14 Región de Murcia;2013;6,5
14 Región de Murcia;2012;5,1
14 Región de Murcia;2011;4,7
14 Región de Murcia;2010;5,8
14 Región de Murcia;2009;5,7
14 Región de Murcia;2008;5,1
15 Comunidad Foral de Navarra;2024;5,5
15 Comunidad Foral de Navarra;2023;5,5
15 Comunidad Foral de Navarra;2022;5,4
15 Comunidad Foral de Navarra;2021;5,1
15 Comunidad Foral de Navarra;2020;4,5
15 Comunidad Foral de Navarra;2019;3,9
15 Comunidad Foral de Navarra;2018;4,1
15 Comunidad Foral de Navarra;2017;4,4
15 Comunidad Foral de Navarra;2016;4,6
15 Comunidad Foral de Navarra;2015;4,8
15 Comunidad Foral de Navarra;2014;4,9
15 Comunidad Foral de Navarra;2013;4,5
15 Comunidad Foral de Navarra;2012;4,8
15 Comunidad Foral de Navarra;2011;4,7
15 Comunidad Foral de Navarra;2010;5,3
15 Comunidad Foral de Navarra;2009;4,7
15 Comunidad Foral de Navarra;2008;4,2
16 País Vasco;2024;4,7
16 País Vasco;2023;5
16 País Vasco;2022;5
16 País Vasco;2021;5
16 País Vasco;2020;4,8
16 País Vasco;2019;5,3
16 País Vasco;2018;5,1
16 País Vasco;2017;5,1
16 País Vasco;2016;5
16 País Vasco;2015;5,4
16 País Vasco;2014;5,2
16 País Vasco;2013;5,2
16 País Vasco;2012;6,5
16 País Vasco;2011;6,3
16 País Vasco;2010;6,1
16 País Vasco;2009;5,2
16 País Vasco;2008;4,8
17 La Rioja;2024;4,8
17 La Rioja;2023;4,6
17 La Rioja;2022;4,8
17 La Rioja;2021;5,1
17 La Rioja;2020;4,7
17 La Rioja;2019;5
17 La Rioja;2018;5,7
17 La Rioja;2017;4,5
17 La Rioja;2016;4,6
17 La Rioja;2015;5,5
17 La Rioja;2014;6,4
17 La Rioja;2013;6,8
17 La Rioja;2012;5,9
17 La Rioja;2011;6,2
17 La Rioja;2010;5,5
17 La Rioja;2009;5,1
17 La Rioja;2008;4,3
18 Ceuta;2024;9,4
18 Ceuta;2023;9,6
18 Ceuta;2022;11
18 Ceuta;2021;9,5
18 Ceuta;2020;10,7
18 Ceuta;2019;11,5
18 Ceuta;2018;10,3
18 Ceuta;2017;11,5
18 Ceuta;2016;6,3
18 Ceuta;2015;7,1
18 Ceuta;2014;9,2
18 Ceuta;2013;10,9
18 Ceuta;2012;10,8
18 Ceuta;2011;8,1
18 Ceuta;2010;8,3
18 Ceuta;2009;15
18 Ceuta;2008;10,9
19 Melilla;2024;10,6
19 Melilla;2023;11,5
19 Melilla;2022;12,4
19 Melilla;2021;14,1
19 Melilla;2020;15
19 Melilla;2019;13,9
19 Melilla;2018;9,1
19 Melilla;2017;7,1
19 Melilla;2016;8,2
19 Melilla;2015;7,4
19 Melilla;2014;10,1
19 Melilla;2013;10,1
19 Melilla;2012;5,4
19 Melilla;2011;10,7
19 Melilla;2010;7,6
19 Melilla;2009;9,9
19 Melilla;2008;6,4
