ccaa;solicitudes;periodo
Castilla-La Mancha;86957;2014-06
Cataluña;279916;2014-06
Comunidad Valenciana;99783;2014-06
Extremadura;47986;2014-06
Galicia;80835;2014-06
Comunidad de Madrid;177808;2014-06
Región de Murcia;84596;2014-06
Comunidad Foral de Navarra;17293;2014-06
País Vasco;87043;2014-06
Ceuta y Melilla;3976;2014-06
Andalucía;378224;2014-07
Aragón;43945;2014-07
Principado de Asturias;33806;2014-07
Islas Baleares;24317;2014-07
Canarias;40201;2014-07
Cantabria;22693;2014-07
Castilla y León;107621;2014-07
Castilla-La Mancha;85887;2014-07
Cataluña;276316;2014-07
Comunidad Valenciana;98492;2014-07
Extremadura;47656;2014-07
Galicia;79240;2014-07
Comunidad de Madrid;175753;2014-07
Región de Murcia;83599;2014-07
Comunidad Foral de Navarra;17127;2014-07
País Vasco;88001;2014-07
Ceuta y Melilla;3984;2014-07
Andalucía;376942;2014-08
Aragón;43600;2014-08
Principado de Asturias;33746;2014-08
Islas Baleares;24247;2014-08
Canarias;40262;2014-08
Cantabria;22653;2014-08
Castilla y León;107083;2014-08
Castilla-La Mancha;85495;2014-08
Cataluña;274715;2014-08
Comunidad Valenciana;97825;2014-08
Extremadura;47926;2014-08
Galicia;78987;2014-08
Comunidad de Madrid;176512;2014-08
Región de Murcia;83244;2014-08
Comunidad Foral de Navarra;17004;2014-08
País Vasco;87406;2014-08
Ceuta y Melilla;3973;2014-08
Andalucía;376557;2014-09
Aragón;43639;2014-09
Principado de Asturias;33651;2014-09
Islas Baleares;24278;2014-09
Canarias;40243;2014-09
Cantabria;22786;2014-09
Castilla y León;107501;2014-09
Castilla-La Mancha;85168;2014-09
Cataluña;273262;2014-09
Comunidad Valenciana;97313;2014-09
Extremadura;47857;2014-09
Galicia;78675;2014-09
Comunidad de Madrid;177303;2014-09
Región de Murcia;82933;2014-09
Comunidad Foral de Navarra;17077;2014-09
País Vasco;87153;2014-09
Ceuta y Melilla;4007;2014-09
Andalucía;376477;2014-10
Aragón;43639;2014-10
Principado de Asturias;33597;2014-10
Islas Baleares;24314;2014-10
Canarias;40059;2014-10
Cantabria;22786;2014-10
Castilla y León;108649;2014-10
Castilla-La Mancha;85071;2014-10
Cataluña;273608;2014-10
Comunidad Valenciana;96610;2014-10
Extremadura;48059;2014-10
Galicia;81065;2014-10
Comunidad de Madrid;178714;2014-10
Región de Murcia;82611;2014-10
Comunidad Foral de Navarra;17128;2014-10
País Vasco;87798;2014-10
Ceuta y Melilla;4002;2014-10
Andalucía;376548;2014-11
Aragón;43639;2014-11
Principado de Asturias;33692;2014-11
Islas Baleares;24316;2014-11
Canarias;40009;2014-11
Cantabria;22786;2014-11
Castilla y León;108344;2014-11
Castilla-La Mancha;84803;2014-11
Cataluña;273232;2014-11
Comunidad Valenciana;96274;2014-11
Extremadura;48464;2014-11
Galicia;81065;2014-11
Comunidad de Madrid;180064;2014-11
Región de Murcia;82246;2014-11
Comunidad Foral de Navarra;17250;2014-11
País Vasco;87601;2014-11
Ceuta y Melilla;3998;2014-11
Andalucía;376169;2014-12
Aragón;43070;2014-12
Principado de Asturias;33390;2014-12
Islas Baleares;24278;2014-12
Canarias;40508;2014-12
Cantabria;23245;2014-12
Castilla y León;109060;2014-12
Castilla-La Mancha;84650;2014-12
Cataluña;273535;2014-12
Comunidad Valenciana;95831;2014-12
Extremadura;48254;2014-12
Galicia;81101;2014-12
Comunidad de Madrid;181626;2014-12
Región de Murcia;54662;2014-12
Comunidad Foral de Navarra;17104;2014-12
País Vasco;90041;2014-12
Ceuta y Melilla;4008;2014-12
Andalucía;375011;2015-01
Aragón;42815;2015-01
Principado de Asturias;33170;2015-01
Islas Baleares;24115;2015-01
Canarias;40597;2015-01
Cantabria;23245;2015-01
Castilla y León;108531;2015-01
Castilla-La Mancha;84684;2015-01
Cataluña;272836;2015-01
Comunidad Valenciana;94883;2015-01
Extremadura;48321;2015-01
Galicia;80685;2015-01
Comunidad de Madrid;181561;2015-01
Región de Murcia;54662;2015-01
Comunidad Foral de Navarra;17070;2015-01
País Vasco;89901;2015-01
Ceuta y Melilla;4015;2015-01
Andalucía;373294;2015-02
Aragón;42824;2015-02
Principado de Asturias;33208;2015-02
Islas Baleares;24003;2015-02
Canarias;40098;2015-02
Cantabria;23057;2015-02
Castilla y León;108084;2015-02
Castilla-La Mancha;83959;2015-02
Cataluña;272056;2015-02
Comunidad Valenciana;94214;2015-02
Extremadura;48304;2015-02
Galicia;80162;2015-02
Comunidad de Madrid;181562;2015-02
Región de Murcia;53275;2015-02
Comunidad Foral de Navarra;17034;2015-02
País Vasco;89645;2015-02
Ceuta y Melilla;4027;2015-02
Andalucía;372297;2015-04
Aragón;42478;2015-04
Principado de Asturias;33250;2015-04
Islas Baleares;23899;2015-04
Canarias;40097;2015-04
Cantabria;23083;2015-04
Castilla y León;107555;2015-04
Castilla-La Mancha;83587;2015-04
Cataluña;270353;2015-04
Comunidad Valenciana;92361;2015-04
Extremadura;48690;2015-04
Galicia;79491;2015-04
Comunidad de Madrid;180242;2015-04
Región de Murcia;46708;2015-04
Comunidad Foral de Navarra;16992;2015-04
País Vasco;88618;2015-04
Ceuta y Melilla;4040;2015-04
Andalucía;372599;2015-05
Aragón;42704;2015-05
Principado de Asturias;33521;2015-05
Islas Baleares;23921;2015-05
Canarias;40642;2015-05
Cantabria;23083;2015-05
Castilla y León;108380;2015-05
Castilla-La Mancha;83605;2015-05
Cataluña;270824;2015-05
Comunidad Valenciana;91894;2015-05
Extremadura;49040;2015-05
Galicia;79310;2015-05
Comunidad de Madrid;180242;2015-05
Región de Murcia;46708;2015-05
Comunidad Foral de Navarra;17057;2015-05
País Vasco;90013;2015-05
Ceuta y Melilla;4051;2015-05
Andalucía;374489;2015-06
Aragón;42609;2015-06
Principado de Asturias;33739;2015-06
Islas Baleares;23949;2015-06
Canarias;41228;2015-06
Cantabria;22361;2015-06
Castilla y León;109954;2015-06
Castilla-La Mancha;83617;2015-06
Cataluña;272322;2015-06
Comunidad Valenciana;91894;2015-06
Extremadura;49040;2015-06
Galicia;79532;2015-06
Comunidad de Madrid;180242;2015-06
Región de Murcia;46707;2015-06
Comunidad Foral de Navarra;17177;2015-06
País Vasco;90093;2015-06
Ceuta y Melilla;4086;2015-06
Andalucía;374489;2015-07
Aragón;42915;2015-07
Principado de Asturias;33940;2015-07
Islas Baleares;23720;2015-07
Canarias;41694;2015-07
Cantabria;22205;2015-07
Castilla y León;111407;2015-07
Castilla-La Mancha;83669;2015-07
Cataluña;275745;2015-07
Comunidad Valenciana;91894;2015-07
Extremadura;49040;2015-07
Galicia;79356;2015-07
Comunidad de Madrid;180242;2015-07
Región de Murcia;45700;2015-07
Comunidad Foral de Navarra;17070;2015-07
País Vasco;91131;2015-07
Ceuta y Melilla;4103;2015-07
Andalucía;374489;2015-08
Aragón;42734;2015-08
Principado de Asturias;33962;2015-08
Islas Baleares;23658;2015-08
Canarias;41694;2015-08
Cantabria;22349;2015-08
Castilla y León;111446;2015-08
Castilla-La Mancha;83400;2015-08
Cataluña;275742;2015-08
Comunidad Valenciana;91894;2015-08
Extremadura;49040;2015-08
Galicia;79044;2015-08
Comunidad de Madrid;176604;2015-08
Región de Murcia;44926;2015-08
Comunidad Foral de Navarra;16946;2015-08
País Vasco;90697;2015-08
Ceuta y Melilla;4109;2015-08
Andalucía;374489;2015-09
Aragón;42797;2015-09
Principado de Asturias;34191;2015-09
Islas Baleares;23611;2015-09
Canarias;41694;2015-09
Cantabria;22256;2015-09
Castilla y León;111446;2015-09
Castilla-La Mancha;83540;2015-09
Cataluña;274027;2015-09
Comunidad Valenciana;106352;2015-09
Extremadura;49040;2015-09
Galicia;79115;2015-09
Comunidad de Madrid;178946;2015-09
Región de Murcia;45588;2015-09
Comunidad Foral de Navarra;17047;2015-09
País Vasco;90623;2015-09
Ceuta y Melilla;4080;2015-09
Andalucía;376451;2015-10
Aragón;43007;2015-10
Principado de Asturias;34166;2015-10
Islas Baleares;23471;2015-10
Canarias;42134;2015-10
Cantabria;22706;2015-10
Castilla y León;111632;2015-10
Castilla-La Mancha;83760;2015-10
Cataluña;277692;2015-10
Comunidad Valenciana;106673;2015-10
Extremadura;50549;2015-10
Galicia;78792;2015-10
Comunidad de Madrid;178822;2015-10
Región de Murcia;45352;2015-10
Comunidad Foral de Navarra;17215;2015-10
País Vasco;91576;2015-10
Ceuta y Melilla;4008;2015-10
Andalucía;377797;2015-11
Aragón;43197;2015-11
Principado de Asturias;34190;2015-11
Islas Baleares;23537;2015-11
Canarias;42306;2015-11
Cantabria;22954;2015-11
Castilla y León;111741;2015-11
Castilla-La Mancha;84233;2015-11
Cataluña;279489;2015-11
Comunidad Valenciana;106746;2015-11
Extremadura;51276;2015-11
Galicia;79169;2015-11
Comunidad de Madrid;179506;2015-11
Región de Murcia;45207;2015-11
Comunidad Foral de Navarra;17280;2015-11
País Vasco;92166;2015-11
Ceuta y Melilla;4028;2015-11
Andalucía;376694;2015-12
Aragón;43141;2015-12
Principado de Asturias;33308;2015-12
Islas Baleares;23741;2015-12
Canarias;42352;2015-12
Cantabria;23022;2015-12
Castilla y León;111890;2015-12
Castilla-La Mancha;84774;2015-12
Cataluña;281036;2015-12
Comunidad Valenciana;107000;2015-12
Extremadura;51391;2015-12
Galicia;79244;2015-12
Comunidad de Madrid;179352;2015-12
Región de Murcia;45057;2015-12
Comunidad Foral de Navarra;17457;2015-12
País Vasco;92676;2015-12
Ceuta y Melilla;4032;2015-12
Andalucía;376893;2016-01
Aragón;43005;2016-01
