ccaa;solicitudes;periodo
Islas Baleares;32849;2021-02
Canarias;53821;2021-02
Cantabria;25315;2021-02
Castilla y León;140447;2021-02
Castilla-La Mancha;84194;2021-02
Cataluña;321108;2021-02
Comunidad Valenciana;153648;2021-02
Extremadura;52117;2021-02
Galicia;76430;2021-02
Comunidad de Madrid;220920;2021-02
Región de Murcia;52104;2021-02
Comunidad Foral de Navarra;19589;2021-02
País Vasco;105775;2021-02
La Rioja;14791;2021-02
Ceuta y Melilla;4434;2021-02
Andalucía;393556;2021-03
Aragón;47935;2021-03
Principado de Asturias;39120;2021-03
Islas Baleares;32953;2021-03
Canarias;54299;2021-03
Cantabria;22253;2021-03
Castilla y León;140577;2021-03
Castilla-La Mancha;84526;2021-03
Cataluña;321453;2021-03
Comunidad Valenciana;155185;2021-03
Extremadura;52126;2021-03
Galicia;76426;2021-03
Comunidad de Madrid;222737;2021-03
Región de Murcia;52057;2021-03
Comunidad Foral de Navarra;19717;2021-03
País Vasco;105812;2021-03
La Rioja;14884;2021-03
Ceuta y Melilla;4427;2021-03
Andalucía;393325;2021-04
Aragón;48096;2021-04
Principado de Asturias;39333;2021-04
Islas Baleares;32888;2021-04
Canarias;54872;2021-04
Cantabria;22327;2021-04
Castilla y León;140679;2021-04
Castilla-La Mancha;84949;2021-04
Cataluña;322929;2021-04
Comunidad Valenciana;156220;2021-04
Extremadura;52365;2021-04
Galicia;76555;2021-04
Comunidad de Madrid;224021;2021-04
Región de Murcia;52363;2021-04
Comunidad Foral de Navarra;19775;2021-04
País Vasco;105554;2021-04
La Rioja;15018;2021-04
Ceuta y Melilla;4446;2021-04
Andalucía;394637;2021-05
Aragón;48335;2021-05
Principado de Asturias;39798;2021-05
Islas Baleares;33261;2021-05
Canarias;55710;2021-05
Cantabria;22442;2021-05
Castilla y León;140802;2021-05
Castilla-La Mancha;85832;2021-05
Cataluña;326285;2021-05
Comunidad Valenciana;157244;2021-05
Extremadura;52562;2021-05
Galicia;76621;2021-05
Comunidad de Madrid;223588;2021-05
Región de Murcia;52936;2021-05
Comunidad Foral de Navarra;19687;2021-05
País Vasco;106107;2021-05
La Rioja;15082;2021-05
Ceuta y Melilla;4450;2021-05
Andalucía;394967;2021-06
Aragón;48485;2021-06
Principado de Asturias;40000;2021-06
Islas Baleares;33628;2021-06
Canarias;56386;2021-06
Cantabria;22451;2021-06
Castilla y León;141034;2021-06
Castilla-La Mancha;86048;2021-06
Cataluña;328387;2021-06
Comunidad Valenciana;158556;2021-06
Extremadura;52512;2021-06
Galicia;76757;2021-06
Comunidad de Madrid;224567;2021-06
Región de Murcia;53520;2021-06
Comunidad Foral de Navarra;19684;2021-06
País Vasco;106327;2021-06
La Rioja;15243;2021-06
Ceuta y Melilla;4475;2021-06
Andalucía;397904;2021-07
Aragón;48604;2021-07
Principado de Asturias;40170;2021-07
Islas Baleares;33919;2021-07
Canarias;57289;2021-07
Cantabria;22497;2021-07
Castilla y León;141215;2021-07
Castilla-La Mancha;86569;2021-07
Cataluña;330158;2021-07
Comunidad Valenciana;160645;2021-07
Extremadura;53099;2021-07
Galicia;76880;2021-07
Comunidad de Madrid;226552;2021-07
Región de Murcia;53673;2021-07
Comunidad Foral de Navarra;19631;2021-07
País Vasco;106334;2021-07
La Rioja;15188;2021-07
Ceuta y Melilla;4492;2021-07
Andalucía;399633;2021-08
Aragón;48472;2021-08
Principado de Asturias;40238;2021-08
Islas Baleares;33866;2021-08
Canarias;57657;2021-08
Cantabria;22597;2021-08
Castilla y León;141526;2021-08
Castilla-La Mancha;86244;2021-08
Cataluña;331818;2021-08
Comunidad Valenciana;161039;2021-08
Extremadura;53454;2021-08
Galicia;76776;2021-08
Comunidad de Madrid;223031;2021-08
Región de Murcia;53458;2021-08
Comunidad Foral de Navarra;19645;2021-08
País Vasco;106452;2021-08
La Rioja;15319;2021-08
Ceuta y Melilla;4535;2021-08
Andalucía;400616;2021-09
Aragón;48546;2021-09
Principado de Asturias;40245;2021-09
Islas Baleares;34249;2021-09
Canarias;57831;2021-09
Cantabria;22561;2021-09
Castilla y León;141692;2021-09
Castilla-La Mancha;86586;2021-09
Cataluña;331112;2021-09
Comunidad Valenciana;162971;2021-09
Extremadura;53350;2021-09
Galicia;77016;2021-09
Comunidad de Madrid;223806;2021-09
Región de Murcia;53601;2021-09
Comunidad Foral de Navarra;19441;2021-09
País Vasco;106463;2021-09
La Rioja;15277;2021-09
Ceuta y Melilla;4552;2021-09
Andalucía;401059;2021-10
Aragón;48670;2021-10
Principado de Asturias;40556;2021-10
Islas Baleares;35187;2021-10
Canarias;57477;2021-10
Cantabria;22970;2021-10
Castilla y León;141776;2021-10
Castilla-La Mancha;87226;2021-10
Cataluña;333515;2021-10
Comunidad Valenciana;165014;2021-10
Extremadura;53712;2021-10
Galicia;77299;2021-10
Comunidad de Madrid;224421;2021-10
Región de Murcia;54154;2021-10
Comunidad Foral de Navarra;19639;2021-10
País Vasco;106843;2021-10
La Rioja;15488;2021-10
Ceuta y Melilla;4564;2021-10
Andalucía;402070;2021-11
Aragón;48754;2021-11
Principado de Asturias;40808;2021-11
Islas Baleares;35146;2021-11
Canarias;57802;2021-11
Cantabria;23078;2021-11
Castilla y León;141947;2021-11
Castilla-La Mancha;87394;2021-11
Cataluña;336214;2021-11
Comunidad Valenciana;166200;2021-11
Extremadura;54026;2021-11
Galicia;77833;2021-11
Comunidad de Madrid;224797;2021-11
Región de Murcia;54551;2021-11
Comunidad Foral de Navarra;19921;2021-11
País Vasco;107005;2021-11
La Rioja;15367;2021-11
Ceuta y Melilla;4597;2021-11
Andalucía;402114;2021-12
Aragón;48669;2021-12
Principado de Asturias;41002;2021-12
Islas Baleares;35355;2021-12
Canarias;58012;2021-12
Cantabria;23258;2021-12
Castilla y León;142154;2021-12
Castilla-La Mancha;87354;2021-12
Cataluña;337967;2021-12
Comunidad Valenciana;166723;2021-12
Extremadura;54286;2021-12
Galicia;77804;2021-12
Comunidad de Madrid;216089;2021-12
Región de Murcia;54205;2021-12
Comunidad Foral de Navarra;20426;2021-12
País Vasco;107110;2021-12
La Rioja;15454;2021-12
Ceuta y Melilla;4622;2021-12
Andalucía;399550;2022-01
Aragón;48721;2022-01
Principado de Asturias;41069;2022-01
Islas Baleares;35278;2022-01
Canarias;57477;2022-01
Cantabria;23134;2022-01
Castilla y León;142255;2022-01
Castilla-La Mancha;87324;2022-01
Cataluña;339569;2022-01
Comunidad Valenciana;167158;2022-01
Extremadura;54462;2022-01
Galicia;77618;2022-01
Comunidad de Madrid;215667;2022-01
Región de Murcia;54032;2022-01
Comunidad Foral de Navarra;20258;2022-01
País Vasco;107038;2022-01
La Rioja;15412;2022-01
Ceuta y Melilla;4615;2022-01
Andalucía;397781;2022-02
Aragón;48805;2022-02
Principado de Asturias;41570;2022-02
Islas Baleares;35297;2022-02
Canarias;57090;2022-02
Cantabria;23367;2022-02
Castilla y León;142710;2022-02
Castilla-La Mancha;87467;2022-02
Cataluña;339517;2022-02
Comunidad Valenciana;166679;2022-02
Extremadura;55045;2022-02
Galicia;77465;2022-02
Comunidad de Madrid;214951;2022-02
Región de Murcia;53942;2022-02
Comunidad Foral de Navarra;20265;2022-02
País Vasco;107054;2022-02
La Rioja;15433;2022-02
Ceuta y Melilla;4610;2022-02
Andalucía;396452;2022-03
Aragón;49041;2022-03
Principado de Asturias;41953;2022-03
Islas Baleares;35658;2022-03
Canarias;57376;2022-03
Cantabria;23323;2022-03
Castilla y León;143031;2022-03
Castilla-La Mancha;88190;2022-03
Cataluña;340970;2022-03
Comunidad Valenciana;167087;2022-03
Extremadura;55197;2022-03
Galicia;77743;2022-03
Comunidad de Madrid;216616;2022-03
Región de Murcia;53959;2022-03
Comunidad Foral de Navarra;20369;2022-03
País Vasco;107355;2022-03
La Rioja;15412;2022-03
Ceuta y Melilla;4669;2022-03
Andalucía;397098;2022-04
Aragón;49414;2022-04
Principado de Asturias;42116;2022-04
Islas Baleares;35743;2022-04
Canarias;57615;2022-04
Cantabria;23327;2022-04
Castilla y León;143304;2022-04
Castilla-La Mancha;88523;2022-04
Cataluña;341977;2022-04
Comunidad Valenciana;171709;2022-04
Extremadura;55249;2022-04
Galicia;78129;2022-04
Comunidad de Madrid;218191;2022-04
Región de Murcia;54092;2022-04
Comunidad Foral de Navarra;20499;2022-04
País Vasco;107563;2022-04
La Rioja;15180;2022-04
Ceuta y Melilla;4733;2022-04
Andalucía;402296;2022-05
Aragón;49906;2022-05
Principado de Asturias;42163;2022-05
Islas Baleares;36137;2022-05
Canarias;57803;2022-05
Cantabria;23417;2022-05
Castilla y León;143501;2022-05
Castilla-La Mancha;88874;2022-05
Cataluña;344595;2022-05
Comunidad Valenciana;176038;2022-05
Extremadura;55477;2022-05
Galicia;78184;2022-05
Comunidad de Madrid;219527;2022-05
Región de Murcia;54632;2022-05
Comunidad Foral de Navarra;20485;2022-05
País Vasco;107888;2022-05
La Rioja;15041;2022-05
Ceuta y Melilla;4749;2022-05
Andalucía;409799;2022-06
Aragón;50209;2022-06
Principado de Asturias;42390;2022-06
Islas Baleares;36601;2022-06
Canarias;58158;2022-06
Cantabria;23531;2022-06
Castilla y León;143771;2022-06
Castilla-La Mancha;89076;2022-06
Cataluña;346467;2022-06
Comunidad Valenciana;177899;2022-06
Extremadura;55906;2022-06
Galicia;78315;2022-06
Comunidad de Madrid;223962;2022-06
Región de Murcia;55016;2022-06
Comunidad Foral de Navarra;20624;2022-06
País Vasco;108081;2022-06
La Rioja;14767;2022-06
Ceuta y Melilla;4786;2022-06
Andalucía;414639;2022-07
Aragón;50362;2022-07
Principado de Asturias;42476;2022-07
Islas Baleares;37199;2022-07
Canarias;58047;2022-07
Cantabria;23661;2022-07
Castilla y León;144162;2022-07
Castilla-La Mancha;89217;2022-07
Cataluña;346389;2022-07
Comunidad Valenciana;178678;2022-07
Extremadura;56024;2022-07
Galicia;78453;2022-07
Comunidad de Madrid;225146;2022-07
Región de Murcia;54763;2022-07
Comunidad Foral de Navarra;20692;2022-07
País Vasco;108009;2022-07
La Rioja;14503;2022-07
Ceuta y Melilla;4803;2022-07
Andalucía;415946;2022-08
Aragón;50251;2022-08
Principado de Asturias;42648;2022-08
Islas Baleares;37822;2022-08
Canarias;57837;2022-08
Cantabria;23633;2022-08
Castilla y León;144771;2022-08
Castilla-La Mancha;89217;2022-08
Cataluña;348725;2022-08
Comunidad Valenciana;178548;2022-08
Extremadura;55953;2022-08
Galicia;78133;2022-08
Comunidad de Madrid;224053;2022-08
Región de Murcia;54668;2022-08
Comunidad Foral de Navarra;20682;2022-08
País Vasco;107519;2022-08
La Rioja;14161;2022-08
Ceuta y Melilla;4826;2022-08
Andalucía;418172;2022-09
Aragón;50366;2022-09
Principado de Asturias;43202;2022-09
Islas Baleares;38187;2022-09
Canarias;57663;2022-09
Cantabria;22804;2022-09
Castilla y León;145329;2022-09
Castilla-La Mancha;90149;2022-09
Cataluña;349301;2022-09
Comunidad Valenciana;180329;2022-09
Extremadura;55937;2022-09
Galicia;78455;2022-09
Comunidad de Madrid;225787;2022-09
Región de Murcia;54863;2022-09
Comunidad Foral de Navarra;20598;2022-09
País Vasco;107682;2022-09
La Rioja;14064;2022-09
Ceuta y Melilla;4874;2022-09
Andalucía;420449;2022-10
Aragón;50648;2022-10
Principado de Asturias;43493;2022-10
Islas Baleares;38683;2022-10
Canarias;57863;2022-10
Cantabria;22954;2022-10
Castilla y León;146032;2022-10
Castilla-La Mancha;90660;2022-10
Cataluña;350529;2022-10
Comunidad Valenciana;182285;2022-10
Extremadura;56184;2022-10
Galicia;78796;2022-10
Comunidad de Madrid;226139;2022-10
Región de Murcia;55141;2022-10
Comunidad Foral de Navarra;20844;2022-10
País Vasco;107922;2022-10
La Rioja;14361;2022-10
Ceuta y Melilla;4896;2022-10
Andalucía;422597;2022-11
Aragón;51000;2022-11
Principado de Asturias;43780;2022-11
Islas Baleares;39258;2022-11
Canarias;57908;2022-11
Cantabria;23092;2022-11
Castilla y León;146811;2022-11
Castilla-La Mancha;90303;2022-11
Cataluña;353521;2022-11
Comunidad Valenciana;184396;2022-11
Extremadura;56530;2022-11
Galicia;79140;2022-11
Comunidad de Madrid;227000;2022-11
Región de Murcia;55330;2022-11
Comunidad Foral de Navarra;21068;2022-11
País Vasco;108502;2022-11
La Rioja;14408;2022-11
Ceuta y Melilla;4943;2022-11
Andalucía;422621;2022-12
Aragón;51170;2022-12
Principado de Asturias;43882;2022-12
Islas Baleares;39461;2022-12
Canarias;57712;2022-12
Cantabria;23164;2022-12
Castilla y León;146929;2022-12
Castilla-La Mancha;89947;2022-12
Cataluña;354754;2022-12
Comunidad Valenciana;185933;2022-12
Extremadura;56834;2022-12
Galicia;79633;2022-12
Comunidad de Madrid;224953;2022-12
Región de Murcia;55440;2022-12
Comunidad Foral de Navarra;21291;2022-12
País Vasco;108983;2022-12
La Rioja;14358;2022-12
Ceuta y Melilla;4953;2022-12
Andalucía;421864;2023-01
Aragón;51138;2023-01
Principado de Asturias;44192;2023-01
Islas Baleares;39808;2023-01
Canarias;57982;2023-01
Cantabria;23160;2023-01
Castilla y León;147653;2023-01
Castilla-La Mancha;90834;2023-01
Cataluña;355497;2023-01
Comunidad Valenciana;186647;2023-01
Extremadura;56797;2023-01
Galicia;80387;2023-01
Comunidad de Madrid;225189;2023-01
Región de Murcia;55614;2023-01
Comunidad Foral de Navarra;21331;2023-01
País Vasco;109294;2023-01
La Rioja;14306;2023-01
Ceuta y Melilla;4979;2023-01
Andalucía;424055;2023-02
Aragón;51265;2023-02
Principado de Asturias;44688;2023-02
Islas Baleares;40305;2023-02
Canarias;57844;2023-02
Cantabria;23452;2023-02
Castilla y León;148272;2023-02
Castilla-La Mancha;91964;2023-02
Cataluña;359267;2023-02
Comunidad Valenciana;187770;2023-02
Extremadura;56885;2023-02
Galicia;80413;2023-02
Comunidad de Madrid;225177;2023-02
Región de Murcia;56203;2023-02
Comunidad Foral de Navarra;21382;2023-02
País Vasco;109999;2023-02
La Rioja;14280;2023-02
Ceuta y Melilla;4984;2023-02
Andalucía;425532;2023-03
Aragón;51519;2023-03
Principado de Asturias;44700;2023-03
Islas Baleares;40775;2023-03
Canarias;57505;2023-03
Cantabria;23427;2023-03
Castilla y León;148924;2023-03
Castilla-La Mancha;92632;2023-03
Cataluña;361875;2023-03
Comunidad Valenciana;189190;2023-03
Extremadura;56862;2023-03
Galicia;80507;2023-03
Comunidad de Madrid;229086;2023-03
Región de Murcia;57106;2023-03
Comunidad Foral de Navarra;21369;2023-03
País Vasco;109480;2023-03
La Rioja;14405;2023-03
Ceuta y Melilla;5007;2023-03
Andalucía;427328;2023-04
Aragón;51720;2023-04
Principado de Asturias;44486;2023-04
Islas Baleares;41078;2023-04
Canarias;57756;2023-04
Cantabria;23571;2023-04
Castilla y León;149821;2023-04
Castilla-La Mancha;93138;2023-04
Cataluña;363501;2023-04
Comunidad Valenciana;191925;2023-04
Extremadura;57035;2023-04
Galicia;80456;2023-04
Comunidad de Madrid;229862;2023-04
Región de Murcia;57942;2023-04
Comunidad Foral de Navarra;21478;2023-04
País Vasco;110499;2023-04
La Rioja;14350;2023-04
Ceuta y Melilla;5062;2023-04
Andalucía;430185;2023-05
Aragón;52261;2023-05
Principado de Asturias;44731;2023-05
Islas Baleares;41490;2023-05
Canarias;57804;2023-05
Cantabria;23549;2023-05
Castilla y León;150745;2023-05
Castilla-La Mancha;94029;2023-05
Cataluña;365101;2023-05
Comunidad Valenciana;195490;2023-05
Extremadura;57364;2023-05
Galicia;82795;2023-05
Comunidad de Madrid;231382;2023-05
Región de Murcia;59227;2023-05
Comunidad Foral de Navarra;21583;2023-05
País Vasco;110818;2023-05
La Rioja;14526;2023-05
Ceuta y Melilla;5098;2023-05
Andalucía;433486;2023-06
Aragón;52747;2023-06
Principado de Asturias;45417;2023-06
Islas Baleares;42037;2023-06
Canarias;59043;2023-06
Cantabria;23546;2023-06
Castilla y León;151767;2023-06
Castilla-La Mancha;94471;2023-06
Cataluña;368289;2023-06
Comunidad Valenciana;197799;2023-06
Extremadura;57881;2023-06
Galicia;83145;2023-06
Comunidad de Madrid;233210;2023-06
Región de Murcia;60122;2023-06
Comunidad Foral de Navarra;21751;2023-06
País Vasco;111374;2023-06
La Rioja;14552;2023-06
Ceuta y Melilla;5123;2023-06
Andalucía;431318;2023-07
Aragón;52709;2023-07
Principado de Asturias;46011;2023-07
Islas Baleares;42419;2023-07
Canarias;59710;2023-07
Cantabria;23599;2023-07
Castilla y León;152778;2023-07
Castilla-La Mancha;95149;2023-07
Cataluña;370884;2023-07
Comunidad Valenciana;200158;2023-07
Extremadura;57979;2023-07
Galicia;83324;2023-07
Comunidad de Madrid;234175;2023-07
Región de Murcia;60408;2023-07
Comunidad Foral de Navarra;21797;2023-07
País Vasco;112012;2023-07
La Rioja;14594;2023-07
Ceuta y Melilla;5135;2023-07
Andalucía;428922;2023-08
Aragón;52929;2023-08
Principado de Asturias;46391;2023-08
Islas Baleares;42593;2023-08
Canarias;60701;2023-08
Cantabria;23726;2023-08
Castilla y León;153863;2023-08
Castilla-La Mancha;95553;2023-08
Cataluña;374101;2023-08
Comunidad Valenciana;201091;2023-08
Extremadura;58227;2023-08
Galicia;83438;2023-08
Comunidad de Madrid;234466;2023-08
Región de Murcia;60702;2023-08
Comunidad Foral de Navarra;21858;2023-08
País Vasco;112122;2023-08
La Rioja;14580;2023-08
Ceuta y Melilla;5162;2023-08
Andalucía;426595;2023-09
Aragón;53137;2023-09
Principado de Asturias;46555;2023-09
Islas Baleares;42939;2023-09
Canarias;61055;2023-09
Cantabria;23714;2023-09
Castilla y León;154644;2023-09
Castilla-La Mancha;95991;2023-09
Cataluña;375746;2023-09
Comunidad Valenciana;202495;2023-09
Extremadura;58313;2023-09
Galicia;83392;2023-09
Comunidad de Madrid;237354;2023-09
Región de Murcia;61577;2023-09
Comunidad Foral de Navarra;21979;2023-09
País Vasco;112659;2023-09
La Rioja;14579;2023-09
Ceuta y Melilla;5170;2023-09
Andalucía;425463;2023-10
Aragón;53455;2023-10
Principado de Asturias;46790;2023-10
Islas Baleares;43293;2023-10
Canarias;61680;2023-10
Cantabria;23695;2023-10
Castilla y León;155442;2023-10
Castilla-La Mancha;95726;2023-10
Cataluña;377760;2023-10
Comunidad Valenciana;203398;2023-10
Extremadura;58538;2023-10
Galicia;83578;2023-10
Comunidad de Madrid;238875;2023-10
Región de Murcia;62109;2023-10
Comunidad Foral de Navarra;22032;2023-10
País Vasco;113402;2023-10
La Rioja;14651;2023-10
Ceuta y Melilla;5184;2023-10
Andalucía;422976;2023-11
Aragón;53885;2023-11
Principado de Asturias;47113;2023-11
Islas Baleares;43539;2023-11
Canarias;62675;2023-11
Cantabria;23808;2023-11
Castilla y León;156261;2023-11
Castilla-La Mancha;95196;2023-11
Cataluña;351972;2023-11
Comunidad Valenciana;206145;2023-11
Extremadura;58608;2023-11
Galicia;83723;2023-11
Comunidad de Madrid;237594;2023-11
Región de Murcia;62443;2023-11
Comunidad Foral de Navarra;22127;2023-11
País Vasco;113565;2023-11
La Rioja;14582;2023-11
Ceuta y Melilla;5197;2023-11
Andalucía;420976;2023-12
Aragón;54128;2023-12
Principado de Asturias;46871;2023-12
Islas Baleares;43584;2023-12
Canarias;63120;2023-12
Cantabria;23876;2023-12
Castilla y León;156550;2023-12
Castilla-La Mancha;94676;2023-12
Cataluña;352939;2023-12
Comunidad Valenciana;205653;2023-12
Extremadura;58876;2023-12
Galicia;83919;2023-12
Comunidad de Madrid;237216;2023-12
Región de Murcia;62760;2023-12
Comunidad Foral de Navarra;22108;2023-12
País Vasco;114252;2023-12
La Rioja;14631;2023-12
Ceuta y Melilla;5237;2023-12
Andalucía;417819;2024-01
Aragón;54342;2024-01
Principado de Asturias;47031;2024-01
Islas Baleares;43746;2024-01
Canarias;63642;2024-01
Cantabria;23735;2024-01
Castilla y León;157332;2024-01
Castilla-La Mancha;95728;2024-01
Cataluña;354657;2024-01
Comunidad Valenciana;204614;2024-01
Extremadura;58759;2024-01
Galicia;83638;2024-01
Comunidad de Madrid;242904;2024-01
Región de Murcia;63686;2024-01
Comunidad Foral de Navarra;22108;2024-01
País Vasco;113902;2024-01
La Rioja;14653;2024-01
Ceuta y Melilla;5305;2024-01
Andalucía;414034;2024-02
Aragón;54409;2024-02
Principado de Asturias;46861;2024-02
Islas Baleares;43797;2024-02
Canarias;64073;2024-02
Cantabria;23718;2024-02
Castilla y León;157973;2024-02
Castilla-La Mancha;96147;2024-02
Cataluña;357537;2024-02
Comunidad Valenciana;204692;2024-02
Extremadura;58544;2024-02
Galicia;83028;2024-02
Comunidad de Madrid;245045;2024-02
Región de Murcia;64044;2024-02
Comunidad Foral de Navarra;22014;2024-02
País Vasco;114310;2024-02
La Rioja;14771;2024-02
Ceuta y Melilla;5355;2024-02
Andalucía;416723;2024-03
Aragón;54801;2024-03
Principado de Asturias;47098;2024-03
Islas Baleares;44131;2024-03
Canarias;64728;2024-03
Cantabria;23904;2024-03
Castilla y León;158793;2024-03
Castilla-La Mancha;96674;2024-03
Cataluña;360948;2024-03
Comunidad Valenciana;205341;2024-03
Extremadura;58858;2024-03
Galicia;83380;2024-03
Comunidad de Madrid;247073;2024-03
Región de Murcia;64254;2024-03
Comunidad Foral de Navarra;21946;2024-03
País Vasco;114555;2024-03
La Rioja;14489;2024-03
Ceuta y Melilla;5373;2024-03
Andalucía;413406;2024-04
Aragón;55580;2024-04
Principado de Asturias;47521;2024-04
Islas Baleares;44482;2024-04
Canarias;66429;2024-04
Cantabria;23979;2024-04
Castilla y León;159389;2024-04
Castilla-La Mancha;97526;2024-04
Cataluña;363527;2024-04
Comunidad Valenciana;206158;2024-04
Extremadura;59007;2024-04
Galicia;83666;2024-04
Comunidad de Madrid;249077;2024-04
Región de Murcia;64774;2024-04
Comunidad Foral de Navarra;21879;2024-04
País Vasco;114752;2024-04
La Rioja;14621;2024-04
Ceuta y Melilla;5405;2024-04
Andalucía;409871;2024-05
Aragón;56234;2024-05
Principado de Asturias;47942;2024-05
Islas Baleares;44957;2024-05
Canarias;67784;2024-05
Cantabria;23669;2024-05
Castilla y León;159928;2024-05
Castilla-La Mancha;97887;2024-05
Cataluña;365710;2024-05
Comunidad Valenciana;207616;2024-05
Extremadura;58687;2024-05
Galicia;83637;2024-05
Comunidad de Madrid;249829;2024-05
Región de Murcia;65560;2024-05
Comunidad Foral de Navarra;21596;2024-05
País Vasco;115512;2024-05
La Rioja;14777;2024-05
Ceuta y Melilla;5438;2024-05
Andalucía;407182;2024-06
Aragón;56858;2024-06
Principado de Asturias;48519;2024-06
Islas Baleares;45142;2024-06
Canarias;69464;2024-06
Cantabria;23700;2024-06
Castilla y León;159961;2024-06
Castilla-La Mancha;98240;2024-06
Cataluña;368778;2024-06
Comunidad Valenciana;209122;2024-06
Extremadura;58675;2024-06
Galicia;84146;2024-06
Comunidad de Madrid;252067;2024-06
Región de Murcia;65939;2024-06
Comunidad Foral de Navarra;21613;2024-06
País Vasco;116241;2024-06
La Rioja;14873;2024-06
Ceuta y Melilla;5474;2024-06
Andalucía;411417;2024-07
Aragón;57063;2024-07
Principado de Asturias;49263;2024-07
Islas Baleares;45432;2024-07
Canarias;71366;2024-07
Cantabria;24038;2024-07
Castilla y León;159998;2024-07
Castilla-La Mancha;98427;2024-07
Cataluña;371456;2024-07
Comunidad Valenciana;213107;2024-07
Extremadura;58552;2024-07
Galicia;84329;2024-07
Comunidad de Madrid;253141;2024-07
Región de Murcia;65981;2024-07
Comunidad Foral de Navarra;21790;2024-07
País Vasco;116122;2024-07
La Rioja;14871;2024-07
Ceuta y Melilla;5498;2024-07
Andalucía;415660;2024-08
Aragón;56996;2024-08
Principado de Asturias;49643;2024-08
Islas Baleares;45609;2024-08
Canarias;72563;2024-08
Cantabria;24208;2024-08
Castilla y León;160193;2024-08
Castilla-La Mancha;98324;2024-08
Cataluña;374354;2024-08
Comunidad Valenciana;213093;2024-08
Extremadura;58261;2024-08
Galicia;84471;2024-08
Comunidad de Madrid;252940;2024-08
Región de Murcia;65755;2024-08
Comunidad Foral de Navarra;21678;2024-08
País Vasco;116059;2024-08
La Rioja;14876;2024-08
Ceuta y Melilla;5523;2024-08
Andalucía;412788;2024-09
Aragón;57082;2024-09
Principado de Asturias;50027;2024-09
Islas Baleares;45845;2024-09
Canarias;73643;2024-09
Cantabria;24265;2024-09
Castilla y León;160316;2024-09
Castilla-La Mancha;98535;2024-09
Cataluña;375869;2024-09
Comunidad Valenciana;213180;2024-09
Extremadura;58482;2024-09
Galicia;84538;2024-09
Comunidad de Madrid;253523;2024-09
Región de Murcia;66558;2024-09
Comunidad Foral de Navarra;21482;2024-09
País Vasco;116519;2024-09
La Rioja;14863;2024-09
Ceuta y Melilla;5557;2024-09
Andalucía;412895;2024-10
Aragón;57535;2024-10
Principado de Asturias;50749;2024-10
Islas Baleares;46046;2024-10
Canarias;74817;2024-10
Cantabria;24593;2024-10
Castilla y León;160404;2024-10
Castilla-La Mancha;99393;2024-10
Cataluña;378335;2024-10
Comunidad Valenciana;215210;2024-10
Extremadura;59181;2024-10
Galicia;84886;2024-10
Comunidad de Madrid;256574;2024-10
Región de Murcia;66926;2024-10
Comunidad Foral de Navarra;21325;2024-10
País Vasco;117049;2024-10
La Rioja;14815;2024-10
Ceuta y Melilla;5588;2024-10
Andalucía;421232;2024-11
Aragón;57826;2024-11
Principado de Asturias;51212;2024-11
Islas Baleares;46224;2024-11
Canarias;75587;2024-11
Cantabria;23597;2024-11
Castilla y León;160569;2024-11
Castilla-La Mancha;99090;2024-11
Cataluña;380731;2024-11
Comunidad Valenciana;216542;2024-11
Extremadura;59493;2024-11
Galicia;85172;2024-11
Comunidad de Madrid;257624;2024-11
Región de Murcia;67041;2024-11
Comunidad Foral de Navarra;21196;2024-11
País Vasco;117632;2024-11
La Rioja;14780;2024-11
Ceuta y Melilla;5608;2024-11
Andalucía;423377;2024-12
Aragón;57909;2024-12
Principado de Asturias;51282;2024-12
Islas Baleares;46233;2024-12
Canarias;75761;2024-12
Cantabria;23556;2024-12
Castilla y León;160725;2024-12
Castilla-La Mancha;98880;2024-12
Cataluña;382242;2024-12
Comunidad Valenciana;218328;2024-12
Extremadura;59450;2024-12
Galicia;85251;2024-12
Comunidad de Madrid;256424;2024-12
Región de Murcia;66811;2024-12
Comunidad Foral de Navarra;21514;2024-12
País Vasco;117575;2024-12
La Rioja;14722;2024-12
Ceuta y Melilla;5608;2024-12
Andalucía;424865;2025-01
Aragón;57851;2025-01
Principado de Asturias;51635;2025-01
Islas Baleares;46118;2025-01
Canarias;75170;2025-01
Cantabria;23612;2025-01
Castilla y León;160337;2025-01
Castilla-La Mancha;100119;2025-01
Cataluña;385490;2025-01
Comunidad Valenciana;219001;2025-01
Extremadura;59500;2025-01
Galicia;85714;2025-01
Comunidad de Madrid;261049;2025-01
Región de Murcia;66933;2025-01
Comunidad Foral de Navarra;21298;2025-01
País Vasco;117857;2025-01
La Rioja;14780;2025-01
Ceuta y Melilla;5678;2025-01
Andalucía;423413;2025-02
Aragón;57888;2025-02
Principado de Asturias;51675;2025-02
Islas Baleares;46508;2025-02
Canarias;76187;2025-02
Cantabria;23198;2025-02
Castilla y León;160402;2025-02
Castilla-La Mancha;100632;2025-02
Cataluña;386600;2025-02
Comunidad Valenciana;219504;2025-02
Extremadura;59616;2025-02
Galicia;85269;2025-02
Comunidad de Madrid;262487;2025-02
Región de Murcia;67463;2025-02
Comunidad Foral de Navarra;20949;2025-02
País Vasco;117866;2025-02
La Rioja;14827;2025-02
Ceuta y Melilla;5676;2025-02
Andalucía;424082;2025-03
Aragón;58385;2025-03
Principado de Asturias;51790;2025-03
Islas Baleares;46932;2025-03
