horas;grado I;grado II;grado III;total;servicio;fecha
De 16 a 20;7,54460079627997e-01;9,08014212396368e-03;6,05693519079346e-04;0,401858789857053256;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 21 a 30;1,16767468012035e-01;8,69663301562236e-02;3,28805053214502e-03;0,087183032914730438;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 31 a 45;1,00294805944747e-03;7,72150470926626e-01;1,30656744829973e-02;0,223103021337492546;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 46 a 55;3,34316019815822e-04;9,77948226270374e-02;4,53404862853682e-02;0,036484378768632114;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 56 a 65;2,91766708202899e-03;1,18436636399526e-03;1,78679588128407e-01;0,035085462526732163;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 66 a 70;0,00000000000000e+00;2,81991991427443e-04;6,22393354676819e-01;0,115740219645929482;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
71 o más;9,51281038203203e-03;3,18650950313011e-02;1,36194514147270e-01;0,039426926725732017;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
Menos de 5;2,46648534883581e-03;1,63080756470736e-03;9,25961649755006e-04;0,001847567886475492;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 5 a 10;3,54383891257546e-01;1,35084060080910e-02;5,27283717221601e-03;0,158117136839054595;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
De 11 a 15;9,65607907226380e-02;4,71954309391492e-02;1,26933909487249e-02;0,061435513670449783;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-02-28
