"ccaa","periodo","genero","pct_pib_sanidad","imp_sanidad_eur","pib_regional_eur","origen_pib"
"Cantabria",2022,"total",6.5835,1024213022,15557155000,"real"
"Cantabria",2023,"total",6.4553,1080659864,16740663000,"real"
"Cantabria",2024,"total",6.5181,1153704317,17700122000,"real"
"Cantabria",2025,"total",6.6596,1225308481,18399077585.3196,"proyeccion"
"Cantabria",2026,"total",6.7421,1324077382,19638827481.9118,"proyeccion"
"Castilla y León",2015,"total",6.1156,3252486438,53183396000,"real"
"Castilla y León",2016,"total",6.0132,3285027920,54630532000,"real"
"Castilla y León",2017,"total",6.1681,3446716392,55879293000,"real"
"Castilla y León",2018,"total",6.0777,3544930466,58326859000,"real"
"Castilla y León",2019,"total",5.943,3544930466,59649198000,"real"
"Castilla y León",2020,"total",6.4695,3544930466,54794589000,"real"
"Castilla y León",2021,"total",7.2596,4316967631,59465900000,"real"
"Castilla y León",2022,"total",6.5941,4316967631,65467208000,"real"
"Castilla y León",2023,"total",6.7102,4690046743,69893920000,"real"
"Castilla y León",2024,"total",6.5044,4812765002,73992645000,"real"
"Castilla y León",2025,"total",6.2314,4812765002,77233592986.7985,"proyeccion"
"Castilla y León",2026,"total",5.9574,4812765002,80786752445.5297,"proyeccion"
"Extremadura",2015,"total",7.4445,1376856967,18494971000,"real"
"Extremadura",2016,"total",8.1287,1550101891,19069471000,"real"
"Extremadura",2017,"total",7.6306,1539066245,20169546000,"real"
"Extremadura",2018,"total",7.7436,1603961004,20713254000,"real"
"Extremadura",2019,"total",7.9897,1691119508,21166132000,"real"
"Extremadura",2020,"total",8.9372,1742520488,19497343000,"real"
"Extremadura",2021,"total",8.7071,1876516389,21551517000,"real"
"Extremadura",2022,"total",8.5517,2008513430,23486645000,"real"
"Extremadura",2023,"total",8.7498,2204300044,25192615000,"real"
"Extremadura",2024,"total",8.5846,2282097280,26583476000,"real"
"Extremadura",2025,"total",8.1355,2282097280,28051125150.8657,"proyeccion"
"Extremadura",2026,"total",7.7932,2282097280,29283045487.1274,"proyeccion"
"Galicia",2015,"total",5.5604,3170026461,57010602000,"real"
"Galicia",2016,"total",5.6518,3309935296,58564023000,"real"
"Galicia",2017,"total",5.6278,3412155657,60630852000,"real"
"Galicia",2018,"total",5.8499,3664934669,62649363000,"real"
"Galicia",2019,"total",5.8639,3782335225,64502005000,"real"
"Galicia",2020,"total",6.6056,3897761068,59007178000,"real"
"Galicia",2021,"total",6.7999,4378280132,64387386000,"real"
"Galicia",2022,"total",6.4065,4589357966,71636381000,"real"
"Galicia",2023,"total",6.4199,4972964283,77461411000,"real"
"Galicia",2024,"total",6.3436,5191549097,81839712000,"real"
"Galicia",2025,"total",6.4421,5458255848,84727981648.3003,"proyeccion"
"Galicia",2026,"total",6.3359,5671724741,89517006299.2806,"proyeccion"
"La Rioja",2015,"total",4.9422,397009501,8033065000,"real"
"La Rioja",2016,"total",5.0404,406963277,8074094000,"real"
"La Rioja",2017,"total",4.8878,408215639,8351707000,"real"
"La Rioja",2018,"total",4.9135,425013914,8649852000,"real"
"La Rioja",2019,"total",4.8986,435489541,8889997000,"real"
"La Rioja",2020,"total",5.5459,454040465,8186915000,"real"
"La Rioja",2021,"total",6.0561,529044979,8735750000,"real"
"La Rioja",2022,"total",5.3687,524388258,9767469000,"real"
"La Rioja",2023,"total",5.2185,546720797,10476650000,"real"
"La Rioja",2024,"total",5.3303,592298603,11111889000,"real"
"La Rioja",2025,"total",5.5675,640739777,11508568881.8379,"proyeccion"
"La Rioja",2026,"total",5.2593,637055097,12112848663.0821,"proyeccion"
"Comunidad de Madrid",2015,"total",3.4873,7191837009,206231525000,"real"
"Comunidad de Madrid",2016,"total",3.4576,7415379241,214469101000,"real"
"Comunidad de Madrid",2017,"total",3.3871,7599708222,224373156000,"real"
"Comunidad de Madrid",2018,"total",3.3492,7828244717,233735808000,"real"
"Comunidad de Madrid",2019,"total",3.3075,8066704298,243889359000,"real"
