ccaa;fecha;pendientes_grado_total;pendientes_grado_6m_o_mas
Castilla y León;2023-11-01;NA;NA
Andalucía;2023-12-01;28431;26745
Aragón;2023-12-01;5545;1647
Principado de Asturias;2023-12-01;5662;2119
Islas Baleares;2023-12-01;2859;1098
Canarias;2023-12-01;10193;8662
Cantabria;2023-12-01;799;733
Castilla y León;2023-12-01;6410;630
Castilla-La Mancha;2023-12-01;2736;866
Cataluña;2023-12-01;25368;5327
Comunidad Valenciana;2023-12-01;16623;8583
Extremadura;2023-12-01;2412;464
Galicia;2023-12-01;533;528
Comunidad de Madrid;2023-12-01;196;155
Región de Murcia;2023-12-01;8704;4303
Comunidad Foral de Navarra;2023-12-01;78;77
País Vasco;2023-12-01;429;384
La Rioja;2023-12-01;16;8
Ceuta y Melilla;2023-12-01;193;36
Castilla y León;2023-12-01;NA;NA
Andalucía;2024-01-01;29131;27267
Aragón;2024-01-01;5919;1485
Principado de Asturias;2024-01-01;5972;2449
Islas Baleares;2024-01-01;2969;1201
Canarias;2024-01-01;10390;9036
Cantabria;2024-01-01;795;741
Castilla y León;2024-01-01;7384;727
Castilla-La Mancha;2024-01-01;3294;808
Cataluña;2024-01-01;27539;6733
Comunidad Valenciana;2024-01-01;15341;9068
Extremadura;2024-01-01;2651;506
Galicia;2024-01-01;504;502
Comunidad de Madrid;2024-01-01;283;209
Región de Murcia;2024-01-01;9682;4818
Comunidad Foral de Navarra;2024-01-01;81;81
País Vasco;2024-01-01;413;379
La Rioja;2024-01-01;12;6
Ceuta y Melilla;2024-01-01;255;39
Castilla y León;2024-01-01;NA;NA
Andalucía;2024-02-01;28450;26593
Aragón;2024-02-01;6063;1356
Principado de Asturias;2024-02-01;6127;2608
Islas Baleares;2024-02-01;2878;1189
Canarias;2024-02-01;11363;10254
Cantabria;2024-02-01;820;752
Castilla y León;2024-02-01;7510;654
Castilla-La Mancha;2024-02-01;3923;771
Cataluña;2024-02-01;28879;5215
Comunidad Valenciana;2024-02-01;15003;8642
Extremadura;2024-02-01;2478;433
Galicia;2024-02-01;507;499
Comunidad de Madrid;2024-02-01;760;289
Región de Murcia;2024-02-01;10086;4739
Comunidad Foral de Navarra;2024-02-01;83;82
País Vasco;2024-02-01;421;377
La Rioja;2024-02-01;16;7
Ceuta y Melilla;2024-02-01;215;42
Castilla y León;2024-02-01;NA;NA
Andalucía;2024-03-01;33160;31328
Aragón;2024-03-01;6291;1519
Principado de Asturias;2024-03-01;6484;2872
Islas Baleares;2024-03-01;2762;1132
Canarias;2024-03-01;10957;9372
Cantabria;2024-03-01;830;750
Castilla y León;2024-03-01;7794;676
Castilla-La Mancha;2024-03-01;3849;562
Cataluña;2024-03-01;28674;4433
Comunidad Valenciana;2024-03-01;14103;7941
Extremadura;2024-03-01;2263;359
Galicia;2024-03-01;510;473
Comunidad de Madrid;2024-03-01;467;272
Región de Murcia;2024-03-01;9774;4495
Comunidad Foral de Navarra;2024-03-01;83;82
País Vasco;2024-03-01;212;183
La Rioja;2024-03-01;13;8
Ceuta y Melilla;2024-03-01;208;41
Castilla y León;2024-03-01;NA;NA
Andalucía;2024-04-01;32447;30998
Aragón;2024-04-01;6837;1572
Principado de Asturias;2024-04-01;6719;2916
Islas Baleares;2024-04-01;2554;1076
Canarias;2024-04-01;12276;9730
Cantabria;2024-04-01;911;800
Castilla y León;2024-04-01;7721;680
Castilla-La Mancha;2024-04-01;4256;640
Cataluña;2024-04-01;29707;4777
Comunidad Valenciana;2024-04-01;13574;7785
Extremadura;2024-04-01;2562;321
Galicia;2024-04-01;522;477
Comunidad de Madrid;2024-04-01;491;299
Región de Murcia;2024-04-01;9631;4539
Comunidad Foral de Navarra;2024-04-01;84;82
País Vasco;2024-04-01;193;167
La Rioja;2024-04-01;12;10
Ceuta y Melilla;2024-04-01;220;39
Castilla y León;2024-04-01;NA;NA
Andalucía;2024-05-01;31349;30474
Aragón;2024-05-01;7222;1665
Principado de Asturias;2024-05-01;7112;3153
Islas Baleares;2024-05-01;2645;1060
Canarias;2024-05-01;13028;10028
Cantabria;2024-05-01;880;770
Castilla y León;2024-05-01;7460;666
Castilla-La Mancha;2024-05-01;4096;603
Cataluña;2024-05-01;30328;5425
Comunidad Valenciana;2024-05-01;13578;7989
Extremadura;2024-05-01;2574;316
Galicia;2024-05-01;484;446
Comunidad de Madrid;2024-05-01;512;375
