ccaa;fecha;pers_benef_prest;prev_dep_prom_ap;teleasistencia;ayuda_domicilio;centros_dia_noche;atencion_residencial;pe_vinc_serv;pe_cuidados_fam;pe_asist_pers;total;ratio_prest_x_benef
Galicia;2025-06-01;84054;6167;33124;23487;8763;6746;18285;27933;146;124651;1,48298712732291
Comunidad de Madrid;2025-06-01;198437;6195;88474;54786;18310;24793;29929;55281;82;277850;1,40019250442206
Región de Murcia;2025-06-01;47031;3405;15316;3865;4192;5337;1472;28824;4;62415;1,32710339988518
Comunidad Foral de Navarra;2025-06-01;17314;2391;4041;1241;819;2688;3091;10407;40;24718;1,42763081899041
País Vasco;2025-06-01;72902;1165;28162;6269;7761;13510;1427;38985;7434;104713;1,43635291212861
La Rioja;2025-06-01;9317;1138;3704;3649;1423;2037;1080;1237;0;14268;1,53139422560910
Ceuta y Melilla;2025-06-01;3794;743;831;1310;67;204;5;1932;0;5092;1,34211913547707
Andalucía;2025-07-01;304357;579;149248;168666;15070;28728;4100;90136;12;456539;1,50001149965337
Aragón;2025-07-01;47370;4860;10739;5947;1788;4160;10282;24877;0;62653;1,32263035676589
Principado de Asturias;2025-07-01;34990;7627;8851;8100;2182;3813;5588;13490;31;49682;1,41989139754215
Islas Baleares;2025-07-01;33221;3573;17836;2489;1836;3086;847;25510;0;55177;1,66090725745763
Canarias;2025-07-01;50901;1707;2475;1577;5487;4819;18697;23570;0;58332;1,14598927329522
Cantabria;2025-07-01;18124;6561;4202;1391;2215;4574;407;9545;0;28895;1,59429485764732
Castilla y León;2025-07-01;127052;14269;33063;24023;8260;9072;49041;38607;2886;179221;1,41061140320499
Castilla-La Mancha;2025-07-01;79065;13282;32930;15314;4274;12647;12213;20889;17;111566;1,41106684373617
Cataluña;2025-07-01;240890;15;39698;33114;14268;39186;23150;148930;90;298451;1,23895138860061
Comunidad Valenciana;2025-07-01;174236;1731;82023;6380;9804;13571;26892;123726;953;265080;1,52138478844785
Extremadura;2025-07-01;37298;1799;6668;915;2459;5077;20468;7248;0;44634;1,19668614939139
Galicia;2025-07-01;85337;6120;35082;23188;8646;6740;18778;29252;146;127952;1,49937307381323
Comunidad de Madrid;2025-07-01;200291;6223;89672;54806;18378;24812;30333;56353;84;280661;1,40126615774049
Región de Murcia;2025-07-01;47469;3361;15681;3764;4192;5310;1573;29136;4;63021;1,32762434430892
Comunidad Foral de Navarra;2025-07-01;17278;2398;4045;1243;824;2700;3120;10321;39;24690;1,42898483620789
País Vasco;2025-07-01;73018;1156;28219;6252;7769;13484;1422;39093;7595;104990;1,43786463611712
La Rioja;2025-07-01;9299;1139;3712;3653;1427;2020;1062;1222;0;14235;1,53080976449081
Ceuta y Melilla;2025-07-01;3815;748;837;1328;65;202;5;1938;0;5123;1,34285714285714
Andalucía;2025-08-01;305669;578;150688;169769;15121;28450;4049;90697;12;459364;1,50281513663473
Aragón;2025-08-01;47607;4879;10804;5963;1783;4158;10342;25064;0;62993;1,32318776650493
Principado de Asturias;2025-08-01;34630;7549;8776;8023;2174;3769;5480;13398;29;49198;1,42067571469824
Islas Baleares;2025-08-01;33401;3585;18299;2493;1867;3114;848;25293;0;55499;1,66159695817491
Canarias;2025-08-01;54256;1739;2487;1547;5530;4947;21071;24461;18;61800;1,13904452963728
Cantabria;2025-08-01;18123;6486;4223;1399;2200;4511;452;9565;0;28836;1,59112729680516
Castilla y León;2025-08-01;127434;14224;33578;23971;8250;9037;48893;38814;2877;179644;1,40970227725725
Castilla-La Mancha;2025-08-01;79522;13657;33309;15265;4269;12788;12075;21107;17;112487;1,41453937275219
Cataluña;2025-08-01;241584;15;40035;32971;14254;38814;22883;150392;90;299454;1,23954400953706
Comunidad Valenciana;2025-08-01;174851;1742;81867;6383;9794;13546;26954;124170;958;265414;1,51794384933458
Extremadura;2025-08-01;37508;1815;6689;919;2445;5089;20621;7305;0;44883;1,19662472005972
Galicia;2025-08-01;86858;6099;37101;23038;8546;6783;19277;30607;146;131597;1,51508208800571
Comunidad de Madrid;2025-08-01;202367;6257;92066;54893;18357;24730;30562;57029;86;283980;1,40329203872173
Región de Murcia;2025-08-01;47962;3329;15913;3785;4180;5282;1766;29511;4;63770;1,32959426212418
Comunidad Foral de Navarra;2025-08-01;17306;2400;4068;1242;826;2703;3105;10363;39;24746;1,42990870218421
País Vasco;2025-08-01;72880;1153;28198;6228;7753;13447;1399;39072;7614;104864;1,43885839736553
La Rioja;2025-08-01;9314;1151;3721;3661;1436;2037;1034;1220;0;14260;1,53102855915826
Ceuta y Melilla;2025-08-01;3873;780;858;1363;64;201;5;1965;0;5236;1,35192357345727
Andalucía;2025-09-01;311672;532;156731;175050;15663;28668;4245;91474;12;472375;1,51561577555892
Aragón;2025-09-01;47941;4920;10849;5948;1791;4151;10382;25389;0;63430;1,32308462485138
Principado de Asturias;2025-09-01;34288;7519;8718;7955;2195;3811;5362;13276;29;48865;1,42513415772282
Islas Baleares;2025-09-01;33653;3574;18544;2525;1856;3091;868;25297;0;55755;1,65676165572163
Canarias;2025-09-01;57996;1799;2479;1540;5567;4960;23494;25851;39;65729;1,13333678184702
Cantabria;2025-09-01;18185;6472;4243;1381;2185;4511;493;9604;0;28889;1,58861699202640
Castilla y León;2025-09-01;127461;14283;33620;24076;8233;9102;48664;39022;2874;179874;1,41120813425283
Castilla-La Mancha;2025-09-01;79634;13854;33321;15209;4304;12857;12025;21315;18;112903;1,41777381520456
Cataluña;2025-09-01;242430;15;40421;32764;14187;38619;22645;151884;90;300625;1,24004867384400
Comunidad Valenciana;2025-09-01;174972;1744;81569;6398;9794;13501;26934;124518;974;265432;1,51699700523512
Extremadura;2025-09-01;37473;1815;6602;923;2475;5101;20557;7290;0;44763;1,19454006884957
Galicia;2025-09-01;88362;6033;39172;22969;8416;6903;19605;32052;145;135295;1,53114460967384
Comunidad de Madrid;2025-09-01;203981;6311;93760;55355;18421;24705;30579;57519;87;286737;1,40570445286571
Región de Murcia;2025-09-01;48020;2986;15994;3751;4194;5283;1692;29609;4;63513;1,32263640149938
Comunidad Foral de Navarra;2025-09-01;17318;2385;4115;1240;819;2682;3153;10349;39;24782;1,43099665088347
País Vasco;2025-09-01;73687;1169;28468;6374;7749;13532;1456;39592;7621;105961;1,43798770475118
La Rioja;2025-09-01;9321;1161;3767;3606;1466;2060;1023;1221;0;14304;1,53459929192147
Ceuta y Melilla;2025-09-01;3872;774;857;1363;65;204;5;1961;0;5229;1,35046487603306
Andalucía;2025-10-01;321670;531;165135;183508;16105;28816;4237;92733;12;491077;1,52664842851369
Aragón;2025-10-01;48456;5029;10935;6065;1836;4190;10467;25624;0;64146;1,32379891035166
Principado de Asturias;2025-10-01;34063;7464;8659;7872;2240;3847;5262;13204;28;48576;1,42606347062795
Islas Baleares;2025-10-01;33805;3601;18658;2531;1837;3119;869;25083;0;55698;1,64762609081497
Canarias;2025-10-01;61080;1836;2482;1503;5582;5196;25611;26731;67;69008;1,12979698755730
Cantabria;2025-10-01;18238;6477;4271;1379;2197;4508;545;9634;0;29011;1,59068976861498
Castilla y León;2025-10-01;127957;14269;33813;24152;8220;9114;48693;39471;2891;180623;1,41159139398392
Castilla-La Mancha;2025-10-01;80382;14366;33688;15270;4336;12905;12247;21654;18;114484;1,42424921002214
Cataluña;2025-10-01;243496;15;40471;32520;14162;38709;22561;153195;88;301721;1,23912097118639
Comunidad Valenciana;2025-10-01;177368;1746;82440;6548;9801;13491;27295;126070;1022;268413;1,51331130756393
Extremadura;2025-10-01;37527;1807;6464;929;2500;5142;20468;7400;0;44710;1,19140885229302
Galicia;2025-10-01;90424;6002;41676;22912;8320;6957;20418;33615;148;140048;1,54879235601168
Comunidad de Madrid;2025-10-01;206319;6380;95667;56949;18389;24657;30943;58249;88;291322;1,41199792554249
Región de Murcia;2025-10-01;48582;2947;16476;3932;4193;5311;1823;29919;4;64605;1,32981351117698
Comunidad Foral de Navarra;2025-10-01;17455;2390;4213;1264;825;2695;3184;10430;39;25040;1,43454597536522
País Vasco;2025-10-01;74226;1140;28705;6332;7833;13533;1466;40022;7626;106657;1,43692237221459
La Rioja;2025-10-01;9325;1185;3798;3587;1502;2059;981;1209;0;14321;1,53576407506702
Ceuta y Melilla;2025-10-01;3893;772;851;1369;67;207;4;1969;0;5239;1,34574877986129
Andalucía;2025-11-01;332828;519;174422;192219;16539;29401;4196;94621;12;511929;1,53811878808273
Aragón;2025-11-01;48921;5117;10978;6136;1832;4240;10486;25964;0;64753;1,32362380163938
Principado de Asturias;2025-11-01;33860;7352;8558;7781;2270;3898;5155;13179;29;48222;1,42415829887773
Islas Baleares;2025-11-01;34163;3626;18860;2556;1854;3110;869;25409;0;56284;1,64751339168106
Canarias;2025-11-01;63684;1882;2515;1478;5574;5297;27528;27566;95;71935;1,12956158532755
Cantabria;2025-11-01;18310;6511;4334;1365;2206;4529;589;9705;0;29239;1,59688694702348
Castilla y León;2025-11-01;128107;14257;33739;23745;8211;9119;48937;39812;2949;180769;1,41107823928435
Castilla-La Mancha;2025-11-01;81366;14878;33997;15357;4347;12918;12699;22183;18;116397;1,43053609615810
Cataluña;2025-11-01;245776;15;40979;32446;14249;38776;22668;155424;89;304646;1,23952704902025
Comunidad Valenciana;2025-11-01;178555;1608;82454;6887;9604;13312;27205;127954;1027;270051;1,51242474307636
Extremadura;2025-11-01;37544;1798;6507;931;2504;5215;20370;7447;0;44772;1,19252077562327
Galicia;2025-11-01;92589;5974;44395;23268;8193;7271;20733;35145;147;145126;1,56742161595870
Comunidad de Madrid;2025-11-01;208749;6408;97626;58575;18614;24645;31049;59044;89;296050;1,41821038663658
Región de Murcia;2025-11-01;49151;3146;16667;3983;4194;5334;2101;30147;4;65576;1,33417427926187
Comunidad Foral de Navarra;2025-11-01;17626;2546;4293;1283;819;2769;3177;10514;40;25441;1,44337909905821
País Vasco;2025-11-01;74626;1146;29355;6288;7889;13588;1469;39974;7627;107336;1,43831908450138
La Rioja;2025-11-01;9412;1392;3876;3575;1521;2103;999;1222;0;14688;1,56056098597535
Ceuta y Melilla;2025-11-01;3897;762;847;1371;69;207;4;1963;0;5223;1,34026173979985
Andalucía;2025-12-01;338932;512;179694;197240;16632;29310;4134;95847;12;523381;1,54420650750003
Aragón;2025-12-01;49312;5164;10946;6086;1839;4234;10638;26250;0;65157;1,32132138221934
Principado de Asturias;2025-12-01;33772;7241;8509;7735;2268;3959;5118;13209;29;48068;1,42330925026649
Islas Baleares;2025-12-01;34208;3679;18922;2547;1847;3085;863;25795;0;56738;1,65861786716558
Canarias;2025-12-01;65832;1929;3537;1470;5606;5481;29067;28182;130;75402;1,14537003281079
Cantabria;2025-12-01;18132;6416;4299;1346;2183;4459;589;9642;0;28934;1,59574233399515
Castilla y León;2025-12-01;129176;14253;37161;24141;8228;9084;48617;39473;2989;183946;1,42399516938131
Castilla-La Mancha;2025-12-01;82425;15420;34382;15425;4355;12927;12954;22950;19;118432;1,43684561722778
Cataluña;2025-12-01;248373;15;41348;32583;14548;39077;23107;157296;92;308066;1,24033610738687
Comunidad Valenciana;2025-12-01;179408;1655;82700;6983;9637;13288;27481;128683;1031;271458;1,51307633996254
Extremadura;2025-12-01;37664;1824;6510;926;2514;5258;20353;7507;0;44892;1,19190739167375
Galicia;2025-12-01;93660;5917;46287;22819;8077;7245;21047;36638;146;148176;1,58206278026906
Comunidad de Madrid;2025-12-01;209961;6454;98996;59614;18704;24451;31110;59553;92;298974;1,42395016217297
Región de Murcia;2025-12-01;50287;3164;16825;3931;4177;5312;2096;31261;4;66770;1,32777855111659
Comunidad Foral de Navarra;2025-12-01;17562;2448;4182;1243;823;2786;3226;10380;39;25127;1,43075959457921
País Vasco;2025-12-01;74802;1134;29495;6369;7867;13495;1518;40021;7766;107665;1,43933317290982
La Rioja;2025-12-01;9620;1391;4092;3590;1520;2120;978;1226;0;14917;1,55062370062370
Ceuta y Melilla;2025-12-01;3916;760;851;1373;71;208;4;1976;0;5243;1,33886618998979
Andalucía;2026-01-01;340135;512;181063;197964;16731;28991;4081;96686;12;526040;1,54656239434342
Aragón;2026-01-01;49186;5147;11046;6039;1844;4185;10549;26324;0;65134;1,32423860448095
Principado de Asturias;2026-01-01;33656;7134;8563;7712;2255;4006;5063;13209;29;47971;1,42533277870216
Islas Baleares;2026-01-01;34177;3664;18806;2530;1839;3064;845;26030;0;56778;1,66129268221318
Canarias;2026-01-01;67552;1950;4528;1434;5603;5532;30292;29026;153;78518;1,16233420180009
Cantabria;2026-01-01;18030;6350;4295;1335;2188;4387;585;9621;0;28761;1,59517470881864
Castilla y León;2026-01-01;128699;14235;36905;24069;8216;9082;46977;39359;3053;181896;1,41334431502964
Castilla-La Mancha;2026-01-01;81799;15551;34199;15315;4371;12828;12788;22975;19;118046;1,44312277656206
Cataluña;2026-01-01;249207;14;41701;32419;14584;38913;22948;158587;91;309257;1,24096433888294
Comunidad Valenciana;2026-01-01;179130;1706;81570;6933;9975;13147;27739;128665;1057;270792;1,51170658181209
Extremadura;2026-01-01;37151;1827;6438;912;2493;5170;19997;7448;0;44285;1,19202713251326
Galicia;2026-01-01;92849;5907;46208;22616;8042;7241;20708;36379;146;147247;1,58587599220239
Comunidad de Madrid;2026-01-01;208264;6546;99248;59243;18743;24347;30443;59111;90;297771;1,42977662966235
Región de Murcia;2026-01-01;50018;3111;16836;3949;4239;5318;1966;31051;4;66474;1,32900155943860
Comunidad Foral de Navarra;2026-01-01;17320;2424;4108;1234;831;2806;3137;10194;39;24773;1,43031177829099
País Vasco;2026-01-01;74273;1134;29357;6978;7847;13387;1516;39580;7740;107539;1,44788819624897
La Rioja;2026-01-01;9594;1386;4057;3594;1512;2121;983;1226;0;14879;1,55086512403586
Ceuta y Melilla;2026-01-01;3910;755;844;1363;70;206;5;1981;0;5224;1,33606138107417
Andalucía;2026-02-01;338796;507;180658;196702;16664;28518;3963;97286;13;524311;1,54757139989846
Aragón;2026-02-01;49233;5126;11319;6220;1838;4110;10565;26266;0;65444;1,32927101740702
Principado de Asturias;2026-02-01;33640;6928;8831;7755;2231;3963;5016;13304;29;48057;1,42856718192628
Islas Baleares;2026-02-01;34144;3727;18733;2585;1824;3068;824;26221;0;56982;1,66887300843486
Canarias;2026-02-01;69284;2015;6357;1394;5559;5590;31366;29882;218;82381;1,18903354309797
Cantabria;2026-02-01;17725;6194;4258;1308;2164;4253;573;9510;0;28260;1,59435825105783
Castilla y León;2026-02-01;127280;14107;36482;23730;8187;8983;46180;39370;3038;180077;1,41480986800754
Castilla-La Mancha;2026-02-01;81293;15830;34117;15217;4330;12703;12582;23091;19;117889;1,45017406172733
Cataluña;2026-02-01;249212;14;41890;32101;14487;38333;22665;159788;89;309367;1,24138083238367
Comunidad Valenciana;2026-02-01;179593;1714;81212;6963;9958;13070;27546;129569;1087;271119;1,50963010807771
Extremadura;2026-02-01;36368;1822;6248;898;2484;5099;19397;7344;0;43292;1,19038715354158
Galicia;2026-02-01;92497;5856;46896;22260;7940;7174;20442;36903;145;147616;1,59590040758079
Comunidad de Madrid;2026-02-01;211239;6720;101673;61408;18789;24427;30360;60600;90;304067;1,43944536756944
Región de Murcia;2026-02-01;49930;3063;16942;3947;4232;5341;1883;31075;5;66488;1,33162427398358
Comunidad Foral de Navarra;2026-02-01;17243;2423;4142;1241;823;2742;3046;10276;39;24732;1,43432117380966
País Vasco;2026-02-01;73844;1119;29154;7185;7845;13156;1441;39627;7625;107152;1,45105898922052
La Rioja;2026-02-01;9483;1342;4002;3591;1454;2142;958;1238;0;14727;1,55298956026574
Ceuta y Melilla;2026-02-01;3934;788;879;1376;69;206;6;1987;0;5311;1,35002541942044
Andalucía;2026-03-01;347017;467;188811;202278;17038;30776;3958;98230;12;541570;1,56064400303155
Aragón;2026-03-01;49822;5136;11366;6342;1838;4080;10798;26544;0;66104;1,32680342017583
Principado de Asturias;2026-03-01;33854;6839;9146;7849;2231;3996;5046;13375;30;48512;1,43297690080936
Islas Baleares;2026-03-01;34248;3705;18828;2620;1823;3078;817;26413;0;57284;1,67262321887409
Canarias;2026-03-01;71093;2063;9802;1393;5560;5755;32454;30635;296;87958;1,23722448060991
Cantabria;2026-03-01;18907;7376;4317;1357;2181;4547;562;9584;0;29924;1,58269424022849
Castilla y León;2026-03-01;127186;14098;36391;23824;8190;8980;46200;39502;3039;180224;1,41701130627585
Castilla-La Mancha;2026-03-01;81518;16263;34299;15178;4329;12856;12547;23427;19;118918;1,45879437670208
Cataluña;2026-03-01;250944;14;42197;31921;14480;38407;22445;161887;87;311438;1,24106573578169
Comunidad Valenciana;2026-03-01;180393;1713;81342;7011;9927;13068;27574;130396;1134;272165;1,50873370917940
Extremadura;2026-03-01;37186;1861;6185;918;2501;5172;19896;7556;0;44089;1,18563437852955
Galicia;2026-03-01;93892;5875;48834;22450;7899;7225;20629;38212;145;151269;1,61109572700550
Comunidad de Madrid;2026-03-01;213333;6878;102986;63535;18927;24532;30388;61421;90;308757;1,44730069890734
Región de Murcia;2026-03-01;50387;3051;17364;3946;4251;5341;1891;31453;5;67302;1,33570166908131
Comunidad Foral de Navarra;2026-03-01;17234;2415;4117;1237;815;2754;3064;10241;39;24682;1,43216896831844
País Vasco;2026-03-01;74024;1118;29280;7327;7914;13272;1374;39618;7651;107554;1,45296120177240
La Rioja;2026-03-01;9560;1088;4090;3595;1149;2161;970;1241;0;14294;1,49518828451883
Ceuta y Melilla;2026-03-01;4013;812;917;1417;72;202;6;2018;0;5444;1,35659107899327
