ccaa;fecha;pers_benef_prest;prev_dep_prom_ap;teleasistencia;ayuda_domicilio;centros_dia_noche;atencion_residencial;pe_vinc_serv;pe_cuidados_fam;pe_asist_pers;total;ratio_prest_x_benef
Galicia;2023-07-01;72568;5814;9250;25795;8655;7084;14058;17207;126;87989;1,21250413405358
Comunidad de Madrid;2023-07-01;168923;4542;68208;48355;16602;23042;24994;43687;84;229514;1,35869005404829
Región de Murcia;2023-07-01;39421;4190;8157;3273;4010;4942;1307;23494;3;49376;1,25253037721012
Comunidad Foral de Navarra;2023-07-01;15589;1912;2983;1013;585;2455;2661;9556;35;21200;1,35993328629162
País Vasco;2023-07-01;66909;885;23274;5653;7521;13076;1360;34530;6756;93055;1,39076955267602
La Rioja;2023-07-01;9016;1058;3339;3829;1262;1943;1040;1262;0;13733;1,52318101153505
Ceuta y Melilla;2023-07-01;3299;577;755;1133;68;193;4;1689;0;4419;1,33949681721734
Andalucía;2023-08-01;276119;715;127361;150399;14387;27515;4578;78191;11;403157;1,46008423904186
Aragón;2023-08-01;39459;3429;8138;5336;1691;3920;8092;19808;0;50414;1,27762994500621
Principado de Asturias;2023-08-01;30053;7660;2648;7117;2282;3744;4115;10909;18;38493;1,28083718763518
Islas Baleares;2023-08-01;28446;4366;13021;2141;1673;2939;817;21412;0;46369;1,63007101174155
Canarias;2023-08-01;39291;1343;2352;663;5593;4795;13509;15800;0;44055;1,12124914102466
Cantabria;2023-08-01;17610;6708;3336;1501;2016;4926;180;9023;0;27690;1,57240204429302
Castilla y León;2023-08-01;119437;13261;27393;22536;7963;8210;50924;32171;2176;164634;1,37841707343620
Castilla-La Mancha;2023-08-01;69903;8451;27229;15885;3506;12209;9718;16460;22;93480;1,33728166173126
Cataluña;2023-08-01;199368;173;26428;34065;13479;38815;23995;104757;99;241811;1,21288772521167
Comunidad Valenciana;2023-08-01;138619;1380;44949;4853;8918;14048;20885;94457;437;189927;1,37013684992678
Extremadura;2023-08-01;34303;1309;4932;995;2196;4953;18329;6286;0;39000;1,13692679940530
Galicia;2023-08-01;72822;5831;9332;25763;8686;7100;14239;17277;126;88354;1,21328719343056
Comunidad de Madrid;2023-08-01;172160;4597;70051;49317;17180;24011;25635;43713;84;234588;1,36261617100372
Región de Murcia;2023-08-01;39370;4158;8167;3243;3997;5013;1333;23407;3;49321;1,25275590551181
Comunidad Foral de Navarra;2023-08-01;15602;1944;2998;1019;592;2464;2671;9544;35;21267;1,36309447506730
País Vasco;2023-08-01;66844;936;23330;5587;7506;13046;1366;34458;6813;93042;1,39192747292203
La Rioja;2023-08-01;9014;1059;3378;3850;1263;1969;995;1236;0;13750;1,52540492567118
Ceuta y Melilla;2023-08-01;3282;574;742;1124;64;195;4;1685;0;4388;1,33698964046313
Andalucía;2023-09-01;279070;704;129373;152273;14474;27514;4690;79404;11;408443;1,46358619701150
Aragón;2023-09-01;39671;3419;8007;5333;1704;3860;8283;19887;0;50493;1,27279372841622
Principado de Asturias;2023-09-01;30221;7683;2783;7383;2276;3760;4072;10819;18;38794;1,28367691340459
Islas Baleares;2023-09-01;28700;4379;13549;2164;1659;2939;799;21542;0;47031;1,63871080139373
Canarias;2023-09-01;39639;1364;2369;681;5634;4842;13613;15994;0;44497;1,12255606851838
Cantabria;2023-09-01;17466;6598;3345;1493;2002;4829;170;9002;0;27439;1,57099507614794
Castilla y León;2023-09-01;120214;13572;27419;22352;8106;8373;51352;32276;2182;165632;1,37780957292828
Castilla-La Mancha;2023-09-01;69984;8460;27230;15862;3498;12124;9864;16509;21;93568;1,33699131229995
Cataluña;2023-09-01;199875;173;26813;34157;13592;38747;23926;105260;98;242766;1,21458911819887
Comunidad Valenciana;2023-09-01;140566;1393;44465;4924;9015;14075;21567;95498;479;191416;1,36175177496692
Extremadura;2023-09-01;34508;1327;5100;981;2186;4940;18357;6362;0;39253;1,13750434681813
Galicia;2023-09-01;73023;5853;9367;25616;8687;7124;14511;17337;126;88621;1,21360393300741
Comunidad de Madrid;2023-09-01;173387;4659;70568;49349;17431;24031;25370;44567;84;236059;1,36145731802269
Región de Murcia;2023-09-01;39648;4138;8074;3235;4059;5005;1273;23771;3;49558;1,24994955609362
Comunidad Foral de Navarra;2023-09-01;15742;1973;3061;1028;633;2456;2731;9600;34;21516;1,36678948037098
País Vasco;2023-09-01;66938;938;23360;5777;7472;13046;1356;34545;6812;93306;1,39391675879172
La Rioja;2023-09-01;9002;1088;3448;3829;1298;1962;934;1214;0;13773;1,52999333481449
Ceuta y Melilla;2023-09-01;3297;581;747;1135;63;195;4;1693;0;4418;1,34000606612072
Andalucía;2023-10-01;280143;690;129841;152250;14536;27938;4724;80212;11;410202;1,46425932470203
Aragón;2023-10-01;39898;3448;7905;5343;1739;3903;8350;19983;0;50671;1,27001353451301
Principado de Asturias;2023-10-01;30524;7655;2789;7304;2297;3725;4263;11057;18;39108;1,28122133403224
Islas Baleares;2023-10-01;28954;4285;14045;2105;1642;2934;812;21620;0;47443;1,63856461974166
Canarias;2023-10-01;40012;1496;2387;691;5638;4886;13633;16271;0;45002;1,12471258622413
Cantabria;2023-10-01;17312;6482;3348;1481;1985;4730;164;8970;0;27160;1,56885397412200
Castilla y León;2023-10-01;121004;13600;27585;22465;8040;8437;51721;32552;2202;166602;1,37683051799940
Castilla-La Mancha;2023-10-01;70822;8588;27541;15983;3535;12107;10102;16690;21;94567;1,33527717375957
Cataluña;2023-10-01;201339;169;27391;34190;13721;38853;23903;106509;98;244834;1,21602868793428
Comunidad Valenciana;2023-10-01;143800;1406;45748;5040;9036;13975;22163;98343;502;196213;1,36448539638387
Extremadura;2023-10-01;34759;1344;5204;993;2210;4951;18691;6345;0;39738;1,14324347650968
Galicia;2023-10-01;73212;5899;9479;25581;8723;7098;14670;17383;128;88961;1,21511500846856
Comunidad de Madrid;2023-10-01;174935;4699;71294;49632;17542;24329;25553;45136;84;238269;1,36204304455941
Región de Murcia;2023-10-01;39783;4080;8265;3182;4093;5138;1165;23778;3;49704;1,24937787497172
Comunidad Foral de Navarra;2023-10-01;15885;1993;3137;1025;652;2471;2782;9669;33;21762;1,36997167138810
País Vasco;2023-10-01;67247;941;23586;5765;7531;13127;1393;34615;6887;93845;1,39552693800467
La Rioja;2023-10-01;9051;1089;3514;3832;1300;1980;904;1226;0;13845;1,52966523036129
Ceuta y Melilla;2023-10-01;3350;589;731;1159;66;196;4;1716;0;4461;1,33164179104478
Andalucía;2023-11-01;281863;675;130661;152643;14622;28563;4758;81182;11;413115;1,46565884844765
Aragón;2023-11-01;40121;3601;7875;5359;1748;4009;8382;20080;0;51054;1,27250068542658
Principado de Asturias;2023-11-01;30849;7657;2845;7222;2298;3738;4479;11273;18;39530;1,28140296281889
Islas Baleares;2023-11-01;29118;4322;14293;2067;1625;2932;806;21666;0;47711;1,63853973487190
Canarias;2023-11-01;40343;1486;2537;704;5638;4887;13815;16409;0;45476;1,12723396871824
Cantabria;2023-11-01;17282;6424;3351;1474;1977;4679;165;8992;0;27062;1,56590672375882
Castilla y León;2023-11-01;121749;13596;26911;22774;8020;8448;52085;32775;2241;166850;1,37044246769994
Castilla-La Mancha;2023-11-01;71826;8768;28644;16040;3598;12185;10433;16927;21;96616;1,34513964302620
Cataluña;2023-11-01;202264;165;27751;34121;13822;38830;23833;107528;98;246148;1,21696396788356
