ccaa;fecha;pendientes_pia_total
Comunidad Foral de Navarra;2025-07-01;362
País Vasco;2025-07-01;13954
La Rioja;2025-07-01;1073
Ceuta y Melilla;2025-07-01;372
Andalucía;2025-08-01;13767
Aragón;2025-08-01;111
Principado de Asturias;2025-08-01;324
Islas Baleares;2025-08-01;3645
Canarias;2025-08-01;8901
Cantabria;2025-08-01;424
Castilla y León;2025-08-01;167
Castilla-La Mancha;2025-08-01;3453
Cataluña;2025-08-01;38342
Comunidad Valenciana;2025-08-01;8314
Extremadura;2025-08-01;3897
Galicia;2025-08-01;1147
Comunidad de Madrid;2025-08-01;12859
Región de Murcia;2025-08-01;5486
Comunidad Foral de Navarra;2025-08-01;369
País Vasco;2025-08-01;13890
La Rioja;2025-08-01;986
Ceuta y Melilla;2025-08-01;308
Andalucía;2025-09-01;13357
Aragón;2025-09-01;120
Principado de Asturias;2025-09-01;360
Islas Baleares;2025-09-01;3576
Canarias;2025-09-01;6386
Cantabria;2025-09-01;273
Castilla y León;2025-09-01;202
Castilla-La Mancha;2025-09-01;3610
Cataluña;2025-09-01;38002
Comunidad Valenciana;2025-09-01;8873
Extremadura;2025-09-01;3892
Galicia;2025-09-01;1073
Comunidad de Madrid;2025-09-01;13619
Región de Murcia;2025-09-01;7325
Comunidad Foral de Navarra;2025-09-01;378
País Vasco;2025-09-01;13714
La Rioja;2025-09-01;936
Ceuta y Melilla;2025-09-01;326
Andalucía;2025-10-01;13157
Aragón;2025-10-01;94
Principado de Asturias;2025-10-01;363
Islas Baleares;2025-10-01;3768
Canarias;2025-10-01;4637
Cantabria;2025-10-01;317
Castilla y León;2025-10-01;209
Castilla-La Mancha;2025-10-01;3595
Cataluña;2025-10-01;39088
Comunidad Valenciana;2025-10-01;8278
Extremadura;2025-10-01;4331
Galicia;2025-10-01;1028
Comunidad de Madrid;2025-10-01;13411
Región de Murcia;2025-10-01;8019
Comunidad Foral de Navarra;2025-10-01;386
País Vasco;2025-10-01;13639
La Rioja;2025-10-01;1129
