ccaa;fecha;tiempo_solicitud_grado;tiempo_grado_prestacion;tiempo_espera_total_dias
Canarias;2023-11-01;429,42;187,73;664,22
Cantabria;2023-11-01;121,31;69,14;177,18
Castilla y León;2023-11-01;121,59;0,00;127,24
Castilla-La Mancha;2023-11-01;127,30;65,86;189,58
Cataluña;2023-11-01;176,32;111,08;280,44
Comunidad Valenciana;2023-11-01;199,05;75,64;282,84
Extremadura;2023-11-01;139,21;161,24;310,83
Galicia;2023-11-01;268,22;90,30;369,78
Comunidad de Madrid;2023-11-01;163,87;54,95;287,87
Región de Murcia;2023-11-01;265,94;258,05;508,10
Comunidad Foral de Navarra;2023-11-01;108,22;79,45;177,55
País Vasco;2023-11-01;85,06;48,22;141,29
La Rioja;2023-11-01;51,65;160,10;206,75
Castilla y León;2023-11-01;NA;NA;NA
Andalucía;2023-12-01;356,02;212,57;556,99
Aragón;2023-12-01;150,84;40,56;190,34
Principado de Asturias;2023-12-01;181,14;134,89;304,45
Islas Baleares;2023-12-01;122,81;95,14;218,88
Canarias;2023-12-01;425,90;183,98;647,28
Cantabria;2023-12-01;125,12;62,72;173,42
Castilla y León;2023-12-01;118,76;0,00;127,39
Castilla-La Mancha;2023-12-01;124,55;67,24;190,84
Cataluña;2023-12-01;176,79;111,81;281,11
Comunidad Valenciana;2023-12-01;198,71;76,23;279,31
Extremadura;2023-12-01;138,43;161,75;309,10
Galicia;2023-12-01;267,30;88,01;362,46
Comunidad de Madrid;2023-12-01;165,44;54,69;288,35
Región de Murcia;2023-12-01;266,87;258,83;509,25
Comunidad Foral de Navarra;2023-12-01;108,09;76,95;178,21
País Vasco;2023-12-01;82,23;49,29;139,74
La Rioja;2023-12-01;52,89;155,64;202,79
Castilla y León;2023-12-01;NA;NA;NA
Andalucía;2024-01-01;356,35;215,31;561,13
Aragón;2024-01-01;151,53;43,57;194,28
Principado de Asturias;2024-01-01;186,18;132,38;306,41
Islas Baleares;2024-01-01;122,60;96,86;219,41
Canarias;2024-01-01;413,55;183,53;635,79
Cantabria;2024-01-01;128,16;59,56;176,45
Castilla y León;2024-01-01;118,66;0,03;127,67
Castilla-La Mancha;2024-01-01;127,06;66,95;190,07
Cataluña;2024-01-01;177,24;110,01;279,92
Comunidad Valenciana;2024-01-01;198,47;77,78;278,30
Extremadura;2024-01-01;137,40;160,73;307,09
Galicia;2024-01-01;265,19;89,16;364,39
Comunidad de Madrid;2024-01-01;164,59;54,82;287,55
Región de Murcia;2024-01-01;267,49;259,28;509,63
Comunidad Foral de Navarra;2024-01-01;108,55;76,54;180,65
País Vasco;2024-01-01;81,16;51,24;140,40
La Rioja;2024-01-01;52,87;151,76;199,03
Castilla y León;2024-01-01;NA;NA;NA
Andalucía;2024-02-01;352,58;217,18;563,98
Aragón;2024-02-01;152,22;47,33;199,52
Principado de Asturias;2024-02-01;192,89;127,89;307,75
Islas Baleares;2024-02-01;121,56;101,10;223,37
Canarias;2024-02-01;408,92;180,65;627,70
Cantabria;2024-02-01;134,02;56,69;180,90
Castilla y León;2024-02-01;118,94;0,06;128,06
Castilla-La Mancha;2024-02-01;127,52;65,82;191,28
Cataluña;2024-02-01;177,66;107,58;277,53
Comunidad Valenciana;2024-02-01;200,68;89,20;290,83
Extremadura;2024-02-01;135,56;158,65;302,52
Galicia;2024-02-01;268,22;91,44;368,19
Comunidad de Madrid;2024-02-01;167,01;53,80;286,82
Región de Murcia;2024-02-01;269,94;260,39;510,88
Comunidad Foral de Navarra;2024-02-01;108,49;75,86;181,37
País Vasco;2024-02-01;80,01;51,18;138,47
La Rioja;2024-02-01;54,06;149,04;196,39
Castilla y León;2024-02-01;NA;NA;NA
Andalucía;2024-03-01;350,01;220,31;568,00
Aragón;2024-03-01;153,80;50,03;203,51
Principado de Asturias;2024-03-01;204,65;118,67;308,19
Islas Baleares;2024-03-01;119,67;105,91;227,29
Canarias;2024-03-01;404,64;176,25;609,96
Cantabria;2024-03-01;139,26;50,56;182,20
Castilla y León;2024-03-01;118,47;0,07;127,54
Castilla-La Mancha;2024-03-01;129,13;66,83;192,38
Cataluña;2024-03-01;176,65;107,56;275,89
Comunidad Valenciana;2024-03-01;203,74;97,19;301,76
Extremadura;2024-03-01;133,97;159,99;300,06
Galicia;2024-03-01;271,22;95,19;370,79
Comunidad de Madrid;2024-03-01;167,77;55,05;287,62
Región de Murcia;2024-03-01;276,35;256,80;510,08
Comunidad Foral de Navarra;2024-03-01;109,58;77,43;184,35
País Vasco;2024-03-01;78,97;49,95;136,14
La Rioja;2024-03-01;55,14;148,63;196,37
Castilla y León;2024-03-01;NA;NA;NA
Andalucía;2024-04-01;350,26;224,79;574,26
Aragón;2024-04-01;154,91;51,69;206,30
Principado de Asturias;2024-04-01;220,04;108,15;308,93
Islas Baleares;2024-04-01;120,78;111,35;232,24
Canarias;2024-04-01;399,54;176,10;594,95
Cantabria;2024-04-01;141,61;78,37;209,44
Castilla y León;2024-04-01;118,31;0,07;126,80
Castilla-La Mancha;2024-04-01;129,18;66,83;192,47
Cataluña;2024-04-01;175,90;107,69;277,50
Comunidad Valenciana;2024-04-01;206,98;99,17;306,24
Extremadura;2024-04-01;132,82;157,60;293,08
Galicia;2024-04-01;271,28;98,21;373,29
Comunidad de Madrid;2024-04-01;170,53;57,62;288,15
Región de Murcia;2024-04-01;282,81;254,13;510,46
Comunidad Foral de Navarra;2024-04-01;111,89;78,14;186,02
País Vasco;2024-04-01;77,62;50,31;134,85
La Rioja;2024-04-01;55,55;148,48;196,03
Castilla y León;2024-04-01;NA;NA;NA
Andalucía;2024-05-01;350,98;228,50;579,91
Aragón;2024-05-01;156,39;53,46;209,30
Principado de Asturias;2024-05-01;235,14;99,82;316,09
Islas Baleares;2024-05-01;123,03;118,72;239,05
Canarias;2024-05-01;398,97;178,66;593,40
Cantabria;2024-05-01;145,77;72,06;210,39
Castilla y León;2024-05-01;119,38;0,07;127,84
Castilla-La Mancha;2024-05-01;130,94;66,60;192,07
Cataluña;2024-05-01;175,84;105,82;276,15
Comunidad Valenciana;2024-05-01;211,42;101,87;313,50
Extremadura;2024-05-01;130,91;156,01;290,63
Galicia;2024-05-01;273,75;97,40;373,51
Comunidad de Madrid;2024-05-01;173,03;58,18;288,74
Región de Murcia;2024-05-01;290,27;252,42;511,45
Comunidad Foral de Navarra;2024-05-01;113,54;80,40;189,26
País Vasco;2024-05-01;75,22;51,33;133,25
La Rioja;2024-05-01;56,33;150,68;198,93
Castilla y León;2024-05-01;NA;NA;NA
Andalucía;2024-06-01;354,74;233,27;585,08
Aragón;2024-06-01;157,21;53,37;211,44
Principado de Asturias;2024-06-01;256,09;92,01;320,06
Islas Baleares;2024-06-01;122,32;125,48;245,50
Canarias;2024-06-01;395,02;179,91;591,41
Cantabria;2024-06-01;146,60;69,06;209,01
Castilla y León;2024-06-01;118,70;0,11;126,75
Castilla-La Mancha;2024-06-01;130,45;67,07;194,90
Cataluña;2024-06-01;176,34;101,28;273,07
Comunidad Valenciana;2024-06-01;216,78;99,27;314,32
Extremadura;2024-06-01;129,92;157,36;294,35
Galicia;2024-06-01;283,23;98,59;380,49
Comunidad de Madrid;2024-06-01;175,89;58,70;290,10
Región de Murcia;2024-06-01;294,94;253,00;515,27
Comunidad Foral de Navarra;2024-06-01;117,78;82,18;192,86
País Vasco;2024-06-01;73,90;50,58;131,10
