ccaa;fecha;hombre;mujer
Comunidad de Madrid;2024-01-01;11883;35706
Región de Murcia;2024-01-01;7238;17996
Comunidad Foral de Navarra;2024-01-01;2854;7330
País Vasco;2024-01-01;12047;24084
La Rioja;2024-01-01;353;864
Andalucía;2024-02-01;15085;68538
Aragón;2024-02-01;6240;14552
Principado de Asturias;2024-02-01;2967;8556
Islas Baleares;2024-02-01;6798;16363
Canarias;2024-02-01;3810;13365
Cantabria;2024-02-01;2562;6655
Castilla y León;2024-02-01;8172;25299
Castilla-La Mancha;2024-02-01;4245;14668
Cataluña;2024-02-01;42315;78250
Comunidad Valenciana;2024-02-01;27149;77102
Extremadura;2024-02-01;1180;5273
Galicia;2024-02-01;2694;15086
Comunidad de Madrid;2024-02-01;12134;36426
Región de Murcia;2024-02-01;7282;18022
Comunidad Foral de Navarra;2024-02-01;2854;7401
País Vasco;2024-02-01;12071;24110
La Rioja;2024-02-01;358;858
Andalucía;2024-03-01;15159;69026
Aragón;2024-03-01;6251;14584
Principado de Asturias;2024-03-01;3007;8632
Islas Baleares;2024-03-01;6792;16404
Canarias;2024-03-01;3799;13317
Cantabria;2024-03-01;2574;6662
Castilla y León;2024-03-01;8258;25531
Castilla-La Mancha;2024-03-01;4301;14780
Cataluña;2024-03-01;43229;80093
Comunidad Valenciana;2024-03-01;27474;77814
Extremadura;2024-03-01;1191;5313
Galicia;2024-03-01;2741;15279
Comunidad de Madrid;2024-03-01;12222;36702
Región de Murcia;2024-03-01;7418;18401
Comunidad Foral de Navarra;2024-03-01;2862;7389
País Vasco;2024-03-01;12220;24316
La Rioja;2024-03-01;359;862
Andalucía;2024-04-01;15271;69305
Aragón;2024-04-01;6294;14666
Principado de Asturias;2024-04-01;3025;8670
Islas Baleares;2024-04-01;6851;16505
Canarias;2024-04-01;4226;13672
Cantabria;2024-04-01;2581;6650
Castilla y León;2024-04-01;8314;25669
Castilla-La Mancha;2024-04-01;4371;14965
Cataluña;2024-04-01;43976;81536
Comunidad Valenciana;2024-04-01;27662;78083
Extremadura;2024-04-01;1227;5408
Galicia;2024-04-01;2773;15371
Comunidad de Madrid;2024-04-01;12352;36897
Región de Murcia;2024-04-01;7519;18666
Comunidad Foral de Navarra;2024-04-01;2876;7403
País Vasco;2024-04-01;12365;24545
La Rioja;2024-04-01;358;860
Andalucía;2024-05-01;15371;69622
Aragón;2024-05-01;6337;14808
Principado de Asturias;2024-05-01;3055;8699
Islas Baleares;2024-05-01;6930;16755
Canarias;2024-05-01;4422;13844
Cantabria;2024-05-01;2616;6713
Castilla y León;2024-05-01;8399;25957
Castilla-La Mancha;2024-05-01;4446;15130
Cataluña;2024-05-01;45002;83537
Comunidad Valenciana;2024-05-01;27980;78555
Extremadura;2024-05-01;1234;5412
Galicia;2024-05-01;2835;15567
Comunidad de Madrid;2024-05-01;12589;37442
Región de Murcia;2024-05-01;7610;18889
Comunidad Foral de Navarra;2024-05-01;2848;7273
País Vasco;2024-05-01;12460;24745
La Rioja;2024-05-01;365;854
Andalucía;2024-06-01;15496;69977
Aragón;2024-06-01;6496;15146
Principado de Asturias;2024-06-01;3083;8783
Islas Baleares;2024-06-01;6940;16892
Canarias;2024-06-01;4917;13756
Cantabria;2024-06-01;2633;6745
Castilla y León;2024-06-01;8469;26133
Castilla-La Mancha;2024-06-01;4494;15306
Cataluña;2024-06-01;46129;85766
Comunidad Valenciana;2024-06-01;28467;79614
Extremadura;2024-06-01;1238;5416
Galicia;2024-06-01;2933;15984
Comunidad de Madrid;2024-06-01;12752;37747
Región de Murcia;2024-06-01;7668;19062
Comunidad Foral de Navarra;2024-06-01;2843;7254
País Vasco;2024-06-01;12680;25137
La Rioja;2024-06-01;359;850
Andalucía;2024-07-01;15572;70229
Aragón;2024-07-01;6567;15340
Principado de Asturias;2024-07-01;3077;8815
Islas Baleares;2024-07-01;7230;17451
Canarias;2024-07-01;4994;13985
Cantabria;2024-07-01;2597;6698
Castilla y León;2024-07-01;8581;26418
Castilla-La Mancha;2024-07-01;4567;15430
Cataluña;2024-07-01;47061;87403
Comunidad Valenciana;2024-07-01;28841;80146
Extremadura;2024-07-01;1247;5482
Galicia;2024-07-01;3026;16224
Comunidad de Madrid;2024-07-01;12915;38233
Región de Murcia;2024-07-01;7826;19432
Comunidad Foral de Navarra;2024-07-01;2890;7342
País Vasco;2024-07-01;12662;25097
La Rioja;2024-07-01;357;850
Andalucía;2024-08-01;15696;70559
Aragón;2024-08-01;6694;15551
Principado de Asturias;2024-08-01;3071;8764
Islas Baleares;2024-08-01;7303;17665
Canarias;2024-08-01;5051;14187
Cantabria;2024-08-01;2620;6748
Castilla y León;2024-08-01;8704;26836
Castilla-La Mancha;2024-08-01;4602;15499
Cataluña;2024-08-01;47824;88733
Comunidad Valenciana;2024-08-01;29208;80901
Extremadura;2024-08-01;1256;5527
Galicia;2024-08-01;3124;16594
Comunidad de Madrid;2024-08-01;12839;38014
Región de Murcia;2024-08-01;7827;19419
Comunidad Foral de Navarra;2024-08-01;2877;7310
País Vasco;2024-08-01;12715;25207
La Rioja;2024-08-01;361;838
Andalucía;2024-09-01;15795;70848
Aragón;2024-09-01;6930;16002
Principado de Asturias;2024-09-01;3073;8819
Islas Baleares;2024-09-01;7495;18091
Canarias;2024-09-01;5123;14446
Cantabria;2024-09-01;2638;6797
Castilla y León;2024-09-01;8855;27091
Castilla-La Mancha;2024-09-01;4647;15592
Cataluña;2024-09-01;48508;90125
Comunidad Valenciana;2024-09-01;29335;81191
Extremadura;2024-09-01;1282;5627
Galicia;2024-09-01;3142;16698
Comunidad de Madrid;2024-09-01;13073;38462
Región de Murcia;2024-09-01;7893;19655
Comunidad Foral de Navarra;2024-09-01;2866;7244
País Vasco;2024-09-01;12750;25354
La Rioja;2024-09-01;351;836
Andalucía;2024-10-01;15951;71205
Aragón;2024-10-01;7022;16173
Principado de Asturias;2024-10-01;3138;8988
Islas Baleares;2024-10-01;7589;18213
Canarias;2024-10-01;5170;14778
Cantabria;2024-10-01;2675;6866
Castilla y León;2024-10-01;8936;27320
Castilla-La Mancha;2024-10-01;4741;15817
Cataluña;2024-10-01;49457;92135
Comunidad Valenciana;2024-10-01;29735;82133
Extremadura;2024-10-01;1306;5698
Galicia;2024-10-01;3247;17060
Comunidad de Madrid;2024-10-01;13267;38936
Región de Murcia;2024-10-01;7895;19651
Comunidad Foral de Navarra;2024-10-01;2859;7243
País Vasco;2024-10-01;12858;25581
La Rioja;2024-10-01;353;843
Andalucía;2024-11-01;16027;71307
Aragón;2024-11-01;7136;16461
Principado de Asturias;2024-11-01;3177;9178
Islas Baleares;2024-11-01;7598;18225
Canarias;2024-11-01;5270;15090
Cantabria;2024-11-01;2709;6921
Castilla y León;2024-11-01;9043;27491
Castilla-La Mancha;2024-11-01;4867;16032
Cataluña;2024-11-01;50113;93357
Comunidad Valenciana;2024-11-01;30798;84589
Extremadura;2024-11-01;1327;5770
Galicia;2024-11-01;3434;17564
Comunidad de Madrid;2024-11-01;13478;39479
Región de Murcia;2024-11-01;7882;19674
Comunidad Foral de Navarra;2024-11-01;2841;7165
País Vasco;2024-11-01;13036;25898
La Rioja;2024-11-01;349;835
Andalucía;2024-12-01;16199;71809
Aragón;2024-12-01;7227;16652
Principado de Asturias;2024-12-01;3242;9324
Islas Baleares;2024-12-01;7578;18153
Canarias;2024-12-01;5404;15519
Cantabria;2024-12-01;2685;6887
Castilla y León;2024-12-01;9167;27701
Castilla-La Mancha;2024-12-01;5025;16601
Cataluña;2024-12-01;50978;94985
Comunidad Valenciana;2024-12-01;31433;86022
Extremadura;2024-12-01;1321;5735
Galicia;2024-12-01;3532;17820
Comunidad de Madrid;2024-12-01;13634;39898
Región de Murcia;2024-12-01;7982;19919
Comunidad Foral de Navarra;2024-12-01;2870;7289
País Vasco;2024-12-01;13148;26060
La Rioja;2024-12-01;354;850
Andalucía;2025-01-01;16121;71586
Aragón;2025-01-01;7273;16704
Principado de Asturias;2025-01-01;3279;9396
Islas Baleares;2025-01-01;7607;18240
Canarias;2025-01-01;5503;15816
Cantabria;2025-01-01;2688;6870
Castilla y León;2025-01-01;9246;27723
Castilla-La Mancha;2025-01-01;5046;16634
Cataluña;2025-01-01;51414;95887
Comunidad Valenciana;2025-01-01;31843;86767
Extremadura;2025-01-01;1304;5680
Galicia;2025-01-01;3633;18171
Comunidad de Madrid;2025-01-01;13539;39648
Región de Murcia;2025-01-01;8050;20083
Comunidad Foral de Navarra;2025-01-01;2836;7213
País Vasco;2025-01-01;13273;26203
La Rioja;2025-01-01;352;858
Andalucía;2025-02-01;16173;71848
Aragón;2025-02-01;7359;16872
Principado de Asturias;2025-02-01;3366;9606
Islas Baleares;2025-02-01;7683;18370
Canarias;2025-02-01;5566;16093
Cantabria;2025-02-01;2662;6860
Castilla y León;2025-02-01;9282;27720
Castilla-La Mancha;2025-02-01;5109;16774
Cataluña;2025-02-01;52061;97399
Comunidad Valenciana;2025-02-01;32802;88978
Extremadura;2025-02-01;1292;5628
Galicia;2025-02-01;3720;18314
Comunidad de Madrid;2025-02-01;13810;40235
Región de Murcia;2025-02-01;8073;20150
Comunidad Foral de Navarra;2025-02-01;2792;7080
País Vasco;2025-02-01;13313;26209
La Rioja;2025-02-01;356;875
Andalucía;2025-03-01;16269;72296
Aragón;2025-03-01;7434;16979
Principado de Asturias;2025-03-01;3457;9790
Islas Baleares;2025-03-01;7536;18013
Canarias;2025-03-01;5598;16216
Cantabria;2025-03-01;2696;6906
Castilla y León;2025-03-01;9369;27959
Castilla-La Mancha;2025-03-01;5205;16866
Cataluña;2025-03-01;52582;98590
Comunidad Valenciana;2025-03-01;33530;90425
Extremadura;2025-03-01;1325;5716
Galicia;2025-03-01;3867;18730
Comunidad de Madrid;2025-03-01;13972;40571
Región de Murcia;2025-03-01;8199;20452
Comunidad Foral de Navarra;2025-03-01;2777;7030
País Vasco;2025-03-01;13364;26318
La Rioja;2025-03-01;355;874
Andalucía;2025-04-01;16341;72605
Aragón;2025-04-01;7501;17091
Principado de Asturias;2025-04-01;3498;9947
Islas Baleares;2025-04-01;7390;17712
Canarias;2025-04-01;5620;16338
Cantabria;2025-04-01;2707;6933
Castilla y León;2025-04-01;9465;28132
Castilla-La Mancha;2025-04-01;5274;17022
Cataluña;2025-04-01;53419;100080
Comunidad Valenciana;2025-04-01;34075;91500
Extremadura;2025-04-01;1347;5759
Galicia;2025-04-01;4423;20303
Comunidad de Madrid;2025-04-01;14254;41564
Región de Murcia;2025-04-01;8350;20793
Comunidad Foral de Navarra;2025-04-01;2790;7040
País Vasco;2025-04-01;13507;26577
La Rioja;2025-04-01;347;873
Andalucía;2025-05-01;16471;73170
Aragón;2025-05-01;7591;17305
Principado de Asturias;2025-05-01;3527;9973
Islas Baleares;2025-05-01;7293;17482
Canarias;2025-05-01;5687;16498
Cantabria;2025-05-01;2699;6928
Castilla y León;2025-05-01;9661;28501
Castilla-La Mancha;2025-05-01;5378;17149
Cataluña;2025-05-01;54084;101296
Comunidad Valenciana;2025-05-01;34101;92247
Extremadura;2025-05-01;1377;5867
Galicia;2025-05-01;4872;21558
Comunidad de Madrid;2025-05-01;14380;41970
Región de Murcia;2025-05-01;8450;21150
Comunidad Foral de Navarra;2025-05-01;3091;7724
País Vasco;2025-05-01;13530;26615
La Rioja;2025-05-01;350;886
Andalucía;2025-06-01;16653;73842
Aragón;2025-06-01;7646;17426
Principado de Asturias;2025-06-01;3546;10042
Islas Baleares;2025-06-01;7916;18938
Canarias;2025-06-01;5968;17241
Cantabria;2025-06-01;2710;6929
Castilla y León;2025-06-01;9706;28551
Castilla-La Mancha;2025-06-01;5501;17408
Cataluña;2025-06-01;54829;102782
Comunidad Valenciana;2025-06-01;34006;91868
Extremadura;2025-06-01;1399;5917
Galicia;2025-06-01;5378;22963
Comunidad de Madrid;2025-06-01;14645;42534
Región de Murcia;2025-06-01;8554;21440
Comunidad Foral de Navarra;2025-06-01;3094;7720
País Vasco;2025-06-01;13617;26814
La Rioja;2025-06-01;353;885
Andalucía;2025-07-01;16856;74554
Aragón;2025-07-01;7705;17569
Principado de Asturias;2025-07-01;3543;10051
Islas Baleares;2025-07-01;7948;19084
Canarias;2025-07-01;6206;17896
Cantabria;2025-07-01;2734;6964
Castilla y León;2025-07-01;9802;28816
Castilla-La Mancha;2025-07-01;5568;17515
Cataluña;2025-07-01;55798;104535
Comunidad Valenciana;2025-07-01;35757;95919
Extremadura;2025-07-01;1417;5983
Galicia;2025-07-01;5722;23952
Comunidad de Madrid;2025-07-01;15012;43267
Región de Murcia;2025-07-01;8674;21681
Comunidad Foral de Navarra;2025-07-01;3068;7653
País Vasco;2025-07-01;13665;26911
La Rioja;2025-07-01;344;879
Andalucía;2025-08-01;17029;74956
Aragón;2025-08-01;7726;17732
Principado de Asturias;2025-08-01;3522;9979
Islas Baleares;2025-08-01;7880;18910
Canarias;2025-08-01;6452;18557
Cantabria;2025-08-01;2745;6976
Castilla y León;2025-08-01;9862;28963
Castilla-La Mancha;2025-08-01;5659;17688
