ccaa;fecha;solicitudes;resoluciones_grado;grado3;grado2;grado1;ratio_g3;ratio_g2;ratio_g1;total_der_prest
País Vasco;2025-03-01;118146;117998;19653;27161;38512;23,0328387595809;31,8320324402878;45,1351288001313;85326
La Rioja;2025-03-01;14811;14805;2414;4407;3660;23,0321534204751;42,0475145501383;34,9203320293865;10481
Ceuta y Melilla;2025-03-01;5712;5510;1244;1507;1317;30,5801376597837;37,0452310717797;32,3746312684366;4068
Andalucía;2025-04-01;424084;395348;74722;137675;103398;23,6615525894963;43,5963203977264;32,7421270127773;315795
Aragón;2025-04-01;58693;54119;13498;16536;16218;29,1836028712272;35,7519674824872;35,0644296462856;46252
Principado de Asturias;2025-04-01;52063;44260;8236;11561;15452;23,3652018496979;32,7980935629380;43,8367045873642;35249
Islas Baleares;2025-04-01;47287;43685;8257;11336;15495;23,5322617419061;32,3073415412677;44,1603967168263;35088
Canarias;2025-04-01;76325;66835;20110;21025;18204;33,8900217394968;35,4320093024823;30,6779689580209;59339
Cantabria;2025-04-01;23380;22962;5259;7902;5152;28,7173046469721;43,1496750941954;28,1330202588325;18313
Castilla y León;2025-04-01;161076;158180;34904;41796;50173;27,5109755424716;32,9431793998723;39,5458450576561;126873
Castilla-La Mancha;2025-04-01;102256;98828;24081;26683;30788;29,5283990582696;32,7190013733569;37,7525995683736;81552
Cataluña;2025-04-01;395271;359181;49558;103019;121500;18,0817799377547;37,5876122403558;44,3306078218895;274077
Comunidad Valenciana;2025-04-01;226297;205448;47519;65840;62424;27,0327619849473;37,4552715564076;35,5119664586450;175783
Extremadura;2025-04-01;60562;57381;13215;13809;14522;31,8081163048188;33,2378568333895;34,9540268617917;41546
Galicia;2025-04-01;87481;87419;26213;27693;27022;32,3905199683669;34,2193060498221;33,3901739818110;80928
Comunidad de Madrid;2025-04-01;266456;266190;65999;78688;65713;31,3683460076046;37,3992395437262;31,2324144486692;210400
Región de Murcia;2025-04-01;69263;60819;15204;19513;17750;28,9782148779233;37,1909962452589;33,8307888768178;52467
Comunidad Foral de Navarra;2025-04-01;20737;20667;3364;6461;6554;20,5384944135784;39,4468526772086;40,0146529092130;16379
País Vasco;2025-04-01;118843;118693;19778;27258;38981;22,9931292651453;31,6890847158120;45,3177860190427;86017
La Rioja;2025-04-01;14818;14810;2404;4400;3653;22,9893851008894;42,0770775557043;34,9335373434063;10457
Ceuta y Melilla;2025-04-01;5735;5562;1259;1520;1334;30,6102601507416;36,9559931923170;32,4337466569414;4113
Andalucía;2025-05-01;425258;396650;74793;138097;104508;23,5644206957826;43,5090958355125;32,9264834687049;317398
Aragón;2025-05-01;59191;54496;13623;16663;16351;29,2107125243905;35,7291420974763;35,0601453781332;46637
Principado de Asturias;2025-05-01;52296;44374;8219;11574;15525;23,2714196726881;32,7708250750326;43,9577552522793;35318
Islas Baleares;2025-05-01;47828;43305;8100;11234;15410;23,3133778494128;32,3336403407783;44,3529818098089;34744
Canarias;2025-05-01;76588;68265;20680;21499;18493;34,0849156118143;35,4347969409283;30,4802874472574;60672
Cantabria;2025-05-01;23494;23067;5242;7954;5232;28,4458432819622;43,1625786846104;28,3915780334274;18428
Castilla y León;2025-05-01;161324;158443;35131;41854;50140;27,6350049164208;32,9235004916421;39,4414945919371;127125
Castilla-La Mancha;2025-05-01;102491;99233;24272;26812;30941;29,5909783602560;32,6875952453520;37,7214263943920;82025
Cataluña;2025-05-01;398610;362024;49793;103727;122858;18,0162675755668;37,5308454363227;44,4528869881105;276378
Comunidad Valenciana;2025-05-01;227362;203821;46728;65337;62196;26,8149499888099;37,4937593609586;35,6912906502316;174261
Extremadura;2025-05-01;60774;57318;13152;13768;14605;31,6724864539434;33,1559301625527;35,1715833835039;41525
Galicia;2025-05-01;89575;89509;26661;28265;27953;32,1685831151438;34,1039346517212;33,7274822331350;82879
Comunidad de Madrid;2025-05-01;267532;267257;66215;79017;65890;31,3633823097545;37,4271748088783;31,2094428813672;211122
Región de Murcia;2025-05-01;70173;61147;15309;19430;17811;29,1322549952426;36,9743101807802;33,8934348239772;52550
Comunidad Foral de Navarra;2025-05-01;23582;23481;3352;6639;7641;19,0108892921960;37,6531306715064;43,3359800362976;17632
País Vasco;2025-05-01;119085;118937;19795;27254;39130;22,9696329732301;31,6248738091646;45,4054932176052;86179
La Rioja;2025-05-01;14780;14769;2380;4426;3614;22,8406909788868;42,4760076775432;34,6833013435701;10420
Ceuta y Melilla;2025-05-01;5774;5577;1250;1533;1342;30,3030303030303;37,1636363636364;32,5333333333333;4125
Andalucía;2025-06-01;426018;396914;74441;138012;105499;23,4126534822866;43,4065519323672;33,1807945853462;317952
Aragón;2025-06-01;59558;54968;13782;16851;16505;29,2375578089864;35,7482286053715;35,0142135856422;47138
Principado de Asturias;2025-06-01;52409;44483;8298;11652;15505;23,4043153292907;32,8641940487942;43,7314906219151;35455
Islas Baleares;2025-06-01;48429;45195;8570;11649;16069;23,6166225749559;32,1015211640212;44,2818562610229;36288
Canarias;2025-06-01;76437;69446;20932;21852;18931;33,9172000324070;35,4079235194037;30,6748764481893;61715
Cantabria;2025-06-01;23596;23158;5234;7986;5291;28,2750796823510;43,1419156177408;28,5830046999082;18511
Castilla y León;2025-06-01;161329;158311;35085;41886;50223;27,5838482947309;32,9307986225765;39,4853530826926;127194
Castilla-La Mancha;2025-06-01;103096;99491;24360;26927;31057;29,5832118915768;32,7006217817935;37,7161663266297;82344
Cataluña;2025-06-01;402234;364843;50004;104527;124073;17,9480553043029;37,5181260857705;44,5338186099266;278604
Comunidad Valenciana;2025-06-01;228620;202376;46057;64904;61933;26,6388654319988;37,5397642486148;35,8213703193864;172894
Extremadura;2025-06-01;60597;57462;13180;13787;14677;31,6492171741427;33,1068101046970;35,2439727211603;41644
Galicia;2025-06-01;91845;91766;27145;28987;29105;31,8464985862947;34,0075319403545;34,1459694733508;85237
Comunidad de Madrid;2025-06-01;269409;269139;66770;79667;66288;31,3879421788694;37,4506992596075;31,1613585615231;212725
Región de Murcia;2025-06-01;71161;61602;15355;19498;18058;29,0204305342934;36,8505603749693;34,1290090907373;52911
Comunidad Foral de Navarra;2025-06-01;23712;23614;3368;6675;7642;19,0443878993497;37,7438507209500;43,2117613797003;17685
País Vasco;2025-06-01;120058;119909;19808;27393;39587;22,8234318108494;31,5631193252523;45,6134488638982;86788
La Rioja;2025-06-01;14836;14826;2373;4427;3633;22,7451356273363;42,4326655803700;34,8221987922937;10433
Ceuta y Melilla;2025-06-01;5805;5637;1269;1551;1357;30,3806559731865;37,1319128561168;32,4874311706967;4177
Andalucía;2025-07-01;427150;397216;74440;137978;106094;23,3711759682524;43,3195609584568;33,3092630732908;318512
Aragón;2025-07-01;60062;55333;13851;17015;16623;29,1667544062836;35,8293499547264;35,0038956389901;47489
Principado de Asturias;2025-07-01;51908;44289;8244;11592;15481;23,3428660418495;32,8227199365745;43,8344140215760;35317
Islas Baleares;2025-07-01;48867;45669;8626;11740;16243;23,5625119506132;32,0686170067470;44,3688710426398;36609
Canarias;2025-07-01;77426;70088;21118;22088;19041;33,9261329863287;35,4844410172378;30,5894259964336;62247
Cantabria;2025-07-01;23465;22985;5173;7932;5214;28,2384409629347;43,2993067307167;28,4622523063486;18319
Castilla y León;2025-07-01;161127;158169;34839;41918;50448;27,3880743681459;32,9531071891828;39,6588184426713;127205
Castilla-La Mancha;2025-07-01;104099;100367;24495;27168;31435;29,4772437363113;32,6939276516884;37,8288286120003;83098
Cataluña;2025-07-01;407365;366328;49840;104783;125057;17,8203661327231;37,4653175057208;44,7143163615561;279680
Comunidad Valenciana;2025-07-01;229150;213090;49364;68387;65120;26,9938918691318;37,3963066861339;35,6098014447343;182871
Extremadura;2025-07-01;60633;57229;13103;13766;14637;31,5689297932829;33,1662892111984;35,2647809955187;41506
Galicia;2025-07-01;93011;92941;27274;29377;29824;31,5397513732293;33,9716681121711;34,4885805145996;86475
Comunidad de Madrid;2025-07-01;270988;270536;66952;80086;66876;31,2985592340847;37,4384098282487;31,2630309376665;213914
Región de Murcia;2025-07-01;72039;62476;15484;19605;18408;28,9436790848085;36,6469147802681;34,4094061349235;53497
Comunidad Foral de Navarra;2025-07-01;23698;23602;3343;6662;7635;18,9512471655329;37,7664399092971;43,2823129251701;17640
País Vasco;2025-07-01;120340;120187;19798;27439;39735;22,7636480706434;31,5492342363059;45,6871176930506;86972
La Rioja;2025-07-01;14782;14771;2334;4424;3614;22,5028924026224;42,6532973389896;34,8438102583880;10372
Ceuta y Melilla;2025-07-01;5863;5656;1264;1560;1363;30,1886792452830;37,2581800812037;32,5531406735133;4187
Andalucía;2025-08-01;429699;397870;74049;138087;107300;23,1811693109105;43,2283775153708;33,5904531737187;319436
Aragón;2025-08-01;60137;55577;13933;17080;16705;29,1986252567165;35,7936208558615;35,0077538874219;47718
Principado de Asturias;2025-08-01;51290;43887;8076;11491;15387;23,1046518281170;32,8746352348801;44,0207129370029;34954
Islas Baleares;2025-08-01;49300;46201;8742;11843;16461;23,5976893591751;31,9683636559952;44,4339469848297;37046
Canarias;2025-08-01;77796;71059;21462;22459;19236;33,9819814114033;35,5605871083174;30,4574314802793;63157
Cantabria;2025-08-01;23683;23290;5197;8037;5313;28,0207041570065;43,3331536097482;28,6461422332453;18547
Castilla y León;2025-08-01;161372;158598;34745;42006;50850;27,2294104278180;32,9198047037249;39,8507848684571;127601
Castilla-La Mancha;2025-08-01;104263;100174;24349;27115;31511;29,3449834287436;32,6785176257909;37,9764989454655;82975
Cataluña;2025-08-01;409358;366826;49408;104726;125792;17,6503790287433;37,4120303222995;44,9375906489572;279926
Comunidad Valenciana;2025-08-01;228773;213527;49264;68632;65269;26,8959681161794;37,4700406737095;35,6339912101111;183165
Extremadura;2025-08-01;60681;57041;13075;13754;14576;31,5783117980920;33,2182103610675;35,2034778408405;41405
Galicia;2025-08-01;94599;94502;27572;29735;30698;31,3300380660190;33,7878529628998;34,8821089710812;88005
Comunidad de Madrid;2025-08-01;272026;271897;67102;80608;67516;31,1774599723082;37,4527241132577;31,3698159144341;215226
Región de Murcia;2025-08-01;72177;62343;15389;19561;18498;28,7924711869481;36,5981888938782;34,6093399191738;53448
Comunidad Foral de Navarra;2025-08-01;23731;23630;3290;6650;7735;18,6138613861386;37,6237623762376;43,7623762376238;17675
País Vasco;2025-08-01;120133;119985;19695;27334;39741;22,6979370750259;31,5016710844762;45,8003918404979;86770
La Rioja;2025-08-01;14720;14709;2307;4403;3590;22,3980582524272;42,7475728155340;34,8543689320388;10300
Ceuta y Melilla;2025-08-01;5854;5640;1258;1553;1370;30,0884955752212;37,1442238698876;32,7672805548912;4181
Andalucía;2025-09-01;430507;400745;76325;140467;108237;23,4825200212904;43,2167591199554;33,3007208587541;325029
Aragón;2025-09-01;60372;55898;14012;17157;16892;29,1546160088221;35,6983833045505;35,1470006866274;48061
Principado de Asturias;2025-09-01;50778;43521;7908;11391;15349;22,8238282151928;32,8763564996537;44,2998152851535;34648
Islas Baleares;2025-09-01;49903;46462;8750;11902;16577;23,5031830024981;31,9697010395122;44,5271159579897;37229
Canarias;2025-09-01;78043;72415;21860;22919;19603;33,9535895125967;35,5984591966699;30,4479512907334;64382
Cantabria;2025-09-01;23666;23214;5170;8005;5283;28,0095351609058;43,3687290063929;28,6217358327013;18458
Castilla y León;2025-09-01;161623;158834;34656;42085;50922;27,1464715696795;32,9656987537501;39,8878296765703;127663
Castilla-La Mancha;2025-09-01;103929;100471;24491;27080;31673;29,4207390322426;32,5308730959589;38,0483878717986;83244
Cataluña;2025-09-01;411492;367600;49225;104789;126418;17,5532749472243;37,3669909282821;45,0797341244936;280432
Comunidad Valenciana;2025-09-01;232662;214222;49167;68930;65748;26,7437243329979;37,4935407544399;35,7627349125622;183845
Extremadura;2025-09-01;60913;57010;13029;13733;14603;31,4976429348483;33,1995648495105;35,3027922156412;41365
Galicia;2025-09-01;95826;95714;27815;30116;31504;31,1007994632974;33,6736177111869;35,2255828255157;89435
Comunidad de Madrid;2025-09-01;274638;274049;68128;81502;67970;31,3088235294118;37,4549632352941;31,2362132352941;217600
Región de Murcia;2025-09-01;73141;64413;15757;20071;19517;28,4705032071551;36,2652452796097;35,2642515132352;55345
Comunidad Foral de Navarra;2025-09-01;23677;23576;3260;6633;7803;18,4222423146474;37,4830470162749;44,0947106690778;17696
País Vasco;2025-09-01;120805;120660;19805;27467;40129;22,6599237994989;31,4264138854247;45,9136623150765;87401
La Rioja;2025-09-01;14704;14692;2289;4398;3570;22,3164668031588;42,8780345130155;34,8054986838257;10257
Ceuta y Melilla;2025-09-01;5886;5655;1256;1564;1378;29,9190090519295;37,2558361124345;32,8251548356360;4198
Andalucía;2025-10-01;437319;417063;77490;143681;113656;23,1432948955729;42,9120112774657;33,9446938269614;334827
Aragón;2025-10-01;60843;56460;14121;17332;17097;29,0854788877446;35,6992790937178;35,2152420185376;48550
Principado de Asturias;2025-10-01;50819;43710;7818;11308;15300;22,7095799686284;32,8472666008250;44,4431534305467;34426
Islas Baleares;2025-10-01;50307;46919;8833;11957;16783;23,5089026694701;31,8233838128443;44,6677135176856;37573
Canarias;2025-10-01;78559;73957;22582;23392;19743;34,3624937230854;35,5950515087420;30,0424547681726;65717
Cantabria;2025-10-01;23614;23337;5196;8047;5312;28,0032336297494;43,3683643222851;28,6284020479655;18555
Castilla y León;2025-10-01;162195;158968;34807;42291;51068;27,1577485448559;32,9970506998736;39,8452007552705;128166
Castilla-La Mancha;2025-10-01;103813;101103;24893;27261;31823;29,6426402467342;32,4624599592746;37,8948997939912;83977
Cataluña;2025-10-01;415244;370381;49276;105379;127929;17,4376468589871;37,2912125244175;45,2711406165954;282584
Comunidad Valenciana;2025-10-01;233083;216327;49695;69606;66345;26,7686887948030;37,4939400795062;35,7373711256908;185646
Extremadura;2025-10-01;61690;57569;13189;13877;14792;31,5089110803192;33,1525634287352;35,3385254909456;41858
Galicia;2025-10-01;97778;97629;28302;30605;32545;30,9473822333027;33,4656431789354;35,5869745877619;91452
Comunidad de Madrid;2025-10-01;277217;276968;68902;82344;68484;31,3575752059346;37,4750830564784;31,1673417375870;219730
Región de Murcia;2025-10-01;74140;65978;16132;20448;20021;28,5012632285649;36,1265702019399;35,3721665694952;56601
Comunidad Foral de Navarra;2025-10-01;23753;23654;3259;6662;7920;18,2669132896138;37,3409562244269;44,3921304859593;17841
País Vasco;2025-10-01;121300;121160;19928;27608;40329;22,6802481078928;31,4209298355432;45,8988220565641;87865
La Rioja;2025-10-01;14923;14912;2298;4438;3718;21,9820164530323;42,4526497034628;35,5653338435049;10454
Ceuta y Melilla;2025-10-01;5900;5704;1277;1579;1392;30,0612052730697;37,1704331450094;32,7683615819209;4248
Andalucía;2025-11-01;446477;430860;80703;147543;118161;23,2971620088509;42,5923841030926;34,1104538880565;346407
Aragón;2025-11-01;61070;56977;14224;17493;17280;29,0303487968651;35,7021858481132;35,2674653550217;48997
Principado de Asturias;2025-11-01;50331;43660;7693;11232;15318;22,4659054405280;32,8008644102444;44,7332301492276;34243
Islas Baleares;2025-11-01;50514;47350;8901;12017;16993;23,4786737358550;31,6979240853578;44,8234021787872;37911
Canarias;2025-11-01;78692;75487;23216;23905;19934;34,6223249571247;35,6498396838416;29,7278353590336;67055
Cantabria;2025-11-01;23973;23562;5247;8146;5374;27,9586508232536;43,4059785794213;28,6353705973251;18767
Castilla y León;2025-11-01;162549;159039;34804;42420;51057;27,1310638364216;33,0680303396450;39,8009058239334;128281
Castilla-La Mancha;2025-11-01;103200;101372;24936;27340;31950;29,6060598864959;32,4602854225536;37,9336546909505;84226
Cataluña;2025-11-01;418807;373723;49576;106066;129514;17,3855714065284;37,1957805552049;45,4186480382668;285156
Comunidad Valenciana;2025-11-01;236880;217738;49966;70170;66750;26,7360851000075;37,5469537579059;35,7169611420866;186886
Extremadura;2025-11-01;62199;58346;13246;14028;15021;31,3181227095401;33,1670410213973;35,5148362690625;42295
Galicia;2025-11-01;99310;99165;28583;31075;33359;30,7287915112291;33,4078716793704;35,8633368094004;93017
Comunidad de Madrid;2025-11-01;277873;277724;69482;82642;68242;31,5302723650654;37,5021555049327;30,9675721300019;220366
Región de Murcia;2025-11-01;74523;66578;16278;20629;20184;28,5123749802946;36,1335411886287;35,3540838310767;57091
Comunidad Foral de Navarra;2025-11-01;24172;24089;3470;6605;7899;19,3056637365083;36,7475242016246;43,9468120618671;17974
País Vasco;2025-11-01;121661;121519;19917;27653;40513;22,6116276693573;31,3942531475994;45,9941191830433;88083
La Rioja;2025-11-01;15053;15044;2314;4478;3757;21,9357285050716;42,4495212816381;35,6147502132904;10549
Ceuta y Melilla;2025-11-01;5917;5749;1294;1588;1399;30,2265825741649;37,0941368839056;32,6792805419295;4281
Andalucía;2025-12-01;456133;441462;80968;149458;121806;22,9871221240546;42,4316927479616;34,5811851279838;352232
Aragón;2025-12-01;61425;57328;14296;17611;17458;28,9597893244201;35,6750734325939;35,3651372429859;49365
Principado de Asturias;2025-12-01;50073;43625;7607;11190;15354;22,2746039647448;32,7662440338497;44,9591520014055;34151
Islas Baleares;2025-12-01;50646;47585;8899;12059;17096;23,3851894675987;31,6891785357650;44,9256319966364;38054
Canarias;2025-12-01;79243;76771;23782;24330;20147;34,8408268506717;35,6436513866303;29,5155217626980;68259
Cantabria;2025-12-01;23795;23336;5184;8061;5312;27,9355499272512;43,4391334806273;28,6253165921216;18557
Castilla y León;2025-12-01;162682;160029;34656;42675;51996;26,7971885221184;32,9977498898142;40,2050615880675;129327
Castilla-La Mancha;2025-12-01;104062;101470;25361;27192;31796;30,0667464937344;32,2374894782392;37,6957640280264;84349
Cataluña;2025-12-01;419673;376007;49661;106253;130794;17,3211071891960;37,0596565146421;45,6192362961620;286708
Comunidad Valenciana;2025-12-01;236730;219095;50293;70600;67192;26,7395060743813;37,5362203259165;35,7242735997023;188085
Extremadura;2025-12-01;62130;58757;13200;14093;15209;31,0573620064938;33,1584396028422;35,7841983906640;42502
Galicia;2025-12-01;100525;100376;28716;31517;34021;30,4666114965943;33,4383686633989;36,0950198400068;94254
Comunidad de Madrid;2025-12-01;277807;277650;69555;82753;67709;31,6134662321548;37,6120936109482;30,7744401568970;220017
Región de Murcia;2025-12-01;74588;67138;16331;20819;20416;28,3691762498697;36,1654448806587;35,4653788694716;57566
Comunidad Foral de Navarra;2025-12-01;24200;24116;3448;6913;7810;18,9752902977271;38,0441362610753;42,9805734411975;18171
País Vasco;2025-12-01;121716;121567;19844;27608;40584;22,5407787723204;31,3598982234540;46,0993230042255;88036
La Rioja;2025-12-01;14974;14968;2299;4443;3687;22,0442995493336;42,6023588071723;35,3533416434941;10429
Ceuta y Melilla;2025-12-01;5913;5775;1302;1591;1414;30,2298583700952;36,9398653355004;32,8302762944045;4307
Andalucía;2026-01-01;459849;442279;80491;149683;123201;22,7777856384860;42,3581181464450;34,8640962150690;353375
Aragón;2026-01-01;61572;57255;14247;17547;17463;28,9238077836653;35,6233631768074;35,4528290395274;49257
Principado de Asturias;2026-01-01;49590;43635;7512;11114;15400;22,0772350555458;32,6632575089637;45,2595074354905;34026
Islas Baleares;2026-01-01;50711;47479;8810;11965;17143;23,2343478031542;31,5549343319795;45,2107178648663;37918
Canarias;2026-01-01;82033;78389;24206;24896;20601;34,7273431559617;35,7172575068505;29,5553993371878;69703
Cantabria;2026-01-01;23419;23075;5069;7967;5281;27,6737457007152;43,4951138286837;28,8311404706011;18317
Castilla y León;2026-01-01;161835;159462;34471;42496;51888;26,7517752512514;32,9797058709402;40,2685188778084;128855
Castilla-La Mancha;2026-01-01;104072;101204;25221;27155;31907;29,9241839991457;32,2188341658460;37,8569818350082;84283
Cataluña;2026-01-01;420773;378808;49528;106483;132683;17,1558813137786;36,8843827720701;45,9597359141513;288694
Comunidad Valenciana;2026-01-01;235704;218916;49785;70511;67597;26,4964634126870;37,5272096352711;35,9763269520419;187893
Extremadura;2026-01-01;61911;58621;13086;14045;15242;30,8828735279541;33,1461071908999;35,9710192811460;42373
Galicia;2026-01-01;99635;99508;28246;31282;33921;30,2261126389796;33,4749435520979;36,2989438089225;93449
Comunidad de Madrid;2026-01-01;280628;280480;69970;83749;69472;31,3498304143088;37,5234664480199;31,1267031376713;223191
Región de Murcia;2026-01-01;74450;66935;16176;20747;20320;28,2584770190242;36,2437328581661;35,4977901228098;57243
Comunidad Foral de Navarra;2026-01-01;23997;23913;3358;6807;7750;18,7440692157410;37,9960926597823;43,2598381244767;17915
País Vasco;2026-01-01;121274;121092;19529;27411;40523;22,3282988235025;31,3401095320307;46,3315916444668;87463
La Rioja;2026-01-01;15002;14997;2286;4459;3751;21,7797256097561;42,4828506097561;35,7374237804878;10496
Ceuta y Melilla;2026-01-01;5917;5796;1313;1594;1424;30,3163241745555;36,8044331563149;32,8792426691295;4331
Andalucía;2026-02-01;463883;440067;83691;150773;121672;23,4997304400566;42,3357930678168;34,1644764921266;356136
Aragón;2026-02-01;61626;57159;14294;17549;17470;28,9862713686046;35,5869648976943;35,4267637337011;49313
Principado de Asturias;2026-02-01;49598;43495;7385;11114;15513;21,7129248500529;32,6767023403505;45,6103728095966;34012
Islas Baleares;2026-02-01;50699;47596;8776;11967;17273;23,0850168350168;31,4788510101010;45,4361321548822;38016
Canarias;2026-02-01;82362;79294;24303;25241;21067;34,4181501465777;35,7465550693235;29,8352947840988;70611
Cantabria;2026-02-01;22868;22630;4895;7799;5220;27,3249972088869;43,5357820698895;29,1392207212236;17914
Castilla y León;2026-02-01;160600;157984;33908;42039;51496;26,6064044317852;32,9865116169582;40,4070839512566;127443
Castilla-La Mancha;2026-02-01;103777;100613;25062;27095;31889;29,8193846227066;32,2382980748638;37,9423173024296;84046
Cataluña;2026-02-01;420846;379400;49267;106303;133259;17,0574976889440;36,8048222304547;46,1376800806013;288829
Comunidad Valenciana;2026-02-01;239044;219070;49502;70694;67717;26,3430417267565;37,6206010228138;36,0363572504297;187913
Extremadura;2026-02-01;61714;58170;12925;13980;15185;30,7080066524115;33,2145402708482;36,0774530767403;42090
Galicia;2026-02-01;98981;98819;27661;31261;34166;29,7148934341698;33,5822017875559;36,7029047782743;93088
Comunidad de Madrid;2026-02-01;278856;278703;69659;84361;69238;31,2011215723513;37,7863279255391;31,0125505021097;223258
Región de Murcia;2026-02-01;74124;67471;16158;20959;20585;28,0024955807424;36,3228310977089;35,6746733215486;57702
Comunidad Foral de Navarra;2026-02-01;23909;23828;3236;6693;7858;18,1930623489065;37,6286051610727;44,1783324900208;17787
País Vasco;2026-02-01;120741;120518;19196;27206;40563;22,0732478583338;31,2838498246421;46,6429023170241;86965
La Rioja;2026-02-01;15061;15057;2263;4464;3827;21,4421072579117;42,2967595224559;36,2611332196324;10554
Ceuta y Melilla;2026-02-01;5889;5754;1310;1578;1402;30,5361305361305;36,7832167832168;32,6806526806527;4290
Andalucía;2026-03-01;469701;444855;85057;151624;122295;23,6943416830094;42,2379211980745;34,0677371189160;358976
Aragón;2026-03-01;62021;57743;14513;17760;17636;29,0789236410267;35,5847642709732;35,3363120880002;49909
Principado de Asturias;2026-03-01;50301;43644;7381;11165;15731;21,5333897365580;32,5728622691601;45,8937479942819;34277
Islas Baleares;2026-03-01;50958;47891;8811;11980;17427;23,0545816107593;31,3464859490293;45,5989324402114;38218
Canarias;2026-03-01;83951;80739;24643;25819;21470;34,2587443696825;35,8936217538787;29,8476338764389;71932
Cantabria;2026-03-01;25014;24665;5257;8524;6148;26,3786441868634;42,7718400321140;30,8495157810226;19929
Castilla y León;2026-03-01;160682;157675;33949;42050;51387;26,6504953448574;33,0099068971473;40,3395977579954;127386
Castilla-La Mancha;2026-03-01;104747;101205;25254;27261;32115;29,8404820985466;32,2119815668203;37,9475363346331;84630
Cataluña;2026-03-01;423410;381931;49338;106922;134576;16,9641997551885;36,7636743731863;46,2721258716252;290836
Comunidad Valenciana;2026-03-01;239221;221569;50050;71622;68578;26,3074901445466;37,6462549277267;36,0462549277267;190250
Extremadura;2026-03-01;61962;58238;12964;13980;15271;30,7094634608551;33,1161909273955;36,1743456117494;42215
Galicia;2026-03-01;100175;100152;27696;31687;35079;29,3197264508480;33,5447058076264;37,1355677415257;94462
Comunidad de Madrid;2026-03-01;282861;282709;70867;85911;70736;31,1484128449238;37,7607531844194;31,0908339706567;227514
Región de Murcia;2026-03-01;74212;68049;16051;21031;20856;27,7037522869274;36,2991473644240;35,9971003486486;57938
Comunidad Foral de Navarra;2026-03-01;24006;23920;3207;6658;7881;18,0716781246478;37,5183139862504;44,4100078891018;17746
País Vasco;2026-03-01;120998;120635;19208;27283;40610;22,0525596721048;31,3234061606641;46,6240341672311;87101
La Rioja;2026-03-01;15153;15148;2274;4499;3881;21,3440961141355;42,2282710718979;36,4276328139666;10654
Ceuta y Melilla;2026-03-01;5897;5786;1321;1587;1405;30,6283329469047;36,7957338279620;32,5759332251333;4313
