ccaa;solicitudes;fecha
Cantabria;23669;2024-05-01
Castilla y León;159928;2024-05-01
Castilla-La Mancha;97887;2024-05-01
Cataluña;365710;2024-05-01
Comunidad Valenciana;207616;2024-05-01
Extremadura;58687;2024-05-01
Galicia;83637;2024-05-01
Comunidad de Madrid;249829;2024-05-01
Región de Murcia;65560;2024-05-01
Comunidad Foral de Navarra;21596;2024-05-01
País Vasco;115512;2024-05-01
La Rioja;14777;2024-05-01
Ceuta y Melilla;5438;2024-05-01
Andalucía;407182;2024-06-01
Aragón;56858;2024-06-01
Principado de Asturias;48519;2024-06-01
Islas Baleares;45142;2024-06-01
Canarias;69464;2024-06-01
Cantabria;23700;2024-06-01
Castilla y León;159961;2024-06-01
Castilla-La Mancha;98240;2024-06-01
Cataluña;368778;2024-06-01
Comunidad Valenciana;209122;2024-06-01
Extremadura;58675;2024-06-01
Galicia;84146;2024-06-01
Comunidad de Madrid;252067;2024-06-01
Región de Murcia;65939;2024-06-01
Comunidad Foral de Navarra;21613;2024-06-01
País Vasco;116241;2024-06-01
La Rioja;14873;2024-06-01
Ceuta y Melilla;5474;2024-06-01
Andalucía;411417;2024-07-01
Aragón;57063;2024-07-01
Principado de Asturias;49263;2024-07-01
Islas Baleares;45432;2024-07-01
Canarias;71366;2024-07-01
Cantabria;24038;2024-07-01
Castilla y León;159998;2024-07-01
Castilla-La Mancha;98427;2024-07-01
Cataluña;371456;2024-07-01
Comunidad Valenciana;213107;2024-07-01
Extremadura;58552;2024-07-01
Galicia;84329;2024-07-01
Comunidad de Madrid;253141;2024-07-01
Región de Murcia;65981;2024-07-01
Comunidad Foral de Navarra;21790;2024-07-01
País Vasco;116122;2024-07-01
La Rioja;14871;2024-07-01
Ceuta y Melilla;5498;2024-07-01
Andalucía;415660;2024-08-01
Aragón;56996;2024-08-01
Principado de Asturias;49643;2024-08-01
Islas Baleares;45609;2024-08-01
Canarias;72563;2024-08-01
Cantabria;24208;2024-08-01
Castilla y León;160193;2024-08-01
Castilla-La Mancha;98324;2024-08-01
Cataluña;374354;2024-08-01
Comunidad Valenciana;213093;2024-08-01
Extremadura;58261;2024-08-01
Galicia;84471;2024-08-01
Comunidad de Madrid;252940;2024-08-01
Región de Murcia;65755;2024-08-01
Comunidad Foral de Navarra;21678;2024-08-01
País Vasco;116059;2024-08-01
La Rioja;14876;2024-08-01
Ceuta y Melilla;5523;2024-08-01
Andalucía;412788;2024-09-01
Aragón;57082;2024-09-01
Principado de Asturias;50027;2024-09-01
Islas Baleares;45845;2024-09-01
Canarias;73643;2024-09-01
Cantabria;24265;2024-09-01
Castilla y León;160316;2024-09-01
Castilla-La Mancha;98535;2024-09-01
Cataluña;375869;2024-09-01
Comunidad Valenciana;213180;2024-09-01
Extremadura;58482;2024-09-01
Galicia;84538;2024-09-01
Comunidad de Madrid;253523;2024-09-01
Región de Murcia;66558;2024-09-01
