ccaa;fecha;personas_con_pia;personas_prest_efectiva;pendientes_prest_efectiva
Castilla y León;2023-11-01;121749;112791;8958
Castilla-La Mancha;2023-11-01;71826;69712;2114
Cataluña;2023-11-01;202264;202264;0
Comunidad Valenciana;2023-11-01;144169;142308;1861
Extremadura;2023-11-01;35080;34805;275
Galicia;2023-11-01;73482;71851;1631
Comunidad de Madrid;2023-11-01;176545;176545;0
Región de Murcia;2023-11-01;40250;40099;151
Comunidad Foral de Navarra;2023-11-01;16064;16064;0
País Vasco;2023-11-01;67169;67169;0
La Rioja;2023-11-01;9144;9144;0
Ceuta y Melilla;2023-11-01;3379;3298;81
Andalucía;2023-12-01;286600;285983;617
Aragón;2023-12-01;40334;39675;659
Principado de Asturias;2023-12-01;31214;30328;886
Islas Baleares;2023-12-01;29233;29233;0
Canarias;2023-12-01;40697;34358;6339
Cantabria;2023-12-01;17166;17165;1
Castilla y León;2023-12-01;122589;113213;9376
Castilla-La Mancha;2023-12-01;72357;70335;2022
Cataluña;2023-12-01;201720;201720;0
Comunidad Valenciana;2023-12-01;146290;144482;1808
Extremadura;2023-12-01;35293;34974;319
Galicia;2023-12-01;73691;72047;1644
Comunidad de Madrid;2023-12-01;177795;177795;0
Región de Murcia;2023-12-01;40484;40232;252
Comunidad Foral de Navarra;2023-12-01;16142;16142;0
País Vasco;2023-12-01;67674;67674;0
La Rioja;2023-12-01;9180;9180;0
Ceuta y Melilla;2023-12-01;3407;3327;80
Andalucía;2024-01-01;286206;285577;629
Aragón;2024-01-01;40178;39527;651
Principado de Asturias;2024-01-01;31210;30301;909
Islas Baleares;2024-01-01;29190;29190;0
Canarias;2024-01-01;40949;34626;6323
Cantabria;2024-01-01;17076;17075;1
Castilla y León;2024-01-01;122895;113472;9423
Castilla-La Mancha;2024-01-01;72052;70100;1952
Cataluña;2024-01-01;202557;202557;0
Comunidad Valenciana;2024-01-01;144001;142711;1290
Extremadura;2024-01-01;34931;34608;323
Galicia;2024-01-01;73751;72147;1604
Comunidad de Madrid;2024-01-01;176438;176438;0
Región de Murcia;2024-01-01;40749;40382;367
Comunidad Foral de Navarra;2024-01-01;16216;16216;0
País Vasco;2024-01-01;67502;67502;0
La Rioja;2024-01-01;9150;9150;0
Ceuta y Melilla;2024-01-01;3415;3335;80
Andalucía;2024-02-01;286357;285737;620
Aragón;2024-02-01;40215;39594;621
Principado de Asturias;2024-02-01;31190;30322;868
Islas Baleares;2024-02-01;29139;29139;0
Canarias;2024-02-01;40456;34231;6225
Cantabria;2024-02-01;16934;16933;1
Castilla y León;2024-02-01;123323;113232;10091
Castilla-La Mancha;2024-02-01;72070;70087;1983
Cataluña;2024-02-01;203145;203145;0
Comunidad Valenciana;2024-02-01;147902;146266;1636
Extremadura;2024-02-01;34476;34147;329
Galicia;2024-02-01;73273;71695;1578
Comunidad de Madrid;2024-02-01;176828;176828;0
Región de Murcia;2024-02-01;41165;40763;402
Comunidad Foral de Navarra;2024-02-01;16266;16266;0
País Vasco;2024-02-01;67749;67749;0
La Rioja;2024-02-01;9169;9169;0
Ceuta y Melilla;2024-02-01;3453;3377;76
Andalucía;2024-03-01;287048;286473;575
Aragón;2024-03-01;40443;39807;636
Principado de Asturias;2024-03-01;31355;30461;894
Islas Baleares;2024-03-01;29247;29247;0
Canarias;2024-03-01;40108;33934;6174
Cantabria;2024-03-01;16855;16854;1
Castilla y León;2024-03-01;123868;113429;10439
Castilla-La Mancha;2024-03-01;72030;70082;1948
Cataluña;2024-03-01;205681;205681;0
Comunidad Valenciana;2024-03-01;150668;149029;1639
Extremadura;2024-03-01;34652;34375;277
Galicia;2024-03-01;73901;72402;1499
Comunidad de Madrid;2024-03-01;179516;179516;0
Región de Murcia;2024-03-01;41734;41514;220
Comunidad Foral de Navarra;2024-03-01;16288;16288;0
País Vasco;2024-03-01;68248;68248;0
La Rioja;2024-03-01;9191;9191;0
Ceuta y Melilla;2024-03-01;3489;3410;79
Andalucía;2024-04-01;286814;286229;585
Aragón;2024-04-01;40702;40086;616
Principado de Asturias;2024-04-01;31506;30645;861
Islas Baleares;2024-04-01;29317;29317;0
Canarias;2024-04-01;41030;33999;7031
Cantabria;2024-04-01;17396;17395;1
Castilla y León;2024-04-01;124219;113658;10561
Castilla-La Mancha;2024-04-01;72434;70678;1756
Cataluña;2024-04-01;208349;208349;0
Comunidad Valenciana;2024-04-01;152556;150929;1627
Extremadura;2024-04-01;35415;35113;302
Galicia;2024-04-01;74248;72734;1514
Comunidad de Madrid;2024-04-01;181408;181408;0
Región de Murcia;2024-04-01;42280;42121;159
Comunidad Foral de Navarra;2024-04-01;16304;16304;0
País Vasco;2024-04-01;68480;68480;0
La Rioja;2024-04-01;9221;9221;0
Ceuta y Melilla;2024-04-01;3493;3418;75
Andalucía;2024-05-01;286788;286198;590
Aragón;2024-05-01;40938;40283;655
Principado de Asturias;2024-05-01;31581;30722;859
Islas Baleares;2024-05-01;29759;29759;0
Canarias;2024-05-01;41709;34582;7127
Cantabria;2024-05-01;17670;17669;1
Castilla y León;2024-05-01;124604;114171;10433
Castilla-La Mancha;2024-05-01;72771;71001;1770
Cataluña;2024-05-01;211192;211192;0
Comunidad Valenciana;2024-05-01;154633;153082;1551
Extremadura;2024-05-01;35701;35404;297
Galicia;2024-05-01;74500;73006;1494
Comunidad de Madrid;2024-05-01;183203;183203;0
Región de Murcia;2024-05-01;42782;42605;177
Comunidad Foral de Navarra;2024-05-01;16091;16091;0
País Vasco;2024-05-01;68945;68945;0
La Rioja;2024-05-01;9275;9275;0
Ceuta y Melilla;2024-05-01;3526;3449;77
Andalucía;2024-06-01;286867;286266;601
Aragón;2024-06-01;41854;41129;725
Principado de Asturias;2024-06-01;31659;30795;864
Islas Baleares;2024-06-01;30170;30170;0
Canarias;2024-06-01;42634;35232;7402
Cantabria;2024-06-01;17715;17714;1
Castilla y León;2024-06-01;124717;114947;9770
Castilla-La Mancha;2024-06-01;73499;71726;1773
Cataluña;2024-06-01;214625;214625;0
Comunidad Valenciana;2024-06-01;156081;154442;1639
Extremadura;2024-06-01;35934;35669;265
Galicia;2024-06-01;75358;73871;1487
Comunidad de Madrid;2024-06-01;184420;184420;0
Región de Murcia;2024-06-01;43145;42906;239
Comunidad Foral de Navarra;2024-06-01;16056;16056;0
País Vasco;2024-06-01;69653;69653;0
La Rioja;2024-06-01;9277;9277;0
Ceuta y Melilla;2024-06-01;3579;3498;81
Andalucía;2024-07-01;287223;286633;590
Aragón;2024-07-01;42372;41622;750
Principado de Asturias;2024-07-01;31687;30826;861
Islas Baleares;2024-07-01;30585;30585;0
Canarias;2024-07-01;42857;35335;7522
Cantabria;2024-07-01;17828;17827;1
Castilla y León;2024-07-01;124986;115432;9554
Castilla-La Mancha;2024-07-01;73974;72130;1844
Cataluña;2024-07-01;217728;217728;0
Comunidad Valenciana;2024-07-01;157089;155323;1766
Extremadura;2024-07-01;36097;35832;265
Galicia;2024-07-01;75568;74135;1433
Comunidad de Madrid;2024-07-01;185725;185725;0
Región de Murcia;2024-07-01;43686;43438;248
