ccaa_id3,anio,capitulo,codigo,denominacion,importe_eur,capa,fuente_path
ext,2022,1,01,Gastos de personal,2311879310.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ext.xlsx
ext,2022,2,02,Gastos corrientes en bienes y servicios,880225180.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ext.xlsx
ext,2022,3,03,Gastos financieros,52816430.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ext.xlsx
ext,2022,4,04,Transferencias corrientes,2092208010.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ext.xlsx
ext,2022,5,05,Fondo de contingencia,10000000.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ext.xlsx
ext,2022,6,06,Inversiones reales,565173220.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ext.xlsx
ext,2022,7,07,Transferencias de capital,370111210.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ext.xlsx
ext,2022,8,08,Activos financieros,217500.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ext.xlsx
ext,2022,9,09,Pasivos financieros,717339250.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_ext.xlsx
gal,2022,1,01,Gastos de personal,4327396950.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_gal.xlsx
gal,2022,2,02,Gastos corrientes en bienes y servicios,1983772060.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_gal.xlsx
gal,2022,3,03,Gastos financieros,74468560.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_gal.xlsx
gal,2022,4,04,Transferencias corrientes,2642497160.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_gal.xlsx
gal,2022,5,05,Fondo de contingencia,45417180.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_gal.xlsx
gal,2022,6,06,Inversiones reales,1438671940.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_gal.xlsx
gal,2022,7,07,Transferencias de capital,1115139110.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_gal.xlsx
gal,2022,8,08,Activos financieros,220367120.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_gal.xlsx
gal,2022,9,09,Pasivos financieros,1270218180.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_gal.xlsx
lar,2022,1,01,Gastos de personal,571028990.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_lar.xlsx
lar,2022,2,02,Gastos corrientes en bienes y servicios,333343030.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_lar.xlsx
lar,2022,3,03,Gastos financieros,8037540.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_lar.xlsx
lar,2022,4,04,Transferencias corrientes,415515480.0,hacienda,fuentes/raw/hacienda/2022/per_ccaa/SGCIEF_2022_lar.xlsx
