ccaa;periodo;genero;origen;capa;es_prorroga;estimado;pib_regional_eur;pib_origen;imp_dependencia;imp_discapacidad;imp_diversidad;imp_educacion;imp_empleo;imp_idi;imp_igualdad;imp_salud_mental;imp_sanidad;imp_soberania;imp_total;imp_turismo;imp_vivienda;imp_direccion;pib_dependencia;pib_discapacidad;pib_diversidad;pib_educacion;pib_empleo;pib_idi;pib_igualdad;pib_salud_mental;pib_sanidad;pib_soberania;pib_total;pib_turismo;pib_vivienda;pib_direccion;pibreg_dependencia;pibreg_discapacidad;pibreg_diversidad;pibreg_educacion;pibreg_empleo;pibreg_idi;pibreg_igualdad;pibreg_salud_mental;pibreg_sanidad;pibreg_soberania;pibreg_total;pibreg_turismo;pibreg_vivienda;pibreg_direccion;pc_dependencia;pc_discapacidad;pc_diversidad;pc_educacion;pc_empleo;pc_idi;pc_igualdad;pc_salud_mental;pc_sanidad;pc_soberania;pc_total;pc_turismo;pc_vivienda;pc_direccion;var_dependencia;var_discapacidad;var_diversidad;var_educacion;var_empleo;var_idi;var_igualdad;var_salud_mental;var_sanidad;var_soberania;var_total;var_turismo;var_vivienda;var_direccion
Andalucía;2025;total;real;autonomica;FALSE;FALSE;222116470593,18;proyeccion;2616898816,00;265377200,00;10872167,00;9693334966,00;781206513,00;443415578,00;2721054,00;33157283,00;15041542563,00;2628577595,00;NA;146517976,00;488873782,00;NA;0,1588;0,0161;0,0007;0,5882;0,0474;0,0269;0,0002;0,0020;0,9127;0,1595;NA;0,0089;0,0297;NA;1,1782;0,1195;0,0049;4,3641;0,3517;0,1996;0,0012;0,0149;6,7719;1,1834;NA;0,0660;0,2201;NA;301,04;30,53;1,25;1115,07;89,87;51,01;0,31;3,81;1730,31;302,38;NA;16,85;56,24;NA;17,37;5,15;2,35;4,02;0,00;22,41;17,81;-1,89;7,01;1,23;NA;-17,30;9,07;NA
Andalucía;2025;total;real;hacienda;FALSE;FALSE;222116470593,18;proyeccion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48871600760;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,9655;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22,0027;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5621,95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,53;NA;NA;NA
Andalucía;2026;total;real;autonomica;FALSE;FALSE;235169103530,32;proyeccion;2913064494,00;268836077,00;10709103,00;9998482040,00;782050538,00;471728406,00;1971376,00;36381544,00;15950811279,00;2480509786,00;NA;160831101,00;719346413,00;NA;0,1713;0,0158;0,0006;0,5878;0,0460;0,0277;0,0001;0,0021;0,9377;0,1458;NA;0,0095;0,0423;NA;1,2387;0,1143;0,0046;4,2516;0,3325;0,2006;0,0008;0,0155;6,7827;1,0548;NA;0,0684;0,3059;NA;332,73;30,71;1,22;1142,03;89,33;53,88;0,23;4,16;1821,91;283,32;NA;18,37;82,16;NA;11,32;1,30;-1,50;3,15;0,11;6,39;-27,55;9,72;6,05;-5,63;NA;9,77;47,14;NA
Aragón;2015;total;real;autonomica;FALSE;FALSE;33265930000,00;real;NA;NA;NA;879551896,15;94153669,39;57787366,51;3180941,00;NA;1604436847,39;647905750,07;NA;12905535,98;74547890,45;3005653,19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,6440;0,2830;0,1737;0,0096;NA;4,8231;1,9477;NA;0,0388;0,2241;0,0090;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aragón;2015;total;real;hacienda;FALSE;FALSE;33265930000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5254454310;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,7953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Aragón;2016;total;real;autonomica;FALSE;FALSE;34542128000,00;real;NA;NA;1058000,00;958476678,66;94381995,21;51572792,27;3359366,65;NA;1806281338,66;630995481,22;NA;23325995,03;18502778,26;2384364,71;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0031;2,7748;0,2732;0,1493;0,0097;NA;5,2292;1,8267;NA;0,0675;0,0536;0,0069;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,97;0,24;-10,75;5,61;NA;12,58;-2,61;NA;80,74;-75,18;-20,67
Aragón;2016;total;real;hacienda;FALSE;FALSE;34542128000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5129958000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,8513;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-2,37;NA;NA;NA
Aragón;2017;total;real;autonomica;FALSE;FALSE;35983544000,00;real;NA;NA;1337482,01;1040672901,92;106674129,99;78976928,70;3863624,08;NA;1903124002,60;635474223,88;NA;15327007,66;35198225,63;2170971,69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0037;2,8921;0,2965;0,2195;0,0107;NA;5,2889;1,7660;NA;0,0426;0,0978;0,0060;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,42;8,58;13,02;53,14;15,01;NA;5,36;0,71;NA;-34,29;90,23;-8,95
Aragón;2017;total;real;hacienda;FALSE;FALSE;35983544000,00;real;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5577164930;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15,4992;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,72;NA;NA;NA
Aragón;2018;total;real;autonomica;FALSE;FALSE;37213896000,00;real;NA;NA;1618733,44;1090322967,47;117165149,06;83677198,63;4194067,17;NA;2006052857,97;642673404,76;NA;13489707,07;39953112,30;2204455,39;NA;NA;0,0001;0,0902;0,0097;0,0069;0,0003;NA;0,1660;0,0532;NA;0,0011;0,0033;0,0002;NA;NA;0,0043;2,9299;0,3148;0,2249;0,0113;NA;5,3906;1,7270;NA;0,0362;0,1074;0,0059;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,03;4,77;9,83;5,95;8,55;NA;5,41;1,13;NA;-11,99;13,51;1,54
