"ccaa","genero","variable","periodo","valor","li_95","ls_95","imputado"
"La Rioja","mujeres","mort_evitable_idx",2025,0.373658417500441,0.328129756462889,0.403327554149476,TRUE
"La Rioja","total","mort_evitable_idx",2025,0.607460590809859,0.550730303737778,0.655492471379406,TRUE
"Media Estatal","hombres","mort_evitable_idx",2025,0.876235364104657,0.797679877473584,1.02504230402854,TRUE
"Media Estatal","mujeres","mort_evitable_idx",2025,0.396683300992872,0.351780139627277,0.452125041293921,TRUE
"Media Estatal","total","mort_evitable_idx",2025,0.622977781629025,0.568192392304068,0.728137369151284,TRUE
"Melilla","hombres","mort_evitable_idx",2025,0.979232977095329,0.815066638069304,1.34184396107818,TRUE
"Melilla","mujeres","mort_evitable_idx",2025,0.574198931311172,0.434815612597443,0.755221412025288,TRUE
"Melilla","total","mort_evitable_idx",2025,0.778983289116267,0.673808806233473,1.0030527693985,TRUE
"País Vasco","hombres","mort_evitable_idx",2025,0.813438254726277,0.710478694183714,0.898872689980845,TRUE
"País Vasco","mujeres","mort_evitable_idx",2025,0.387159954682577,0.353900542569923,0.422164246266884,TRUE
"País Vasco","total","mort_evitable_idx",2025,0.590064706697763,0.528331571818885,0.654923273135727,TRUE
"Principado de Asturias","hombres","mort_evitable_idx",2025,0.986217505538197,0.920287896894267,1.07737929224175,TRUE
"Principado de Asturias","mujeres","mort_evitable_idx",2025,0.455449875139553,0.410365188552057,0.508264428555542,TRUE
"Principado de Asturias","total","mort_evitable_idx",2025,0.71864114389651,0.618252260259816,0.838610272422798,TRUE
"Región de Murcia","hombres","mort_evitable_idx",2025,1.06517130220909,0.961723254144283,1.16422061634798,TRUE
"Región de Murcia","mujeres","mort_evitable_idx",2025,0.426130364436063,0.390309264961935,0.505211668896531,TRUE
"Región de Murcia","total","mort_evitable_idx",2025,0.731937825486593,0.664949836690748,0.853875078404224,TRUE
"Andalucía","total","med_ae",2025,1.65630410772184,1.62139151996446,1.72136648225281,TRUE
"Aragón","total","med_ae",2025,2.44076983799186,2.3494517538899,2.49284527155661,TRUE
"Canarias","total","med_ae",2025,2.34424576433488,2.28513732896611,2.40626418648808,TRUE
"Cantabria","total","med_ae",2025,2.31301437993964,2.23222452343832,2.48592194188296,TRUE
"Castilla y León","total","med_ae",2025,2.3742291424241,2.33175284192463,2.43607305729942,TRUE
"Castilla-La Mancha","total","med_ae",2025,2.14420705385339,2.08067997957245,2.29248033938295,TRUE
"Cataluña","total","med_ae",2025,2.31608349266393,2.17088560130182,2.50618823443763,TRUE
"Ceuta","total","med_ae",2025,1.63764536652949,1.53752077744095,1.74494577213708,TRUE
"Comunidad Foral de Navarra","total","med_ae",2025,2.82581387643304,2.62848301657219,3.27813010356731,TRUE
"Comunidad Valenciana","total","med_ae",2025,2.15190152663318,2.08094691335686,2.19517458941353,TRUE
"Comunidad de Madrid","total","med_ae",2025,2.47015297918418,2.41063178257204,2.54274847727087,TRUE
"Extremadura","total","med_ae",2025,2.11431423140901,2.00631066872343,2.20793173334064,TRUE
"Galicia","total","med_ae",2025,2.27626630107601,2.22760164718918,2.38500501251801,TRUE
"Islas Baleares","total","med_ae",2025,2.40468728649621,2.34940875109804,2.47553766742563,TRUE
"La Rioja","total","med_ae",2025,2.17675949968184,2.11770936636018,2.30423092889583,TRUE
"Media Estatal","total","med_ae",2025,2.23469264276152,2.20025171197139,2.27276875871362,TRUE
"Melilla","total","med_ae",2025,1.63147109580189,1.5657101526935,1.71718505095148,TRUE
"País Vasco","total","med_ae",2025,2.82824366112653,2.68565425563784,3.12585982715803,TRUE
"Principado de Asturias","total","med_ae",2025,2.82096561411807,2.77470228538732,2.8692603408109,TRUE
"Región de Murcia","total","med_ae",2025,2.16406998585451,2.123245961627,2.21194779906991,TRUE
"Andalucía","total","med_ap",2025,0.755157357951522,0.743691433699893,0.765150338383241,TRUE
"Aragón","total","med_ap",2025,0.87086370067057,0.861408835893476,0.879846440494467,TRUE
"Canarias","total","med_ap",2025,0.760394977420667,0.751474096899154,0.771750707455136,TRUE
"Cantabria","total","med_ap",2025,0.803495424317501,0.790309226347724,0.830033833231896,TRUE
"Castilla y León","total","med_ap",2025,1.08612739056036,1.06997669966243,1.09216284591818,TRUE
"Castilla-La Mancha","total","med_ap",2025,0.839805734426692,0.830002594075176,0.85252618297848,TRUE
"Cataluña","total","med_ap",2025,0.759342891626442,0.739196232279608,0.773977812069709,TRUE
"Ceuta","total","med_ap",2025,0.648531636198284,0.634383509343196,0.66059652467135,TRUE
"Comunidad Foral de Navarra","total","med_ap",2025,0.818949368437885,0.788732170638964,0.831585157905557,TRUE
"Comunidad Valenciana","total","med_ap",2025,0.823559971615437,0.802424387585101,0.849629439021446,TRUE
"Comunidad de Madrid","total","med_ap",2025,0.717649303956211,0.706386489211737,0.733222497373324,TRUE
"Extremadura","total","med_ap",2025,0.958199111103387,0.948612918383069,0.967648080097361,TRUE
"Galicia","total","med_ap",2025,0.857861798430221,0.850849554928322,0.870987059685069,TRUE
"Islas Baleares","total","med_ap",2025,0.669186701107364,0.643110116626744,0.688608471356748,TRUE
"La Rioja","total","med_ap",2025,0.804687476149006,0.777349198111056,0.834346492198924,TRUE
"Media Estatal","total","med_ap",2025,0.792086061896017,0.78653035024599,0.798189736888768,TRUE
"Melilla","total","med_ap",2025,0.660523441184495,0.647610122933396,0.686642499704715,TRUE
"País Vasco","total","med_ap",2025,0.795531394405021,0.732869076362676,0.86613581250476,TRUE
"Principado de Asturias","total","med_ap",2025,0.803269997526082,0.778542825291187,0.82147670957858,TRUE
"Región de Murcia","total","med_ap",2025,0.820753421115145,0.804700527092094,0.862681699233981,TRUE
"Andalucía","total","enf_ae",2025,3.20931348578373,3.08385792597943,3.4393857587101,TRUE
"Aragón","total","enf_ae",2025,5.06767741554037,5.00417224873955,5.49477913789127,TRUE
"Canarias","total","enf_ae",2025,4.38052816072356,4.25449499573729,4.61550071454011,TRUE
"Cantabria","total","enf_ae",2025,4.03402814090452,3.55092039205769,4.52517544237661,TRUE
"Castilla y León","total","enf_ae",2025,4.42295121697631,4.2775190318083,4.54488027227007,TRUE
"Castilla-La Mancha","total","enf_ae",2025,3.93309749633197,3.6235426531621,4.09140672564581,TRUE
"Cataluña","total","enf_ae",2025,4.02811589106522,3.93125901198861,4.16706671530494,TRUE
"Ceuta","total","enf_ae",2025,3.29873500632017,3.03365404643684,3.63072578520921,TRUE
"Comunidad Foral de Navarra","total","enf_ae",2025,5.74837791474635,5.24154034980606,6.28315960453727,TRUE
"Comunidad Valenciana","total","enf_ae",2025,3.51300382785919,3.36458313072518,3.63820005209849,TRUE
"Comunidad de Madrid","total","enf_ae",2025,3.83916681302712,3.68553074813794,4.04124713589529,TRUE
"Extremadura","total","enf_ae",2025,4.1324748411527,4.03717060390924,4.24681270627729,TRUE
"Galicia","total","enf_ae",2025,3.96715770731128,3.83428872520631,4.07250692725672,TRUE
"Islas Baleares","total","enf_ae",2025,4.45043422302324,4.30587241760409,4.61649843204863,TRUE
