ccaa;ccaa_cod;periodo;origen;tasa_paro;tasa_actividad;tasa_empleo;horas_servicios;paro_juvenil;paro_larga_duracion;temporalidad;parcialidad;brecha_salarial;pct_alquiler_salario;brecha_salarial_origen;pct_alquiler_salario_origen
Ceuta;18;2015;real;27.548;57.32;41.485;;79.448;73.15;16.125;11.15;;;;
Ceuta;18;2016;real;24.88;57.425;43.118;;63.092;65.65;19.1;13.25;;;;
Ceuta;18;2017;real;22.37;55.788;43.265;;54.492;62.025;19.525;17.8;;;;
Ceuta;18;2018;real;28.928;58.792;41.738;;62.348;69.275;20.775;16.05;;;;
Ceuta;18;2019;real;25.815;58.08;43.068;;52.778;63.0;22.475;14.3;;;;
Ceuta;18;2020;real;24.518;56.372;42.55;;62.805;66.2;20.05;9.325;;;;
Ceuta;18;2021;real;30.85;55.555;38.415;;67.222;71.175;17.4;11.05;;;;
Ceuta;18;2022;real;29.852;61.092;42.823;;50.962;63.6;16.15;9.8;;;;
Ceuta;18;2023;real;29.98;61.905;43.352;;59.13;57.975;14.075;12.125;;;;
Ceuta;18;2024;real;27.408;60.46;43.86;;68.018;64.8;14.35;10.65;;;;
Ceuta;18;2025;real;24.358;61.113;46.26;;55.64;67.6;13.775;9.175;;;;
Ceuta;18;2026;proyeccion;26.118;63.646;48.208;;58.304;65.067;13.85;12.2;;;;
Comunidad Foral de Navarra;15;2010;real;11.902;60.725;53.5;122.025;30.295;33.65;24.575;14.575;26.148;26.55;real;real
Comunidad Foral de Navarra;15;2011;real;12.988;60.982;53.06;121.525;29.552;40.075;25.825;14.575;28.228;27.83;real;real
Comunidad Foral de Navarra;15;2012;real;16.163;60.715;50.9;119.75;40.64;46.275;21.8;16.375;29.569;29.38;real;real
Comunidad Foral de Navarra;15;2013;real;17.93;60.175;49.385;119.9;48.098;50.7;20.1;16.05;30.464;26.26;real;real
Comunidad Foral de Navarra;15;2014;real;15.71;59.752;50.362;121.675;45.288;57.725;22.475;17.775;29.647;24.64;real;real
Comunidad Foral de Navarra;15;2015;real;13.828;58.8;50.67;120.15;38.312;53.725;25.975;18.4;28.42;24.56;real;real
Comunidad Foral de Navarra;15;2016;real;12.485;58.545;51.238;117.65;34.088;55.5;25.15;16.725;28.018;24.88;real;real
Comunidad Foral de Navarra;15;2017;real;10.238;59.12;53.068;120.325;31.538;44.175;22.975;16.05;26.265;25.16;real;real
Comunidad Foral de Navarra;15;2018;real;10.028;59.092;53.17;120.75;26.352;46.825;24.025;16.3;23.179;27.09;real;real
Comunidad Foral de Navarra;15;2019;real;8.242;58.635;53.802;119.625;22.532;33.175;25.675;16.75;22.366;28.0;real;real
Comunidad Foral de Navarra;15;2020;real;10.055;57.128;51.38;112.75;25.638;29.75;25.425;14.15;23.216;29.15;real;real
