ccaa;ccaa_cod;periodo;genero;origen;tasa_paro;tasa_actividad;tasa_empleo;paro_juvenil;paro_larga_duracion;temporalidad;parcialidad;pct_alquiler_salario;pct_alquiler_salario_origen
Cantabria;06;2018;mujer;real;12.352;49.24;43.148;35.095;48.325;27.525;25.65;34.67;real
Cantabria;06;2019;hombre;real;9.642;61.17;55.27;27.812;44.5;21.625;5.35;27.32;real
Cantabria;06;2019;mujer;real;11.01;49.332;43.895;36.075;36.35;27.925;25.875;34.21;real
Cantabria;06;2020;hombre;real;11.7;59.23;52.308;41.965;30.45;26.875;6.5;28.65;real
Cantabria;06;2020;mujer;real;12.69;48.738;42.568;42.078;32.25;26.65;22.55;35.21;real
Cantabria;06;2021;hombre;real;9.865;60.69;54.708;29.38;39.925;22.0;5.65;28.66;real
Cantabria;06;2021;mujer;real;12.808;50.12;43.695;23.735;44.975;26.0;21.05;36.25;real
Cantabria;06;2022;hombre;real;7.83;60.19;55.482;23.968;39.85;15.675;4.925;30.19;real
Cantabria;06;2022;mujer;real;11.535;49.622;43.898;30.602;38.825;20.525;19.25;37.23;real
Cantabria;06;2023;hombre;real;6.455;59.465;55.63;20.01;40.575;11.725;5.75;31.52;real
Cantabria;06;2023;mujer;real;9.982;50.498;45.46;20.012;34.65;20.6;21.025;38.72;real
Cantabria;06;2024;hombre;real;6.62;61.252;57.195;21.152;34.675;12.525;6.025;34.4;real
Cantabria;06;2024;mujer;real;9.21;50.895;46.21;23.998;35.8;19.85;22.425;43.33;real
Cantabria;06;2025;hombre;real;6.875;60.322;56.175;20.905;28.825;14.225;6.175;36.573;proyeccion
Cantabria;06;2025;mujer;real;7.845;51.005;47.005;18.735;33.3;18.375;21.35;46.73;proyeccion
Cantabria;06;2026;hombre;proyeccion;6.979;59.404;55.32;20.22;32.277;14.226;7.294;37.927;proyeccion
Cantabria;06;2026;mujer;proyeccion;7.98;51.018;47.035;18.848;31.967;14.532;21.106;48.823;proyeccion
Castilla y León;07;2010;hombre;real;14.225;63.252;54.252;33.348;36.975;20.125;4.325;21.44;real
Castilla y León;07;2010;mujer;real;17.858;47.212;38.78;34.918;39.875;23.675;25.325;28.66;real
Castilla y León;07;2011;hombre;real;15.692;62.825;52.97;39.468;46.55;19.65;5.075;22.89;real
Castilla y León;07;2011;mujer;real;18.372;47.942;39.135;37.712;47.975;23.875;23.775;29.55;real
Castilla y León;07;2012;hombre;real;18.04;63.01;51.648;45.86;48.625;17.4;5.1;22.94;real
Castilla y León;07;2012;mujer;real;22.057;48.058;37.455;51.112;50.0;23.65;24.45;30.68;real
Castilla y León;07;2013;hombre;real;20.19;61.348;48.962;48.968;56.575;18.1;6.4;21.76;real
Castilla y León;07;2013;mujer;real;23.662;48.79;37.245;51.062;58.575;23.7;27.85;29.19;real
Castilla y León;07;2014;hombre;real;19.2;61.422;49.635;48.128;62.275;19.875;6.4;21.67;real
Castilla y León;07;2014;mujer;real;22.688;48.782;37.715;53.558;63.575;23.7;27.825;28.07;real
Castilla y León;07;2015;hombre;real;15.965;61.172;51.408;44.29;57.15;22.7;7.225;20.84;real
Castilla y León;07;2015;mujer;real;21.068;48.615;38.375;52.848;63.8;24.1;26.95;27.16;real
Castilla y León;07;2016;hombre;real;14.125;61.378;52.715;35.287;56.9;24.825;6.55;21.21;real
Castilla y León;07;2016;mujer;real;17.898;49.005;40.232;43.758;57.3;25.525;25.9;27.78;real
Castilla y León;07;2017;hombre;real;11.995;60.675;53.395;38.172;52.625;23.1;5.775;22.12;real
Castilla y León;07;2017;mujer;real;16.578;49.035;40.908;33.795;50.675;27.6;27.15;29.16;real
Castilla y León;07;2018;hombre;real;10.36;60.59;54.315;29.295;46.9;23.6;6.525;23.5;real
Castilla y León;07;2018;mujer;real;14.205;48.68;41.76;27.118;51.625;27.025;26.75;30.48;real
Castilla y León;07;2019;hombre;real;10.022;60.762;54.675;27.16;43.7;23.15;6.35;24.83;real
Castilla y León;07;2019;mujer;real;13.58;49.082;42.422;33.165;46.925;27.1;26.025;31.55;real
Castilla y León;07;2020;hombre;real;10.608;59.305;53.018;32.02;40.3;19.575;5.675;25.14;real
Castilla y León;07;2020;mujer;real;13.788;48.422;41.745;37.68;42.2;26.475;26.375;31.61;real
Castilla y León;07;2021;hombre;real;9.728;59.088;53.342;28.56;45.95;21.1;6.3;25.11;real
Castilla y León;07;2021;mujer;real;13.86;48.098;41.438;32.74;47.525;26.8;24.425;31.71;real
Castilla y León;07;2022;hombre;real;8.602;59.092;54.008;27.583;46.175;18.425;6.3;25.67;real
Castilla y León;07;2022;mujer;real;11.448;49.677;43.992;28.06;43.475;23.5;23.85;31.3;real
Castilla y León;07;2023;hombre;real;8.052;59.365;54.58;25.53;40.525;13.95;5.4;26.39;real
Castilla y León;07;2023;mujer;real;11.585;48.86;43.198;31.55;42.725;20.8;22.85;31.25;real
Castilla y León;07;2024;hombre;real;7.75;58.955;54.388;23.738;31.175;12.575;5.75;27.35;real
Castilla y León;07;2024;mujer;real;11.29;49.817;44.195;33.178;38.975;20.525;23.2;33.09;real
Castilla y León;07;2025;hombre;real;7.448;59.54;55.108;22.99;31.275;12.65;6.75;27.772;proyeccion
Castilla y León;07;2025;mujer;real;9.82;49.668;44.79;27.123;31.525;19.025;24.175;32.274;proyeccion
Castilla y León;07;2026;hombre;proyeccion;7.522;59.219;55.012;17.2;32.6;12.516;6.724;28.194;proyeccion
Castilla y León;07;2026;mujer;proyeccion;10.16;49.452;44.133;25.68;25.8;17.894;23.619;32.548;proyeccion
Castilla-La Mancha;08;2010;hombre;real;19.218;68.583;55.402;42.66;38.45;25.5;4.35;21.83;real
Castilla-La Mancha;08;2010;mujer;real;24.148;47.825;36.278;43.188;42.25;28.7;23.0;27.17;real
Castilla-La Mancha;08;2011;hombre;real;20.88;67.832;53.67;46.118;46.575;25.525;4.15;21.67;real
Castilla-La Mancha;08;2011;mujer;real;26.082;50.318;37.192;49.798;49.6;27.775;24.25;27.41;real
Castilla-La Mancha;08;2012;hombre;real;25.808;67.285;49.922;53.39;48.95;22.85;5.6;21.34;real
Castilla-La Mancha;08;2012;mujer;real;32.293;50.985;34.52;56.028;54.725;23.45;25.0;27.77;real
Castilla-La Mancha;08;2013;hombre;real;27.485;67.583;49.01;60.162;60.7;22.45;6.0;19.39;real
Castilla-La Mancha;08;2013;mujer;real;33.26;51.39;34.3;62.985;66.85;24.1;27.35;25.87;real
Castilla-La Mancha;08;2014;hombre;real;26.042;66.9;49.472;62.94;62.425;24.25;6.125;18.89;real
Castilla-La Mancha;08;2014;mujer;real;32.872;51.332;34.455;59.595;67.0;24.575;25.175;23.63;real
Castilla-La Mancha;08;2015;hombre;real;22.535;65.94;51.078;54.138;60.275;26.55;6.7;18.85;real
Castilla-La Mancha;08;2015;mujer;real;31.292;51.225;35.198;60.71;67.075;28.425;25.15;23.71;real
Castilla-La Mancha;08;2016;hombre;real;19.962;66.012;52.835;46.992;57.75;28.075;5.5;19.27;real
Castilla-La Mancha;08;2016;mujer;real;28.218;50.933;36.56;55.67;63.925;28.8;24.325;24.19;real
Castilla-La Mancha;08;2017;hombre;real;16.755;66.432;55.3;39.885;53.075;26.825;4.925;19.69;real
Castilla-La Mancha;08;2017;mujer;real;25.97;51.32;37.988;50.358;60.075;29.575;23.95;24.88;real
Castilla-La Mancha;08;2018;hombre;real;13.593;66.082;57.102;38.87;47.95;27.1;5.025;20.19;real
Castilla-La Mancha;08;2018;mujer;real;24.055;51.428;39.06;48.818;54.075;30.25;26.15;25.35;real
Castilla-La Mancha;08;2019;hombre;real;12.232;65.425;57.425;34.76;45.2;26.8;5.4;21.7;real
Castilla-La Mancha;08;2019;mujer;real;21.265;51.512;40.558;44.768;50.575;28.85;26.975;25.57;real
Castilla-La Mancha;08;2020;hombre;real;13.63;64.56;55.768;36.608;38.75;22.825;4.9;22.17;real
Castilla-La Mancha;08;2020;mujer;real;22.895;49.938;38.478;43.202;51.9;27.5;25.05;25.66;real
Castilla-La Mancha;08;2021;hombre;real;11.62;65.493;57.885;29.34;44.825;24.1;5.8;22.56;real
Castilla-La Mancha;08;2021;mujer;real;20.828;51.538;40.817;41.925;57.35;29.775;23.35;26.55;real
Castilla-La Mancha;08;2022;hombre;real;11.118;65.89;58.565;28.96;36.675;19.2;5.225;22.76;real
Castilla-La Mancha;08;2022;mujer;real;19.123;51.58;41.718;40.91;54.275;27.275;24.175;27.57;real
Castilla-La Mancha;08;2023;hombre;real;10.185;65.17;58.53;28.665;37.7;16.0;5.75;23.24;real
Castilla-La Mancha;08;2023;mujer;real;16.985;52.015;43.177;31.01;42.925;23.45;22.675;27.52;real
Castilla-La Mancha;08;2024;hombre;real;9.972;64.463;58.035;23.21;33.725;14.725;6.2;24.22;real
Castilla-La Mancha;08;2024;mujer;real;17.518;51.875;42.785;35.908;38.65;21.125;23.85;28.56;real
Castilla-La Mancha;08;2025;hombre;real;9.678;65.07;58.778;26.135;37.15;13.525;6.15;24.391;proyeccion
Castilla-La Mancha;08;2025;mujer;real;16.622;52.543;43.808;29.652;46.275;21.225;25.5;28.56;proyeccion
Castilla-La Mancha;08;2026;hombre;proyeccion;10.02;65.26;59.548;25.471;31.7;13.846;6.272;24.561;proyeccion
Castilla-La Mancha;08;2026;mujer;proyeccion;16.365;52.23;45.004;28.2;42.831;21.175;26.416;28.56;proyeccion
Cataluña;09;2010;hombre;real;18.598;71.232;57.99;45.32;44.7;16.575;4.8;33.91;real
Cataluña;09;2010;mujer;real;16.508;56.552;47.218;32.005;43.475;19.925;21.15;44.48;real
Cataluña;09;2011;hombre;real;19.77;70.765;56.778;49.452;50.35;18.55;5.65;33.57;real
Cataluña;09;2011;mujer;real;18.435;57.64;47.015;37.868;48.075;21.9;22.325;45.23;real
Cataluña;09;2012;hombre;real;23.192;69.62;53.475;52.662;55.025;17.375;6.325;32.59;real
Cataluña;09;2012;mujer;real;21.728;57.5;45.005;47.912;51.4;19.475;22.35;43.34;real
Cataluña;09;2013;hombre;real;23.735;69.022;52.635;53.888;58.85;18.65;8.05;30.45;real
Cataluña;09;2013;mujer;real;22.42;57.56;44.655;46.095;55.625;18.55;23.4;40.64;real
Cataluña;09;2014;hombre;real;20.642;68.008;53.97;48.482;62.2;17.75;7.9;30.64;real
Cataluña;09;2014;mujer;real;19.978;57.515;46.025;45.55;58.65;18.9;23.5;41.38;real
Cataluña;09;2015;hombre;real;17.838;67.867;55.762;44.578;60.5;20.0;7.075;33.53;real
Cataluña;09;2015;mujer;real;19.442;57.045;45.955;39.802;58.6;19.225;21.65;44.04;real
Cataluña;09;2016;hombre;real;14.612;67.082;57.278;35.605;55.825;21.25;7.675;37.71;real
Cataluña;09;2016;mujer;real;16.928;57.232;47.54;32.94;57.95;21.1;21.475;49.25;real
Cataluña;09;2017;hombre;real;12.525;66.878;58.505;32.54;50.65;20.4;7.275;42.57;real
Cataluña;09;2017;mujer;real;14.395;56.89;48.7;28.002;50.025;22.75;22.2;55.31;real
Cataluña;09;2018;hombre;real;10.948;66.61;59.318;29.692;45.675;21.15;7.125;44.55;real
Cataluña;09;2018;mujer;real;12.088;56.258;49.455;25.402;44.975;22.6;21.975;57.24;real
Cataluña;09;2019;hombre;real;10.593;66.405;59.372;28.345;40.0;20.825;7.55;44.98;real
Cataluña;09;2019;mujer;real;11.508;56.99;50.428;23.877;39.35;22.425;22.5;56.67;real
Cataluña;09;2020;hombre;real;11.92;65.13;57.372;35.108;31.125;18.05;7.6;44.47;real
Cataluña;09;2020;mujer;real;13.412;55.82;48.33;32.61;33.5;21.2;20.8;55.38;real
Cataluña;09;2021;hombre;real;10.522;65.885;58.955;28.6;42.75;18.075;6.7;40.08;real
Cataluña;09;2021;mujer;real;12.992;56.708;49.342;29.18;47.15;23.45;20.25;50.0;real
Cataluña;09;2022;hombre;real;9.42;65.995;59.782;23.115;38.95;15.15;6.425;41.32;real
Cataluña;09;2022;mujer;real;10.595;56.135;50.188;25.885;37.025;20.275;19.675;51.33;real
Cataluña;09;2023;hombre;real;8.935;66.375;60.452;22.292;37.05;12.7;6.5;45.06;real
Cataluña;09;2023;mujer;real;9.798;56.868;51.295;22.475;34.775;15.6;18.95;54.13;real
Cataluña;09;2024;hombre;real;8.392;66.942;61.32;21.072;31.825;10.525;8.075;47.75;real
Cataluña;09;2024;mujer;real;9.462;56.475;51.128;23.22;33.875;13.95;20.3;56.65;real
Cataluña;09;2025;hombre;real;7.635;66.495;61.418;18.315;32.825;10.65;8.125;48.874;proyeccion
Cataluña;09;2025;mujer;real;9.16;57.295;52.048;19.855;34.475;12.775;18.825;57.675;proyeccion
Cataluña;09;2026;hombre;proyeccion;9.004;66.482;60.342;14.684;32.3;11.2;8.3;50.014;proyeccion
Cataluña;09;2026;mujer;proyeccion;9.317;57.026;51.54;21.782;33.275;11.741;18.0;58.715;proyeccion
Ceuta;18;2010;hombre;real;21.37;68.948;54.185;53.152;58.175;24.4;7.425;;
Ceuta;18;2010;mujer;real;28.345;42.92;30.71;76.588;53.85;34.625;20.4;;
Ceuta;18;2011;hombre;real;22.152;67.84;52.838;56.99;44.725;26.95;7.8;;
Ceuta;18;2011;mujer;real;36.865;46.055;29.07;70.888;57.975;41.15;18.95;;
Ceuta;18;2012;hombre;real;29.305;67.858;47.942;75.148;57.0;17.675;5.5;;
Ceuta;18;2012;mujer;real;47.925;50.582;26.305;61.46;52.75;22.925;23.025;;
Ceuta;18;2013;hombre;real;28.808;70.31;50.038;75.79;76.9;13.9;6.65;;
Ceuta;18;2013;mujer;real;43.755;49.762;27.943;69.58;62.25;15.075;21.075;;
Ceuta;18;2014;hombre;real;28.93;68.32;48.55;57.532;84.825;11.5;5.35;;
Ceuta;18;2014;mujer;real;36.338;48.568;30.902;78.75;72.95;16.975;16.9;;
Ceuta;18;2015;hombre;real;21.553;67.232;52.725;76.932;80.65;11.475;6.825;;
Ceuta;18;2015;mujer;real;36.392;47.082;29.868;81.19;66.4;24.275;19.025;;
Ceuta;18;2016;hombre;real;20.092;66.94;53.448;66.388;58.3;14.25;8.825;;
Ceuta;18;2016;mujer;real;31.928;47.472;32.298;53.412;72.9;26.975;20.9;;
Ceuta;18;2017;hombre;real;17.03;63.918;52.978;54.9;57.425;16.8;11.7;;
Ceuta;18;2017;mujer;real;29.422;47.66;33.582;53.658;65.35;23.85;27.425;;
Ceuta;18;2018;hombre;real;22.845;65.73;50.685;58.015;68.15;13.95;9.7;;
Ceuta;18;2018;mujer;real;36.175;52.202;33.232;65.785;69.9;30.625;25.225;;
Ceuta;18;2019;hombre;real;22.978;67.328;51.822;67.482;58.4;15.075;9.475;;
